date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,33144381,50942870,73361362,44211414,11292363,21207839,37627436,20593532,17975594,13501520
08/1963,33485975,50697469,74067738,44116799,11098980,21188646,37593058,20435657,17703256,13186184
09/1963,34805387,52723528,76518242,46367114,11814203,22559775,40082070,21788319,18721625,13894366
10/1963,33767593,53059276,74556644,45870729,11612971,22245989,39919070,21540939,18780552,13494672
11/1963,33522079,54419646,75355688,47560345,11688295,23140317,43570998,22869821,19206284,13650053
12/1963,33103304,55732457,73203351,46908339,11606657,22794229,40922076,22517302,19048029,13635112
01/1964,34283033,56459558,76210539,49720035,11548267,21809790,41314069,23173328,19247923,13529535
02/1964,34776472,58149049,79847088,51333143,11725812,23711230,41748452,23702265,19763809,13508886
03/1964,35088454,59059650,80852456,52885709,11935274,23998335,42353048,23707615,20199935,13802096
04/1964,34741138,58844900,83125077,54567744,12374191,24619020,42507792,24306499,20538314,14173510
05/1964,35008399,59400702,85021574,53609799,12322522,23935538,43818752,23616873,20365516,14174067
06/1964,35109877,58871725,86049930,55205472,12171135,23808020,44441321,23637179,20798376,14526735
07/1964,38550891,62363913,87142991,57247835,12333086,23384036,28867700,50456118,13988694,15259726
08/1964,40387346,62052344,88569490,58029446,12498371,23955818,29144002,52814653,14268690,15573990
09/1964,39989725,61238690,85814378,56444093,12286624,23536299,29022405,53112817,14122113,15613854
10/1964,40842303,61295440,87535434,59367755,12813751,23992221,30161978,55292477,14488030,16162040
11/1964,41270557,61183933,88465067,60081866,13022533,24275337,30432777,55381775,14428349,16570015
12/1964,41330992,60006786,89120526,58244858,12742347,24419525,30459741,54829448,14475263,16725711
01/1965,41905585,62324535,89192970,58708674,12609671,24269623,30825547,56422291,14648414,17188565
02/1965,43472307,63345824,90971281,61961266,13194971,26002057,31724709,58575927,15366397,17811568
03/1965,43434156,63804054,89026245,61771709,13532452,26785769,32298544,58345817,15902016,17998890
04/1965,43086379,62890607,86872599,60443986,13505943,26340999,31843191,58459038,15878859,18017820
05/1965,43513669,64485997,88884240,62398336,13974113,27436934,33823256,62158727,16325873,18891027
06/1965,42898182,65232290,88230884,62562692,13842118,27091022,33231658,60328916,16406209,18731488
07/1965,43957882,66269553,69680839,63568233,27833098,19871589,37019978,52416070,19389509,18021716
08/1965,44700019,66921089,70096861,65480876,28012102,19964057,37097982,53695732,19958784,18312378
09/1965,44999485,67724048,70094151,68716750,28606122,20835752,38010660,55347653,20967090,18874955
10/1965,45671643,68690719,73150583,70430287,29895904,21444110,38528534,59597231,21570363,19326337
11/1965,46266524,68587092,74657620,73880202,30981888,22491825,39155855,62315809,22606844,19748484
12/1965,45877795,66079263,73282946,73611694,31623628,23092181,39887540,60292665,23355657,20344809
01/1966,45533814,66767762,74754887,75561639,32423292,23917557,41041669,61559839,24253050,20327785
02/1966,44830483,66727791,75409327,76419325,33061774,24334314,40289580,61926184,25418843,21112141
03/1966,42865488,66059520,73178788,75920364,32501195,24137254,39869352,60848701,25582176,20919017
04/1966,42308004,63332658,71174029,75877420,31528020,23664600,39168099,58630369,25156596,20686927
05/1966,42878943,63954366,73570332,79028438,32306013,24448673,39599139,58817971,25593823,21390889
06/1966,41311061,61083252,68708793,75679726,30492261,23110489,38045268,53893494,23803756,19949655
07/1966,38583805,61153948,57321930,89717914,33914607,29427565,35171843,48421725,23494541,19157738
08/1966,38314549,60607240,56754673,89088017,34010901,28767133,33422643,48242832,23179511,18723270
09/1966,34531566,56314930,52161133,81921760,31706641,26768442,30701497,44423441,21988210,17286301
10/1966,36101769,56205277,52973127,80856410,30437088,25994879,30159306,44489819,21233607,16779789
11/1966,39761676,60547756,56318046,85023614,30340995,26483360,31537764,44637776,21576111,16701347
12/1966,39316461,59147655,56569621,86963942,31279220,26350431,33030979,43311829,22427367,17457674
01/1967,40690412,61314714,57494856,87614170,31408419,26401245,32360251,43718247,22397122,17529844
02/1967,41614102,65199193,62061367,93469043,34558015,29203268,34791353,49204490,24249571,19648324
03/1967,40860287,64965057,61593421,94857027,35062714,29378561,35327586,48823529,25011894,20052078
04/1967,41532849,67056330,64090815,99520920,36323696,30709431,37168224,51422782,26223319,20892318
05/1967,42313517,67454147,66527907,102896959,37901878,32624570,39900450,56103372,27657046,21929929
06/1967,40297059,63656395,64213324,97810989,36266750,30661823,37770455,52673709,26571569,21350399
07/1967,39975219,69468761,79113952,91232239,32859416,39435696,37070789,55157944,25624115,21851133
08/1967,40276063,69038195,84265100,94898021,34745849,41796097,40032430,59022429,27271087,22937277
09/1967,39362713,68378995,82672556,93445979,34191989,41981475,39555625,57895867,27669284,22695197
10/1967,39816613,69612499,84768656,98498810,35699644,42930340,41355403,60034765,28759548,23333756
11/1967,37595178,66821234,82503287,97742700,34253320,42320056,39724222,57994008,28652189,23206723
12/1967,39106896,66628196,81166009,98241688,34583596,42575318,40310018,57488466,28117770,23167024
01/1968,40977593,68418448,84997692,102980623,36908585,44450065,42060843,60686468,29733377,25849576
02/1968,40687912,68366988,82330707,97920403,34587920,42530230,39361471,56016974,28030610,24876242
03/1968,39621614,66068077,79636222,93895823,32485681,40863550,38017617,53766518,27076223,24416296
04/1968,37966428,65585966,79478259,96303244,32915804,41629822,38243019,54151001,27054282,25049730
05/1968,39120020,68166500,83887747,105545192,37162301,46811667,43347980,59599089,30824719,28082445
06/1968,39367785,67736447,84265197,108996333,38178149,47880360,43153989,60307138,31710916,29656366
07/1968,42658059,63081324,76201808,119752167,51020745,46334902,47767550,57446903,28816944,28894195
08/1968,42436031,62529968,76945880,119660523,48561129,43560260,45457449,55406074,26988134,27705038
09/1968,41911928,63040163,77135244,120957081,50382095,44524259,46331936,55648141,27058197,28439899
10/1968,42246221,65390627,81689382,124714330,51738772,47503674,47846341,58398003,28344645,29933007
11/1968,42081996,66639537,83185222,123282300,52451460,47137351,48570327,59752819,28668171,30074623
12/1968,45648634,70163530,88136533,130645820,54759177,48862307,51395385,60035306,30375224,32176308
01/1969,44705063,68401615,88934023,127877907,53465778,48372968,50668877,58591111,30216448,32123903
02/1969,45999694,68576422,87622874,125347696,53565722,48076098,49803711,57273376,29816130,30935403
03/1969,42988739,64941101,81978439,119350114,50329783,45551803,47173565,54657455,28433949,28855890
04/1969,42903211,64631446,84359800,125628078,51722330,47604088,48927182,56297461,29176477,29923770
05/1969,43566172,67353638,84043655,128029406,53496510,48736839,50120277,56791634,29939430,30389795
06/1969,43948807,66923203,84657370,127418184,53334242,48254116,49935202,57324388,29917498,29573481
