date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,79413420,18361955,53094502,36793317,38958222,40697769,18214216,16748601,12879449,12576308
08/1963,78869727,18378520,52954607,37009878,39477031,40921427,18273594,16471023,12598139,12689212
09/1963,83252049,19281634,55335933,38255588,40610090,43171318,19143909,17452627,13761811,13360554
10/1963,82547463,18926277,55587335,37021230,39579216,42977419,18602561,17003040,13933755,12965787
11/1963,85675745,19317891,57757861,36774319,40464694,46438842,18606769,16959915,14270457,13243021
12/1963,84229922,18975515,58745371,36385514,40036497,43552021,18266579,16669337,13967637,13181504
01/1964,85370280,19459237,59731773,37691287,41612508,44183559,18705516,17614910,14074323,13685099
02/1964,89700795,19808802,61467817,38253493,43353616,45075321,19151627,17833688,14468445,14029158
03/1964,91397019,20234061,62062212,38817391,43643489,45421469,19719156,18102589,14786771,14717181
04/1964,92466197,20253045,62199344,39306789,44280749,46504158,20529357,18586062,15672821,15080744
05/1964,90928390,20086143,62618154,39918513,45200472,47891010,20736214,18610012,15229680,15393071
06/1964,92719939,20259928,62045422,40236365,45378176,48466853,20947142,18947731,15677330,15754328
07/1964,79455329,37550242,66991967,87388337,26718988,22204056,19693963,22108581,17109434,12892277
08/1964,79703329,38815517,67084712,90667895,27092418,22771768,20186074,22645238,17470048,13122116
09/1964,77811717,38204569,65732817,89635017,27340531,22233768,19627315,22700702,17392100,12803104
10/1964,80025935,39394428,66097773,92345541,28251173,22873494,20162934,23672664,18318767,13517982
11/1964,79313276,39546893,66189780,94781117,28594165,22773953,20391190,23917907,18329569,13829618
12/1964,79693973,37811237,64959909,94368171,28511713,22930660,20749509,24218623,17690783,13741102
01/1965,81342393,38369592,67131439,95885360,28671852,23269343,20613498,24519857,17404245,13584465
02/1965,86928086,40439294,68215488,97124423,29945104,23997560,21206407,25199983,18217040,14229228
03/1965,88058944,40283817,68712380,95501580,30395066,24234444,21078299,24993296,18485833,14406206
04/1965,86869815,39706306,67519608,94068147,30225910,24233455,20478069,24590990,18369935,14428353
05/1965,91684802,40365922,69346617,97784615,30838128,24932888,21070241,25253886,19195262,14984677
06/1965,91051654,40573628,69938485,95635597,30179196,24615794,21165934,25250534,18957631,14939328
07/1965,74367215,61028025,90011522,70835348,39616358,25526141,18171876,12717803,14226058,16888488
08/1965,75993495,62186949,90552142,70650815,40028997,26039493,19009084,13096286,14826183,17465559
09/1965,79160981,63837300,91216212,71984725,41016880,26954962,19672222,13411590,15009516,17873474
10/1965,81440974,66080127,95793478,73373218,41414778,27455836,20391080,14011834,15705903,18638580
11/1965,83484785,67717172,98944259,73945090,42272763,27930708,21349795,14712666,16474811,19893618
12/1965,85337728,67524476,95634628,71380150,41990348,28375409,21538857,15088440,17111930,19874281
01/1966,88278534,67845556,96273463,71926930,42510515,29133969,22151043,15759206,17542369,21536523
02/1966,88343682,67927007,96569611,70876399,42702936,29772524,23410606,16863334,18087278,22177439
03/1966,87518288,67595962,93360515,70146759,41511555,28604802,23092515,17039909,18359766,22196105
04/1966,87851401,66546406,89644894,67326877,40757093,27940866,22307968,16882233,18305566,21661062
05/1966,90948049,68393559,90570778,67986380,41672642,28286800,22977546,16965609,19153756,22393352
06/1966,86798701,65441409,84669394,65188065,39311244,26614918,21572112,15762029,17526007,20681652
07/1966,88628488,64639347,32053818,57039123,79737796,25643041,35168449,19611257,20421251,20191690
08/1966,86920074,63218847,31427783,56511007,78738732,25784684,35092772,19382697,20294053,20087389
09/1966,80742960,58566315,28556886,51224746,73135170,23552282,32579488,17955530,18277276,18379973
10/1966,78977443,57320410,29071757,51874778,72529881,23141563,33309518,17694486,18412962,17986849
11/1966,80636289,59418560,31065909,53537697,78240277,24555915,34804822,18233295,18930890,18528829
12/1966,86267724,62066168,30926048,51830813,75467118,24307933,34959331,18325878,19370421,18288130
01/1967,85690956,62448128,31760144,51836210,78108439,25061419,34807138,19005257,19550037,18657487
02/1967,92005894,67309026,33876186,57006180,82359452,26952073,37353879,21053629,21727735,21147588
03/1967,95113748,68932952,34054880,55944809,81940185,26714746,37180206,20962496,21384882,20980831
04/1967,99653299,71475421,35143114,58098955,85584816,28023394,38304449,22091453,22247835,22303192
05/1967,105981506,76479364,36347952,61346984,86228393,28497558,39586821,23048387,23046868,23015921
06/1967,99820072,73191505,34478752,57806868,81880382,27222293,38046732,22295031,22238311,22099948
07/1967,121679333,53858519,53545099,48036203,105702693,36415636,20424918,23233537,21405739,18701599
08/1967,125768147,57274910,55434729,50063929,108638896,38862203,21400034,25176642,23044047,20128018
09/1967,124217275,56977112,55420675,49387712,106112844,38191097,21170566,24346646,23560744,20042814
10/1967,129762960,58851423,57049624,51610543,110072413,38857744,21532335,24482982,23998767,20601843
11/1967,131770930,56671033,54118094,50328218,107326438,36760532,20333631,23155029,23244350,19395679
12/1967,134869964,56481039,54234195,49885323,106315706,36701098,20017148,22979091,23217781,19183444
01/1968,140143540,59484821,57674506,53425110,109886480,38203244,21398081,24848148,25278802,20444162
02/1968,129093272,56355151,55387572,50970441,108373511,36884195,20907597,24307094,24488905,20466780
03/1968,124493878,54224014,53316364,49116131,104506005,35577358,20165958,23378347,23448964,19653378
04/1968,129475495,54405060,52998920,47494919,104430932,35497560,19728359,23101999,23798816,19584579
05/1968,144288677,60719967,57905027,50898004,109295983,38098172,21472997,25225685,26329243,21943282
06/1968,150302134,61374035,57576057,52192334,107795833,38618516,21914046,25945050,27139414,22976764
07/1968,90456095,94673019,47269775,47046012,68643428,37573122,45846283,54983903,61160989,29572949
08/1968,85112650,89336288,44975893,45659557,67899032,36474697,44895651,57309255,62101521,29784408
09/1968,86478553,89432026,46013331,46273900,68399018,36838917,45886528,58408086,62633513,29923947
10/1968,88550558,92540254,47417134,48739387,72159791,38669416,47880676,59510737,65332254,32422635
11/1968,87681199,89007449,48288314,49195977,74260289,39111128,48568460,61143730,66892841,33129850
12/1968,93870734,95162543,50413718,52233096,75187404,40631641,51258096,63651697,71281686,35292998
01/1969,92757864,92399534,50149032,52542584,73247292,40339609,51375749,61977986,68578907,36911095
02/1969,91566701,89476194,49331666,52100537,72920713,40645582,51354179,61583388,68230249,36730746
03/1969,85655588,86557488,46391152,48565825,69758373,38014969,48485175,58367285,64337715,33914031
04/1969,88039141,91468994,48166202,48787232,72712382,38580379,49529780,60791674,66058926,33137259
05/1969,91256626,95328363,49265658,49241201,72622761,39483542,49989917,60045341,68954919,32936119
06/1969,91823955,94156812,48289485,48413462,72287509,39039444,49040941,61714207,69416576,33911967
07/1969,62124845,106378842,37822943,43452372,38274978,36564743,67563561,51628192,95906176,43094294
08/1969,58888846,100881653,35810586,40951248,35269843,33774521,62679758,48147659,89443358,39600313
09/1969,64006099,107513316,38007999,43098883,36411805,34912417,63935376,49735657,91586125,40310760
10/1969,64323848,106676632,37994834,42037731,34947284,33969717,62379104,47220689,87000010,37992711
11/1969,69265927,113198066,41346158,44706657,36407809,36597098,64574740,49839326,88351492,39687074
12/1969,68003042,110651331,40222967,43228949,34976415,35067949,61352897,46976114,84935295,37378994
01/1970,68947882,115370653,39876318,43454566,34641385,34971562,60115280,45977602,81591583,36160120
02/1970,61793720,106916931,37236155,40275592,32154108,32164459,55041523,41758765,76547591,33150164
03/1970,64997304,109819736,39390294,42072956,33681484,34029876,58938030,44647587,81586029,35446386
04/1970,61190385,108334147,38801694,42160245,33822291,34085650,60190103,44899504,82965397,35838844
05/1970,52797370,96570847,33857190,37852935,30594221,30449526,55112067,40265055,76588123,32620519
06/1970,47514617,88347252,31029851,34023035,28694977,27737930,52189441,38885240,74627133,30932452
07/1970,104320158,42110532,36851401,25422344,27669623,37529914,38289792,75965859,27945671,22243282
08/1970,106047921,45963002,39953027,27082922,30130378,40656355,41856666,83547608,30777882,23616979
09/1970,110821655,47229120,41606905,27969074,31407744,42503124,43715900,87591796,32231530,25319637
10/1970,120371264,50693420,44055678,29477301,32189896,43076747,44820944,87101107,33681104,26310386
11/1970,119728778,49384561,43326775,28665043,31391342,42952847,44325327,85132015,32565782,25318897
12/1970,124625984,51938165,44433165,30021974,32702433,45362024,46283491,90317362,34032259,26172500
01/1971,132558260,55173850,48937614,32541981,36431411,48980280,49289827,96265194,36522605,29019628
02/1971,137912829,58144954,51061673,34911322,38623412,50961104,50837725,100046658,39558209,30600213
03/1971,140552315,59189240,52688952,35699282,39054440,51453052,51749374,97602914,40320503,31050582
04/1971,150150615,62030544,55059975,37355082,40510494,52901931,53877608,98529361,41527787,32047798
05/1971,154739552,64388014,57353325,38824190,41969270,54580560,54318212,102053370,43365589,34141794
06/1971,149670312,62960197,55353145,37050023,40134746,51760350,52531682,95974482,41262401,32395018
