date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,11859170,50403539,52003126,32929225,67062067,26764499,19143886,26006349,48008780,8878041
08/1963,13345633,51551350,35383301,43509738,49532073,24154722,73363381,18292002,24492675,8523389
09/1963,11768702,53531932,30113461,31217485,68520072,39782740,36155161,20725329,56102798,10916562
10/1963,13056868,53493492,22787490,43631073,52843095,54272689,25072573,48071016,30251132,10435470
11/1963,14763061,47884997,39962128,40502224,42430789,79543169,34232825,28450372,25756953,10680222
12/1963,14457082,18580048,23479206,35587921,32817164,88398126,38533788,59741805,22561800,25832430
01/1964,14752679,43187990,63784663,47030142,48564078,60523808,35906776,31992413,15011958,8629586
02/1964,14892066,34937839,71299613,50579133,63571569,56471506,32546817,21558083,13321385,21164078
03/1964,16663911,17718298,61842038,58671634,47760374,37379046,54111074,44270059,26485224,21915329
04/1964,15383402,19638751,26322246,73485788,61068139,30266191,37449474,33332501,49847051,46325503
05/1964,16346434,25908734,63907076,45195007,32661903,36186561,48494712,47717492,51227371,27684965
06/1964,16585680,72084326,25506708,32240747,63240544,36941801,36783625,62467980,35724039,18220361
07/1964,15151614,38711171,67966748,44914776,31817332,33577936,39688370,40306728,47817731,45929094
08/1964,17848130,23587065,45583196,67669776,53795605,41733834,55259751,30961667,49920615,27825753
09/1964,16750911,19579941,26818164,95898793,42926539,37298872,51531235,74247401,18156654,24569097
10/1964,15973700,23369317,77430999,43742384,44227173,37259746,82604081,45463822,23479053,25610482
11/1964,17660397,60107927,20667831,40126296,44865106,63809877,77344325,34544868,35345586,28328362
12/1964,16562146,20803115,78405852,44784541,34890665,47012608,47636738,24806180,71920553,32413753
01/1965,19953081,22063403,83599723,76294089,37512722,63446450,37553687,44089748,16685418,21653639
02/1965,15872899,25072662,41874475,38716063,85272439,61614415,89275425,29579684,29493831,22862131
03/1965,17775148,17288986,62661406,30552110,49938857,60826084,70345171,58227563,42904305,29560120
04/1965,14373067,20732618,58290457,49645157,71710245,51580926,59847296,24168980,57167853,27162351
05/1965,14983422,60717901,38435351,56191753,57621688,36494968,85256285,38424880,37108400,24675975
06/1965,21594450,60559039,27091166,48199602,42437574,54143774,38117961,92097619,31265425,30593045
07/1965,19707714,24355362,74184873,50058910,50221280,33086875,48697047,33614103,67223442,23024431
08/1965,15806391,27070733,91879986,30588744,42936911,60189937,30412430,49339107,56550406,25653065
09/1965,15117166,28187929,78505923,63592329,44505891,35639998,34249045,34466198,63753312,43401246
10/1965,14303544,25498734,60048610,62098201,36021330,47787065,43970794,54765240,77364940,33219140
11/1965,15865119,56079144,37373570,61492840,57087430,103621255,47786487,29238531,29457541,29329884
12/1965,18919406,25520220,61684313,53756568,79060461,40409926,72950006,34878045,49529962,27160513
01/1966,31682118,56664144,98636717,52593170,28071125,37359500,38021160,25878141,75780528,28336404
02/1966,30226130,65913011,66698500,64419027,76712278,41467961,26123821,59705894,19001192,25480070
03/1966,25115777,50180235,54142693,100000238,46028444,41467706,32818366,75324160,19025457,24242205
04/1966,23414550,34095941,52739359,95583881,42851293,28924586,44458996,54558432,53468102,27555715
05/1966,31922634,28798615,94234073,41225267,60964768,69247724,66155634,30855847,21043218,23256130
06/1966,21488986,31079755,21021262,96346528,35335663,61696643,48070481,46343557,55413940,24469994
07/1966,25902820,33311617,47033202,48115833,77630553,56823850,29834178,43008756,25547378,55143323
08/1966,27822423,51480757,30409460,75930591,38264325,64240841,43595126,55165310,22764269,27417974
09/1966,24752346,26067596,42546931,62412774,65266847,41816238,35315228,48671486,16234254,40077950
10/1966,25432209,22524367,57816773,45874150,55748070,26127798,37063838,47282029,61798678,20855394
11/1966,21602462,43485484,48877828,39897476,79460019,45619272,41006466,33610616,24932607,40960597
12/1966,23325849,32589991,62022680,61455984,49037002,46129160,34390669,34678436,40461444,38306605
01/1967,34786069,82602472,44723611,54829232,42582214,33576165,42976931,22896815,52201156,15908686
