date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,54064858,47900140,59536650,15663156,13721010,9176323,11250317,8306582,7446730,2146565
08/1963,53690205,48421197,59707405,15368674,13965121,9089936,11128427,8205767,7420076,2111155
09/1963,56755904,50983533,61622224,16473081,14544190,9743974,11939014,8799642,7835901,2231895
10/1963,56505367,49934172,61599509,16154870,14410927,9704655,11924432,8706970,7612723,2188151
11/1963,58983636,54204813,63652203,16386875,14161576,9975061,12172092,8895295,7569715,2218443
12/1963,58146250,51521497,64555707,16242455,13779547,9974839,11765892,8864415,7553300,2160209
01/1964,58503629,52670532,66300602,16874615,14139877,10029986,12294552,8957242,7833238,2199141
02/1964,62571257,53839642,69343481,17029630,14514616,10004860,12378105,9361301,7955793,2258166
03/1964,63569376,54369756,70284673,17427471,14778036,10263763,12950997,9577783,8261299,2359233
04/1964,64737562,55087282,70597326,17871893,15402459,10794166,13308986,10239371,8383394,2481380
05/1964,63441448,56828665,72230559,17547186,15456576,11006117,13486473,9777853,8649792,2481092
06/1964,64555500,57598389,71996074,17456660,15598590,11142784,13904378,9999485,8736066,2527199
07/1964,84605698,62859570,65789767,39422705,17600033,20290039,14530141,15540895,7154083,4609085
08/1964,85182655,65652811,65674477,39979475,17918534,21242710,14638808,15904945,7217679,4664441
09/1964,83175618,65202228,64292107,39015603,17820914,20877738,14496320,15739174,7213207,4546997
10/1964,85376993,67410258,64693299,40118378,18382428,21791248,15054377,16439778,7672228,4751045
11/1964,85043058,68988601,64579895,40755311,18636542,22031342,15140607,16495850,7834623,4871254
12/1964,83742392,68719528,63700404,40493868,18982893,22161273,15213807,16104587,7564253,4705169
01/1965,85465238,69439187,66386696,41189057,19206048,21582921,15405563,15681312,7445269,4554946
02/1965,90921346,71355327,67076842,41444080,19681643,22589647,15832225,16380161,7877966,4901131
03/1965,91674272,70632212,67371484,40617947,20150329,22662179,15719705,16402201,7853361,5030500
04/1965,89800431,70372115,66552447,39246411,19850273,22300781,15725252,16320302,7973679,4970525
05/1965,94335123,74015543,68065437,40284438,20278473,23191605,16254331,16658717,8572020,5234729
06/1965,94022604,71839120,68952263,39971186,20094356,23172902,16268925,16483299,8267433,5156211
07/1965,120158546,41751811,31935911,76118826,23112701,23048318,15099482,9710762,7760159,7518449
08/1965,122602492,41799813,32605641,75995736,23637954,23535672,15762427,9936546,8041807,7815346
09/1965,126390647,42944088,33963269,76101461,24770885,24155121,16012830,10043408,8358201,7882458
