date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,45538145,47583948,60753705,27248259,48692379,26307767,13319837,20797746,31083040,9362019
08/1963,45500755,46916793,60836855,27083489,49220374,26118707,13209046,21057070,31325131,9295267
09/1963,48119236,49132627,63709618,28451562,50868507,27314820,13939534,21964736,33282654,9834891
10/1963,48176199,48166190,63713219,28084393,49321070,26895023,13708447,21240058,33127167,9602143
11/1963,50420145,49683676,66090091,27897708,49356988,27035464,13939895,21276944,37043447,9700920
12/1963,50089673,48404689,67334587,27470096,48945818,26263972,13742444,20623364,34217787,9712750
01/1964,50323713,50332348,68288095,28626791,50797948,26613072,13941721,21612024,34432152,10026634
02/1964,53768215,51359986,70530146,28665809,52765733,27383559,13995615,22166286,35049023,10181943
03/1964,54963183,51736361,71695801,29101398,53584926,27414576,14249645,22697837,35505252,10746983
04/1964,55870259,52140663,71804181,29391626,54515676,28308620,15041102,23739250,35809781,10996576
05/1964,54952392,51219622,71814487,29762104,55405641,28283107,15145345,24491394,37491988,10778521
06/1964,56662554,51427559,71418943,30056132,55757749,28309076,15216215,25054834,38539944,10711082
07/1964,68283038,98548357,30144886,23034897,54090522,24191888,54390114,23993536,9575683,10330096
08/1964,68236306,99574287,30727070,23518215,55104380,24742121,57180879,24712260,9767346,10558524
09/1964,66685526,97567041,29887750,23331626,54077753,24374472,57150335,24360996,9769090,10711462
10/1964,68573078,99159022,30951974,24069701,55306397,25171079,59395907,25069212,10108609,11418269
11/1964,67813343,99508157,31635477,24072965,57158326,25793074,59386625,25183777,10152931,11491584
12/1964,67839980,96862344,31436121,24062881,58205974,26048357,57903178,25544009,9992781,11222799
01/1965,69164865,99980198,32089751,24099122,58088204,26674386,58367598,25433540,9770412,11476580
02/1965,73793755,102785049,33899877,25175233,57950085,27884452,60324476,26110881,10326493,11709792
03/1965,75123784,102915889,34247621,25709804,56813838,28105222,59134357,26248300,10692610,11637013
04/1965,73742599,101461043,33972375,25630379,55357683,27560007,59162949,25899608,10566003,11664107
05/1965,78610389,103634718,34611182,26202793,56283746,28304717,62637148,26347579,10912756,12537461
06/1965,78340407,104634974,34170674,25840581,55708979,28180382,60776350,26272611,10863637,12108046
07/1965,80219486,99257305,48418593,48226031,74806605,20635118,15427547,15939845,12880479,11866726
08/1965,82408385,99507251,48828896,48093829,76234682,21335236,15816077,16268479,13311744,12363308
09/1965,86123474,100580823,49796509,48605349,77778089,22098590,16458423,16897559,13713213,12649355
10/1965,88496384,103385016,51500597,49900313,80950874,22787648,16863074,17382220,14423349,13056042
11/1965,91309756,103751724,52244210,51190562,83930341,23695982,17489991,18448502,15192287,13875992
12/1965,92728590,101214647,51893569,51099493,81326413,24395472,17779791,18239843,15685863,14059974
01/1966,95116954,102686228,52284134,51279585,82210743,25054800,18078334,19019149,16633423,15177460
02/1966,95273783,101584338,52404557,51696897,82303330,25909784,18899693,19976774,17602097,15653073
03/1966,95520829,99998624,51175934,49669568,79677251,26026006,18656338,19606869,17749766,15869528
04/1966,96203939,96191260,49884671,48526445,77748270,25255817,17870106,18732782,17815317,15302093
05/1966,100712849,98108340,50727850,49603111,77678104,25626262,18398512,18727389,18460871,15663959
06/1966,96248117,93733466,48052341,46837529,72955881,24108916,17033069,17162614,17240073,14353897
07/1966,90958308,60626746,36880211,88923493,41853391,30320689,47094371,24486666,14901858,12835698
08/1966,88588631,60107821,36418994,88052741,41799654,30219178,46426541,23938598,14834235,12615266
09/1966,82361384,55287386,32996469,81985418,37878491,28341087,42095987,21965110,13508113,11568871
10/1966,80025559,54610326,32908737,82192015,38219573,28571028,42581551,21594519,13181716,11291541
11/1966,81177289,56940368,34913343,88926401,40340096,30358602,42850779,22672793,13465991,11684384
12/1966,88593696,57485889,35638154,86240138,40731743,30127467,40887048,22670949,13279987,11716908
01/1967,88027694,58379509,36521540,87193668,41523543,30921018,41653594,22918018,13722668,11945509
02/1967,95198430,62095540,38946225,92441042,44168809,33081371,46759821,25295865,15441874,13953857
03/1967,99753172,62599516,39293867,91657603,43324041,33165144,45872527,24934854,15151314,13944747
04/1967,104493894,64595577,40502647,95134765,45113968,34582215,48138497,26291745,15666551,15006621
05/1967,111832933,67959067,41632190,95817457,46805812,35706375,51768732,26782310,16221974,15598598
06/1967,105391769,64416993,40136894,91255555,43929086,34397982,49132963,26135998,15802017,14746452
07/1967,106628696,72109707,83148418,61811511,59555320,27618584,45971975,18375183,18720659,13411792
08/1967,111993400,74924238,81848334,64980891,63088767,29640906,50095850,19575728,20278508,14270756
09/1967,110747392,73888744,81261559,63958724,61959057,29067476,49447268,19101242,20554792,14355898
10/1967,116371650,75342745,84237138,65771263,64053788,29346219,51421555,19042472,21272697,14966502
11/1967,118508158,72939568,81405052,62989684,62529887,27784790,48521353,18899329,20104139,14119039
12/1967,121541109,73386010,80996299,62794200,61693344,27639077,47408606,18736955,19950107,14223852
01/1968,125981639,78482231,83856822,65236187,64827703,30302527,49608436,20630014,21294802,15236145
02/1968,114694460,74660673,82122472,64027091,63152594,29622395,47883486,20077377,20755623,15273010
03/1968,110444622,71557754,79554439,62005118,61315418,28397037,46183538,19112218,19791130,14570187
04/1968,114687001,72403068,78385967,60940481,61275422,28125801,46002093,19020795,20280340,14435893
05/1968,127806609,80639321,83157063,64968872,64413034,30713597,49990567,21146182,22462076,16420752
06/1968,132999493,81204629,82793110,66181222,64154465,31382017,50236476,21964690,23377247,17328225
07/1968,104893442,68760092,65245645,45082758,38750160,71584830,79410531,50455891,35568127,23927055
08/1968,98884898,65081824,62415748,43565183,37839540,70911420,79105567,52715902,35426825,24139050
09/1968,98933660,66560018,63354821,44695180,38636244,71762881,79805037,53174760,35586030,24524280
10/1968,101442591,69170106,65591462,47185206,40577505,75402741,82872734,54417980,37251056,26364762
11/1968,97430904,68176147,66913248,47394671,41088099,77856815,84856853,56201417,38030428,26591475
12/1968,105707289,70813705,70163713,50338846,44109390,79050180,89018867,58862826,40855308,27676763
01/1969,103830534,68795794,70153680,49856885,43449543,78046500,86873237,57106481,40614779,28888513
02/1969,101212567,67807554,68863435,49367588,43740062,77396163,86791558,57161698,40156006,28765126
03/1969,95940926,64645296,64846283,46266777,40657605,73976398,82209670,54526928,37195947,26497776
04/1969,101060648,66682814,66128314,47636852,41139783,77345227,83933220,56153309,37271187,27032131
05/1969,105002174,69375907,67334926,48242156,42184063,77290267,86695556,56054500,37541940,26787665
06/1969,103981195,69470184,66651930,47358096,41704681,77096752,87112195,56558675,38189355,27094700
07/1969,49641292,98791527,64634014,38928838,47098191,40535783,35500492,79442279,96241955,40373279
08/1969,46404976,94682122,60660511,36042706,43660410,37885178,33001923,74694898,88385357,37778707
09/1969,50134898,101244443,64163471,37940679,45864614,39622722,33969888,76084477,90623152,38439328
10/1969,49905849,101266584,63059824,36756600,44780348,37614951,32737109,73001952,86583501,36998603
11/1969,53022084,108706204,67082682,38316998,48092515,40168673,35138849,74970685,88421474,39115776
12/1969,52332185,106072667,64941771,36452325,46175635,38282666,33283468,73348055,83650708,36618885
01/1970,52245637,109788858,66426661,36161709,45455498,37596552,32620934,70802224,82224084,36014303
02/1970,47106675,101162128,60636906,33509010,42080959,35187777,30130309,66116557,74762256,33882730
03/1970,48185275,104679116,64207603,35427716,44666540,38094993,32152081,70682965,79495278,35675457
04/1970,46126574,101242618,63778418,35221543,44277096,37784005,32652172,72109117,81115709,36342632
