date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,776411,,,,,,,,,385506039
08/1963,924274,,,,,,,,,384400768
09/1963,805348,,,,,,,,,403562706
10/1963,722404,,,,,,,,,397995589
11/1963,1752555,,,,,,,,,407472277
12/1963,748475,,,,,,,,,401889871
01/1964,1017561,,,,,,,,,411695165
02/1964,1731147,,,,,,,,,423688827
03/1964,1631210,,,,,,,,,430821835
04/1964,1257430,,,,,,,,,438253189
05/1964,1328085,,,,,,,,,441639244
06/1964,1185090,,,,,,,,,447480941
07/1964,1219100,,,,,,,,,453673055
08/1964,1338704,,,,,,,,,463180152
09/1964,1251957,,,,,,,,,455737740
10/1964,1089438,,,,,,,,,469338142
11/1964,2708050,,,,,,,,,471088384
12/1964,2240543,,,,,,,,,468042375
01/1965,1169231,,,,,,,,,474519715
02/1965,1571345,,,,,,,,,492165770
03/1965,4574536,,,,,,,,,490852995
04/1965,2515010,,,,,,,,,488624736
05/1965,2252971,,,,,,,,,505613938
06/1965,2348362,,,,,,,,,501999023
07/1965,1748496,,,,,,,,,475757366
08/1965,2577411,,,,,,,,,482662268
09/1965,3469516,,,,,,,,,494312489
10/1965,3108423,,,,,,,,,509601142
11/1965,3309479,,,,,,,,,524219593
12/1965,3455762,,,,,,,,,522298134
01/1966,3306869,,,,,,,,,533719285
02/1966,3001578,,,,,,,,,539768230
03/1966,2234602,,,,,,,,,533484703
04/1966,2577189,,,,,,,,,520737248
05/1966,2592438,,,,,,,,,532837333
06/1966,1979308,,,,,,,,,503772019
07/1966,1960145,,,,,,,,,497907429
08/1966,1926220,,,,,,,,,491574818
09/1966,1097165,,,,,,,,,453169873
10/1966,1007258,,,,,,,,,449051811
11/1966,1082853,,,,,,,,,467871264
12/1966,1411123,,,,,,,,,473214874
01/1967,1379337,,,,,,,,,479804700
02/1967,1539043,,,,,,,,,520586857
03/1967,1732250,,,,,,,,,524563227
04/1967,2863001,,,,,,,,,545569921
05/1967,2044566,,,,,,,,,568938014
06/1967,2763756,,,,,,,,,541851138
07/1967,2548810,,,,,,,,,555620820
08/1967,1993611,,,,,,,,,581918670
09/1967,1844751,,,,,,,,,575789938
10/1967,2304066,,,,,,,,,591958541
11/1967,1218058,,,,,,,,,577407126
12/1967,1411061,,,,,,,,,578615378
01/1968,2282159,,,,,,,,,608090929
02/1968,1577241,,,,,,,,,584367100
03/1968,1568142,,,,,,,,,562282800
04/1968,1956189,,,,,,,,,563764063
05/1968,2522709,,,,,,,,,615561891
06/1968,2814376,,,,,,,,,629877856
07/1968,3857386,,,,,,,,,635656209
08/1968,4420153,,,,,,,,,619223146
09/1968,3873259,,,,,,,,,630528198
10/1968,4507403,,,,,,,,,656787840
11/1968,4386431,,,,,,,,,661192161
12/1968,5582399,,,,,,,,,697653724
01/1969,7272829,,,,,,,,,689940220
02/1969,7426882,,,,,,,,,684683261
03/1969,6482866,,,,,,,,,646809383
04/1969,6818533,,,,,,,,,665976032
05/1969,7933654,,,,,,,,,680531285
06/1969,7286369,,,,,,,,,680180913
07/1969,6960523,,,,,,,,,634174689
08/1969,5931895,,,,,,,,,594269516
09/1969,5413848,,,,,,,,,624583350
10/1969,4517613,,,,,,,,,610395248
11/1969,6170485,,,,,,,,,643490334
12/1969,5328684,,,,,,,,,620836944
01/1970,5023637,,,,,,,,,618164586
02/1970,4050686,,,,,,,,,571908266
03/1970,6244742,,,,,,,,,602367461
04/1970,4106175,,,,,,,,,600991889
05/1970,3146141,,,,,,,,,537108946
06/1970,2585704,,,,,,,,,500200390
07/1970,2851649,,,,,,,,,473123390
08/1970,2165112,,,,,,,,,511796176
09/1970,1917629,,,,,,,,,535536026
10/1970,2369908,,,,,,,,,560243913
11/1970,2761142,,,,,,,,,548807931
12/1970,2970955,,,,,,,,,574654321
01/1971,3620021,,,,,,,,,617751117
02/1971,3464944,,,,,,,,,649868106
03/1971,2879673,,,,,,,,,658860917
04/1971,3226218,,,,,,,,,688087381
05/1971,3964038,,,,,,,,,710590228
06/1971,8679981,,,,,,,,,678011221
07/1971,4576128,,,,,,,,,681910719
08/1971,4709549,,,,,,,,,654326034
09/1971,5344429,,,,,,,,,679912371
10/1971,6449722,,,,,,,,,675329613
11/1971,4557081,,,,,,,,,648972323
12/1971,3613105,,,,,,,,,647419462
01/1972,4451324,,,,,,,,,719962268
02/1972,6025492,,,,,,,,,738634193
03/1972,5543489,,,,,,,,,760467747
04/1972,6469962,,,,,,,,,765916405
05/1972,5622905,,,,,,,,,771887430
06/1972,5288223,,,,,,,,,781019563
07/1972,5814931,,,,,,,,,763768293
08/1972,3538581,,,,,,,,,762113075
09/1972,2989365,,,,,,,,,788688790
10/1972,3672715,,,,,,,,,782085754
11/1972,4469510,,,,,,,,,788084266
12/1972,3747745,,,,,,,,,825089745
01/1973,3089008,,,,,,,,,974957443
02/1973,2820483,,,,,,,,,947594766
03/1973,3119474,,,,,,,,,901429285
04/1973,2597966,,,,,,,,,893114916
05/1973,1755271,,,,,,,,,846349558
06/1973,2097643,,,,,,,,,821761331
07/1973,3490610,,,,,,,,,810379574
08/1973,3479324,,,,,,,,,855031740
09/1973,2498693,,,,,,,,,824791236
10/1973,2595962,,,,,,,,,869779544
11/1973,5835402,,,,,,,,,864209214
12/1973,5039171,,,,,,,,,754091935
01/1974,4421711,,,,,,,,,761428401
02/1974,4327801,,,,,,,,,763707153
03/1974,3828785,,,,,,,,,760571663
04/1974,3634826,,,,,,,,,742173917
05/1974,2690703,,,,,,,,,707870640
06/1974,2363816,,,,,,,,,676433746
07/1974,2284302,,,,,,,,,659379940
08/1974,2794103,,,,,,,,,608793388
09/1974,2155240,,,,,,,,,551049307
10/1974,1882901,,,,,,,,,489270602
11/1974,1985858,,,,,,,,,569115676
12/1974,1608391,,,,,,,,,544657480
01/1975,1606205,,,,,,,,,530118357
02/1975,1953030,,,,,,,,,605038843
03/1975,1959261,,,,,,,,,638338844
04/1975,2411522,,,,,,,,,661599321
05/1975,2329855,,,,,,,,,692825849
