date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,301165113,,,,,,,,,85117338
08/1963,299771656,,,,,,,,,85553385
09/1963,314894369,,,,,,,,,89473685
10/1963,310603248,,,,,,,,,88114745
11/1963,315188847,,,,,,,,,94035985
12/1963,311884562,,,,,,,,,90753785
01/1964,319199778,,,,,,,,,93512949
02/1964,329424521,,,,,,,,,95995453
03/1964,334946881,,,,,,,,,97506164
04/1964,340222862,,,,,,,,,99287758
05/1964,343271009,,,,,,,,,99696320
06/1964,347183147,,,,,,,,,101482884
07/1964,399172308,,,,,,,,,55719847
08/1964,407230768,,,,,,,,,57288088
09/1964,400925721,,,,,,,,,56063977
10/1964,412805257,,,,,,,,,57622323
11/1964,415264161,,,,,,,,,58532273
12/1964,411365453,,,,,,,,,58917465
01/1965,416467551,,,,,,,,,59221395
02/1965,433577052,,,,,,,,,60160063
03/1965,436192839,,,,,,,,,59234692
04/1965,433418756,,,,,,,,,57720990
05/1965,448679702,,,,,,,,,59187207
06/1965,445698884,,,,,,,,,58648501
07/1965,405131140,,,,,,,,,72374722
08/1965,410917972,,,,,,,,,74321708
09/1965,420324726,,,,,,,,,77457279
10/1965,432170145,,,,,,,,,80539420
11/1965,443665658,,,,,,,,,83863413
12/1965,441303486,,,,,,,,,84450410
01/1966,450574578,,,,,,,,,86451576
02/1966,454970597,,,,,,,,,87799211
03/1966,447970423,,,,,,,,,87748882
04/1966,436015876,,,,,,,,,87298560
05/1966,444635949,,,,,,,,,90793821
06/1966,420207609,,,,,,,,,85543718
07/1966,442050329,,,,,,,,,57817244
08/1966,435521921,,,,,,,,,57979116
09/1966,401824408,,,,,,,,,52442630
10/1966,398277572,,,,,,,,,51781497
11/1966,415213903,,,,,,,,,53740214
12/1966,418908723,,,,,,,,,55717275
01/1967,423989351,,,,,,,,,57194687
02/1967,460029750,,,,,,,,,62096150
03/1967,463244663,,,,,,,,,63050814
04/1967,483717578,,,,,,,,,64715344
05/1967,502985508,,,,,,,,,67997071
06/1967,480150635,,,,,,,,,64464258
07/1967,501670455,,,,,,,,,56499175
08/1967,524884295,,,,,,,,,59027987
09/1967,519234728,,,,,,,,,58399961
10/1967,533835748,,,,,,,,,60426858
11/1967,520046083,,,,,,,,,58579100
12/1967,520768179,,,,,,,,,59258260
01/1968,548397036,,,,,,,,,61976052
02/1968,527574471,,,,,,,,,58369870
03/1968,507828958,,,,,,,,,56021984
04/1968,508655812,,,,,,,,,57064440
05/1968,555651854,,,,,,,,,62432746
06/1968,568420184,,,,,,,,,64272048
07/1968,612394179,,,,,,,,,27119416
08/1968,597357572,,,,,,,,,26285727
09/1968,607911012,,,,,,,,,26490446
10/1968,633763589,,,,,,,,,27531654
11/1968,638034711,,,,,,,,,27543881
12/1968,674343274,,,,,,,,,28892848
01/1969,668651062,,,,,,,,,28561987
02/1969,663415269,,,,,,,,,28694874
03/1969,626584272,,,,,,,,,26707976
04/1969,645744157,,,,,,,,,27050408
05/1969,660924328,,,,,,,,,27540611
06/1969,659938082,,,,,,,,,27529199
07/1969,534469722,,,,,,,,,106665491
08/1969,499345509,,,,,,,,,100855903
09/1969,524033268,,,,,,,,,105963930
10/1969,510063175,,,,,,,,,104849687
11/1969,539769958,,,,,,,,,109890861
12/1969,519504422,,,,,,,,,106661206
01/1970,516578999,,,,,,,,,106609224
02/1970,477802876,,,,,,,,,98156076
03/1970,504822930,,,,,,,,,103789273
04/1970,499895936,,,,,,,,,105202128
05/1970,446105235,,,,,,,,,94149851
06/1970,415343232,,,,,,,,,87442861
07/1970,459020185,,,,,,,,,16954854
08/1970,496530089,,,,,,,,,17431199
09/1970,519565229,,,,,,,,,17888426
10/1970,543619482,,,,,,,,,18994339
11/1970,532996309,,,,,,,,,18572765
12/1970,558270003,,,,,,,,,19355274
01/1971,599812568,,,,,,,,,21558570
