date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,44460,,,,,,,,,
08/1963,43680,,,,,,,,,
09/1963,50180,,,,,,,,,
10/1963,49920,,,,,,,,,
11/1963,52780,,,,,,,,,
12/1963,53300,,,,,,,,,
01/1964,48880,,,,,,,,,
02/1964,58240,,,,,,,,,
03/1964,55120,,,,,,,,,
04/1964,57720,,,,,,,,,
05/1964,59410,,,,,,,,,
06/1964,62270,,,,,,,,,
07/1964,654707,422970,1492192,932299,989192,1570162,3392820,596483,200966,7404270
08/1964,659810,444823,1518370,940823,975210,1579089,3378662,605652,209844,7716323
09/1964,665442,437349,1518189,919962,947184,1495787,3360721,575013,218267,7774025
10/1964,684190,453040,1694169,928760,963267,1569196,3634149,612115,219482,8290262
11/1964,678771,475525,1740837,956711,937539,1612419,3699676,682411,216411,8119092
12/1964,674967,493646,1627458,1013199,879361,1529681,3518604,704024,221092,8577570
01/1965,636922,512691,1544706,1009189,886144,1466116,3526257,700779,257882,8667584
02/1965,689699,547135,1588072,1058610,987189,1512045,3640874,726164,284182,9232238
03/1965,741360,560345,1551796,1172427,951780,1494190,3553997,766373,265071,9280617
04/1965,733410,544006,1557702,1150437,885570,1485609,3652002,763313,266818,9244528
05/1965,751647,552572,1639328,1209280,925774,1535460,3927161,791194,289006,9687282
06/1965,708632,549800,1586678,1237860,853295,1484529,3600224,826246,287888,9598588
07/1965,1199118,30946768,1195560,4333050,958523,10516152,2257014,1077978,2408981,2495352
08/1965,1160385,31624882,1244883,4350662,987632,10892028,2428382,1121991,2520198,2418835
09/1965,1262707,32184122,1293436,4433481,999859,11327036,2521408,1142754,2583784,2446820
10/1965,1354412,33867761,1291287,4430398,1003537,12513553,2669397,1167721,2588518,2363134
11/1965,1452922,36275853,1315313,4463479,1048698,12587358,2831681,1189049,2692242,2499373
12/1965,1647240,33555037,1317197,4369539,1032317,12200914,3018569,1172168,2661478,2465711
01/1966,1781995,34057980,1314836,4384643,1070842,12752517,3062181,1250733,2658376,2545764
02/1966,1856623,33996080,1406872,4527830,1114328,12420247,3345482,1328931,2984568,2334000
03/1966,2031735,33006568,1393075,4456206,1094700,11872752,3317022,1329418,2793101,2242995
04/1966,2108970,31494213,1361310,4203965,1040420,11794716,3313887,1265385,2698732,2277774
05/1966,2299236,30499372,1413836,4380151,1061124,12332616,3329638,1274379,2717696,2417083
06/1966,2039622,28043412,1325822,4168403,1008132,11216473,3063768,1164987,2620831,2303625
07/1966,20990531,3179033,5619463,26560265,12845652,3218002,3884779,1818192,1045759,4706084
08/1966,20530528,3150239,5427487,26616070,11921434,3186680,3719106,1800334,1039904,4418363
09/1966,19198604,2793664,4878697,23939833,10761543,2860351,3479464,1581649,939421,4003753
10/1966,19021236,2747756,4666454,24345279,10734978,2865380,3364265,1584287,950035,3507084
11/1966,19829625,2683386,4836427,23949659,11792961,3056300,3555116,1455002,962128,3528686
12/1966,22201284,3098044,5102499,22140497,11963951,3215720,3467907,1648816,996091,3960671
01/1967,22007488,3193286,5246569,22036983,11070813,3286130,3549138,1701358,1040968,4091470
02/1967,23717759,3399706,5879823,24950620,11361386,3608670,4134918,2040806,1177636,4700924
03/1967,25390580,3469722,5868072,24095184,11162602,3666846,4159447,2111324,1213828,4753663
04/1967,26598908,3640868,6314430,25423720,11117621,3840057,4432820,2229368,1281412,4983580
05/1967,29233277,3726018,6530401,28473924,12043889,3937782,4549963,2545136,1380762,5044093
06/1967,28109600,3490933,6128567,26119055,11160206,3928870,4323143,2610556,1367974,4837391
07/1967,30982101,34003404,3466498,1824152,5250499,2530371,6166634,5442831,4897695,2647411
08/1967,31847613,38571558,3585055,1907716,5479058,2372611,6627653,5744329,5159608,2921018
09/1967,31353689,38421140,3456674,1886432,5523987,2226341,6493992,5812042,5106459,2996811
10/1967,34183477,40014841,3438756,1874482,5375729,2382298,6581946,5896963,5299617,3024279
11/1967,36448135,37922586,3262299,1849466,5223148,2163250,6215479,5513806,5352797,3001373
12/1967,37383715,37097465,3039807,1832432,5042245,2162768,6395085,5488937,5261799,2993253
01/1968,38616226,36627631,3360442,1903673,5348791,2327011,7185308,5950785,5621940,3426716
02/1968,36287516,34231932,3033518,1924910,5350000,2300416,6643370,5786974,5258210,3208350
03/1968,35336141,33230560,2921148,1901652,5163142,2184015,6021564,5576808,5045173,2984001
04/1968,37144133,33252705,2863283,1881537,5113645,2159742,6043456,5608461,4949923,3030013
05/1968,41239321,36560872,3109568,1987948,5447075,2309083,6505045,5999766,5364442,3536343
06/1968,43220741,35644365,3169931,2040178,5565586,2388190,6899356,6439672,5350585,3879483
07/1968,6223337,8118505,5386690,3472038,63764265,45521373,5149016,3881446,4568591,3732505
08/1968,5946900,7799728,5209372,3303793,63387642,43606016,4362767,3718872,4526026,3436619
09/1968,5881552,8169601,5086844,3436146,63482433,43136804,4290403,3792739,4667231,3474168
10/1968,6650501,8636676,5607543,3808016,66135598,43635507,4403320,4048638,5233351,3744501
11/1968,6641271,8880254,5628977,3891845,69353238,40371658,4619085,3994000,5144805,3695516
12/1968,7363982,9404374,6158819,4102591,69988806,43555955,4973521,4204956,5387955,4226003
01/1969,7258291,9829844,6051102,4130011,66522650,41809789,5491802,4195939,5840789,5042803
02/1969,7540571,9792862,6030802,4025063,67038866,39487652,5470769,4107382,5743474,4839625
03/1969,6714709,9229842,5459902,3734480,64614742,38741265,4999934,3957988,5292991,4201074
04/1969,6754908,9831291,5416149,3676161,66044090,41052663,5246300,4122396,5340624,4255657
05/1969,6934385,9435097,5697996,3671250,69054277,42636426,5583892,4410394,5414188,4377948
06/1969,6866356,9517073,5702436,3559951,68609139,41673279,5501483,4726109,5454269,4261246
07/1969,4428758,4111066,37337956,5446830,28332165,5038180,6810693,7176834,6691448,42479009
08/1969,3837614,3505824,35609056,5041153,26249252,4589967,6141306,6734238,6347197,40503707
09/1969,3990245,3736404,35996125,5510763,26536910,4955451,6590483,6926257,6919669,42991495
10/1969,3935240,3761171,34214182,5238092,26636373,4861405,6250916,6609451,6803280,43046822
11/1969,4413531,4029918,35239166,5873763,27323551,5327524,6684615,6910547,6892623,45182851
12/1969,4095432,3798854,34974582,5558276,26002667,5035844,6474702,6493125,6496082,44625647
01/1970,3821212,3860516,33008776,4983835,25337891,4898629,6477144,6262283,6560907,45683016
02/1970,3259303,3461284,32089528,4453367,23672037,4508177,5660554,5915566,5414193,41886587
03/1970,3541629,3786914,34514974,4882933,25668165,4783708,6244805,6426352,5337385,42729913
04/1970,3337482,3686254,35369152,4824229,26934262,4871936,6242718,6382341,5139375,42497936
05/1970,2804716,3238878,31893854,4249581,25110932,4330596,5722049,5911399,4028113,37112222
06/1970,2598666,3003272,30304247,3952143,23289563,3820768,5133455,5437770,3758816,34453340
07/1970,33221350,5519367,5284901,21364004,26913134,5824021,12276159,6830423,2727997,3149679
08/1970,33784456,5832405,5743734,23324944,30057321,6539690,13270336,7488787,3155074,3377664
09/1970,35774328,6055972,6133783,25205587,30402304,6932522,14116320,7811440,3367987,3526694
10/1970,39100684,6300974,6703456,25073363,30202318,6965842,14425722,8148524,3837076,3999828
11/1970,39077470,5970099,6350673,24357411,28920487,6713809,14617888,8117425,3705845,3685153
12/1970,40851077,5974753,6242662,26375957,30359005,7306767,15279553,8531544,3847292,3817218
01/1971,42579452,6745692,6836541,28009448,32429262,7765566,16079676,9329906,4453648,4470264
02/1971,44161619,6977825,7593239,29207050,35338097,8129850,16393473,9698194,4718024,4987987
03/1971,45665874,7073973,7806511,28609262,32956807,8025913,16979362,10058426,4884450,5054431
04/1971,48544127,7108999,8078487,29313632,33059078,8632980,17363611,10484660,5244764,5532109
05/1971,49056125,7535960,8582257,31718908,33574046,8712155,18080027,10962292,5507534,6019273
06/1971,45286664,7227565,8185701,29723654,31292720,8371331,17039217,10404820,5118788,5603159
07/1971,92462955,41724122,49803045,54232478,35512051,101885619,32870309,37032636,36583941,28166799
08/1971,86856247,39996465,48300582,52299924,33754433,99542132,31162003,35421433,34157801,26787500
09/1971,91526016,42598811,51080980,53755862,35238047,99034625,32367997,37731491,35772538,27393903
10/1971,91228016,41833290,51559041,53497163,34539329,98727282,32237453,36926983,35827523,27132426
11/1971,87448321,39635375,49522194,50854914,32399404,95165588,30657168,34952782,33976938,25148386
12/1971,87666216,39082382,50173916,50957650,31514367,94231817,30668804,34377934,33892801,24828458
01/1972,97306799,43002618,55242901,57302321,35537634,102801564,35124758,38608219,37363951,29518683
02/1972,103399048,44323712,56889836,58345710,35921645,104007521,36372623,39946013,38267729,30990509
03/1972,105952722,45778857,60121501,60622547,36998147,104480931,37673664,41330701,40502131,32053669
04/1972,108845364,45342868,61770444,61448366,36496011,102766529,37547484,41534072,40153439,31790532
05/1972,109042350,45528547,62930408,62454064,36314366,102224804,38211574,42207604,41035462,32059659
06/1972,109318057,45860402,63790872,64430613,36175190,103910074,39003210,42951871,41128411,32794242
07/1972,33832325,53795742,71776764,81461245,65979603,116501746,43002583,55166559,47510799,57246544
08/1972,32990416,53430964,71576525,82688074,65186743,116611919,42921217,54346467,47850098,56679567
09/1972,33676496,56614483,73796021,83860978,67484381,119912260,43029449,56412208,48862358,58434071
10/1972,32609316,56058286,74886476,84464383,65565079,119494135,42416028,55342326,47751423,57336349
11/1972,33217959,56645114,75864600,86421285,66472864,117943149,42983534,55598984,48537466,55936715
12/1972,34505310,60076132,78976798,89534024,69907177,122658776,45205895,57838950,50303598,58869579
01/1973,35623637,60722325,81130540,92019823,71543351,128025619,46375146,59732131,52492681,61283997
02/1973,33778479,59706866,79945723,90661954,68005564,129495101,44191477,58814191,50598592,58560219
03/1973,32518743,55652477,76635503,87201923,65604342,124793402,41365037,55167513,48868383,55263831
04/1973,32021087,55702599,76311487,88620134,66430235,122309663,41302528,54714848,48712693,54113157
05/1973,30284131,53392952,74737286,86154248,62462236,115485919,38448068,51926394,46092119,51377624
06/1973,28931022,51804298,74060134,84678539,60990949,110733572,37965046,50324539,45427672,48481980
07/1973,40342554,43563323,71672845,53575342,42664441,60833646,44037421,76074411,99439526,34384868
08/1973,43253067,45967738,73995388,57349939,44871507,63243290,46815385,80354508,102698225,38266577
09/1973,41339246,44718300,71218053,55650837,43221884,59642634,45713899,77665538,98915235,36194667
10/1973,43705756,46808154,78180576,60317229,46852416,63409323,47372450,80585770,96357426,38376912
11/1973,42547383,46987297,76292986,60837849,46609287,62662965,47412814,80006462,99878049,38466081
12/1973,35255839,40379331,69188411,51695867,40671645,54064638,41825034,69629774,89539943,32891916
01/1974,34999752,41656000,72161919,54206184,42190308,55198357,41489418,68967212,88217706,32385870
02/1974,37062716,40645845,71588073,55148924,42604627,57046620,40874109,67297135,86517970,32652555
03/1974,37055247,40273119,73711440,56070322,42276416,55994963,40567393,66014696,85654304,32319378
04/1974,36137382,39114179,71188049,54779339,40803027,54176244,40269905,65809618,84945007,31692018
05/1974,34992611,37218310,67645010,53834831,39536301,52772438,38238916,63480790,81866476,30717905
06/1974,34085416,35972068,65800407,51046835,37932386,50637906,37651185,62595974,78504705,29366703
07/1974,25349587,54875868,73476384,47301097,96458435,41747276,63852650,29912366,47577655,29021788
08/1974,22641491,49640531,66506192,43236790,88106983,36408527,58295702,28308340,44779020,27791290
09/1974,20776410,44197441,60819214,39578185,81645137,32570459,51969758,25720862,41093500,25258827
10/1974,18197539,37624226,55674711,34124154,69869655,28996285,45289995,23296319,35672388,22949341
11/1974,21295746,43306659,65627530,40244774,79648654,33599412,52606523,26740666,42438103,27356158
12/1974,20578612,40196190,62663460,39298088,75671748,31592775,49901981,25798879,39237368,26874761
01/1975,19948416,37680091,63084338,37722653,73556099,31397359,48455641,25354905,37690257,26057682
02/1975,23067584,44130376,68057187,42148032,83102711,36081987,54348533,28963904,43213260,29011553
03/1975,23673723,46210563,71946042,45383807,90158960,38005519,60361535,29950160,45426203,30729272
