date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,7657068,10516143,15416955,14318096,61510072,36929147,33448023,29315936,40490640,73599534
08/1963,7462682,10265621,15083854,14045792,61965187,36955134,33551228,29492656,40481314,73619569
09/1963,7829441,10967053,16185007,14924508,65036729,38135535,35394213,30969502,42091004,77070098
10/1963,7537331,11029275,16109781,14541987,63771648,37436030,35229683,30144884,41423019,76957328
11/1963,7740818,11230042,16109854,15385459,68533778,37309841,35900290,30399145,42160285,79535528
12/1963,7899023,10994962,16024268,15219185,65791408,36505820,35321105,29785112,41185478,80081977
01/1964,7825288,10875978,16348712,15455411,68254790,37903895,36611126,29350476,42155929,81901789
02/1964,7975976,10843956,16775324,15751361,70124986,39043384,37201224,31678794,43192718,85033990
03/1964,8214365,11234874,17430148,15891938,70550230,39194701,37631330,32060762,44111755,86907747
04/1964,8524096,11738794,18027104,16572238,72073448,39932595,38301345,33071220,43949188,86960930
05/1964,8350772,11545617,17862865,16028641,73292516,40637030,39191406,33345715,43632349,86761606
06/1964,8402204,11957389,18335858,15848171,74138072,40397618,40010716,33591632,44105706,87198612
07/1964,8449094,12887588,16046268,18679036,51332004,72211433,35079270,35410650,47680441,91280402
08/1964,8651722,13182624,16216567,18802950,53857891,73446545,35559932,36535489,48791125,91684784
09/1964,8639470,13223653,16231317,18571906,53878792,71913880,35114290,36110250,48009645,88960784
10/1964,9044147,13689367,17153217,19498711,56176287,74106806,36318928,36879836,49590646,88966451
11/1964,9144441,13867012,17381439,19435622,56809976,76334201,36389099,36758641,50395758,88088047
12/1964,9179251,13605597,17002193,18970090,55416333,78094804,37205980,36933063,48723322,86746385
01/1965,9075310,13896351,16901722,19056518,57053164,78982532,37000532,36748941,49458652,89456591
02/1965,9436568,14323875,17769533,19862731,59219636,79617839,38478476,37764528,52604381,92864760
03/1965,9715414,14455738,17932441,20173119,58729218,78604958,39198282,37872621,52732027,93014145
04/1965,9782056,14169718,17916097,20278614,59269742,76367105,38407373,37278240,51494219,91904749
05/1965,10418007,15003914,18934335,20931722,62415418,78087202,39924927,38361769,52848070,94487053
06/1965,10537419,14554689,18419434,20783539,60636393,77816366,39585489,37902515,53074261,94792707
07/1965,10187402,18082884,15709671,50582913,37006539,62768548,41341927,38757688,50872002,92160575
08/1965,10887776,18301850,16332306,51370057,38482768,62853106,41638320,38932274,51473382,93388624
09/1965,11271555,19052929,16793753,52779195,39895262,63028091,42380841,39989125,52615647,95772350
10/1965,11917685,19819612,17330889,55408442,41686114,65742592,43210026,40501172,54644020,97443961
11/1965,12553140,20618235,18133106,58419582,42677644,67202537,44366479,41663276,56154961,98268850
12/1965,13436950,20211458,18685542,56273652,42969976,66795324,44675442,41535998,56105820,96120899
01/1966,13657099,21196813,19380848,57581145,44332811,68039558,45407076,41423348,57626799,96831651
02/1966,14643766,22102468,20380765,57944658,44673395,69235658,44944109,40902278,57735697,96295121
03/1966,14667910,22104561,20453455,56759799,43822199,67171723,44424165,40034522,55718198,96049976
04/1966,14167942,21151080,19964360,54342883,43903259,64731367,43575580,39700875,55244124,94113999
05/1966,14724140,21026637,20428755,54484020,45423340,67000113,44185159,40342846,57057966,96291569
06/1966,13297725,19517464,18713032,50042339,42460825,63034325,42494539,38216716,55018441,92703140
07/1966,11508003,22941665,17480578,49651056,49667451,56540003,33587420,46916019,55711160,91789440
08/1966,11035240,22627312,16917949,48909367,49806406,55353553,33184211,46150744,55978101,90599976
09/1966,9944601,21046893,15820170,44827693,45712004,50489751,30744247,43059034,51240936,84406485
10/1966,9574998,20341218,15020587,44997583,45324079,50587510,30603333,43143751,50430761,84708740
11/1966,9563197,20428760,15210989,45402229,48170573,54203984,31601306,44845889,53171880,89779897
12/1966,10348226,20102550,14911935,43994441,47440126,54795124,31918987,45154709,53740211,92929047
01/1967,10714745,20716088,15381945,43597036,47867410,54448849,32836133,45036445,54890237,94901665
