date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,5727391,7721619,14672087,53709395,55331080,33138805,18554750,27319706,11162660,5864794
08/1963,5704894,7580718,14710934,54239614,55305350,32766416,18724136,27126125,11078628,5870028
09/1963,6081355,8043871,15764613,57042647,57529815,34185045,19905213,28473481,11879961,6334645
10/1963,5867712,7706860,15500867,56259647,57473168,34249683,19515518,28530189,11749482,6099260
11/1963,6293798,7935987,15578348,60637571,58693498,35829418,20340793,29054549,11847443,6231033
12/1963,6240211,7892100,15275069,57651322,60056910,35405723,20028065,28311183,11655805,6261630
01/1964,6415963,8080635,15510345,59757571,61480076,36715014,19123969,29002731,11838508,6474800
02/1964,6569048,8113772,15809640,61750393,63620352,38175091,20974419,30112810,11893304,6723158
03/1964,6841619,8235856,16400333,62256836,64801341,39545762,21103023,29892196,12160024,6941442
04/1964,7244395,8493873,16566505,63538953,64985381,40704348,21695014,30014805,12660014,7398282
05/1964,7263194,8574311,16680761,65328080,65882703,40060897,21341899,30231339,12615897,7180859
06/1964,7244359,8635987,17071160,66626600,65200308,40986321,21184112,30543263,12934110,7333080
07/1964,11560964,11275513,43189222,41201107,32995630,100234559,36321619,32476053,16692667,7934578
08/1964,11866195,11578127,43965125,42044965,33573034,101337610,37183172,32980638,16821573,8125044
09/1964,12101703,11411847,43042393,41411988,32715723,99815416,36540161,32007074,16611815,7989438
10/1964,12606208,11797927,44458575,43505511,34208649,100342154,37927543,32756128,17286371,8191648
11/1964,12654124,11816662,44863009,44364408,34480212,100018448,38390001,33644668,17158355,8308522
12/1964,12596592,11713552,43332757,43844189,35158646,97374457,39473116,33653402,17259700,8344091
01/1965,13041529,11836131,43813158,43713518,34769176,100631525,39952176,34093887,17377197,8371662
02/1965,13584635,12595280,45986613,44297418,36715297,103661318,41474283,34232667,18191276,8787724
03/1965,13725070,12841100,46327548,44035326,36551858,103273437,41944235,33371108,18512136,8989691
04/1965,13560079,12657895,45036802,43396519,35704756,103129472,41026289,32592620,18623138,8811297
05/1965,14505554,13253917,47336333,44462878,37360297,107918729,41859633,33248698,19282134,9157253
06/1965,14283501,13255624,47430543,43621883,37500293,106963424,42090935,32721844,18901133,9119054
07/1965,12582795,27650692,27961966,56327394,75391072,63118043,32028836,18935213,28966927,11758929
08/1965,12589714,27634927,28547152,57389924,77032008,63520193,32662918,19243868,29338055,12279473
09/1965,13210836,28346766,29415135,58448090,78370627,64854704,33700244,19961915,29809980,13008361
10/1965,13771529,28431612,30391279,61507502,81695728,66249044,34984316,20792482,30786918,13563586
11/1965,14268544,28783192,31719258,64839454,84198290,66722624,35723679,21603677,31291082,14204552
12/1965,14215678,29166254,31556739,62136679,84015726,64714163,36250202,22277776,31169109,14657979
01/1966,15196504,30465320,32610442,63868269,84437028,66140076,37187281,22683630,31522638,14770381
02/1966,15736498,29886846,33103180,64359717,84918922,66096668,37686856,23502445,31988916,15413180
03/1966,15753391,29643405,32758187,63415632,83112265,65897531,36778904,23119065,31313242,15340932
04/1966,15326887,29186303,32115949,61031031,81790281,63903037,35666477,22581877,30304032,15235653
05/1966,15625751,29629090,32949687,60929957,84403867,65794742,36919312,23409449,30399777,15995991
06/1966,14392379,28166758,30970344,56571109,79984042,62962428,34176100,22415832,28908410,14681543
07/1966,20774243,25243575,38928737,60613419,33344496,52639036,63334649,49106799,26857128,11907422
08/1966,19554486,24585221,38395252,61240957,32292239,52393478,62427152,48945055,26409969,11667677
09/1966,17736127,22822278,35679838,55938365,30426226,48140890,58149081,45738251,24407902,10659447
10/1966,17133265,22470111,35135339,55141019,29470772,48654203,56819303,46419709,24111593,10362298
11/1966,18194709,22543685,36616273,56294596,29548281,51656030,60176219,49370172,24534465,10616774
12/1966,18785282,23801214,39905720,54387458,30246605,51990041,59377051,47593866,25624032,11136123
01/1967,18228704,23850613,40112951,55226952,30301312,52584186,60844875,47726896,26238513,11300903
02/1967,19468876,26746203,43188353,60738408,33515088,56368302,65766165,50753858,28062826,12517786
03/1967,19303545,26750143,45068856,60595121,34195353,56636282,65928489,50065329,28406169,12768239
04/1967,20076855,28332206,47385077,63551358,35789595,58513744,68425257,52384404,29722606,13425126
05/1967,21357782,29827797,51338405,67312319,38974909,59362329,69869073,53822342,30874821,14191757
06/1967,20058865,28916910,48954844,63416161,36924600,56469420,65640127,51923626,29456382,13558458
07/1967,21280264,21749247,40562533,48836997,64896274,67269866,89865587,41731464,24610118,10987093
08/1967,22430378,23019717,42504928,52138544,67308818,72255749,90453638,45215229,25831275,11709834
09/1967,22084535,22760689,42363798,51983845,66726702,70333094,89056352,44716463,25653264,11691940
10/1967,22669760,22781769,44735754,53516994,70772327,71627759,91338064,46642120,26542874,12312201
11/1967,22690243,21874283,42764425,52314648,72014119,69160888,89720282,44374823,24786266,11859839
12/1967,23211951,21781600,41740055,52869687,72757896,68772878,90169577,43621995,24272162,11724553
01/1968,25655274,23303032,43734901,55056315,75458324,72781002,93218896,44916877,25489455,13157542
02/1968,23474489,21700526,41859435,50985291,71301265,70963029,91264174,42580746,24998150,11866983
03/1968,21879255,20487786,40590275,49737424,68773742,68385877,88549323,40751902,24075329,11135852
04/1968,22164249,20959190,39718208,50939883,71043703,69454018,88808580,41061904,23457934,11283911
05/1968,24961235,23490727,43589655,56129233,78625886,73739075,95483498,45058142,25473813,12789387
06/1968,25613282,23756233,43924389,56855336,80940094,74077614,96150558,45186297,26126389,13216302
07/1968,19806240,23376303,49123007,75071130,87379292,72909673,81675607,51766420,23074378,14501760
08/1968,18491728,22278340,47786191,74733183,85812136,72075109,79267727,49820652,22375883,14316900
09/1968,18818225,22660964,48672142,75830813,86757410,72493283,79979838,50320543,23066313,14728776
10/1968,20215370,23724950,50588212,77831713,90235197,75333185,82419452,53862596,24280083,15676305
11/1968,19991257,24249759,50815294,78547986,92455334,76868549,79448013,55620567,24676872,15677134
12/1968,21378420,25704519,53168884,82637572,96382063,80275712,85148281,55969012,25588163,16974282
01/1969,21785063,26224612,52691888,78884279,94086594,79563878,84235552,54359591,25354338,17272101
02/1969,21278816,25423586,51997500,78999496,92731428,79356267,82015505,53852075,24695878,17144977
03/1969,19681130,23732097,48965271,75419878,88652006,74730453,78706716,51495088,22983330,15640887
04/1969,19835463,23494039,50823304,77831664,92673949,76526577,82671202,52954804,23780093,16233787
05/1969,20195788,23893288,51486455,79403565,94637060,79839492,84320088,53174465,24033415,16423757
06/1969,19640984,23209974,51618682,80440216,94238184,80290932,83287113,52871916,24164665,16213955
07/1969,15674495,23413039,47437149,37933358,108787290,68975472,86527875,75049917,26404398,14465270
08/1969,14065023,21815461,43555120,35365110,102683207,64461488,80482637,71643950,24417014,13008109
09/1969,15159770,22983264,46555100,36694381,106137141,68672071,82807260,75367712,26001308,13725543
10/1969,15112980,22338146,44593832,35814627,102871564,64986605,82093024,74343086,25403441,13548391
11/1969,16612290,23142288,47629876,37666666,107194445,67108030,84737155,78137734,27222290,14753882
12/1969,15935274,22258942,45506391,36388634,103418673,65013103,81242326,76472658,26131553,14200483
01/1970,16225090,22331392,44736867,35798350,102586151,63684750,81092629,77225651,25899742,14001716
02/1970,14900704,20138365,40565395,32263705,96609251,56522034,74474368,71157876,24156644,13124909
03/1970,15457128,21354965,43554456,33939872,101946567,60413616,78794854,73039242,25498480,13841748
04/1970,14837049,21040603,43449305,33709691,102017777,59185971,80264223,72267204,25191306,13755694
05/1970,12125934,18553970,38725623,29478420,92785850,54040015,73774124,65118595,22771318,11732516
06/1970,10727679,17054078,36063203,27787394,87262224,51738814,68203913,60714333,21110529,10509877
07/1970,32532248,21221796,33890901,58396831,51845655,49252949,44565366,44339588,31485825,11354825
08/1970,35020903,22698773,36429824,60107435,56489311,53092550,47081045,48374093,34794137,11918193
09/1970,37561393,24006850,38157837,63302000,57874825,55769823,47893119,50495351,36211793,12545803
10/1970,38847211,25606312,39982441,68102039,58914993,57790998,50098969,51522210,38030731,13596147
11/1970,37506700,24516694,39090131,67453719,57526761,57092657,49473333,51819745,37559883,12978550
12/1970,39809681,24973322,40329864,70016084,60025932,59837422,51736304,53497012,39523864,13709801
01/1971,42960175,27484855,43777953,74530131,64862361,65006414,55532302,56737890,41081509,15005435
02/1971,45019713,29356164,45864900,77789238,69392170,67042405,58355879,57370564,43138817,16724558
03/1971,45118969,30107160,46441643,80064940,67733242,68394223,59176228,59589185,43813459,16814593
04/1971,47096687,30820521,48015178,84880556,69681301,70692754,61973827,61689369,45846808,17394764
05/1971,50085042,32919091,50462986,87149594,71547001,73252724,65085840,64020150,48350120,18100838
06/1971,47195164,32018359,48983964,82264216,67636671,70276857,63468287,61350209,46346459,17485518
07/1971,24126231,51284773,90302829,105804086,108628280,52497463,48345968,27472075,28105347,13559591
08/1971,22436894,49407408,84880871,102352642,103734411,50656531,46812957,26558541,26123940,12381991
09/1971,23595462,52197250,88385403,105484708,106881983,53289752,49278989,27843055,27232293,12895892
10/1971,23323420,52052876,88579305,104780635,107164647,51923098,48980256,27698509,26874494,12872723
11/1971,21990769,49732596,85736657,99981166,102271866,48977773,46440390,26015729,25831394,11982469
12/1971,21510087,50003559,86224914,99257917,102654369,48457282,45953189,25618572,25319099,11724885
01/1972,25690305,56610843,96246631,107289325,113241055,54395727,50753297,28308443,27952771,13806974
02/1972,27514199,57951839,100388322,108730263,114435004,55183378,52680407,28683754,29351704,14984061
03/1972,28893200,61887399,103142315,109565548,117380235,57218665,55035733,30377990,30261588,15584282
04/1972,28544168,62193884,106281652,110110840,117010773,56933499,54633580,30034899,30452779,15469756
05/1972,29099505,63537781,106764528,109514175,118357249,57546137,55284849,30090077,30588404,15598240
06/1972,29693173,64798825,109859583,108326087,121904574,58082198,57075731,29770668,29902128,15675752
07/1972,23121040,53282954,75971653,62495878,153525193,106775730,36918533,58437355,30002347,22298952
08/1972,21781290,53629411,74928405,62924749,154241725,106675683,36370780,57667750,29702431,22194443
09/1972,22083650,53795201,77922150,65142282,158920614,109718003,37369146,60918097,30051261,22455963
10/1972,21344143,53750732,78433789,63582828,160185921,107499691,36701921,60107232,29260815,21593637
11/1972,21489710,54601421,78881498,65477744,162452122,105562995,36913586,58900886,29369896,21820477
12/1972,22767619,56821141,81648564,68916008,170050083,109584069,38824995,62970359,31167620,22159115
01/1973,24322840,59914580,84608316,71803779,176625626,111680592,39358309,63782470,31750158,22568524
02/1973,22852541,58066878,82799694,69381302,174614583,112932588,37730021,61052024,30233940,21413292
03/1973,20603605,56511337,76807231,65196727,167388876,110373266,35554649,57885240,28570569,20896436
04/1973,19856827,56059843,76017486,65054655,168976578,109564564,35065161,57134910,28412994,21018964
05/1973,18795154,52875174,73216392,60816115,164046743,103758843,33371485,55354900,26440071,19065514
06/1973,17020375,51737623,71003684,59215602,162272606,100579088,32381694,53796889,25276296,18261264
07/1973,17366722,26227814,39516949,54721094,117115942,86529663,105993468,76597266,52453851,12513356
08/1973,19571771,29307317,43527415,59048703,119779678,88529010,109851055,80956646,55760818,14025212
09/1973,18877714,27486654,41385496,57283517,114935625,84334353,106133933,77965925,54060678,13560875
10/1973,20653644,29422270,45312826,60756342,123271894,88844366,103759999,81626387,57508877,15079001
11/1973,20857604,29657920,45226314,60402928,119985534,87976667,106970161,82836587,57785507,15497824
12/1973,17510463,24784278,39103646,52662313,105771733,78501797,96193049,73149847,49580068,12646924
01/1974,18093378,24700362,39628631,53574070,107629981,79000812,94198401,75437401,51722073,12707934
