date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,15154196,34918122,24255169,36236468,91434441,61317942,56200013,26964026,21949061,17215273
08/1963,16670627,34316557,30288335,58411867,87173170,60862056,38003505,23631897,24194208,11133504
09/1963,23612491,34269764,34697048,49411167,93800376,75281441,38897337,27795955,16742557,9168015
10/1963,16709092,31993382,27536058,85230035,83865144,64766593,33527291,23934699,19057979,11407415
11/1963,19620848,68345151,60480938,85491640,44715450,36903811,37250476,23276439,17191923,15228729
12/1963,16539322,33519159,52810504,73465991,46628143,53273137,59217558,33057152,23428119,9985581
01/1964,28745877,43355884,67494518,109791451,36176228,44571093,28075246,26140656,17811353,9779409
02/1964,16483758,22122200,54375653,72463802,95384036,56465725,31739861,30502250,27908495,17566253
03/1964,19419149,25309256,32049808,62466086,64012023,90765412,62712083,39434051,22939159,12912084
04/1964,15589188,31121210,39428771,36038219,71011657,100008216,77265498,32520290,21175715,14916004
05/1964,23975416,25142230,50401145,59250277,88844624,78921710,42918534,31276569,23513573,18285019
06/1964,23323392,38865160,50532256,54610162,130602387,44796323,37080215,31387289,25550373,11464165
07/1964,22143783,29998211,37786832,74493489,59793542,90882655,63028852,40320064,20459890,15538881
08/1964,13814389,23705195,36092749,86382872,47766010,104228139,63379856,44632309,25116765,18945239
09/1964,21404024,19132063,34823006,44548288,74509630,128000564,53585107,42557507,22983823,14969147
10/1964,17230618,35429658,55820833,54723582,84314252,115580039,31467854,35669620,23476917,16215163
11/1964,17453005,48224246,30374481,38834472,94582030,56630022,87974917,44496720,29981822,24756332
12/1964,17843167,39700345,56716114,68477321,67034972,83073662,64155243,27210807,25938987,19621074
01/1965,25732943,43205151,94427926,88154216,58754117,46329329,35520378,38385944,33151731,11492167
02/1965,14927618,33990426,42405774,52906651,102086118,48787613,84881437,54428418,37662856,21080780
03/1965,27249663,36033338,35383016,37328298,41034609,122468006,78267120,47997244,55042264,14026593
04/1965,14413968,20465430,46781076,47197295,44752704,135372071,75254912,50510986,32083131,23706887
05/1965,25583333,43572339,40655003,96655004,121877206,56437341,41605010,33667500,30977785,16232951
06/1965,25669849,40236616,56414659,77894223,103915709,72383151,48451180,40608369,21268602,16928831
07/1965,29756070,55622801,87438622,88279091,88237366,35832558,35354989,25262361,16142161,15049593
08/1965,20909499,29308131,54780978,47368604,86785763,94953457,32771250,33802812,61191692,22781690
09/1965,22814979,51282287,41500632,41198727,95215265,75983602,54997685,66146688,24997689,23052525
10/1965,25442023,45155820,60356608,83517979,120826294,40224175,61797406,31611011,26171066,16989860
11/1965,20681079,35173471,50500385,43860899,124629637,82378281,58359257,52563026,27897684,30816926
12/1965,22366536,34289202,42371860,46104615,68022308,73423816,129306092,51462923,40532443,17094990
01/1966,20850920,25996263,41443927,64477924,89514527,134306704,59913192,45920946,27390639,26500966
02/1966,18805476,24354277,26765984,48340644,55643474,102853210,131858216,62321907,44260354,26819339
03/1966,22992315,27495506,38440890,54638672,107506618,89999906,75979759,51178698,44947969,21763746
04/1966,34782158,42665141,65523633,66561954,104714777,95183140,34861943,37430574,22657794,18182970
05/1966,27902026,47526263,42322447,85463447,67686745,106343513,58009734,31833410,39955746,27572838
06/1966,45789652,60944581,58578185,92513621,75306106,76792880,36070372,25141115,20618658,13258932
07/1966,36437961,32886431,32715346,45079398,84711693,99584792,74804183,40874404,28309227,23681068
08/1966,24240266,39574610,41361029,45527270,51089225,128221136,43733026,48619101,43836050,26489706
09/1966,45949101,33489906,47705848,67667454,74753321,75899566,53496081,19434298,20613893,14520710
10/1966,25497589,47973787,32252781,66061069,55908310,60264045,53344635,53349542,25497619,29181034
11/1966,35443995,52448267,50060761,102476438,49746940,79095940,34624334,30958170,21087363,12303949
