date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
08/1963,21734075,28783342,37728036,28289645,68028016,60770188,34259452,17493783,13687193,18885511
09/1963,28432408,24805513,36847335,68587270,56747323,50328682,29853669,22406085,11184308,9043467
10/1963,17487195,18209710,20899896,40583475,75684031,68466904,40616738,18291102,19033945,12212550
11/1963,45506884,41829743,74938927,39067509,37119158,29270393,19110771,25846368,16404554,12086639
12/1963,15944459,21699684,46075235,62497322,33896322,46188232,38888445,33291031,18746814,14460999
01/1964,26440093,46388131,42614332,101673661,21852169,33932844,20248340,15033655,20716151,12114427
02/1964,16897293,41451080,29477897,114012412,28343646,45968029,22832108,19332773,23509871,15725432
03/1964,21104599,22134857,46111235,34855173,63084712,61832781,55706476,31514869,17386500,12345653
04/1964,18651863,32636350,25578478,31038404,54546723,90164113,47297300,40224424,17656170,12139132
05/1964,26207485,18628130,59946863,24636139,64992608,35119075,72751160,30405911,22702271,20361167
06/1964,25859054,38851762,30952357,72534143,95824057,30714091,28846721,22921883,20715818,13311638
07/1964,19705933,26221064,29447971,69004713,44122002,76944328,31282278,49196755,25506165,14007732
08/1964,13261665,25304913,44001121,62399287,27094682,91381018,57587415,29061218,25061463,16759946
09/1964,13224620,19158875,24057889,34256737,59337518,112997752,44400050,27516219,31358671,18409126
10/1964,26597806,35822914,50678506,50470788,41744560,103649254,23277306,21800852,22333059,14558187
11/1964,37758362,23991349,24389417,24520161,85553420,45938483,60257951,46275173,24472759,24036938
12/1964,16899598,29874177,46003063,52480560,29957568,75721081,75718788,25842254,20043815,22347148
01/1965,22283893,55101982,94049949,44621325,43650593,24046299,35279636,32223402,23884494,22590097
02/1965,25205937,30897637,46434557,37838852,88061533,27384489,68532272,40595008,32489604,14133203
03/1965,23877565,25120191,32261597,21018841,31885856,111782293,67760716,31874980,46748801,19707484
04/1965,16111478,29449373,37553249,36874162,54984081,83000024,53657403,54649155,24295514,22495426
05/1965,39442596,30512827,86467472,83386413,61832890,26699179,28659015,24323397,24135719,17115822
06/1965,23643294,38228826,34553121,69918693,75980373,71209229,33780929,31984696,23739986,17626601
07/1965,19988938,28467039,71355932,56426724,54688277,77481936,22128734,37697812,24280541,10815583
08/1965,16734883,34848720,43166342,28449960,76428480,75059246,33652726,26162990,46421185,23507636
09/1965,37972699,27557686,30449120,34804708,78548772,73618316,33044873,56403320,16566666,21690725
10/1965,21746669,52984436,43812826,68855717,90837346,28090776,45379262,32198161,20518891,14608445
11/1965,29373405,43746771,30207134,85834862,88652247,37648654,36549139,46374015,22203501,23252183
12/1965,25604199,31055110,38506029,35386570,59724003,82948564,69419779,41062147,29373218,19941910
01/1966,19578168,31340186,50098775,42416923,108116740,87852767,27378870,32039071,18075900,21779880
02/1966,11695139,20046176,29848973,38072225,37406046,112348218,73385564,62273895,25595723,32579704
03/1966,18375275,27357448,25135056,86429771,48466555,75348863,59171982,44628850,24164665,26140085
04/1966,31047598,35431488,50046473,64256195,60199818,75479196,31625423,23813088,31452036,14487087
05/1966,27757511,47026188,61767510,56623503,55682569,72407485,37816008,14623547,20024510,31160209
06/1966,35423074,36775287,43026702,45407526,60481805,58125112,44139614,47579599,17794208,14738716
07/1966,29120862,16832110,23852876,62720771,41790921,74281023,61944646,43957465,19992211,25591034
08/1966,27844582,24435054,31186065,31239229,19029332,134917933,32842373,31093900,42111422,19033413
09/1966,35929867,19767655,27931229,28536886,66326437,45391990,60854904,39819460,14601352,13222632
10/1966,27197886,29408220,29661184,44473529,43896604,45896039,31334186,37042599,33627621,17733731
11/1966,27369172,40604332,25298175,50714297,66098077,66438601,39302805,19431234,14281085,11786254
12/1966,30235139,36630494,53915032,58138683,33237840,62927422,21407056,30600033,19997101,14650789
01/1967,18455874,32464096,23887919,24535827,62601710,87434650,45286220,22616132,31229304,22434393
02/1967,17021077,26508562,26865951,21262502,37310194,59309655,106058696,48298288,39436529,30555666
03/1967,21471851,35226571,47881335,52296060,59282406,79351077,58069610,28845738,24487645,21904966
04/1967,27365591,41742262,43760265,71071443,81324821,34613397,49414937,36373708,27875094,30400405
05/1967,41020278,77638041,41363978,40697717,59386919,81637898,38931022,40381010,21632799,17461147
06/1967,19487398,25384856,24194869,24386006,41429137,103390423,42966955,77095516,46276313,33271199
07/1967,25830770,30018399,30675640,64674277,57350356,49019364,71342706,58880984,39468516,24181136
08/1967,35282813,38992844,45544626,67540213,31632985,95734144,60457933,26957093,49091528,14335347
09/1967,21590514,27699787,41854941,25927398,55340086,105981348,73456348,46508124,35261438,20308249
10/1967,27539640,65002936,38758892,94528419,62030468,35605073,26547087,43849534,39916091,30538329
11/1967,35055031,28410307,47788901,75408132,73132301,55775200,37918016,36296562,36009477,26816362
12/1967,27971642,47461466,48594811,43190240,91338962,87873292,32691412,26396977,26099194,17589556
01/1968,30392478,31526282,38667845,76013084,72828533,94878460,46204198,24429963,18519723,32188562
02/1968,13651434,19426204,15644450,22268365,65122960,65258077,106004085,67967431,39072892,39575917
03/1968,25170950,30413854,45728820,55041055,110256888,66462765,24111874,31062207,30029779,21660938
04/1968,30379651,26875051,66249538,72733142,95834484,36612144,39081104,25021057,31266806,17020995
05/1968,29550677,28725925,32581670,51752002,117047987,66861529,69072866,35313329,23750916,13620002
06/1968,14686093,22651006,48230022,53756661,113422064,48460804,66024361,34056659,48922460,37270466
07/1968,23795593,33551763,38269402,41788953,90071483,104818480,42083059,37017288,51295556,30502205
08/1968,43878110,21978670,23986269,58240262,92407361,92649494,52818957,38060948,39268439,24393493
09/1968,16471524,31849371,60725863,31579234,140315965,56216296,55359959,37079025,37857579,25062726
10/1968,25857219,40689045,31340272,59938175,107486791,93438043,32170395,41326778,55080490,20430488
11/1968,22505593,39059995,33277450,42936283,83570890,67754042,44568415,93409744,59555679,26385360
12/1968,26188157,42322565,46160956,63743153,104597737,83414291,51251448,66486893,34037164,25268969
01/1969,23562223,25243532,31291368,41489585,47091168,132829422,66899361,59931312,63427459,30646132
02/1969,36710199,44503226,69712909,92985038,55497179,89410529,51858225,39061890,27108978,18271734
03/1969,38265861,44016893,78385952,94269976,75759459,40082699,33173369,42362199,35378995,18307178
04/1969,37063048,50439916,61085251,58209384,111442590,55919611,47268037,33517505,27088819,22415818
05/1969,35033916,75842435,81174748,100598606,51902172,48662629,46930378,28100791,23460721,25653889
06/1969,34475411,44466752,47206934,62633536,82436251,79304600,32677838,54329310,46268137,36257855
07/1969,36867988,50309086,112856497,71187110,40032654,71328512,38337649,35042678,20836325,19224195
08/1969,28548593,34016595,46341888,79871627,73224178,95688211,25508788,41600462,24360459,19135455
09/1969,29561049,40762668,36853001,45182262,144099877,67349278,34785507,34956340,24695034,25275897
10/1969,28373065,40302293,54214363,59636143,50438042,106724945,37765343,47416983,34569739,20872345
11/1969,23561307,41672242,50258911,51427997,89675980,76099140,85605345,50863158,17625349,25007065
12/1969,34394180,37451885,27235225,80562053,57381609,93685397,62272165,47903295,31823365,23277003
01/1970,44327849,56745657,63671306,63115858,97924643,75604293,28466715,23635881,22516037,17653551
02/1970,15950823,24594200,25292459,24741045,24073331,88082352,102399838,54743875,59971157,37431410
03/1970,36428268,46419449,78109294,51435915,107942197,47200539,28266707,22900502,30837285,21050950
04/1970,23084165,36547005,46495307,65431794,111591591,34699671,58990895,38909564,28320998,24533941
05/1970,25140793,23536548,36010673,59802031,134313673,36169199,33285230,35815012,21235463,19724582
06/1970,37069068,36925003,41421773,44286047,90565466,57555469,25959268,33600194,24172917,15966323
07/1970,24474946,31689805,38981539,35460263,33184648,72044844,77204550,30825749,32052353,15607928
08/1970,20998722,35857603,30063072,87175122,90993444,38134272,51652688,28886646,20163723,19796773
09/1970,22041298,18204650,39812444,40404375,110994629,59814403,71858632,32975174,21918527,22986523
10/1970,19617191,22062090,41943788,36855490,47010650,111683234,46194850,77479969,30296814,28319049
11/1970,18794749,28051301,50558022,61622971,52116746,134626971,33345916,30611631,22011425,27611690
12/1970,31523593,33176252,54645819,84449515,113647066,62213982,34998340,34591196,24979551,12462824
01/1971,22068911,26419119,40813462,47956165,90739588,75377002,99766496,49488746,30962468,42514596
02/1971,32784169,29864031,41605814,33389286,36684491,137063629,64776962,80120635,42076682,50407807
03/1971,27281056,44748904,60837966,43959850,57283767,91531029,84584826,66364004,49785354,22863425
04/1971,29330104,40344869,70525683,73984750,133057021,59323985,67627557,35192633,29098260,27767904
05/1971,34017612,47237289,48330326,66612987,48220197,171376721,48050124,46839455,47084993,27354244
06/1971,27430819,34118086,46295916,90220023,76047195,96341092,76809954,47315507,35034040,23543028
07/1971,39491422,59845542,47523615,50085053,88939942,97794677,67413308,49637750,36791439,18202197
08/1971,25924479,47367850,44985846,38490007,65865428,128191018,59684998,40861468,45256557,41039418
09/1971,52650873,41296534,61718837,46746424,94817672,77205363,50571962,51905342,55090162,27098241
10/1971,25064119,52005758,59669983,79410400,117538081,54009219,45742812,40962354,64865484,21112416
11/1971,27846199,44515581,45459860,65436232,174851889,42199123,41407837,28737124,36018477,30010029
12/1971,30220821,48134221,41202776,97921649,114785458,77297973,31359816,44217903,31963434,16526512
01/1972,29792622,32405285,60898730,82456405,112284142,99014885,59426044,45577731,44625719,21429682
02/1972,26707301,34381377,46048152,62865559,74296937,98682373,111855913,59061014,46264590,39458714
03/1972,33330262,61153568,68241629,47402714,122667128,122223151,59252476,57889560,31566453,22158472
04/1972,46281765,48407481,78066670,120166557,48745490,93298981,83774411,43604979,39275510,30702923
05/1972,47071075,45103421,77315164,37760981,141246024,95436935,70206902,52489812,39809986,27017907
06/1972,40267765,97655115,78975075,126382795,87591716,63731409,50324401,35065968,29513997,27594114
