date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,9743075,9431999,37507531,82950572,26540471,27764325,11844886,17440982,7694982,4925565
08/1963,9640694,9349216,38411608,83191640,26270367,27526928,11605905,17331287,7625340,4743627
09/1963,10291131,9831885,39653704,86789797,28004497,29160177,12509071,18295405,8198757,5263469
10/1963,9823621,9613928,38397003,87100687,27880884,29274817,12161958,17886006,8178168,5356833
11/1963,9765705,9629449,39443353,93176152,28425081,29413919,12411134,19038776,8365604,5597254
12/1963,9702347,9577760,38897078,91673252,28159173,28894172,12133867,18795547,8281515,5428168
01/1964,10414554,9791215,40586391,92046750,28944826,29672232,12559027,19197362,8416112,5444550
02/1964,10342901,9889791,42967678,96879098,29115733,30528381,12666063,20060982,8674368,5478642
03/1964,10611730,10266490,43021516,98738080,30103374,30967394,12851311,19870668,8850163,5825663
04/1964,10767929,10491103,43924091,99139389,30679926,31720691,13438015,20829147,9326527,6043364
05/1964,11388448,10606944,44444822,100882529,30421833,32163665,13303327,19891280,9050248,6082244
06/1964,11658337,10688440,44710716,101739540,30580086,32814158,13194484,19876190,9324104,6248841
07/1964,13772430,20300020,45652571,71166958,88606388,29223637,24305475,22716828,12911034,9572347
08/1964,14073070,20976068,46791047,70783978,90275980,29551657,24859141,23408164,13208705,9912876
09/1964,14133818,20442191,45641769,69310400,88744688,29465649,24471473,22659726,13138896,9984447
10/1964,14693738,21275931,47560518,69886107,91074276,30178669,25377169,23435225,13925345,10200435
11/1964,14830830,21644559,48808711,70106675,91588605,30167594,25385666,23664565,13839025,10194038
12/1964,14804906,21785858,47844807,69295633,89887339,30360836,25792611,23749276,13507105,10300732
01/1965,15583223,21378324,48739505,71878070,90957087,30561979,26048499,23803007,13147353,10212092
02/1965,16361723,23030634,49766164,72702794,94137147,31539961,27407263,24899972,13847783,10791803
03/1965,16410428,22938358,49579538,72923419,92577647,32477658,27900409,24851581,14109790,10959529
04/1965,16104088,22483257,48205018,71490135,92000999,31984940,27607827,24649164,14098837,10960144
05/1965,17000221,23383386,49647822,73045442,97275165,33815317,28330381,25165174,14415913,11546527
06/1965,16900475,23510134,49770288,74439987,94606984,33170363,28129087,25224435,14006466,11231543
07/1965,33822932,30191327,69838409,73380452,55133345,37460826,18193078,19224253,14940524,7115443
08/1965,34771277,30552402,71243883,74249853,55857092,37004303,18423301,19964774,15187315,7610510
09/1965,36365592,31772809,72159560,75391915,57662106,36934611,18835503,21010301,15925596,7976589
10/1965,37574414,33024951,75595762,77570551,58924129,38584628,19765180,21522339,16304405,8379917
11/1965,39294926,34152420,78504010,77978920,60626949,39271557,20337586,22628417,16962927,8996478
12/1965,39373822,35111210,75566826,75217544,61042793,39578052,20479927,23216673,16646146,9719674
01/1966,39798917,36037419,77078884,76911861,63229759,39947893,20914467,24148190,17134845,9707734
02/1966,40378378,36350249,77342726,76817474,62945599,40530113,21607333,25064985,17377525,10567702
03/1966,41324663,36238214,75439575,75401401,61264390,39408239,21228341,25349625,17286449,10585923
04/1966,40683663,35848532,72732127,72571207,60868051,38206404,20596641,25117225,16823911,10176992
05/1966,43072286,36882205,73028662,73831047,62707196,39328106,20941609,25543474,16991259,10643274
06/1966,40886115,35176094,68208702,69651462,59984381,36834968,19709240,23526863,16047036,9657151
07/1966,29247576,35986957,35033855,72580028,54491544,57083934,58052358,20204798,15954676,9300196
08/1966,28075769,35556175,34414196,71759601,54326977,56606350,57621823,19904471,15551930,9199967
09/1966,25085615,32630981,33033468,65971925,49816042,52621260,53792813,18552104,14295724,8385070
10/1966,24455143,31766479,32528548,65031469,48947828,52707272,53585707,18504350,14182553,8305999
11/1966,25700932,32759844,33332211,66016136,50939227,56164463,56615480,19428606,14384064,8493763
12/1966,27773109,35700410,33978951,64356529,51698735,55251002,55460706,19449170,15015338,8696349
01/1967,27538786,36461402,33800419,65214499,52514768,56917222,54504926,19733220,15632273,8800831
02/1967,29807157,39468968,37452373,71569369,56799161,60663968,57489171,22085176,17283679,9874273
03/1967,30247378,41190023,37660658,70800555,58274837,60772925,57090798,21945117,17521223,9753785
04/1967,31521105,43616088,39619518,73741182,61083387,62790781,59315752,23121736,18161265,10367593
05/1967,33448327,47041297,41961415,78603800,62542357,64096120,61561209,23929116,18579877,10852783
06/1967,31551650,45060243,39760092,73701872,59773210,60127499,58699844,22987621,18643115,10632149
07/1967,49818349,45249650,40532069,58793670,35228068,43024746,107525908,30769392,17197707,10268027
08/1967,51857531,47374545,42673225,62666267,37506758,45584564,110387866,32358471,18468540,11168755
09/1967,50869141,46938487,42544763,62641664,36992273,45006422,107661098,32563002,18313010,10932703
10/1967,54247680,48872788,44257389,64520363,38656094,45622161,111558706,32851054,18747049,11231791
11/1967,56377849,48706090,41507848,62023644,36817458,44841281,107451132,32027665,18479984,10825309
12/1967,57801507,47948904,41295255,62650439,36857590,44320596,106587726,31859972,18377937,10830742
01/1968,62085913,50255132,43742445,64949154,39376969,47135693,108927243,33291692,20043814,11544793
02/1968,57993333,46225374,41817804,60187006,36980928,44067320,108385455,32908501,19216571,11644028
03/1968,55873956,43968026,39760566,58194534,35342670,42552236,104876772,32118439,18458564,11106739
04/1968,57936189,44350845,39762848,59343946,35657316,42452431,105139001,32411625,18578144,11040821
05/1968,65052180,48894180,44543373,65698077,39790354,45370192,110371364,35881950,20571868,12175309
06/1968,68099182,50119669,44260350,66233885,41195730,46464738,108908766,36441613,21327230,12850965
07/1968,54509141,37943914,82286317,32733653,65116400,92872225,70346850,35875393,25266914,12867624
08/1968,51215152,36235136,80847926,31051814,64528876,93711638,68654192,34355282,24628081,12186079
09/1968,52202570,37484730,80908749,31497371,65727290,94571660,69179036,35010081,25095848,12500028
10/1968,54228308,39456565,83130526,33432392,68580045,96983254,72992743,37296978,26653125,13314830
11/1968,53568516,39868837,80706327,33603495,69572258,100530765,74670327,37160574,27099581,13338781
