date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,21190806,15023303,54818735,30147413,26653148,41168467,53793685,10852328,13528253,13646428
08/1963,20979971,14817018,54806659,30322450,26837396,41344001,53556498,10714893,13376496,13477964
09/1963,21833707,15774293,57744716,31878169,27771113,43225268,55998755,11285731,14282348,14436065
10/1963,21774399,15414035,57192528,30867541,27190558,42225209,56968199,11095318,14132507,14215851
11/1963,22864084,15989989,61616641,31513460,27676752,43117674,58724123,11277040,14325027,14417763
12/1963,22760936,15938501,57741628,31190542,27144103,42838232,59794721,11160030,14000868,14141045
01/1964,23361767,16277085,59170477,31006721,28142526,44726044,60627891,11499256,14320560,14222644
02/1964,24370329,16112772,60880403,33390647,28538184,46784442,62682904,11540255,14773038,14658977
03/1964,25372747,16537747,61368467,34241648,28636425,47345977,63622175,12010796,15015484,14981507
04/1964,26201557,16952323,62439908,34513594,29018853,48673421,63679650,12429829,15717654,15776167
05/1964,25483289,16895628,63204250,34953355,29352524,48832220,64434803,12455196,15468444,15613831
06/1964,26244462,17128187,64048153,35280977,29550223,49167546,64660864,12562890,15399550,15818875
07/1964,40144122,14847311,24746683,57528026,48299003,24988467,67419153,31149975,14468769,17299761
08/1964,40280804,15129627,25334973,60043720,49250307,25273484,67199762,31618203,14708961,17718470
09/1964,39150392,15139811,24686873,59945839,48921106,24779336,65632768,30543073,14419830,17256115
10/1964,40267517,15687912,25327328,62042530,51545496,25625719,65773347,31070802,14948896,17915993
11/1964,40035359,15450529,25794787,63957211,51248027,26032564,66063063,31763016,15051125,17724621
12/1964,37805182,15338619,26030782,63480090,52249501,25643915,65366588,31896404,15172952,17045294
01/1965,38581005,15616207,26012082,64373600,53156172,25581591,68065112,31769546,15084233,16993571
02/1965,41436022,16565343,27564538,66318769,54938934,26777556,68932899,31683789,15720820,17530116
03/1965,41994864,16861389,27523912,65395878,55552745,27342396,68557790,30952557,16120851,17438285
04/1965,41237315,16748611,26969868,64730911,55054432,26762736,67639130,30177786,16108960,17223451
05/1965,43247200,17408348,27910975,68363921,58406396,27519421,69029570,30650649,16724490,17467581
06/1965,43582502,17661464,27965379,66563665,56917488,27340735,70067519,30429906,16634354,16929078
07/1965,31590713,48955364,46618643,32696824,35517845,36597542,83080298,19014081,17518549,14575025
08/1965,32537586,49971005,46726949,33651574,36000709,37586747,83083333,19474114,17760834,14956684
09/1965,34368817,51528767,47438945,35581767,37243481,38142347,83440512,19982819,17868618,15696680
10/1965,35677088,54385927,48479127,36935924,39297058,39542657,85550001,20791030,18066422,15994625
11/1965,37406213,57087467,49287590,38735629,40587009,40221263,86303978,21376367,18749047,16747125
12/1965,37828670,55172547,49454857,39100357,40422370,40431547,84621661,21675834,18554476,16290564
01/1966,38622497,56425352,50493589,41096976,41583505,41074393,85229467,22560903,19139766,16654504
02/1966,39663167,57189872,49393260,42078107,41796106,41768333,85213868,22988835,19647109,17451353
03/1966,41492893,56009497,48670435,41271059,40916196,40881268,83881774,22341071,19251463,17027192
04/1966,41455884,54091668,47119951,41378465,40411305,39347060,80920133,21704762,18756532,16393310
05/1966,43552368,54683166,47199534,42433232,42427437,40287167,82544394,22450593,18890511,16533592
06/1966,41259870,50354461,45564954,40080120,39139764,37667619,78545618,21537437,17775241,15468902
07/1966,31080142,63347721,50587700,33841811,31980945,41636691,36325141,50633427,36287023,13171572
08/1966,30630852,62283780,49440442,33137799,31588938,40965488,36142866,50526128,36202726,12965532
09/1966,28346148,56683966,46194249,30700384,29329616,37558849,33581729,47534532,33307934,11733768
10/1966,27940176,54931076,44572204,29232909,29065577,37899697,34564403,47940045,32863855,11703933
11/1966,28112567,55548289,45470158,29512307,29331790,40735806,36767881,51682214,35073871,12196837
12/1966,31733306,55189092,46279151,30164672,30072053,40816005,37432806,50409984,33785357,12271055
01/1967,31814685,54869320,47327747,30459925,30004393,41493298,38287005,51674595,33398569,12681202
02/1967,34870694,60931405,51383280,33407888,33190316,44127946,40350909,55482763,35717818,14078739
03/1967,37016596,60674863,52284892,33519067,33727638,44315484,40204429,55407089,35067099,14116483
04/1967,38975365,63043505,54109570,35254662,35875221,45805058,42068856,57703598,37030063,14777878
05/1967,42172723,69368196,57001913,37154477,36245211,46948980,43531498,58735406,37676099,15153247
06/1967,40777757,64362914,54161345,34947159,34340490,44938227,41717852,55639717,36418206,14870022
07/1967,57435097,39133769,44478048,66461165,28942098,38727863,66598737,68230834,16742134,15524739
