date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,11253764,11004264,31204432,75301483,48346627,43166493,58592318,45253231,45442774,12269502
08/1963,10590431,25398104,82630722,36972148,34528828,61931221,53329645,45591331,19776509,10193979
09/1963,8714179,14647263,33721103,75689458,62086286,28407310,33572445,36988171,86197243,19257760
10/1963,7749482,17260008,19074209,65928579,44949213,48260341,42788293,64351864,57769055,25621811
11/1963,7746208,16463519,28562537,37624983,32054620,102873270,49732106,40904901,58905490,29680589
12/1963,9146349,14427666,46163132,31254230,41179209,38825931,102175869,36325398,31299078,46065184
01/1964,8798122,9082261,21585628,35886722,38782540,76135672,28045651,72159586,90979577,26418595
02/1964,7615924,11934288,17942853,26997735,46408626,32206396,42617625,71447029,128275514,34023613
03/1964,8157832,17850655,26456054,26873603,47688920,28324054,33268286,76013950,130513441,31311584
04/1964,10375856,18488213,32199950,28646497,35575296,48153300,45128027,66102551,109000875,40250892
05/1964,12322234,32377900,23418634,33586315,40177650,77686116,71554924,57451334,50131311,36762918
06/1964,10796613,24141533,63049243,32035288,37916745,75362477,40700948,70996414,61333502,23633537
07/1964,12775515,19210644,40409062,76901396,33248724,73485635,38774183,43907338,76629363,32247934
08/1964,11901342,34707298,39436827,35074143,86203942,33893550,100038631,65769956,30537507,20015286
09/1964,15632366,37271361,68947353,40137681,74247241,40934260,54782145,70273752,23891151,24493002
10/1964,16993228,30898697,56793752,87635181,52013921,36930043,51397637,48478010,55711744,26396470
11/1964,15909296,37190709,64392926,40451075,80343823,35568758,54082142,56983962,31742339,52539476
12/1964,15298466,78675741,28641313,59132371,51959751,60367855,54525349,69695973,29152895,17856678
01/1965,32029649,64780835,40817649,52874591,38622136,63747574,75142550,45054768,33669633,25147941
02/1965,35530058,67482860,30044975,38202156,58493815,50767995,50333109,86678953,46393284,25852464
03/1965,22839870,89393815,49620053,30456802,59892102,63202668,66940813,45335193,42629016,21013749
04/1965,28552658,93442625,63191817,67448090,37162573,45949366,50642504,46596707,35521668,18064591
05/1965,54799353,85857403,45250960,85412717,62488100,39743210,56599761,28442166,27119780,17516901
06/1965,59176948,41860627,83257980,63019190,34376305,62729689,56771955,54870804,24007234,17977960
07/1965,58778430,37396616,53538589,34902891,91689453,70395528,54629875,29337914,22080377,18473847
08/1965,34592158,44638422,55551560,77028096,74353042,52812286,36925914,54604835,29340453,19324041
09/1965,25687192,49370580,51446131,50790842,73858316,93656020,40656250,47965719,33282233,25470260
10/1965,24070270,43893231,53657599,38484329,103366766,83831683,40722499,50279281,35429824,34838522
11/1965,16637403,25225185,38918052,46746296,69091757,84572645,83946484,69409083,46926783,40709284
12/1965,28578360,36723303,35201971,72772321,59526589,78596153,70406645,57407258,36933565,44893014
01/1966,58971753,51761231,51630682,41332742,105807551,58812963,54918417,37258127,39683226,32031147
02/1966,81258534,47889646,91798461,88104010,44542292,42533828,45528902,28725016,34433733,33590755
03/1966,88385616,62217428,119782195,54996042,39180326,33810742,37132722,28390448,36158625,31541168
04/1966,88537730,55897551,118389238,71564789,26549923,33945190,41419246,24395606,25464956,32833352
05/1966,108695066,89429750,82829166,51945943,31055977,32591757,30796358,37828324,29520916,36540856
06/1966,107570309,65759845,52944225,76257409,45743835,25275950,29572559,37929224,32671404,27658308
07/1966,48402910,40813276,98323926,87208292,37238691,27930215,44882428,33192986,42171856,35377683
08/1966,53315837,46982320,59013481,57617961,74913498,29920002,31462530,56612713,39091499,39560347
09/1966,23868962,51212155,34386504,43247426,44184416,73058000,46912217,32575842,60561013,38872418
10/1966,13845298,19901290,43510363,41984372,42715329,31590803,73920307,56485975,60951143,60268526
11/1966,13526609,23059733,29633724,40521721,51551542,33056601,55924391,109409876,48083960,59573208
