date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,12155160,17728060,18520530,59049487,34866689,51526285,32935501,80901362,56341341,18030052
08/1963,10811775,14750034,20572540,81070085,35372472,34763848,37762363,69326319,57949375,18795909
09/1963,10493640,15557037,17881996,78215251,32977377,62149828,37974185,33679372,89755147,21245719
10/1963,8849074,13120888,24041787,57094700,59534633,51373040,38464008,63924547,58343204,19128775
11/1963,8967011,16715201,22009939,92966618,30725969,57342315,55238549,67833603,34249118,18172989
12/1963,8307352,12173049,26465593,34736476,41095453,52843210,76933360,66891595,35966743,43376922
01/1964,8591670,21967572,23669772,46709287,49302665,47980183,80796531,59428660,48514356,20701455
02/1964,6908650,11513204,25332659,27784722,29416623,40815101,74277641,89182971,88317743,25872359
03/1964,9478953,10760922,17084725,31245739,34387741,38515947,43140448,109332196,103643067,29262624
04/1964,9227361,17242748,20310339,33118658,30763977,46393574,96947085,75604905,76984447,27371094
05/1964,10485550,22867375,28493832,32323420,48499845,41270594,90238844,98208379,36694159,26586506
06/1964,9249836,15095388,25129121,34358276,33031638,46788794,51472972,139563193,56634789,29690228
07/1964,9895774,13942224,28548846,41257963,39282566,29072678,81852569,55731142,117402621,29783627
08/1964,8343976,20938988,25926919,46758157,33353872,49290362,53813416,120766122,67661204,29143102
09/1964,9052395,21445439,27691664,40499914,48278096,42700221,81773465,81729806,70427930,25402871
10/1964,10926279,24378149,29670525,35238277,52735111,66927376,70825306,87729872,55870359,27518973
11/1964,13157557,25027228,24837738,86743504,49065555,44445779,73266162,93751842,32463586,21850222
12/1964,9619883,34033505,58959990,54178273,42916351,56017573,55884042,87997389,41606644,21301416
01/1965,13964264,67882347,44272870,39336457,47150124,54239961,86265379,55496278,41967513,18408555
02/1965,16128584,46589049,69718202,41679838,41104885,56604259,65746475,79855934,47260245,21608607
03/1965,15025680,94725777,29538434,47608604,43037664,65750166,58075348,77383936,36626949,20096367
04/1965,18305716,90397493,54363760,38424524,51216851,51047957,44368889,86283466,32696164,17792856
05/1965,24449617,113733335,52628868,37749698,52908430,49737853,85241463,39687073,25854163,19799166
06/1965,39653147,104903529,57507669,48845267,43098384,49059447,82122630,29344150,22387866,21311275
07/1965,25567274,101870885,63443999,43293771,34536267,57829412,71487409,34005497,19430490,20436973
08/1965,15319002,52808481,86501517,57952927,42362341,67217170,47192931,48642645,34846828,26350143
09/1965,19398347,59946232,77908754,36351425,77027680,77805029,31240973,47551218,37105503,27840883
10/1965,23375834,59518916,95759823,81174120,38845079,44222415,63038218,31919676,33969992,35385928
11/1965,23924519,51094241,64220413,79295504,95673733,34846400,40093892,53131187,37444716,41691668
12/1965,22953296,69588319,96689089,53855062,49253736,39904371,58529153,56979692,30262835,41279372
01/1966,49471813,83105463,76450096,82623753,46058477,41145023,51157483,33151631,35291356,32108463
02/1966,32542741,109730645,72504150,71826698,73563430,36539344,37377326,28277244,38071871,35308230
03/1966,70885039,53746581,77175786,76917240,65802138,54915488,26615420,27208093,37295645,39518788
04/1966,40420112,87152476,73182206,75785679,73504427,37959303,27314070,26301611,37828058,38824984
05/1966,76657691,90764918,51981944,59027931,70114298,36659535,23408396,37930692,43184882,41403023
06/1966,73427477,84092769,49294525,70990902,46300316,41011105,31619986,29606789,40579193,34360470
07/1966,75024468,77543318,77198847,36348398,45652600,47171246,31095471,25977357,38743339,40589565
08/1966,70884244,82420730,63095072,55432880,38041165,41483022,28030336,29348653,43853326,35954738
09/1966,40197890,94294322,58781207,56863801,48147412,27778078,22502070,27287932,43222516,30327174
10/1966,56706149,82921373,43634889,44826748,40705935,48182637,28923518,29325812,41583251,28887993
11/1966,27587804,64466773,33437602,101900812,32978287,43780021,37620518,61258668,28324955,33645718
12/1966,17212270,46423429,32582270,34334744,38997814,50882624,71607142,77991992,59668577,40660341
01/1967,23892459,41412291,33715461,21744014,53039191,66493074,48319097,60482415,82693083,45115504
02/1967,25098084,38134467,33757115,40788194,51224239,48978991,75752472,50086566,83506656,69674963
03/1967,26440612,50070857,50718973,36895520,23969348,88137268,49500547,50913921,98746611,44800413
04/1967,30464799,68271973,42287305,37182823,36085367,57295348,82875014,47558464,108477745,31502755
05/1967,34029994,44132145,72331337,35855642,40850283,46229176,104342229,70604030,80165255,36592067
06/1967,27834456,57100455,28262264,49577709,69979369,86953580,64975212,49095445,72791747,32156602
07/1967,38813876,45096190,53119429,90567122,69632452,57853209,48123808,46026981,69776926,33322416
08/1967,51060084,54896553,85379331,79666047,57821965,64010357,41189882,45253718,66386153,32800098
09/1967,84366471,72464961,54439942,77329765,59906369,52266238,41505152,70196410,33741027,25904244
10/1967,101833147,68055907,91864729,63183791,46908924,42813609,44211100,69863889,29795113,28981531
11/1967,92065865,91855414,83285256,66189651,36544335,37235111,40206562,67214189,26297962,30687469
12/1967,87013375,69693808,95279426,54145959,62533937,41206394,37672152,63518852,31613655,29749857
01/1968,82601867,71851480,69079244,82036467,61908226,50451230,39667264,74453162,34125969,35113807
02/1968,66230989,57782435,50774515,53746840,121506359,38802059,53044354,34867078,65405646,34804439
03/1968,43522627,92582820,70276696,62515496,80930565,65766197,29574234,57091286,24792884,28315412
04/1968,40590557,92589111,52915627,50772319,101396487,51074814,52610959,65874458,24324531,25281905
05/1968,47669075,82827563,78195014,66346582,74468573,59093099,61402874,74043714,31149492,33132882
06/1968,49868283,78321399,52942433,93598944,82148058,67425583,53669573,73107944,37196819,33779834
07/1968,73167441,64533770,57273958,90968801,91865192,71679983,42496452,73580187,29905919,32155497
08/1968,51039180,54499655,100248012,74905630,88982078,46882856,64530943,73069311,29045186,28881042
09/1968,46419705,47676418,79650529,94466426,53111721,88564947,59724099,87778948,32220157,31247387
10/1968,43742125,54923230,84205820,112247838,61251914,52742153,133142798,40172659,30305062,32998281
11/1968,50643563,64867253,95907866,91580769,108503487,88373012,43928163,44697909,30824288,30729152
12/1968,50390356,111385379,83665326,109218528,95733320,70928062,54282228,43093981,32334175,33640161
01/1969,44281385,64609173,163964743,84142647,92454695,43134902,66506481,39868822,43132812,35649686
02/1969,37363835,62880767,195381087,74718330,80166797,56395901,42358241,46998930,37399010,38035614
03/1969,37509208,144868893,112917210,63829608,73713167,41127642,44671109,38985442,40331938,35378609
04/1969,40154189,106544222,87844163,115851878,88294605,54433062,41266003,44573934,36881812,35640040
05/1969,36989058,66634043,104921161,67857818,111022255,47297020,79137800,53519647,48339733,48936540
06/1969,33772067,35308383,90246264,64380208,83326893,67778239,60084967,112818363,53324544,61593287
07/1969,26057030,25614136,80534620,65962578,61792327,57897897,91762555,84057999,74517091,49442976
08/1969,21449075,19442499,30449686,42256718,49150195,110998376,98832490,98228508,63157608,45806408
09/1969,22674974,18458165,28402222,33965632,65702664,52627670,139313701,70920908,107311145,67574551
10/1969,18521447,21386522,21647030,34286945,55293387,47413219,80716177,90166195,148227812,73648274
11/1969,21838033,23244526,36103040,35199087,47077243,53898868,90507561,101962984,91266483,124630000
12/1969,19370984,19136467,40909755,38484996,56554307,59006446,43353111,99321327,143876728,84571273
01/1970,14069300,20800420,28925332,45314480,41700730,61039130,55389574,73038872,124812235,137355350
02/1970,13231046,18271655,20374669,41424253,40871249,59770350,48161257,92141202,78698839,144992157
03/1970,15736966,27912451,39770364,34900548,54531802,43197438,69252439,74767712,94095347,135040736
04/1970,17121098,25697633,60666277,28155125,38911482,41685179,70350790,62811686,152328826,91006604
05/1970,13197102,24881090,42392683,36615634,34413714,39901121,45179418,101336069,114748093,75495083
06/1970,14054840,16544019,28485442,34989803,32946252,43036913,45433815,98410542,102895603,76689907
07/1970,10410128,16323833,20201860,20063521,43609622,46372563,70933501,114051804,57814107,68153783
08/1970,10308607,19867224,18393380,24080660,37640730,79208909,95005201,86171240,65593100,67239117
09/1970,12158926,16157177,24964843,23418863,76598464,53862796,67220440,101923536,89722468,60933076
10/1970,14116272,20680859,22655426,26513690,77284067,49909574,69550410,95755591,109946401,64597190
11/1970,12127093,22335276,20427723,22389992,38586767,98797231,61260388,90506248,106509681,67399056
12/1970,14804761,17190675,23658383,25630603,46274079,117722387,61110480,67234001,89090977,102922063
01/1971,16743464,21728162,22235545,39385239,102173089,53344653,82809103,74107399,115661759,80603592
02/1971,17521217,25000351,32056628,79241452,59702931,94995250,64259938,83495248,90913826,93166759
03/1971,20705641,26924771,43718871,98396941,52390709,104903328,68979607,92240925,77816974,62981561
04/1971,23999735,34225174,40751126,135720306,59569662,91519977,75659668,56252607,93550900,64947671
05/1971,32381336,59109544,61029699,48574715,135315904,94425632,86548532,57566541,81848571,42394169
06/1971,30424428,76034203,48644754,122595172,93282929,66800664,80271134,59260148,57098592,36573396
07/1971,34864432,78152817,75721252,87399453,129296529,75017413,55642518,61453477,41260918,36592667
08/1971,34391886,63941878,75688553,130759242,61442100,74395361,57631691,72933661,41613811,35049158
09/1971,30615994,67099632,70248989,95780757,79922229,71255868,94251475,70653021,49074754,44207777
10/1971,21961465,37901620,101752415,69049219,70178535,83038866,96025891,68634185,68443988,52300856
11/1971,25027672,52141651,109907718,52480323,75405173,70454954,100179387,62941672,52800247,41558363
12/1971,22292636,48848930,124258160,74646779,46246530,44130202,108336929,82737879,53226054,35666631
01/1972,21455118,40646285,68883829,50742171,135017361,63763477,63033371,116162797,95955024,55943271
02/1972,18437953,27029730,62402971,44290708,90086455,140407932,63255978,73890336,142285683,68036554
03/1972,29227800,38607639,68336609,49516419,98616993,116121775,89209484,76455870,126344165,59488797
04/1972,19581716,42208463,38670602,85655931,93038468,125055671,75917815,87195308,127947585,62288279
05/1972,22727498,51016079,49385204,91940215,71286530,79378278,99360624,89969336,122971427,84971974
06/1972,22113844,54598166,58585442,109825295,62295337,51513095,134574201,92225578,96517522,89595427
07/1972,20714459,41506289,52142504,108778831,70087044,61511858,74877865,135708210,102688261,88810604
08/1972,22090656,49059751,48562532,95597501,63558834,61544836,75795527,118467498,120652671,98968195
09/1972,23509491,34992070,59431781,76115924,84523862,63565385,84609759,83216822,150683974,117713169
10/1972,18520564,32943631,41200067,72499843,56848667,95402442,110447779,67711967,169373295,106786612
11/1972,18361809,31491626,33687917,64110858,74427201,55440375,152459009,79543668,168193636,101420726
12/1972,22296773,29788941,65967184,56934353,72202959,62648322,129257677,140966531,125925213,110763062
01/1973,17531245,23001080,39826257,53167465,92494949,90715679,131159201,159882588,119096555,115335886
02/1973,14519487,19147198,27704078,37996479,52922682,78668480,107946702,158428283,158935918,163117280
03/1973,14389322,17452306,29066230,39441680,45382469,46106889,103471602,72091250,209871135,204415526
04/1973,16652112,15653039,24722129,35664805,34413711,75701599,74332821,84562797,190060379,225056784
05/1973,13934664,14967456,21544650,31343773,36253570,62329250,77606609,80172608,163906306,238605960
06/1973,13191554,15488686,26379637,27446578,30388881,64615549,69356323,171079125,114981346,188392527
07/1973,12824939,11524951,17620368,31327899,30113373,32588458,99900147,154244514,123426710,200056930
08/1973,14273112,17661725,17706158,31902857,34715575,48692477,80288906,196835314,101311033,209003150
09/1973,11811231,17182302,20034238,29599944,34728384,47812391,102701998,147148959,118908392,196499312
10/1973,13401365,18866899,25280917,29109941,48695798,74886257,132305143,139922640,118011261,163778707
11/1973,11806015,18559014,28937770,36530694,112553376,125349772,70141820,82085674,167017128,109484103
12/1973,13035259,21250134,28361334,41495140,68652816,68570504,101740432,173516256,121433227,115237458
01/1974,16093897,20472371,26593541,37677038,57257280,70977846,76088453,141613197,146845992,167761543
02/1974,15389940,24390346,32687997,31710928,112367670,71377866,84991467,112482718,155095631,122803848
03/1974,24726444,23928410,42912569,103929421,87709036,83890248,99801427,87415800,115108272,90638066
04/1974,24598397,29802553,82858782,98313831,66347189,111746131,70715861,64939355,104088222,88318216
05/1974,23602106,39367882,93500004,73303823,86830426,84173967,83806598,77945808,75483325,69037534
06/1974,27008520,41167467,115156522,64173601,87999828,89643254,89119955,66052190,48060774,47216523
07/1974,24048602,68128454,50018838,100005155,53539366,79397273,121945999,59669093,56237324,45667675
08/1974,22862689,27816642,24043174,77091424,82442042,75120068,90343217,97799568,54428388,56891680
09/1974,20480258,28680529,44591470,97756992,61983118,33907379,76974310,82930556,62310209,42134537
10/1974,15677012,23683905,31891579,40192515,57755890,53654835,53870641,87799913,87118358,38030914
11/1974,23629341,32498414,57230414,58793409,99523844,59161325,57352269,57451278,51523070,72646771
12/1974,20414242,32315767,63930401,79718607,72071124,55532494,40237953,74360062,65390905,41007487
01/1975,20733071,45132342,51326912,84441763,66037731,59447724,50164668,80659564,39879079,32617061
02/1975,16145440,32035746,27863471,63971926,60420136,74348184,70206522,82670265,110923594,66833469
03/1975,24213306,55675022,82702689,57204053,106615120,46214455,67896406,88419619,63537308,46319504
04/1975,22833893,43148055,59129232,54988947,97472493,55750495,104906906,82316955,92518592,49530753
05/1975,45758158,55119325,60450557,89189800,121950378,86642100,49185055,84003201,56551113,44892456
06/1975,57284418,70369115,74953874,133798572,77567517,87172093,75995771,53621066,48575483,50812302
07/1975,72389453,61465194,135007139,70359956,114518976,69008009,89085541,70579708,44341233,39587282
08/1975,42077341,91735564,92582175,75645777,139058791,64940523,68651688,57037319,50736633,35583116
09/1975,40238003,117653847,105528123,71460989,100901978,72256510,55784229,53536966,43647778,36477293
10/1975,24142139,61586437,112001363,64498023,79547835,78835719,89028542,75937251,43860178,40641172
