date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,33514324,54577006,27714257,75769018,33210655,27483462,26323367,33187973,33486864,12545979
08/1963,34362835,25297289,59442715,45172759,56379762,32187767,30428345,30150105,30477370,13549277
09/1963,50681822,46085061,64092088,62483924,36733851,27594937,28406951,31741047,14934052,14010097
10/1963,23793749,108450723,23364313,33408504,68386385,24295844,21505274,32880714,21368042,13889032
11/1963,89896763,32403323,33792749,83777421,24935137,24723206,20266138,25271084,32155362,14550191
12/1963,100113365,33216373,33011631,62177665,39490794,27003855,31538357,19688261,19439072,10406322
01/1964,37147100,48153767,75116777,32156207,37330430,80278600,27760499,15853646,18578655,12983415
02/1964,41150067,82166102,66314769,29351142,94777154,33651878,21850404,17790203,15552621,14472603
03/1964,29721260,68291977,43087008,61397657,54723069,26456451,72342739,38206544,14597033,15100509
04/1964,21845634,39905964,91395290,53493618,34225897,90206145,30532811,36010905,19660450,13509418
05/1964,19744271,43284430,89183097,50419509,65219114,85052140,24753995,24675701,20105334,9765030
06/1964,17222541,31716633,70623195,74356854,38423476,51833875,65057020,60691866,15443184,11833655
07/1964,16971737,55311376,60820125,64808117,45452550,53491177,91667318,31999474,12423749,11153199
08/1964,13087959,23806047,59120794,65660452,73771815,41868434,37999140,97336033,29032675,11478767
09/1964,24970936,98451484,42871811,36198131,30818816,70600626,80791550,35898518,16035645,9461244
10/1964,32744181,71583381,77601193,55439099,50363871,46700014,75486533,20839675,19662113,8782558
11/1964,34517806,69973228,45922390,59112567,114701355,36231685,41797477,32915161,18754104,8541535
12/1964,53695415,39391209,42584481,112027129,46865558,46751895,36516681,54989181,16416349,9803524
01/1965,31301718,102653722,81807590,32914334,87360080,44368009,40056457,24503321,10238370,9406814
02/1965,41631971,140280464,79315763,53463767,36592037,55123199,31961883,20171112,14203658,8982407
03/1965,38356664,137896974,89925382,38655629,31554048,56933708,29622097,29929056,20495399,9562727
04/1965,52181672,104717928,77117714,48154796,54612821,42496025,29092196,37470817,20304628,11517470
05/1965,44476392,54274105,65099385,82107779,85784437,44878925,37420086,33840261,31152866,14966134
