date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,20499393,61744163,48186036,48276496,48226872,90758030,,,27196884,18439991
08/1963,24127367,340948859,,,,,,,,15883695
09/1963,26073614,357091288,,,,,,,,16523853
10/1963,24568880,353245587,,,,,,,,15982978
11/1963,25569335,362255835,,,,,,,,16261264
12/1963,26068800,355479706,,,,,,,,16863827
01/1964,26988966,36816625,79762683,69772818,26081472,105048354,,,29450831,33621529
02/1964,28860099,34042776,85953047,73104332,26411373,105498768,,,30268336,34967344
03/1964,64872544,36067741,51212241,73640959,26877558,107486286,,,30868706,35322961
04/1964,63786372,36815835,52536977,76675853,27525000,108649887,,,31165112,36258732
05/1964,64840724,36773679,50915806,77791217,27662700,108622785,,,32114208,36748126
06/1964,63963707,37005105,51688158,79855841,27269296,110199848,,,33761446,37137999
07/1964,68236302,37428878,52894809,80132054,27612689,109505034,,,33664837,37187645
08/1964,66465551,39049787,53371057,84073406,27422436,112762735,,,34765335,37837017
09/1964,64516505,37701018,52667553,83779035,27719277,110035635,,,35480164,36795050
10/1964,64561079,40169921,53696649,86645558,27353204,114853998,,,36622747,37633719
11/1964,64156875,42816176,50310160,86727639,28669710,113050749,,,39902924,38894025
12/1964,63154697,43387255,50958869,85692218,28429232,110902180,,,40833576,38862817
01/1965,74569187,48143067,46182914,30879215,102230654,123665645,,,28940098,13068604
02/1965,73250815,49834989,50455929,33251667,103724645,130367847,,,30417443,14759747
03/1965,39668494,82647222,52315979,34623808,102119073,130759504,,,30172082,15281521
04/1965,39105192,83466955,50701667,33680181,101082353,129396968,,,29826508,15282172
05/1965,40113886,83913111,55489429,35050137,105665777,134410257,,,31004433,15816417
06/1965,44117506,86446402,52887062,35011431,103965466,128752188,,,30690712,15760545
07/1965,39326965,82435822,50591914,32559122,98767700,123293148,,,29160514,15177038
08/1965,40343460,83078372,51921107,33802249,98420136,125849997,,,29982904,15740754
09/1965,41398596,83440268,54611823,34998435,99464238,129812943,,,30884288,16644142
10/1965,41774340,84225881,57902282,37091715,102864917,133894945,,,31931678,17172398
11/1965,43467427,86078393,58663130,38004257,106537396,137674747,,,33332926,17599454
12/1965,43300285,84630555,59762892,37554991,106394482,137022680,,,31968443,18454205
01/1966,39097228,45283072,60225046,64516366,59375746,79862565,89838576,,64827531,27362965
02/1966,40241421,45881954,61799276,64881450,57341856,76965825,94763266,,65069522,28539197
03/1966,39103237,45750935,61571207,62032429,60430858,74229363,95306319,,62285453,27963603
04/1966,37765900,46201333,58719125,64968067,55761465,71480546,94704266,,60921300,27387398
05/1966,37092639,47316220,61871964,67436004,57561975,70782830,97982428,,62670864,27605677
06/1966,32732312,43757097,58223265,67110845,54650384,67015467,90959372,,59907610,26237345
07/1966,34258502,60839604,59118247,45693163,55395625,68563515,86087856,,58775045,26305305
08/1966,33363271,58244763,57514103,46204776,77270059,45958410,83401222,,58257615,28079628
09/1966,30093991,53242585,53721995,42973095,71327996,42412890,75358262,,53774262,26375260
10/1966,30276331,52933727,51682523,42057489,71238654,41588067,74729313,,55084953,25642322
11/1966,28733376,55662435,55489059,43171452,73198062,43271368,78931643,,59197398,26973790
12/1966,38092846,56024102,54057092,41659949,72235248,43739564,78528000,,58515635,27241006
01/1967,31607920,58234155,68028670,28962591,71764433,66292885,81354645,,43488778,27091388
02/1967,35110112,63179824,74040801,31669522,77142955,72306589,87312299,,45671913,30400123
03/1967,35278313,67040472,75562909,31837615,77586912,71463406,86443619,,45133740,29806137
04/1967,38475152,100996260,45919996,33442866,80182517,75115184,89765961,,46466348,31509710
05/1967,40807153,103949873,47647447,34504716,83033613,80466351,91828279,,49073887,32182091
06/1967,37901899,98341559,46652866,33041387,80210058,75642099,87414085,,48000801,31168945
07/1967,38510361,75658942,47771191,62843061,80723099,74441085,89699236,,49848955,31784548
08/1967,41866324,74845401,51071366,66409203,82926907,77827054,96030016,,54249698,32291339
09/1967,41568976,74423667,50215546,66125355,82084056,90634386,80651342,,54306317,31793778
10/1967,41137944,76538267,53034677,69399284,84034270,95398869,81883477,,51956480,33944276
11/1967,40186326,74479323,52251177,69766310,82483681,92063497,77527646,,49454367,32987033
12/1967,37413687,70058973,51496530,73664127,82705715,92974870,76430784,,54770997,32620621
01/1968,42919350,47338129,57807652,34096419,117554199,66504179,169274216,,12461800,52991361
02/1968,38957045,44914484,53069664,32289284,114640348,63848387,162929321,,12018349,53422039
03/1968,36096105,42085862,51417478,30584380,109561060,62877237,158259398,,12312889,51899105
04/1968,35696428,44693795,52834719,31438887,107543907,63607803,156741678,,12379823,52229785
05/1968,39066077,49533325,58544393,36009341,115637366,69698816,169430217,,13175107,56730156
06/1968,41037755,50305952,60252019,37246718,117277871,71598533,174622540,,12382484,56765467
07/1968,38742218,50893484,57420456,39997625,120732960,72261429,177171626,,12027243,58149277
08/1968,36105017,47231112,57203486,38528108,115968144,70934429,173818922,,10380438,61388385
09/1968,36259162,48265697,57430314,39094792,116804991,72111382,176629432,,10770707,62236370
10/1968,38495339,49943427,57125984,43233105,120826458,76558771,183879764,,3107973,71111944
11/1968,38686080,50166865,57286643,43561465,121034940,75600192,186838436,,11815361,64663840
12/1968,39539028,54381640,59053873,47212785,127663917,78812402,197196812,,1296707,78731989
