date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,34256424,6913754,20470673,9502592,14128890,19119888,6446148,20956227,16326088,26446435
08/1963,34117468,6880553,20783390,9468190,14100602,19462283,6420257,21052202,16159134,26573030
09/1963,35510914,7317080,21499009,9899682,14941583,20048644,6944066,21955813,17062698,28324818
10/1963,36212433,7131512,20884901,9766837,14694548,19331120,6693277,21850936,16671185,28490923
11/1963,37661695,7183104,20433273,10225783,14646408,19929010,6955650,23464952,17071822,32399868
12/1963,39238635,7041345,20180145,10158102,14107573,19937428,6852617,23121210,16881383,29701193
01/1964,39723832,7528567,21173054,10370807,14757230,20819920,6983536,23956032,17402611,29624156
02/1964,41208928,7594005,21558215,10638376,15319115,22222164,7144154,25368534,17672696,30053394
03/1964,41993486,7792074,22151897,10748435,15403430,22308196,7289304,26350856,17945525,30385362
04/1964,41788905,7819705,22278101,11299123,15924054,23019719,7708858,27079455,18276614,30554095
05/1964,42101528,8623837,23209431,11040699,16072821,23324475,7543982,26244654,17948917,31692196
06/1964,41445691,8922736,23646975,11092975,16174882,23562470,7570890,27009982,17835937,32442669
07/1964,19686750,44904590,20865569,8882131,11360171,9113235,21365282,14124004,28572282,46057952
08/1964,19970675,43953450,21336342,8869277,11417489,9281605,22036801,14355373,28047880,48681377
09/1964,19844372,42971837,20842567,8896746,11207656,9350197,21673496,13752977,27043553,48832498
10/1964,20314403,42440574,21484670,9219886,11884212,9619178,22504825,14281352,27518882,50585617
11/1964,20688680,42042646,22712441,8956568,12078806,9863366,22581146,14333842,27062013,50695808
12/1964,21160156,40597038,23493283,8967007,11661637,9920844,20738394,14242980,26594319,49610938
01/1965,22093781,42434884,23365760,8910932,11639955,9811336,21045678,14302284,26681901,51268068
02/1965,22829796,42455664,23059906,9313638,12367500,10405401,22071819,15129164,28660068,53191654
03/1965,23104090,42586244,22685168,9406042,12511994,10773140,22059649,15348426,29032414,52850125
04/1965,22701495,41749536,21803951,9435133,12462823,10625913,21424928,15303715,28846534,53074327
05/1965,24387678,42988904,21896072,9938866,12682454,10987336,21919747,15818567,30207951,56388808
06/1965,24287808,43974596,21737364,9694330,12404193,10745779,22428483,15593753,29759217,54461577
07/1965,50029888,12367273,21747050,13939537,6071201,25349347,28419150,12212081,27092062,54755810
08/1965,49928330,12789993,22247457,13803612,6274535,25988659,28260139,12349850,27540485,56475768
09/1965,50433147,13110210,22588871,14161066,6627655,26954463,28156306,12786842,27876625,58411225
10/1965,51061470,13517174,23918451,14637849,7012657,27586540,29756996,12977163,28757495,62519603
11/1965,50729779,13981814,24293174,15205471,7489129,28404108,30998258,13635953,29534743,65739268
12/1965,48270437,13867524,23954759,15215777,7615499,28162988,31819343,13457714,29415192,63133585
01/1966,49038783,14739773,24220156,15788932,7875372,27582143,32637611,14224386,30578320,64463683
02/1966,48646744,14921944,24462509,15799756,8487476,27423294,33199375,14364605,30818603,65111038
03/1966,48512309,14263571,24097336,16170353,8825401,27990928,32568014,14460692,29512413,63103294
04/1966,46171822,13920458,22979974,15574457,9098719,27631426,31716496,14325116,28339286,61839831
05/1966,47070027,14062874,23756681,16246447,9127265,29339503,33288503,14352451,28432891,62670736
06/1966,44923049,13220029,22557470,15163354,8278669,28372111,31166954,13663710,26906745,58131652
07/1966,8578472,52506029,14387498,33675997,12509191,19534381,27759720,31315912,31880571,49586966
08/1966,8420583,51969848,14074821,32571862,12083240,19693747,27978289,30516092,30253182,49927059
09/1966,7495430,48553895,12828511,30728450,10924702,17815297,26020707,28656140,27597224,45950426
10/1966,7178849,48233343,12044861,30643025,10860030,17571321,25025613,28372794,27128843,45658782
11/1966,7374830,52258019,12474359,31864986,11135386,17868435,26337713,29624595,28794632,46358576
12/1966,7786049,51192965,12409003,32147033,10918724,18756470,25508713,32856559,29556663,45014047
01/1967,8290260,53405741,12890493,31615463,11196799,18855391,25699276,33120689,28968690,45273387
02/1967,9479663,56560783,14276209,34637537,12302934,20456705,26753298,35931878,30991478,50000038
03/1967,9908082,56621262,14183204,34897550,12078732,20517521,26225168,38205102,30889210,50445620
04/1967,10557600,58788729,14777109,35771743,12657281,21635490,27697828,39811531,32519483,52199762
05/1967,11280731,58802790,15310050,37616099,13134600,22062004,27945497,43096663,34087028,56440201
06/1967,11044042,54999693,14412994,35680235,12803944,21122453,27079382,41152229,31941458,52730579
07/1967,24527132,62668785,20830711,54620009,42171205,25450219,39711822,25722537,43328972,63105820
08/1967,26065684,61286814,22063337,57039410,45261731,27300044,41786737,27519976,46488641,67058463
09/1967,25733181,60467851,21915298,55973592,44384862,27145100,40845171,27084669,46487198,66254676
10/1967,26443239,62122408,22503957,59654303,44625889,28119696,42951619,27690812,47878677,68452806
11/1967,25925961,60539160,21531237,60667031,43901965,27287518,41690805,26162732,46191346,66923754
12/1967,26588926,59741429,21429271,61500714,43925783,27080146,41011589,26453800,45678055,67436382
01/1968,29593640,61940864,22978121,64069301,45667420,28937855,42611104,28121844,46660420,70854089
02/1968,28030498,60951423,21864275,60140475,44348598,26769855,41249825,27399866,43735117,65874198
03/1968,26278865,58712475,21155424,57931126,43185328,25541892,39598377,26302734,41822599,64161453
04/1968,26822581,57935322,21036729,59680476,43669241,25872537,40134688,25726751,42141646,66087740
05/1968,30423200,60550656,23308263,65929338,46823877,28813376,43276726,28691793,46464292,72463961
06/1968,30781092,61010520,23972789,68205900,47143055,29089622,44140446,29433118,46231565,73417695
07/1968,34322983,32739389,70873759,26722676,50172749,76881712,39848481,55634372,33324105,70494976
08/1968,31756049,32380053,70766075,25800230,50028231,74098894,41100704,53936984,31684223,67935419
09/1968,32324032,33148653,71335974,26690286,50424043,74480528,41287509,55401110,31938470,68546987
10/1968,33898203,35143756,74703505,27682573,52525290,76797035,42579864,58001238,34273931,71487875
11/1968,33958242,35352038,76404106,28407994,53558191,73765943,43266958,57698578,34437009,74066309
12/1968,36485696,38092450,80121045,29447483,56267302,78089901,45839541,60276504,36547542,75034870
01/1969,37852410,39731842,77706971,29642247,56298942,76349351,45120076,57949133,36123064,72122592
02/1969,37125694,39267456,76974361,29611200,55586400,73764179,45163298,56850641,36393475,71356080
03/1969,33463909,36712868,73899287,27578044,51781435,71151033,42780880,54301869,33900313,68623486
04/1969,34127618,38386171,75628988,27942771,54043703,75233621,44392458,56244729,34689355,71817950
05/1969,34642769,39604798,78775363,27974426,54051942,77144704,44816193,57676445,35578240,72975065
06/1969,33885302,40214192,78994224,28203586,54290973,75887994,45744607,57279353,35019077,73079786
07/1969,27496620,29322514,65374409,44940166,31731773,42589712,54517071,38728146,63957979,98198210
08/1969,25207808,27309528,62364687,41627991,29147100,38243596,50333174,36606126,59839352,93299450
09/1969,26961522,28600147,63858517,43911837,30820729,39890080,53395226,38254527,62129948,98609636
10/1969,25747262,28199070,61030966,42754052,29631654,37942959,51490786,37493403,61858946,97451645
11/1969,27336096,30356464,62737594,44595763,31209556,38982856,52925587,40289047,64956759,102805545
12/1969,26395577,29034713,62206818,42631821,29279974,37738108,50621836,39350067,62341856,99869737
01/1970,27977660,28719265,59837356,42307200,28995039,37135857,49537571,40187075,60329971,101953722
02/1970,24779925,26107572,56435306,37598881,26482013,33078473,45824988,37442965,55483838,94426602
03/1970,25784245,28313817,59440248,40630421,28480925,35461348,47811018,39358266,58832950,97485357
04/1970,25022527,28148052,59853060,41008366,28240468,34980155,47483695,38457321,59576269,96574935
05/1970,21256675,24548393,53645365,36648809,25674322,31824151,42600063,35917243,53773216,87343587
06/1970,19060368,22456760,50377140,34083752,24208690,29805302,40808962,33651811,50780281,80759851
07/1970,22014359,42878987,21771634,26385261,37932823,28694136,34043809,38218117,58665388,65349199
08/1970,23556319,46893396,23638371,27911894,41398660,30483848,36843530,41963008,60646807,69382049
09/1970,25040657,47806674,24653724,28911351,43442304,32283889,38549762,43354590,64070998,72283655
10/1970,27339753,48778376,25621806,30183283,44815804,33531285,39663246,45544408,68972875,74539967
11/1970,26385056,46804105,24673762,29239977,44342783,33136846,38796436,45890086,68099981,74328457
12/1970,27082741,48762170,25544613,30092384,46739123,34068690,40373049,47579100,71480658,78804185
01/1971,30169892,52822882,28422951,32587818,49946182,36620965,43694857,49952717,75737859,83945997
02/1971,32313705,56815160,30165446,35501868,52008259,38209281,45436406,51357291,78870455,86648276
03/1971,32462058,54890542,30523387,35722125,53187854,39698597,46495187,53254514,80932124,87468711
