date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,6793954,6518865,10053015,13737716,15161850,29590092,30416365,35428910,51894725,186686959
08/1963,6799822,6563699,10269830,10467985,18103959,26482852,27976328,35724477,54103791,188832299
09/1963,7093403,6721096,9976857,10696908,18701383,28140909,31313698,35046556,56809691,199867552
10/1963,6813638,6174326,10129255,11455101,16955731,26743589,31643901,41719728,52001003,195081720
11/1963,6859004,6334155,9620441,11445572,18812221,28724448,31666691,38248842,50535704,206977755
12/1963,6988598,5613579,9460591,10946249,15102526,31134525,31792118,38808272,51797408,200994480
01/1964,6904627,5796865,8852148,11294144,15723175,32677305,27356963,41223375,54666716,208217409
02/1964,7376743,5737937,8984071,11935676,15790944,32586030,28718362,35680085,60144439,218465688
03/1964,7636579,5870909,10199254,10834594,16655504,33748604,32744279,35259796,62598827,216904699
04/1964,8284506,6016214,9734474,10386220,23409242,27314358,32323491,44255770,59903983,217882359
05/1964,8192272,6572972,8361836,12088013,22133538,30285379,31202776,40547142,61682369,221901034
06/1964,8488196,6428885,8204926,12523665,23220975,28439630,32353116,43390030,65469671,220146938
07/1964,8432211,6214993,8792436,12522834,24292771,27648891,29783521,49426795,56623772,231153931
08/1964,8587280,6907594,9068007,13194167,22531730,31765382,30555346,45952241,63596796,232360314
09/1964,8607797,6347027,10345429,12258753,19259295,33038993,32539312,40466524,66506042,227620525
10/1964,8834645,6916606,9876072,13102641,18858927,34989195,32591402,43679296,65644307,235934489
11/1964,8950310,6641790,10035601,12830721,21213575,31586805,36671677,48028888,65928009,231909059
12/1964,8924001,6625981,8272686,12754921,22056001,35072159,32488449,49744155,65784786,228559782
01/1965,8284121,6542916,7642407,14182648,20127607,35467017,30961544,50930726,65632940,235917020
02/1965,9326992,6782347,9291797,14377345,21762577,35443440,31381279,48771924,74788759,241810654
03/1965,9582389,7101821,10525839,15157846,21392715,38382926,31905780,46995181,74421314,239961718
04/1965,9744864,7552768,10035592,14764083,24471393,30450052,41058946,45784074,73612235,233665739
05/1965,10815289,6779273,12647587,11944774,25340124,30299202,44758135,45703177,78348444,241230906
06/1965,10146480,7236484,10500489,15818554,24174598,33212778,42042985,41976904,76497439,242740675
07/1965,9253675,6622139,9059793,12053484,24671832,24841433,35514593,49524481,71554823,234409609
08/1965,8975964,6695282,11130839,11653029,24084642,28400424,35451757,47578847,72287645,238981250
09/1965,8841665,7719759,11501421,14530156,22460475,27962011,38470046,53736396,68637989,243922088
10/1965,9426724,7038406,12625549,17748400,22101227,25360252,42096136,55941451,70541737,249829684
11/1965,9994061,8316489,12222961,19637313,23544755,24953140,47116242,50579237,81846957,249317917
12/1965,10210635,9427174,12964009,20897345,21552630,29448327,45364462,59033487,109448554,207407274
01/1966,10824265,9928401,17777705,16230365,21185918,31709228,47212270,59308169,108811743,214038090
02/1966,11288661,12409631,18242211,19319571,26407864,31546798,45971059,55955273,115120380,206508361
03/1966,11622933,12815259,19864177,20099624,23970516,34635317,48871744,49346693,111431819,203061225
04/1966,11411362,13103596,18029615,19096217,25295762,32243105,44378195,57032805,105129889,197593891
05/1966,11583002,11978158,21127087,21028816,23282249,33876859,44118549,52085814,110376478,205972759
06/1966,10516108,10622612,16847294,17866493,24501857,30231487,37894327,55577683,95025671,206667796
07/1966,10197490,9900776,17153032,15906619,25554558,29915764,41457307,48773647,104448650,196559731
08/1966,10495224,9008343,14612419,19474056,25141572,29774221,41079199,47878444,100487357,195550204
09/1966,8865670,7404834,10536673,19032048,21242461,29685027,31369714,46275309,102095172,177760129
10/1966,8817051,7313091,10651739,17836716,21711557,26471967,32000236,40223949,103395117,181637646
11/1966,8766075,6694079,10541993,17844625,22570645,21850225,38556431,37951320,82393226,221785499
12/1966,8841871,6718332,10461164,17060515,22934558,29459916,33965774,45690458,104188374,195305036
01/1967,8682405,7020500,10685558,18221369,21869630,30870966,39781098,45524931,107265803,191261777
02/1967,10442185,9106483,13525253,21192416,26805100,35265009,38672762,57539966,118252769,191323957
03/1967,10870584,9424560,15373922,22110967,27195534,33741490,41478224,53818087,133873293,178408816
04/1967,11463796,10395631,13548591,27667857,25908606,38770436,36702630,69403714,126637391,187934271
05/1967,11502466,11504655,14067063,29368323,29510731,35860828,38898766,62516545,143644884,194108321
06/1967,11730969,9128942,15996624,27060066,28820633,34832562,45930045,60697829,125777797,184639425
07/1967,12298356,10814615,16785116,31596959,30337081,35183420,46073774,59815019,127351571,187913720
08/1967,13353870,12179804,21972260,29498225,35922403,32641748,51993688,85019922,95529307,205801054
09/1967,13377340,12080053,24077206,28443878,33447132,34005314,45857154,91220064,96911625,198214924
10/1967,13821503,14162778,24953703,28860733,37773524,30225569,54567073,93976964,93437996,202482765
11/1967,13050844,16127609,25491334,25945616,31606167,31540677,53178961,82784462,74087146,224812369
12/1967,12563055,15472271,24756664,27684764,28210687,38577380,51429789,76256601,94314719,210760509
01/1968,15717326,19715529,21229183,27667400,31512893,46017871,51840861,84594503,94368766,217708757
02/1968,15458617,19584308,25974817,27581050,29933815,35876629,54811760,59615935,102549632,214557780
03/1968,13619877,18427488,21830688,30598186,27493161,38909972,44233275,56733813,102382129,209622354
04/1968,14654402,17759209,26545545,23716233,27775386,34353229,51879145,51320571,93601640,224114892
05/1968,16551401,20317456,27380447,29107090,29163160,38270770,59489122,82685708,70355938,244763508
06/1968,18846283,24190332,28164086,27823769,33331127,44070102,49546304,81063278,104033411,221623541
07/1968,19182393,21462175,28035474,31486783,31695615,48047728,49512753,91041122,86365513,232684039
08/1968,19476465,18594207,26469981,28926679,36979453,41797635,46869800,89918066,78742365,235868648
09/1968,20166731,22624251,26455225,30811003,37039510,45904375,43483527,79577140,87571360,240768335
10/1968,21100194,24291544,24287977,36692331,34663587,44655809,57889562,75428629,103732851,238552759
11/1968,22314328,24477341,25506169,35924110,35817263,56620822,54162526,75713653,91519426,243522955
12/1968,22641467,25122411,31103587,34745536,43063647,58548526,58162731,87092972,91254380,251500866
01/1969,24252179,25921406,27556813,36097763,46576894,57443991,53859477,92779248,86680037,246045241
02/1969,22885547,24834959,26866870,38517534,43119725,50287869,67561474,88576771,90662473,238796921
03/1969,20267663,21673096,26067428,32894708,41182672,46769342,61847242,55898277,97397797,249294023
04/1969,20695120,22975652,24065537,35653333,38095566,53168507,61134429,54464904,105101657,257439861
05/1969,19777853,22971918,23672856,31161575,48159799,52300085,41610888,70843703,119421051,258545211
06/1969,19863442,21616959,24233132,31454447,43648486,47722667,51390485,71145722,106217736,270174206
07/1969,16198482,18252237,24646127,26895971,37317205,43595318,60115249,52991012,72161932,288961679
08/1969,14819761,14425461,22131041,22659164,34578152,34650835,57130848,56118222,67494020,276193907
09/1969,15189752,15408997,21054383,27246985,31273870,40567257,65749086,60692085,97056454,255758329
10/1969,14583982,15469489,19652684,27794215,34096493,43848589,50680928,64012110,97429986,247344387
11/1969,15745450,15024658,23644776,29084745,34225035,56514448,46677613,76915303,100604472,251224319
12/1969,14360618,13920961,22180770,26006878,38756416,46732409,50188536,62979116,112010731,239029193
01/1970,12081106,13110138,18123559,25748402,39420835,35581183,65449659,65368041,102208897,246096404
02/1970,12828270,12779287,19938304,25510879,28731038,52442941,44396779,59987767,92815330,226528358
03/1970,13161983,12081634,21160118,24084646,30988572,53243820,48716758,58374533,110725183,236074956
04/1970,12695987,12169945,17037719,26454145,32058854,52244301,49888082,57446865,110710115,234392052
05/1970,10846880,9971365,14347316,20668490,27601561,39423341,51767998,48265142,71930068,245432925
06/1970,9610158,8836632,13231650,15886535,24870853,28489429,56910753,41236436,70183479,233530168
07/1970,8011854,8173332,11768634,16382231,20710764,31619149,42050171,48934551,61798184,226526171
08/1970,8562263,7873075,13612025,17035179,22197596,33255883,42613616,57168244,62900955,248742453
09/1970,9038111,9393970,14127688,14685499,30364005,31928471,45771839,60827088,68497853,252819132
10/1970,10270226,11764477,15783120,19021330,31301624,30587833,45938961,67917950,91547114,238481186
11/1970,9130596,11294509,13527310,19397069,27688312,33138417,45040158,63879706,91068482,237404516
12/1970,8731812,10113887,15166306,18271522,30026278,30680873,55488838,65649812,93282981,250212968
01/1971,10300484,11374371,16826383,22538362,30455737,37209307,57754545,69609181,102409911,262892857
02/1971,11745948,13534642,18367791,25326695,34175655,46660424,65134136,57719057,114223636,266445066
03/1971,12476654,14418413,16912082,28098331,35272733,40526825,61695335,68529981,111982853,271827384
04/1971,13184838,15178847,21358119,28569666,34718888,51642940,68279367,58467556,113473208,286440170
05/1971,13278280,15783223,22474233,30509861,31289517,58744371,55188208,76126530,116954479,294205566
06/1971,13422089,14155609,20331348,28543063,33763569,53658381,66414897,59330710,109931176,287140360
07/1971,12211481,13800152,21201209,28455225,31789602,48824022,72729710,57771427,105167655,294536364
08/1971,11555890,11790807,20029853,24175091,33667901,40020057,72354113,55831118,119421756,270188996
09/1971,12541176,13212838,19788533,28777229,32741129,48461380,69065034,78803546,97173588,284692347
10/1971,12057633,13688336,17813764,29643577,34334583,52066466,60707335,57335983,111935682,292195976
11/1971,10643218,13195388,18792219,23534281,35592390,49178676,60930750,50411469,113038837,278212176
12/1971,10556098,11984546,16426182,25021779,30663832,47057114,63594608,48985332,110336194,286406882
01/1972,11752302,14478007,17559688,33317600,32692064,59628274,60957855,62103683,120671352,311252766
02/1972,14055113,15320928,25270039,26991944,45747045,51102697,59802235,70152705,115582905,320634075
03/1972,13830298,17225501,23281151,34079534,37534441,53148770,64061390,94128776,102944119,325777256
04/1972,13966947,16073870,23260094,34604658,47051520,52227879,49941330,101648323,104990010,328621738
05/1972,12597788,17559038,24773022,33532692,41913906,59457957,50462637,92129995,111626161,333457140
06/1972,12407965,16141097,25170057,28483212,42284210,54136343,55776064,91483546,109431228,350994063
07/1972,12646748,14088329,23604646,29255604,37233798,54404252,60054565,87348474,95298194,355648614
08/1972,11033673,14330718,24621482,26378322,37925777,50187351,62526278,57347529,117924866,363375662
09/1972,11475856,14864639,24370209,26967064,38654560,48042646,63729801,65189593,121298126,377085661
10/1972,11113031,14449697,19182636,29456492,34702602,47439500,56870662,74867183,120665192,377011474
11/1972,10203387,15945772,17436442,26262998,38816448,42872093,56159449,81883233,128542983,374430972
12/1972,11390184,15631114,20861341,26795411,35882144,43364530,68988858,84263020,129949367,391711523
01/1973,22936070,22317227,28903851,31942529,40642366,59972134,74456329,107889856,153293403,435692686
02/1973,21775771,21410041,25244732,32141059,39878375,54417579,70094829,84181247,165122495,436149121
03/1973,20224101,20154636,20646990,32001566,36074791,47491480,64973462,84170207,154780338,424031188
04/1973,17833429,20007919,23616539,28938560,33608530,42815009,67384492,74536402,132720097,454251905
05/1973,16653099,16905510,21900235,25386313,32914871,42484710,59559462,78614935,120856988,432828706
06/1973,14818270,16132711,17391260,25573897,25454125,39695002,57091136,72609576,118438995,436654001
07/1973,13660093,14821286,17051582,21861896,26961588,38664427,56137824,62558334,117018589,445134565
08/1973,15845179,15445220,19478484,25134285,29990019,43026963,60912481,75887194,108643770,464147469
09/1973,15773816,14129341,17275324,22195344,30933027,38481879,61788127,79531973,109191874,437989224
10/1973,16183282,15401739,19685115,28591617,30995288,42177571,70054145,83959171,137712156,427615422
11/1973,15089246,14612224,22929814,22827797,33410082,52764609,52969515,92390696,149195865,413854769
12/1973,11583668,10828279,17646607,18817960,27605898,34342348,53769892,73717412,102331984,408487058
01/1974,10345313,10551803,16685729,17972630,25649063,32643490,53087988,79127705,118922788,400863605
02/1974,13190597,12373169,17931722,19623435,26278294,42970393,50717851,80536254,119263449,385149790
03/1974,12781017,13390803,17253086,20842609,29134439,36410186,61320856,73521727,118214014,381531711
04/1974,13007734,12271341,18191268,20201513,32745922,33051412,55986609,75092569,104337916,380922459
05/1974,12152595,10996076,19052406,18463390,29757990,33560499,51415828,54900868,107733387,372528304
06/1974,10883720,10136785,16034648,16337756,26266229,32854832,45771548,60524713,95038155,364949176
07/1974,10278519,9881207,14804206,17295953,23375456,33065920,39444107,61211220,102248075,350059580
