date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,24435442,24575649,24926152,69682468,22307698,33125618,36012118,24713430,41744543,21580867
08/1963,24662701,24523396,24832199,70252972,22147289,32555602,36192983,24533426,41656728,21467856
09/1963,25603714,25769640,25941945,72530248,23476651,34070019,38249572,25709626,44279682,22862575
10/1963,24854193,25289764,25411811,71827921,23174289,33849841,37884206,25332601,44070651,22379511
11/1963,24717449,25382386,25349191,73250868,23635684,34724983,42090401,26358756,46067369,22628113
12/1963,24543761,25144314,24883377,74234770,22992746,33585224,39503488,26086060,45565101,22173704
01/1964,25283106,25852996,25477676,76760689,23541578,35093179,39767027,27231235,45174878,22412194
02/1964,25707906,26364280,26285063,80022209,23872902,35841854,40714140,27331325,48839067,22557659
03/1964,25891797,26582942,26579548,81086780,24723281,36833344,41142782,27606832,49827640,22866239
04/1964,25867198,27083851,27232887,81272260,25645181,37956579,42183221,28114437,50906720,22787882
05/1964,25994787,26764781,27824720,83377107,25445456,37857188,42961211,27374229,50255415,22701830
06/1964,26155245,26868007,27921144,83555826,25847913,38120264,43484325,27472637,51377277,23083844
07/1964,24103648,27562664,28351999,96631433,25360602,22869985,21340661,64231496,52852030,25708708
08/1964,24701141,28752683,29096877,97396141,25609502,23188056,21857066,66968754,52877494,26243998
09/1964,24422728,28972687,28660856,94776651,25301568,22939895,21649141,66767593,51349693,25774602
10/1964,25448245,29407701,29511787,95949484,26404141,24397296,22328145,69601022,52276690,26058403
11/1964,25455939,29880214,29690677,97492249,27277881,24444375,22076114,69821389,52013276,26410819
12/1964,25569975,29920574,29632844,96515804,27284723,24597525,22298406,67144968,52172510,26690304
01/1965,25898781,30293804,29607244,98589768,27333378,24501195,22300062,68563308,53359086,27139622
02/1965,26966805,31460885,30791026,98524083,28469697,25324431,22733255,72130377,56470716,29028450
03/1965,27230569,31610240,31144837,96393290,28519553,25642884,23091525,71852430,57284750,29601042
04/1965,27181658,31191314,30791444,93862318,28312091,25328510,22984677,71343509,56674267,29142423
05/1965,27728902,31672844,31650994,95814068,29046470,26355567,23716856,75472430,59972221,29912881
06/1965,27173853,31427405,31558990,96323649,29123990,25804983,23593229,74140573,58971465,29914161
07/1965,30084150,31870744,75010283,44395391,36399113,19594752,49321644,57180128,28912996,44636969
08/1965,30776562,32225855,76165690,45062830,36740463,19646964,50030131,58032491,29451612,45453617
09/1965,31021911,32739677,76641879,44951008,38132726,20655591,51616657,59934029,30594229,47173350
10/1965,31433568,33413229,78511199,46385109,39689221,21454489,54590112,62891149,31306327,47909259
11/1965,31976018,34109077,78672934,47806169,41269828,22239178,57583725,64993147,32346126,48945497
12/1965,31693418,33729438,76003964,48106402,40961094,22618964,55366261,65585885,33445624,49056729
01/1966,31640027,33879745,77408263,48900791,42223131,23635826,56121496,68062726,34146009,49259296
02/1966,31862175,33352249,78346583,49307373,42900993,24212983,57051869,67504331,34697673,49445544
03/1966,30858083,32160870,76949174,47944832,41962701,24458164,56436227,66398168,34577748,49291506
04/1966,30276208,31670377,73398524,46923149,41357648,23643247,54268633,65519644,34321986,49320165
05/1966,30402687,32330400,74783548,48236489,42396376,24356448,54446349,67849476,34939764,51019222
06/1966,28850774,31175841,70434148,45473788,39988469,22087161,50232481,64177715,33597042,49300246
07/1966,27826646,31957767,68458150,50270084,41071459,24568604,46066989,64928677,29309983,51333144
08/1966,27625365,31829553,67228791,49815622,40924794,24138655,46053972,62524764,29744914,50675006
09/1966,24938966,28886893,62457617,46176496,37533908,21980684,41759465,58350302,27941053,47265214
10/1966,25398113,30180593,62150454,46173245,37056245,21750718,41790847,55457429,27809090,46964481
11/1966,27803971,32270658,67825201,49025075,38029595,22287657,41477055,56639809,28322318,48696123
12/1966,27609025,32302938,66082665,48156753,37523707,22344224,40735587,58075417,29720034,52783815
01/1967,28453326,33358453,68025967,48894951,37645836,22930525,41247155,57263215,29839103,52730988
02/1967,30067836,34394253,73055072,51720150,41670376,25569650,46009086,61944571,32746383,56209287
03/1967,29577828,33969441,72634456,51210285,41239604,25715913,45886754,62707025,33413138,59002738
04/1967,30199835,34687745,75383689,53917388,43539882,26651257,47793013,64950591,34887427,62299598
05/1967,30696939,35707542,75815114,55169119,45616584,27499980,51949592,69066153,36339376,66829845
06/1967,29502558,33857443,72102877,53096332,43464210,26426802,48311259,64357531,35484918,64074505
07/1967,33710936,35698863,80256979,52001082,45088962,48963436,41192860,45916740,62923257,44352017
08/1967,33898276,37063263,81248200,55155735,48551121,52934911,44825608,47316211,65447433,46147972
