date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
12/1971,,,,,,,,,,128496
01/1972,,,,,41355,,,,,381280
02/1972,177542,1125404,707222,365783,626500,935426,1214056,1647205,415781,1897420
03/1972,909793,678606,2200581,2057082,3000599,2312114,2690984,2838142,3748341,4540561
04/1972,2061473,1170923,1486986,4797845,3591423,2212789,4751672,2898806,4952824,5006095
05/1972,6057054,4264482,11345795,8231972,16763623,14509908,25984763,33460654,34346867,89030184
06/1972,10449316,9935656,24111510,18710383,30938292,26950486,51210040,58320761,90824367,137220239
07/1972,10506850,9882737,17269097,25539923,23691492,58025251,55709021,60994142,92553294,149247006
08/1972,6184644,7540303,9177525,14372825,40453522,18715839,29961217,26284759,30146400,93262098
09/1972,1864468,2092228,2178735,2453956,3103728,5913900,9182612,21871224,10683475,15036366
10/1972,584797,402189,427218,1155057,2857626,3669547,671248,2954040,3023668,3893173
11/1972,804558,333881,984960,1432419,3244169,464987,3352766,1786907,3165883,4069676
12/1972,1029270,1119196,1834311,1977383,1264138,3224403,4394292,2529830,4527668,13634561
01/1973,643842,1367105,1096638,3261960,1451969,4370604,2702070,4415788,4249095,14419655
02/1973,2273994,1030647,2616933,3148002,1964869,2778321,3743323,6426913,11391508,6943786
03/1973,1107437,1919847,4351898,3499634,1539187,2319001,2948589,6625503,1782788,7686637
04/1973,2205870,1038261,4791484,3569008,2331243,2898275,3018004,4088157,5128401,7256256
05/1973,4903671,8199166,7466079,12308934,19278417,22427701,18735099,33136064,36134504,120268479
06/1973,6874967,14549187,14841103,31072513,26190929,37890240,43934071,47722849,65011428,185985580
07/1973,6558079,12359199,17780651,22211255,51671862,36132055,50735650,48747033,68123159,197798966
08/1973,4223268,6395577,12902501,34188006,17837956,29833127,17989307,23902147,36896388,89041085
09/1973,1033542,1254179,2412929,2217624,5359964,5094175,18383421,2283457,10667286,15299354
10/1973,1121752,726496,1145469,748635,5067411,1359659,3241285,2402391,2793329,3018883
11/1973,414043,411272,804723,1769291,3081700,2831293,2323135,1837095,3747940,2337613
12/1973,592168,915050,958736,2792857,1043146,2188545,3445674,2429517,11687845,2475846
01/1974,406836,834274,943345,2286892,1328518,1473332,3472289,3189649,3693696,11290415
02/1974,544470,1001246,1735073,878917,1307250,3040859,3738069,3233617,9810401,4435782
03/1974,871322,468628,3573527,1398350,1501954,3314029,4671356,2921628,3514806,7313597
04/1974,768508,812154,3077092,2995559,1559041,3846838,4706571,3449207,4882304,6457545
05/1974,24116737,25654150,10337389,11162281,20758176,20873234,19844091,26205912,58474630,91425665
06/1974,26711655,27954843,19384429,27686626,24955048,34374214,34687029,47356085,91447827,123748648
07/1974,22460426,14601129,30614268,30181387,42375360,33741367,36013607,48196968,90110519,131758058
08/1974,17386904,12876821,14237946,17817159,27182546,14573169,13180922,22876631,51431654,43723431
09/1974,6824619,15719109,2380762,6325555,4574493,5561632,7495882,15069065,9306597,9612223
10/1974,6012820,13412630,1767153,5062339,4360595,3665345,3175776,6410331,4322881,4187928
11/1974,5097317,14252865,4952759,2439222,3074680,4670120,5136547,3686699,7922493,4707085
12/1974,5439630,16830096,4448700,3173718,3510906,7421870,4296336,5685392,8388913,11076164
01/1975,4371940,15991039,4581404,3642711,3612933,6975629,4980545,4410101,7375710,11787058
02/1975,2443457,19108277,7027120,4908543,5867392,6950101,4979188,5292209,14283487,5112768
03/1975,3059453,20252873,5245814,5769323,7149075,8915312,6993507,7159617,9845606,8980758
04/1975,3068858,21717367,6248393,6221904,8771525,9679816,5981762,11305181,9613561,13411423
05/1975,5804297,23547751,22174450,13717335,16941809,28159699,29428011,31689650,57910958,70659276
06/1975,10339262,43727528,32034854,39846628,29288274,45343246,44014142,94365874,83327496,102690162
07/1975,11707996,34031409,63227878,41628103,70250894,54944624,49850159,93072401,89434208,110783038
08/1975,7391119,39387750,30519056,29086043,67688875,45486766,38698783,85375802,55374571,120846889
09/1975,6723807,29703841,24591819,28952329,73128076,29132607,43734851,80814861,46654955,112928996
10/1975,7306597,31197577,18286789,28346738,70928635,30726579,38504168,79529483,47611991,102302628
11/1975,10576012,29783812,16920604,41501620,65051580,38860753,61136675,58852913,49552221,104185945
12/1975,13161085,33349317,21819508,25773729,77347439,47611893,63211991,61933837,64642847,106216124
01/1976,12410855,35431847,18854513,27732625,78789894,46552407,63909088,62432928,61532030,108776956
02/1976,8327850,26412007,18722108,51661715,37072647,46791767,34379140,60105439,36747626,78369906
03/1976,19866610,26997570,27616076,64577517,35421034,62506878,43548736,78529202,77712517,101988120
04/1976,12156060,36256234,31638130,71157351,40339695,59937931,59787354,94313093,78340849,120463849
05/1976,16979432,26165188,27321429,64825503,35270087,38851292,44940477,77021583,35243987,87864186
06/1976,21378016,36570521,39392264,70459398,45552979,52939527,74445191,117477655,68674079,130268980
07/1976,21809557,35637536,52822983,49505534,86586270,63055809,85089543,120809618,81477836,142911998
08/1976,33634038,32834255,49755148,77390717,46629233,80556264,63109964,78316537,115591751,132436188
09/1976,35069213,36598692,41356076,98164254,45569121,81611355,60225634,96532362,105741002,144244389
10/1976,36285201,38776103,44805319,63796151,84071622,86474293,63056150,98265856,109642618,149052403
11/1976,34341030,32537370,36193647,53962543,76796172,92421860,82233220,73653457,89535977,126254669
12/1976,34977459,39367907,39916739,43636443,106719770,88969022,91980898,82086367,83373839,136690908
01/1977,37780000,43964223,45328134,49035604,108218885,96064432,83279440,97069929,95832262,143477114
02/1977,26791038,30441613,25824489,37686695,92330461,53015540,73571024,53534677,56780992,100236437
03/1977,33118125,39641799,38281288,54664514,109872029,66872494,80356746,65853059,81306248,134615647
04/1977,25897096,44827199,43024146,88817026,77538456,71933707,89225300,75259515,91466966,135716299
05/1977,21170616,39352763,25490418,22858905,96260286,61392982,85426929,55682677,65265680,83168316
06/1977,26373225,49557895,32382899,82577678,79105139,57379255,105301244,74842580,69899674,122244798
07/1977,29781033,51858747,36729925,47391706,133493225,61469841,116858015,87485433,76281380,137771597
08/1977,38260128,34872924,53892088,44770505,105483003,85996119,60097460,103641642,67936903,131844499
09/1977,39645518,36111672,58823080,39743943,101806046,101115201,51636694,123942389,58798246,141108309
10/1977,38236846,34059454,62484904,41103106,104595509,90934996,58723479,123406692,57204658,139470682
11/1977,33501461,37049457,38769056,40722611,112117138,98819658,58711067,81930126,58104842,116026437
12/1977,32501228,48231660,37403631,68531867,116645993,93625172,74358859,75390309,62502161,130472918
01/1978,31325161,48730543,38170886,65373740,127951938,90939921,89119119,62832404,61743454,132704024
