date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,4579769,16923260,22312031,20451775,17690317,51496671,22855894,39492212,46818506,88056452
08/1963,4494867,16776303,22274605,20314826,17579717,51433431,22458559,39909326,46862112,88450191
09/1963,4726348,17734171,23356979,21305328,18396203,53633914,23883110,41409883,49580305,92581167
10/1963,4544700,17439129,22932378,20903054,17943600,53809610,23992943,39936447,49161285,91359471
11/1963,4656909,17653440,22908356,21255597,18439577,55194855,24491033,40606677,50495019,96732882
12/1963,4577343,17768887,22424294,20841100,18201277,56324420,24271914,40117062,49842371,92426292
01/1964,4695773,18379324,22991907,21247808,18646595,57473985,24850164,41917797,51647656,93133308
02/1964,4712714,18856571,23382829,21453548,18916103,58948221,25029656,43783795,53080517,97692144
03/1964,4992659,18994305,23720599,21822176,19024924,59983761,25745515,44273398,53372653,99755811
04/1964,5166060,19825632,24302947,21986380,19391196,59758420,26360392,45443734,54500211,100872980
05/1964,5098916,19227113,24133263,22033769,19150146,60850176,26420255,45800010,54876833,101744219
06/1964,5144005,19493797,24447688,22136952,19115364,60923205,26728728,46374617,55488125,103291307
07/1964,8176432,12594803,26353832,24694153,59034744,30839667,26481833,36725936,67866550,105511138
08/1964,8142815,12940562,26666609,25814258,58730636,31519252,27223364,37355973,68966665,108426458
09/1964,7909142,12783909,26410414,25727600,57898320,30848793,27126590,37172877,66895480,106720025
10/1964,8100812,13334007,27410350,26413897,57687874,32023813,28319568,38834841,69218430,109476209
11/1964,8298613,13533200,27776214,26289134,57544505,32275758,28659745,39264592,70058890,109988098
12/1964,8060113,13541039,27701479,26296689,56125896,32719902,28236614,39543315,71314379,107099819
01/1965,7900732,13732792,28194923,26167927,58224950,33396918,28405682,39688415,72585529,108348222
02/1965,8331594,14428699,29459709,27291428,58872210,34485609,29727782,40905848,74095176,113913712
03/1965,8513586,14819810,30002063,27486521,59204789,34138453,30248428,40997730,73650263,113218228
04/1965,8507587,14682670,29920532,27250730,58268856,34009013,30354258,40043836,71709775,111885118
05/1965,8764048,15355761,30939631,27483778,59693761,34888984,31297345,42522357,73664465,117049167
06/1965,8662322,15395902,30529501,27322837,60463744,35140394,30813849,41769382,73506111,114839652
07/1965,7029293,17794837,30713748,29163386,59393062,27745806,53923335,57247476,43109013,101534184
08/1965,7205231,18313833,31317025,29655004,59659265,28457912,54519677,57380695,43874598,103762865
09/1965,7690106,18923605,31767877,30233940,59970243,28970212,56043309,58730099,44585171,107766493
10/1965,7899124,19299204,32335244,31044494,60852501,29682712,58543717,61201921,45946686,111917770
11/1965,8274139,20138312,33300826,31922617,60221038,30517573,59796233,63068895,46490871,117379242
12/1965,8709471,20173572,33236552,31995939,58053682,30845203,59882799,62793158,47364900,115341153
01/1966,9255291,20793214,33868202,32445973,58855993,31673283,61838595,63702641,48449749,116657869
02/1966,9679765,21552024,33474419,32856567,58507567,32559634,61356269,64071385,49453898,117758314
03/1966,10008628,21508280,32458473,31768011,58475209,32195397,60540139,62080633,48616303,116264067
04/1966,9602209,21179426,31663652,31323284,56246182,31939662,58998998,60494723,47377412,114662682
05/1966,10026585,21873677,32369690,32204868,56928729,32291174,60794481,61895492,48253511,117024027
06/1966,9035642,20127951,30667403,30590043,54330809,30697772,57079003,58153779,45509185,111500919
07/1966,11504257,21409099,30776757,57230191,32087206,42441598,46016581,50185833,43834791,113948560
08/1966,11172044,20908790,30568288,56702125,32277654,41221127,45567952,48794737,43308876,113017708
09/1966,10124740,19049478,27671938,52744125,29407197,38419084,42298233,44860230,39983832,103912297
10/1966,9907894,18954109,27835233,52636227,30228195,37328706,41354000,45190168,39652941,102579825
11/1966,10260075,19754055,30222881,56891649,31844201,37913295,43347530,47762436,42016165,103823336
12/1966,10677817,20252736,30302689,55135374,31983874,38032407,42537356,48000493,43156642,107820427
01/1967,11238361,21253275,31197770,57374684,32433263,38254401,42871469,47699461,43064520,108009994
02/1967,12805240,23376045,33242027,60764655,34739860,41989315,45973238,51099546,46527452,117474298
03/1967,12933502,23734330,32605346,60672177,34193686,42495807,45540831,50704078,46840000,120605889
04/1967,13455030,24448708,33941492,62854041,35609030,44146610,47675523,52641630,48800790,126607366
05/1967,13406508,25345165,34874505,63000893,36979065,46794024,49300299,54917414,50658657,135541135
06/1967,13044470,24599480,32859034,59506247,35201591,44499783,47246472,52124283,48846596,128098997
07/1967,13926219,28341436,36863421,63588176,38116863,55466373,50197379,43011730,79765047,98103324
08/1967,15556162,29976069,37111560,62310789,41027137,59870098,53218486,45372072,83484247,102799874
09/1967,15525046,29955436,37069707,61215005,40898198,58931499,52050385,44809191,82035631,101882900
10/1967,16167855,30584358,37598594,61981089,42307333,59738084,53610741,46489415,87461230,105918812
11/1967,15592136,29832619,35762648,59830690,40406166,57479700,52109018,45462416,88588584,102746511
12/1967,15644005,29853882,36442115,59681422,40748194,57321079,51575068,45188319,88660847,103264617
01/1968,16641157,32156733,38637055,62787822,43234655,60257538,54304087,47143488,93285958,107035392
02/1968,16766677,30972692,37856772,62192495,41251610,57913025,52479488,44743204,87278076,100846825
03/1968,15952621,29483450,36428400,59887396,40097827,55813779,50478389,43257528,84735191,96825905
04/1968,16220047,29138754,35398754,59143957,39808969,56556907,51046532,43296334,86444926,98531513
05/1968,18246948,31678785,37990556,61907071,43407196,62016906,55764726,46672349,95161646,108903149
06/1968,19407158,32329728,38455040,61465862,43981254,62715277,56192645,47354630,99454036,110297708
07/1968,21747029,28946001,39129426,35762996,69772816,57675887,57567118,69388312,94143566,109547895
08/1968,21395005,28009326,38070587,34714527,69042364,56168329,56601083,70711791,90976655,104400310
09/1968,21828172,28490436,38492403,34924725,70124973,57200780,56979714,72057289,90756423,106182016
10/1968,23604126,30270070,39458455,36369348,72751798,61231752,60512177,73511732,93607275,108963933
11/1968,23911211,30911576,39974685,36461281,73800523,60716033,62130080,75331595,91029174,110277834
12/1968,24746254,33213735,42533824,39161009,78325056,64264749,65289535,78233028,97042649,113791318
01/1969,24954275,34270592,42849902,38416644,75975253,63128764,66667195,77211449,94577376,109569102
02/1969,24490216,34678632,42773349,39011156,76280667,62282257,65096641,76540936,91167479,108944863
03/1969,22517918,31576296,39751667,36502601,72016358,58561851,60196622,72602948,88508092,104532773
04/1969,22965851,32693435,39743467,37121704,71086497,62320409,62772255,75853374,92615658,107214352
05/1969,23746263,33017183,39751251,37536214,74230903,62684125,64178534,76837569,94823542,109706919
06/1969,23408733,32687063,39976463,37275758,73902195,62356989,64296606,77494974,93155335,110666999
07/1969,21466225,26171047,38043293,36682946,68427397,58314006,66120493,71969852,51827923,152228591
08/1969,19350954,23733358,35185549,34793931,65507807,54876454,61029749,65013182,47618272,146143200
09/1969,20756851,24611969,36025330,35965672,66723112,57225258,63818466,68673682,50728415,153621269
10/1969,19971832,23364761,34585272,34350005,64594296,55823162,61692096,65529725,49243033,153602933
11/1969,21644868,25359502,36467427,36610637,68150489,58776566,63831329,66827309,52908474,162515367
12/1969,20024128,23913966,34208197,35047482,65876367,56915116,60646071,64181308,51777656,158617045
01/1970,18954005,23577601,33799319,35237928,63085515,56754019,59412128,64006595,51664104,162887882
02/1970,17797912,21419619,30939642,32767815,59726022,52505967,53650149,57291075,47142748,151374173
03/1970,19763510,23022453,33374592,35054036,63932769,54804120,56250479,60593117,50466374,156057705
04/1970,19316723,22644412,33530338,34905403,64155846,54912006,56595639,60729874,49395902,154508473
05/1970,16793478,19461421,29637163,31209182,57560748,49356035,50319816,54583469,44551438,140696639
06/1970,15276519,17863313,27551804,28867474,53776957,45685757,47184249,52601808,41125813,131027212
07/1970,17610436,15758285,24927100,29037266,54758644,38238161,50267292,48687648,53841740,116463593
08/1970,18756347,16940869,26794139,31180400,60678759,42222115,53889850,53353757,56607317,121296746
09/1970,19780889,17855564,28356776,32541971,62368896,43746888,56355604,56680320,58903853,126414161
10/1970,20780797,19247408,29355224,33441202,63538918,45113683,58881510,58788398,61515053,133756268
11/1970,18968497,18116777,28303549,32426632,61452907,44058533,58017369,58802118,61315130,133005431
12/1970,19486640,18962160,30046774,34746926,64029322,45694640,60701385,60649747,63719536,139954281
01/1971,21096232,20946011,33124682,38052487,70018237,49377812,64655037,64788052,68571260,148433052
02/1971,22637892,22830820,34932735,40270990,75022305,52319117,67621376,65640554,72177059,152668005
03/1971,22958352,22974814,34363129,39834158,73834989,52965014,69213728,68193179,73674857,155027310
04/1971,24669311,23920709,35899039,40765788,75690212,54854641,72212534,70951649,76731480,163310803
05/1971,25295130,24661793,36652115,40300882,78528353,57169156,75656056,73334837,80038321,168749520
06/1971,23669596,23697384,35103273,38359279,74364521,55220253,72450610,70565612,76984353,162312209
07/1971,21601828,22852694,37278637,40547005,62185030,70860858,70195638,90907717,71668257,158394747
08/1971,20311438,21428320,35261725,38799660,59669712,67799214,66425375,88635752,69522523,150868911
09/1971,21837713,22944221,37746068,40234030,61865867,69760603,69561578,89423074,71308033,157221092
10/1971,21491065,22490927,36711185,40231729,60865855,69001526,68349203,89267075,71373308,158287947
11/1971,21133452,21134339,34744036,38766934,58077222,66178498,65009186,85448008,67581570,153845628
12/1971,21165455,20573642,34286221,37958753,57334678,65314755,65357859,84552154,66936851,155353091
01/1972,23794726,22788881,39707124,42343131,62358016,72369270,71342531,94544899,75282437,171719540
02/1972,25284718,23906637,41246806,42832486,62314767,73026722,72650459,95333208,76832011,179521597
03/1972,25808407,24244021,42436865,42254014,61984178,73775746,73228943,100289264,80289440,188107048
04/1972,26278207,24929521,42063721,42055164,63360926,73511589,72670619,99071117,79900425,193024676
05/1972,26987802,25328031,42451697,42184850,61971663,74066749,72792253,99603037,80331437,194679612
06/1972,26671921,24575974,41897169,41604619,60409843,73782657,73205100,102874292,83077464,200359336
07/1972,24926108,26957366,32631789,41429812,66104361,43611918,69528300,102221610,102338940,221183026
08/1972,25046593,26742359,31633651,40615808,66054965,42863297,68018997,100635472,101848065,224359077
09/1972,26193169,28393202,32635964,42370929,69359950,45862941,70670840,103642883,105768196,225313986
10/1972,25508305,27607604,31140948,41457124,70121182,45435668,69388608,103016195,104705300,225256913
11/1972,25572718,27754974,31253540,42333870,72061716,46061473,70184295,103584573,105565295,225179338
12/1972,25710547,29505449,33608051,45872100,76953292,49417514,74016011,109796505,109615468,228418896
01/1973,26081716,29434322,33425133,46838446,79286825,50181155,77306337,114483273,113740644,236419046
02/1973,24766857,27315378,31365509,43834211,76624781,48099511,73267613,112143610,113716239,234609832
03/1973,23201059,25343238,29140194,42018782,72435245,45087359,69454416,105065828,108366878,229464940
04/1973,23199895,25300629,29220743,41856549,72192111,44478016,68124762,103179662,108042811,228889326
05/1973,21739591,23636258,27831853,40271042,71244530,42211843,63584979,98778014,103713229,216846372
06/1973,20626247,22045504,26371749,39348280,69649264,41395332,62547172,95464247,101111364,213393465
07/1973,44314153,26540729,32452010,51953477,66921071,43020965,63895670,126207924,65977742,228455473
08/1973,47140753,29706164,34244913,54190108,67751424,45819307,67424148,132991556,71953183,238054761
09/1973,46009194,29089543,33249823,53173652,65282981,44356834,65461415,126520221,68890463,228570942
10/1973,49380770,31717340,36423258,57644704,71609901,48952825,71113970,133578809,74523677,225216080
11/1973,50871049,30993201,36112172,56631208,70374938,49151235,71055823,132826814,74653346,224998876
12/1973,44241571,26804179,31120967,49466036,63988192,43795246,60369740,115835245,62021916,199409230
01/1974,45060206,28651721,32521311,51702788,67862550,46036539,62256614,118862850,63007576,191919608
02/1974,46348906,29465173,33001497,52241186,67456198,45698507,62044331,118894207,62456068,189881898
03/1974,46624907,29595445,33060281,52941710,69097308,45310817,62455648,117145631,62882532,185247906
04/1974,44973159,28060370,31674979,50906303,65901404,44193569,61385973,113576337,61716584,184696373
05/1974,42591128,26238636,28717683,47314729,61420817,40894934,58591380,110166405,60880612,178984826
06/1974,37856813,24418794,26439962,43208132,58868644,37765725,56295267,106412485,58987352,177692351
07/1974,33117252,23756309,27439253,60503628,29577124,34551869,54430795,88393599,92148559,184507978
08/1974,31365152,21902878,26207745,56418035,28896815,33022154,49535873,81643269,86064401,165029509
09/1974,27658784,19578221,24307016,53595177,26688850,30636390,44031584,72071657,77223562,149645184
10/1974,25448064,17810591,22838675,51018209,24567602,27628937,39608045,63440593,66894885,126112266
11/1974,30386062,21331231,25180276,57540017,28420726,32270847,46257832,75437397,78942849,146857718
12/1974,29471297,20960137,25232568,55424010,28031391,31451314,44308564,71987204,73942329,138804545
01/1975,27899661,20273986,24620796,55959497,27569414,31361046,43366153,70537528,71517612,133419827
02/1975,34792432,24174870,29411032,62657887,31624196,35169150,48624351,79557599,83243510,148197295
03/1975,34199068,24918552,30110938,64482368,32802685,35748205,50881343,84217770,87631088,164661375
04/1975,35009301,26016157,30760791,66182934,34482211,37486559,53564832,90278272,89997143,168953944
05/1975,36587196,25965284,31644427,66749264,36435249,40332106,55507992,95627545,96179532,177896455
06/1975,38124707,28044871,33871112,70266731,37562352,42979058,59962548,99369287,101669958,185984167
07/1975,37138301,31576471,39420604,36271693,80428454,40692772,78442328,88983141,123334349,182926916
08/1975,34272241,29775717,36885192,34515407,78268327,39070769,72972388,82272360,115900439,168034632
