date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
08/1971,,,,,,,,,,104148
09/1971,,,,,40878,,,,,100893
10/1971,170198,665345,1930480,1280106,24127101,779392,682288,1145817,2369951,1349266
11/1971,11048625,13594590,26089747,70798624,37946902,56197151,28043706,73252742,70104710,40342130
12/1971,11389575,16409991,29877543,50393096,56912254,69767210,53280460,81003803,84566530,59671381
01/1972,14904683,17717024,30851123,79885151,38834521,79200166,60311712,89408828,94814771,68539324
02/1972,9993353,12970541,16791486,55429582,23083288,42053535,57970807,76971601,62612423,36011357
03/1972,16044517,23674369,67467671,23098605,48852290,71736884,44352372,155598080,57564142,36973950
04/1972,13350065,21805661,43215072,54454946,52738405,80486003,49087249,191501211,73434317,30933842
05/1972,12975212,17488425,31948375,57405291,36760001,77572475,109887753,47007096,57239399,173642526
06/1972,14776318,18570832,70264075,51765712,40084037,29656188,48991131,57037523,125514951,182863267
07/1972,12128097,49202931,34302666,42477509,21252611,34826694,44440409,93517793,110824279,191203723
08/1972,14367236,71616954,70101404,47198663,119823910,26018848,28596006,56772753,46212096,131052985
09/1972,14121168,41156257,69599291,76987672,47090095,59314691,136556811,105890965,32429617,63883663
10/1972,12882876,27019321,34878505,104636828,46670269,44330326,87909331,146904860,104924578,32109878
11/1972,10567157,47884206,34616714,79105388,73633219,41525315,65401468,141926774,108321009,34723280
12/1972,13027395,50481204,47387599,77438055,80291877,46109501,77663468,145327102,107279314,35257009
01/1973,12066412,50927057,47819227,82790617,77211378,49506655,81109419,155162633,110304562,37678794
02/1973,9214404,20939584,28567358,57045171,57892700,63790621,117997123,64303488,26441071,31987834
03/1973,12769656,37523453,55469012,50688747,64513104,63808193,110790631,101296400,79133197,27701576
04/1973,13239992,25609162,63664970,42701776,80212577,71021101,132891923,109790779,83409451,30396512
05/1973,11292029,20142887,53825428,36898898,46776918,80996834,89163673,30386328,76757216,177772944
06/1973,9749880,41958818,41364005,52835006,17298669,38576561,45432797,77488405,84784583,215588489
