date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,4441964,13337965,14541510,53420117,24288496,45102561,32131269,20044406,44213627,74678404
08/1963,4355555,12971260,14553048,53079419,24682304,45500361,32130474,19736999,44253313,74915002
09/1963,4662132,13947358,15330321,55449513,25732985,47249624,33633604,20666620,46435180,78794078
10/1963,4426017,13968864,15376737,56050558,25451227,45722680,33232448,20097612,44915671,78210793
11/1963,4550311,14236035,15541113,57536749,25864269,46538708,33658836,20138775,45495377,84259120
12/1963,4620206,13943008,15402296,58446332,25428161,46100882,32999949,20032802,45140133,80135467
01/1964,4718920,13936170,16047454,59494729,26142526,48403307,33998956,20279559,47024021,80245172
02/1964,4872256,14355559,16338622,60901999,26732039,50042877,35193750,20466477,47707625,84539860
03/1964,5152805,14773489,16393886,62218878,27485568,50323781,35304446,20945322,47997664,86438406
04/1964,5369156,15738930,17069654,62199282,28297717,50957037,35757527,21047061,48778260,87550678
05/1964,5254892,15021991,17207608,63284581,28215686,51694775,36300470,21096750,48353674,88069240
06/1964,5431100,15219811,17447658,63119961,28694295,52363196,36499015,21204088,48154700,90178683
07/1964,5775252,12435988,23397098,61943362,23672622,56149934,41669351,32712986,51267907,85331933
08/1964,5764512,12776512,23685661,61478758,24375611,57603555,42464722,33402294,52858869,87491295
09/1964,5594968,12606244,23458084,60286686,24288457,56122290,42330921,32623566,52249666,86113981
10/1964,5765748,13275790,24467582,60511297,25269146,57817804,43224916,33841095,54046389,88557721
11/1964,6014398,13403040,24598974,60629718,25294037,58948793,43771912,34307786,54698924,88010997
12/1964,5812496,13022880,24227692,59292750,25608856,59015462,44890658,34277203,55912135,84492595
01/1965,5676583,12979632,23817353,61750812,25945110,59350072,45660793,35113153,56279318,85968820
02/1965,6092413,13915769,24708889,62304211,26943882,60332932,47096082,36208108,58340550,91124167
03/1965,6274689,14461974,24690530,62316515,27416646,59172717,47749662,36442876,58048103,91234453
04/1965,6164831,14481217,24516002,61465653,27285040,58055884,46746426,36085383,56943180,90430422
05/1965,6396387,15305994,25268153,63072427,27932902,58676938,48604283,37299123,59464171,95003555
06/1965,6300246,15312425,25025087,63970284,27588445,58231550,48249253,36703092,59012618,93417200
07/1965,6574641,18202881,61107149,27584472,31105318,76105789,32093496,46359337,24198223,98560543
