date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
08/1971,,,,,53600,,,,,104148
09/1971,,,,100893,,,62310,,,40878
10/1971,235834,1457795,1083928,1185027,2285997,2738749,791619,23861593,685186,920342
11/1971,14782135,83804361,84887883,41997250,42882971,24036589,25652160,75320284,25857885,11023694
12/1971,11444961,63780808,145992491,53973238,51881487,28404633,35038013,68173511,40536031,17659029
01/1972,14289555,107992420,130959691,57169461,58039704,36657054,32029218,73009670,51796133,17757029
02/1972,9943262,49191917,108095109,41427269,25048192,24626211,24301223,39344593,58801260,16881224
03/1972,28843999,137043065,58695538,62834029,40047382,44540712,68811030,46194832,43353064,20667699
04/1972,15006643,83579160,140523162,48743236,86912372,44733048,32352641,73990340,63047315,28207484
05/1972,25901109,86741315,120323698,74793618,64337514,44452573,38455819,51612882,92722872,31475382
06/1972,27206285,122443494,110531364,85885180,47933833,40289010,28019531,64242607,70339912,51407083
07/1972,26315405,118769626,114054623,83942692,47722447,32053268,36739079,35070985,79767440,62469384
08/1972,51178800,174651165,67000369,39805609,42985472,39830974,54355357,46681676,53827424,43824063
09/1972,62421547,186553397,60994237,46754269,49621636,61007041,43038180,43368897,77114671,20333948
10/1972,88500559,165476961,55881732,43910417,46441554,63462237,49013446,37512815,76829123,20165393
11/1972,62752898,193775754,56512044,75184954,36841982,38810100,71385725,33615663,60264281,14165207
12/1972,52888016,185275654,98079922,73785485,43040466,59372859,67493205,40252943,51333799,15497190
01/1973,64779264,208824496,80967950,77815296,45817943,78308797,46109986,67390915,27430226,15194815
02/1973,21796371,160862520,56739884,48581005,30782313,24283713,56934049,49344220,16976257,17316540
03/1973,60702277,163420444,72526761,66077817,38089392,42263750,72551410,55451787,18622571,22613436
04/1973,89613010,159707025,75895335,89348737,41416849,42056799,74697752,62382821,23256921,17879745
05/1973,105705336,131009595,67583369,70789705,38177346,45202424,93117928,30854382,37424195,20001159
06/1973,105547807,163403508,63276269,48082379,38899511,40967469,89329531,31708450,34450950,18192177
