date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,27172167,15911531,46649528,12951050,35729569,46808356,30415222,32470427,13200952,4458070
08/1963,27374021,15739079,46931894,13009903,35760396,46714903,30111044,32768727,13094069,4305051
09/1963,29155819,16576121,49012854,13874139,37564606,48492960,31997271,34339163,13808339,4548621
10/1963,28811753,16085345,48294357,13481151,36503269,49110324,31595644,34186316,13731292,4399437
11/1963,32525963,16176909,51308920,13575821,36840928,50630324,31840055,34342019,13714309,4406997
12/1963,29935183,16079858,50814389,13494881,36348215,52003430,31092638,33568315,13582633,4380384
01/1964,30168051,17041574,51661523,13704120,38031609,52983315,31461054,34617659,13607674,4440208
02/1964,30460148,17250956,56304753,13922505,38856948,54723735,32074773,35786820,13819001,4496366
03/1964,30618572,17788342,57434698,14401695,39310302,56002219,32072294,36093768,14156339,4562415
04/1964,30734440,18076122,59051449,14626989,39739640,55805963,32815258,37154122,14613934,4704864
05/1964,31935178,18326841,58632195,14498301,39616735,56326673,33483588,37121342,14645708,4762337
06/1964,32467838,18564612,59810201,14792457,39761236,55917771,33303454,37877519,14812103,4780761
07/1964,13956510,42770733,35383985,58565875,92569897,43851311,38152968,37745290,12429086,5303906
08/1964,14321928,45225227,36299539,59691420,91944138,44942451,39238902,38493601,12682057,5359428
09/1964,14359956,45362628,35243764,58508404,90049707,44101407,38848993,37918109,12651848,5321443
10/1964,15111974,46713927,36588165,60235665,90531089,45978319,39696986,39335961,13026726,5557743
11/1964,15312667,47258282,37351046,61165714,89638715,46464032,40462437,39149586,13201253,5612139
12/1964,15229102,46253866,37579180,61739162,86236107,46799026,40807653,39679263,13183033,5572877
01/1965,15748525,47774093,38003029,62452723,88647392,46619346,40811272,40108185,12881854,5435029
02/1965,16620233,49819776,40186978,63162507,91604949,48822484,41468765,41385932,13573645,5760782
03/1965,17006907,49762449,40138514,62513665,91963763,49041702,40994195,41551746,13762730,6002579
04/1965,16606311,49891362,39851166,61344470,90434585,48067938,40441717,40921988,13667803,6057564
05/1965,17591881,53419321,40741886,63518744,93082628,49542007,40935736,42095129,14329116,6292766
06/1965,17515399,51382742,40781354,62729579,93740962,49073656,40732135,41898478,14356990,6181391
07/1965,32272838,21568046,29775486,44532248,29377039,83393240,47933439,78622066,25843199,13724486
08/1965,33450457,21923815,30327184,45408758,29989913,83388286,47349498,80639730,26489787,14090831
09/1965,34789500,23068921,30767355,47139434,31194593,84593690,47346719,81172268,27576494,14807749
10/1965,36001026,24196055,31388821,48792296,31469489,86608466,48729719,84276016,29431959,15319926
11/1965,37446428,25576138,32312379,51104226,32390405,86772902,49623096,86908744,30079846,15860839
12/1965,37840846,26468407,32432565,51774340,32325369,84379424,49235997,84101585,29729493,16374843
01/1966,38217793,27301083,34205888,53785834,33169749,85152365,49548358,84446055,30480579,16593476
02/1966,38877111,28272986,34331308,54158847,34170420,84445639,48899157,84305596,30891335,17345123
03/1966,39565459,28232945,34266371,53694840,33270019,82860259,47145235,81395687,30301722,17286917
04/1966,39360413,27619517,33424317,53374984,32900338,80066091,45976358,78106472,30026103,17061423
05/1966,41489851,28609806,33710541,55163151,34029733,81261847,47386742,77721583,30955757,17355753
06/1966,39567176,27008833,31724567,52267451,32069334,77383880,44957331,73348364,28384747,16222991
07/1966,25504214,54611732,38502479,39686393,60814697,50390697,92882224,32150310,22709757,13501748
08/1966,25684196,52881695,37966442,38542599,60412320,50033852,92522100,31823760,22646112,13144433
09/1966,23781323,47857549,34708672,35843978,56038845,46150997,86215530,29533104,20837985,11966104
10/1966,22976709,47283598,33550263,35765262,55983963,44931455,87682831,29835368,20573837,11976486
11/1966,23325299,47730291,34134385,36966358,57653678,47094561,95844868,31771022,21668358,12130961
12/1966,25442599,47057329,36009033,37619584,59995317,46434508,92204167,31776053,21904376,12477107
01/1967,26041306,46550099,37416589,37765102,60024762,46784287,93333366,32193029,22702201,12942465
02/1967,28998362,51692313,40339447,41528801,65201831,50308615,97226667,34036670,24405511,14328221
03/1967,29941605,50691724,41599978,41535786,66856745,49655512,96514177,33940183,24516185,14545498
04/1967,31749899,53146838,43901044,43546666,70015319,51336890,99287080,34624919,25609413,15119413
05/1967,34049660,58491029,44848050,46622995,73590699,53522237,99944769,35402192,26603414,15284991
06/1967,32615021,54298550,42591030,43761076,70747526,50725194,95187618,33491377,25945057,15115760
07/1967,32082004,31543293,73528066,54588130,36329583,79971697,50021248,49086787,33860869,40361124
08/1967,34454135,33346950,74988179,58553162,38382045,79775167,52740034,51547441,35329624,44002481
09/1967,34111131,32764580,74053276,58489762,37901662,77772550,51499578,50672144,35867479,43674196
10/1967,35250478,34197959,77949201,60322193,39176639,79629033,52041377,52605119,37154098,44781328
11/1967,34802374,33937187,79162382,58657693,38299896,76492865,48998135,51014270,35430258,42341948
12/1967,35319810,33580606,81130366,58192071,38793655,76525590,49364231,51113169,34363803,41411623
01/1968,39187465,35234887,84894935,60830479,40526840,79193494,51480399,52783382,36766500,43169419
02/1968,35427681,31889907,80030001,56612242,38889189,79257842,48917510,53160724,36065122,41863548
03/1968,33166908,29990946,77136719,54252530,37680505,76620253,47920251,51456393,35324216,40516381
04/1968,34063852,30394458,79773916,54256385,37550394,76485018,47424864,51825975,34976911,39755315
05/1968,38452609,33946107,88449312,59610342,40531546,80268883,50714192,55447598,38046650,43420403
06/1968,40126867,35027542,91833355,60579553,41055870,79768554,50801736,55092430,38404761,43708161
07/1968,53286812,80066021,55432262,60028308,93352186,62074091,33334870,28841877,61659539,25902917
08/1968,50158872,76786193,54895693,59317129,94713271,60215173,32246203,28472661,59944042,24834172
09/1968,50808475,76946125,55379807,60881807,95051856,60677505,32686644,29116101,61066836,25025068
10/1968,52997125,78499392,58701549,63978062,96211546,62869505,33483539,30463248,65097079,27165540
11/1968,52551514,75857852,58482695,64434941,99729189,63223770,33914410,30981998,66884407,27463264
12/1968,56286092,81323309,62538813,66786101,105801436,66142275,36192398,32674744,66808699,28771864
01/1969,57198004,80299478,62971376,65705761,100478986,64642759,35605682,33022485,64953082,29315854
02/1969,55760481,76879359,62744443,64792803,101265147,64656193,35290338,32527399,65141909,28994453
03/1969,51365397,73540864,59660506,61150278,96431926,61555270,33522909,30123228,62139538,26599274
04/1969,51919174,76989951,62352392,64922374,96899182,63429496,34323239,30643296,64008555,27264117
05/1969,53315685,78836654,62775937,65508701,100474534,65122705,34766172,31193748,64393922,27594483
06/1969,52478884,77660696,63596478,65417755,102058872,65138056,34816010,31308068,63747994,26505557
07/1969,30171774,70085406,41316097,73101233,61816889,56369227,120670600,59893276,24801595,15502217
08/1969,27638791,66309284,38571655,68587142,58359230,52780822,113125708,55626078,23368550,14094529
09/1969,29752682,70486777,41385778,70938958,60799305,54388229,115959118,57996843,24042177,14868822
10/1969,28883047,69319015,40486922,70801985,58479814,52383503,111422502,55607355,23978068,14426073
11/1969,30665308,73469308,43882439,74744889,62251525,55336465,113620901,57450715,25290012,15643151
