date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
01/1973,2484544,6233361,5901432,8943863,18539243,16254682,20865817,19581313,66184408,44776921
02/1973,4158368,12198343,5392643,13107897,24331165,24971987,27361529,30897127,100097589,67370915
03/1973,4139502,12465214,8368371,11599267,20555020,25769306,33455827,29252413,71732185,183464681
04/1973,3741579,12325928,8568229,13296536,26138293,23936314,29215064,36174396,144197922,112041334
05/1973,3195411,14337808,6850944,11134827,23994006,34421836,23783956,32138611,140362435,122620305
06/1973,3135176,13697516,7509153,18584433,16058733,34329320,25883105,34003172,121447447,137145339
07/1973,3861721,15767264,8959567,8338477,37854079,27900051,19745874,35337531,131184167,135848706
08/1973,6779175,14996868,9455567,19835771,26295072,34593121,29523788,68584503,143363731,82690142
09/1973,6148622,13074395,11727463,15091250,14881834,41431060,35034067,43882486,102540621,121055613
10/1973,8745378,9639701,14751371,26892361,27663908,21479485,34088678,32186887,134529769,118963639
11/1973,8191470,11011723,12792775,36160836,16870358,26598193,41064407,46076599,130426815,107077407
12/1973,6396434,8296762,17266678,17343656,30845165,25779922,25684600,70936581,91996128,90437396
01/1974,5947289,9006485,16045885,11731509,20570409,33510435,29788683,39587856,95990699,108174690
02/1974,22147604,33376472,34822820,42686817,36727165,76371582,33447908,95532646,74102067,40871119
03/1974,20291493,21173331,32779350,46920241,34936751,77539873,49936752,80865100,76191469,34859781
04/1974,19375639,25541492,37308570,37339307,48666751,32792416,66772037,96898300,66903869,37966444
05/1974,19886780,19659288,37223767,49679810,20224997,44789859,36699079,101485516,69838543,51121707
06/1974,24773999,29348656,37488424,72439269,46069323,57774238,40334481,57092139,35184213,60326416
07/1974,18111274,17621950,35194829,44394921,48910430,50344116,27585670,57964867,74662077,53813518
08/1974,15767065,12800285,36330658,49647247,31621373,66399474,33298991,55031064,55254696,36311532
09/1974,24707692,19150328,29960264,32988938,54698419,20260515,36961332,65652313,44157338,48013114
10/1974,11350177,22156624,26901753,27994343,33643366,43814288,23724680,23067372,53337022,44925933
11/1974,16857711,42594538,20991582,63124047,57721040,25062936,24216530,51255061,44445042,33324807
12/1974,15971062,28965894,28686473,35828084,46215193,45693729,30966788,27683241,62015890,30555214
01/1975,14484791,35128954,24010502,49716759,28846851,41291484,25349707,57973801,45597382,25141004
02/1975,23156408,31045763,44197351,55597990,43433815,26569581,33037164,46822711,68866934,25154179
03/1975,23201322,29688704,57250260,63980464,42449431,50237476,44026633,19999003,70739697,27005466
04/1975,22212465,32514677,61471360,29649414,66554949,35378686,51198019,38595264,68147074,34367598
05/1975,31690976,33064106,30566471,65155079,38714781,33827935,69318981,56988640,39908820,62161091
06/1975,33180011,25347620,37955405,83280348,42590896,64393412,30742953,55375239,26409621,83139621
