date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,250966421,51624047,28884004,16311439,11055908,8143879,5996724,4878784,4024147,4397098
08/1963,251534558,51296710,28441600,16084293,10731840,7973563,5939585,4787877,3999310,4345530
09/1963,263577870,54041055,29956757,16917982,11166433,8430221,6249031,4980647,4088653,4419629
10/1963,260857228,52862683,29136697,16393401,10951180,8205675,6054701,4853324,4001575,4386625
11/1963,269665766,53856387,29350662,16449236,10917617,8192467,6120486,4949488,3983024,4422846
12/1963,264925254,53457899,28884338,16357515,10645011,8053356,5934281,4862300,3850235,4300265
01/1964,271525839,54807854,29529153,16635917,10437615,8274155,5940967,4836154,3847754,4151630
02/1964,281324273,55013143,29933890,16777171,10663864,8410306,6017932,4958192,3946954,4365679
03/1964,285190159,55897639,30763518,17170946,10872985,8579000,6154000,5083030,4002214,4424099
04/1964,288440642,56827606,31650619,17610047,11091672,8954121,6300204,5283693,4085334,4502047
05/1964,290801969,56474136,31331228,17622344,10972816,8853173,6293680,5228499,4069873,4469284
06/1964,294186101,56839864,31865440,17943408,11094029,8898001,6441725,5314623,4030743,4417054
07/1964,303437762,58918609,31737085,18314942,12400701,8649609,6773780,5304709,4235078,5119881
08/1964,308281951,60821160,32372743,18367167,12753273,8804128,6824533,5463910,4300061,5258458
09/1964,302706220,59822889,32053703,18201106,12593937,8712623,6680872,5409807,4266604,5239528
10/1964,310757947,61585208,33204244,18809214,12921808,8869508,6889440,5516757,4322617,5448955
11/1964,312427466,61980255,33490344,18825395,13152949,8936759,6969533,5537909,4441968,5577382
12/1964,309011331,61881386,33429943,18762484,13208966,8906639,6838942,5545155,4442945,5544108
01/1965,314307702,62095984,33353079,18751989,13247226,8859007,6878036,5524806,4307540,5465221
02/1965,323652295,64864066,35123426,19711269,14001618,9243095,7232971,5828459,4585544,5869284
03/1965,320930166,66298114,35994132,20177142,14397292,9476084,7508049,6036659,4634856,6005330
04/1965,315701610,65746564,35838498,20111801,14394562,9591830,7362860,6070796,4687931,6091500
05/1965,326403939,67480070,37030482,20839095,14776426,10056568,7708934,6243948,4868913,6399178
06/1965,323811441,66964431,36592615,20622470,14682774,9952165,7659820,6147950,4765876,6351227
07/1965,313415346,64161401,33540347,20587062,13473285,9174079,7105123,5263767,4492511,6292943
08/1965,316716024,65034083,34687748,21146396,13899938,9388567,7346894,5438233,4637662,6406739
09/1965,322783707,66991500,36028975,21798218,14565296,10046119,7705116,5646276,4783814,6628392
10/1965,332924691,68705274,37067100,22383374,14825071,10378621,8062421,5739168,4847431,6784752
11/1965,339772938,71093236,38501325,23170960,15383643,10956554,8481476,6097609,5130674,7278436
12/1965,333300250,71243676,39588047,23889219,15912230,11501697,8820649,6237496,5323812,7776746
01/1966,337630694,73254269,40717966,24798417,16618733,11948187,9174158,6525133,5550343,8144689
02/1966,335955856,74539783,42436170,25364311,17115449,12452496,9630979,6971993,5981770,8896157
03/1966,327925488,73512666,42510999,25502582,17222765,12807401,9927554,7203593,6142917,9355905
04/1966,319466764,72986554,41698222,24658539,16601747,12444099,9749412,6933751,6014501,9250628
05/1966,325244900,74460666,43001658,25254123,17129921,12836845,10174343,7464762,6277961,9831296
06/1966,310315758,70096954,40200063,23504085,15622560,11608841,9066814,6606038,5583069,8484423
07/1966,310159180,71128628,38762837,23613269,16144091,11449725,8535121,6271561,6189320,7613843
08/1966,305877657,70423877,37656847,23105426,15958552,11343293,8325988,6186384,6095056,7457094
09/1966,283487898,64325241,34469317,20918713,14498431,10230563,7357022,5477923,5407367,6557608
10/1966,282626080,62647739,33893092,20622093,14102552,10099537,7220110,5351515,5318125,6378291
11/1966,297660210,65722601,34999506,20754218,14365324,10177406,7085333,5267312,5136746,6016133
12/1966,298354583,66659640,35802831,21835889,14781762,10643908,7395159,5373479,5275902,6238354
01/1967,298466032,68550258,37493375,22933078,15153930,10996700,7604380,5552279,5439176,6322489
02/1967,319001242,74157234,40958979,25432212,17395082,12302046,8942906,6591163,6315772,7593898
03/1967,320001881,74597724,41212475,25471250,17520732,12510029,9177498,6726153,6599509,8063251
04/1967,331857789,77702946,43321535,26770474,18516222,13140512,9660321,7157550,7001653,8538450
05/1967,346439816,79800371,45073276,27827193,19018839,13664033,9865007,7431453,7274058,8915786
06/1967,327086438,76287836,43910797,27064319,18566220,12690040,9594682,7234365,7235907,8863975
07/1967,335038894,77769328,45720253,28939041,20218679,14261172,10809182,8752021,7634797,9026263
08/1967,348607928,81078474,47996719,30429389,21264073,15024052,11519423,9475044,8279358,9836222
09/1967,343582942,80437101,47646866,29950546,21191110,14920926,11346578,9469801,8229046,9883935
10/1967,353907970,81869364,46943503,30790835,22009667,15372162,11711543,9943781,8789358,10669210
11/1967,347171415,77695115,44786853,29581545,21486192,14666167,11337572,9504591,8408956,10498713
12/1967,347535813,77584451,45081307,29713802,21332758,14845158,11422806,9449143,8482972,10249513
01/1968,359053464,82463793,47802317,32075545,23006044,16086923,12667374,10501609,9458853,11503914
02/1968,341592274,79298895,45598251,30886737,22232364,15363232,12215573,10581218,9399721,12069420
03/1968,331765614,76234420,43449462,29268933,21060213,14473158,11222525,9797483,8781916,11122641
04/1968,334770699,76028280,42658707,29411080,21089728,14224544,11156766,9649956,8594246,10929875
05/1968,360871522,82870035,47062318,31955193,23832366,15897377,12600353,11063487,10036154,12803654
06/1968,362419944,84794514,48682204,33277737,25187245,16771147,13434519,11859059,10894247,14667965
07/1968,370173155,84281624,54456947,34291992,24155086,20468125,14785602,11592083,11388920,13920061
08/1968,364337618,81572770,52277219,32188934,22958010,19784327,13857297,11158989,10882688,13522066
09/1968,367170903,81751677,53401244,32476837,23510878,20564644,14122663,11560258,11333358,14105448
10/1968,376828869,86081606,56350523,34372385,24258045,21813364,14877447,12368578,11963948,15051683
11/1968,379064956,86412861,56511178,34714220,24315591,22053455,14902346,12348784,11866946,14918946
12/1968,395608281,91477360,59348133,37334834,26205766,23453053,16073679,13368330,12720037,15909957
01/1969,384291716,91276701,58675289,38634936,26597308,23859829,15981894,13759213,13332604,16669762
02/1969,380152891,91205054,58801984,37717770,26047277,23324405,15696311,13295295,13201922,16431020
03/1969,364170354,85356441,54230379,34722832,23976236,20971209,14350367,12133283,11695510,14594334
04/1969,377687397,86142923,55604932,34972188,24041099,21488416,14556283,12443014,12050336,14922581
05/1969,386645062,87755793,56029411,35392890,24147915,21707829,14774908,12690352,12171489,14878906
06/1969,386983891,85892014,54330821,34887362,24200058,21859381,14645561,12707229,12258713,15061562
07/1969,375372870,84864221,53083531,34815098,23844350,18453357,14464395,12232982,9775364,14229044
08/1969,353865280,79361451,49439593,32193933,21638936,16720629,13136188,10823623,8677394,12524969
09/1969,369733620,82122651,51843806,33701760,23031398,17574503,13623760,11322354,9163479,13037893
