date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,96071064,41658949,44797100,72676747,23915175,18892218,10032413,7498018,10623446,5345578
08/1963,96128734,42295125,44847996,72950879,23815561,18432902,9887483,7375986,10372575,5298577
09/1963,100005650,43938685,46901761,76846380,25344327,19659711,10411882,7697507,11194243,5511562
10/1963,99745856,42578768,45688719,76431325,24887702,19338399,10329911,7507305,11079646,5312541
11/1963,102991059,42119320,46991550,80999196,25360397,19958881,10478681,7625189,11476021,5349335
12/1963,102863145,41358096,46319403,77680974,24954811,19697159,10423825,7689154,11367815,5317129
01/1964,104048325,42408757,48132642,79884442,26247453,20035149,10520843,7763211,11517799,5271312
02/1964,109271617,43620138,48742341,82632807,26524510,20575155,10745318,7849244,11527955,5276394
03/1964,112039668,43652572,48768361,83199411,27396243,20810561,10958585,7997297,12346660,5429269
04/1964,112002983,43336845,50172856,84941351,28115327,21808993,11507813,8451701,12666000,5541156
05/1964,111826238,44850857,49362985,86865711,28408165,21125563,11503560,8184286,12525496,5683919
06/1964,112784454,44873325,49583348,87862100,29227353,21218916,11683986,8278966,12713128,5924888
07/1964,115452078,55334499,80510399,55425864,29806516,19060755,13110385,10734495,9859998,7228178
08/1964,116076960,56860689,81929524,57920064,30252790,19283090,13461356,10920655,9990340,7365946
09/1964,113157155,56021578,80266215,57821903,29644193,19226045,13239290,11147558,9907413,7431433
10/1964,114867269,57452557,82460196,59743675,31013768,20078361,13717893,11618163,10484805,7728363
11/1964,114467957,58104016,83448864,60592897,30882543,20337482,13960685,11769566,10716916,7858199
12/1964,110510797,59083677,84938504,59440655,30721462,20243158,13908333,11842477,10482618,7893503
01/1965,113586416,59519641,85791643,60341733,30996335,20555424,13850897,12049621,10439581,7957289
02/1965,118760351,60608409,87928540,62740280,31880669,21599951,14680801,12461986,10955455,8280974
03/1965,119075506,60288653,87110079,62805314,31972734,22054999,14894543,12782390,11171804,8411350
04/1965,117013182,59083905,85376538,62182870,32080076,22199291,14784260,12697835,11236413,8301350
05/1965,120967870,59813135,88343552,65499069,32726997,23097811,15411743,13411644,11937584,8816044
06/1965,121687544,59004200,87645287,63874674,32603498,22909417,15438743,13171225,11739539,8774398
07/1965,131585380,45645869,117782524,37341965,26991111,23642447,16559969,8115686,11989731,7978510
