date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,25387061,31552476,46357203,37319688,41640058,57635309,41090328,51806624,25122020,28371683
08/1963,25901161,41871450,75329386,36254674,75563722,38421484,38619139,24032054,18517207,10814765
09/1963,25850305,32963560,31675814,74289822,65734425,51654275,72879191,25341016,11319248,12660398
10/1963,26915165,64994444,79051717,26923029,40153699,46705177,47150127,35673391,19028973,12122272
11/1963,46523937,48987382,78101575,37092751,47756737,21584604,47429628,30856892,33121167,17770157
12/1963,30280866,60662059,48675893,45702982,43104320,51562668,33662708,31319442,23126004,34541406
01/1964,32921357,78748406,50123393,38403840,46621025,80826581,36622063,18695766,18476711,11273584
02/1964,16568311,58565794,51191524,89029156,66261172,50607950,26459980,27744268,19660725,19331093
03/1964,21085919,32845040,39826910,32687194,59009916,79991652,74360651,40986312,35696444,15963009
04/1964,14883894,22979974,34485499,60700125,55405979,34721872,84225517,85605783,29785769,16716206
05/1964,33883243,61117547,67233536,82559116,29446576,48372155,26758568,45032058,30180327,18384204
06/1964,28645397,69610943,57018374,61927038,39990356,24579864,89939808,37173715,24715355,15065183
07/1964,19840558,71728767,34773529,44103199,61221290,51881445,75300392,51728438,31160594,13153945
08/1964,19169987,53730844,39383868,60081963,58961392,51528239,33320173,46679888,80554843,21107660
09/1964,23092761,26254949,57728788,49694224,45692773,100967558,48329690,63774290,25581696,15872969
10/1964,21679042,34690092,52932661,55489448,85693060,49164044,46551749,45404159,61428090,17395235
11/1964,23073770,42595203,37946907,61395632,42474543,72286061,71670209,46355238,43226180,32772691
12/1964,28284255,53199986,78067456,74851068,39005934,20807123,38131365,86496691,28849799,22589243
01/1965,31421240,117555533,40508029,81288874,43374160,36540029,50936372,34808253,24349718,14906738
02/1965,17058298,32427554,42561056,38077287,58463462,45023338,85783996,41960124,77836561,54545439
03/1965,25307686,27067539,29477656,28496229,40404195,59116254,91926281,63946056,65710028,63975609
04/1965,14703523,22409538,31407144,75695679,44990353,56867987,76989825,70359487,68563606,29152605
05/1965,22358630,47040737,74119849,54381085,49222874,96094536,73392811,28089364,38637786,24529236
06/1965,29457130,98026776,47814486,66323992,64021320,57778341,38082644,54777285,26428511,21636901
07/1965,74719947,66679434,111458085,54748481,70643235,23333715,26836792,22129568,12291972,14664635
08/1965,21938892,26113553,51269675,61125493,45897764,62631823,32416104,81737342,66039515,36069519
09/1965,19799377,45141327,47788070,30479161,60215268,69015880,68225370,48399144,62521861,46196546
10/1965,33487583,37150725,99553929,66490270,64411672,69692110,45360976,38554677,35588353,22419270
11/1965,19201993,29695822,46122972,73179955,57939529,63085816,72442983,33142944,97521768,35195290
12/1965,27395374,27905352,48502126,32167761,49358315,46035147,82277632,69136621,83663907,59311660
01/1966,22094813,34477341,36932605,49538309,59827381,106639733,52150381,87662362,56688166,31015065
02/1966,21328841,30582687,42087159,30606701,45021307,54637592,115496413,96247890,60952822,45808397
03/1966,25282542,33589969,49077390,64115050,45498616,53479778,90637230,81499891,50048688,42490151
04/1966,38548657,65255642,76187638,38661772,46806612,68050622,66773183,76675412,22974993,23379907
05/1966,24893525,60601528,58168939,73514188,41240145,83128341,44677361,50956690,68761111,29487942
06/1966,69599892,66679084,84069015,68464070,59008075,58461562,37608392,25112302,21641622,15107314
07/1966,34408767,35852228,46106217,70048098,22970117,76576523,86618741,64599856,34833107,27853921
08/1966,32754735,52886931,45581885,79599841,49882569,69645024,54508634,30374747,42726686,35539986
09/1966,54026380,72009954,57738439,70375303,72623558,29888470,37554694,23682591,16493411,19874237
10/1966,50335302,54197759,60716483,37020787,88162005,31261548,33964595,26129960,41028323,27242306
11/1966,65776121,101230945,68827731,60922241,32159263,29248226,54850062,16109484,23022314,16807732
12/1966,32865447,49971351,33968277,39499668,48378387,44382175,50972246,71741559,42593910,60252978
01/1967,21165635,33260842,55176536,73802209,39804487,41924904,88457879,54722798,30900332,41968415
02/1967,14352646,16261240,24361086,32872215,57916836,59691604,48927324,123300417,60087279,84355253
03/1967,21808365,71061136,46192862,46881510,89054298,44085764,54572525,79690280,39387621,33561116
04/1967,29161723,45347501,38370568,44260014,112701368,87715016,71235613,58236830,38014987,23389302
05/1967,46382950,109360216,49595417,51161303,60111814,49898017,44475148,103218411,29304966,27474337
06/1967,22791916,29633295,33602591,39914667,72982316,81780753,42955127,95221261,98186515,27546454
07/1967,25343812,35290673,35698409,72364607,68185246,54183685,63087040,75307989,77872308,50835861
08/1967,33316062,36690254,63602566,53944037,63181114,86821998,44186242,78031046,50507024,73631938
09/1967,30990329,33741800,46391952,58778309,90496109,117698331,77309742,56662301,34825235,30740581
10/1967,28873030,79019972,71824328,93484449,52825127,75502316,44796098,49280578,64645438,34011270
11/1967,78679083,74663552,65368443,63483570,53656571,76792465,49562288,47036378,40038017,29344818
12/1967,39270476,50490718,58337932,97549453,81657790,63145518,85456133,35296880,41592425,27229113
01/1968,28714352,40737404,40987494,53534734,72784769,126895042,61014511,81101195,55134790,49468797
02/1968,21408899,32081304,42573882,78612051,32918361,57285327,127210886,70395810,64763199,58694621
03/1968,40705091,49689775,69679547,140176542,76434171,50843450,45879422,34635297,27140180,28667467
04/1968,47862938,89281356,67879796,63428727,69986029,83347268,39940046,50286152,26003419,27704522
05/1968,29338465,35359032,47538510,57081377,102388061,100627962,53980779,58005459,102059515,31705442
06/1968,28586420,29171882,45801398,44995544,106323926,43010120,84620175,72846086,96037259,81299422
07/1968,41681218,43933926,57490006,78868810,76442734,94220239,96041228,69855519,45922443,35057472
08/1968,54573482,73303510,71687724,60744836,92559807,99022785,48107690,64601149,32312217,26730099
09/1968,28826223,44779345,50480337,58425335,126915657,86933566,107313232,45603903,49236240,35887619
10/1968,43185658,34063074,50982862,81903435,63229689,61283987,113880444,97185560,73610679,41969855
11/1968,44146412,50899564,79213465,113699115,56368834,69452811,53960288,82842424,40316915,74678766
12/1968,45837780,46798020,60053730,86933989,55732159,114104581,78394323,72851906,69658121,72871514
01/1969,42577573,37736315,42883050,64769915,60604925,93839176,97139944,119198188,94238562,44225401
02/1969,61275475,44231221,69218567,123227519,112232318,62445361,59722887,87703626,39530171,32522999
03/1969,60896590,164606162,101885703,59997577,53013588,56576087,43342803,48360350,36308516,28304872
04/1969,61838045,124408754,115145939,65579464,56033320,43863056,87000455,49002801,37295329,32627402
05/1969,50135632,98722021,115357448,98743317,57240618,70302465,63043682,65861758,41009271,28048727
06/1969,58393876,67128344,125230978,85544308,63893199,48884477,104150118,68537596,38346199,27358187
