date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
10/1973,,184219,23094,,1416266,36889,,1340469,50301,28793128
11/1973,3456219,8223719,14223455,6428847,6955731,6801862,46228926,25752159,34225919,88075416
12/1973,2870641,8516096,8382212,14940336,7393033,7784952,37476658,26017366,41548269,82101169
01/1974,2775650,5303299,10993916,14898526,7321048,9434999,39687020,28696306,41769020,83301167
02/1974,5754512,3708281,16189489,6178454,16225690,43088901,28791727,12417776,30601650,61437224
03/1974,5394551,5100157,15662047,10540851,14142097,58142325,39445849,18622858,11734592,80567273
04/1974,5291985,3453540,9515764,14808302,10456214,33592446,69130910,19660142,28903882,61467580
05/1974,7317369,7401979,3794970,14982226,8713393,30005627,60535338,54421789,12705026,27705536
06/1974,7834803,6573465,7633206,11144257,16642474,35282782,42018796,55681684,10750891,26978707
07/1974,7457757,7049542,7246976,11340679,7813489,43072429,40807930,55606180,11960242,28227744
08/1974,7640302,8914422,3655712,10174425,34814952,8637108,57451609,40202099,18613825,14129864
09/1974,6676465,8672585,3658225,12431303,29761242,10208385,35219584,53777821,17929535,12308592
10/1974,6028564,7155104,3752957,32859474,25438203,8049839,6119143,53417334,11300870,14295465
11/1974,2969752,8075926,9844600,5529989,47328693,36007572,48292363,12912823,16415629,8932069
12/1974,2681521,7346693,9580883,5548334,44733425,19859183,61094264,13395060,15378577,10243492
01/1975,2802045,6709932,9448814,6769929,21627712,43687575,59660994,13165437,14299634,12556855
02/1975,4027689,20895884,11687078,34862610,7245091,27090066,43531026,22096062,9789133,8202753
03/1975,5324282,23410570,11623161,43215678,34441301,33468652,41416818,32383394,8084425,13204329
04/1975,6603642,19405411,44428159,44071290,32290128,12916760,36216238,28865346,14487781,14660080
05/1975,14333014,14395134,38978337,18181877,29290827,42072720,16080077,12523596,24321387,9882714
06/1975,14969669,15689797,38384554,21234780,30730829,6875164,52678352,6871323,27453235,13353634
07/1975,15297993,19430535,7127557,50438379,31850983,7053747,53073001,12356899,24561437,13730363
08/1975,7775343,13709748,37522126,18068277,41138282,36270409,10903410,16648189,22700658,13716610
09/1975,8826057,14913690,37994130,17169837,71508374,4323460,15428481,11606111,19087315,17236429
10/1975,7840576,14404964,34725335,18330277,46477856,3928977,16618814,32476387,19564393,17183062
11/1975,9968595,16429298,40998707,15106151,6001881,18753406,40995059,49029358,11860804,16913540
12/1975,11092836,40954255,20434332,16199119,12654102,13180310,42624438,53746941,17756987,10669756
01/1976,14218606,38763008,20836943,16195688,13080336,40988119,13410795,51346553,15401843,11593690
02/1976,42490277,22087730,18967688,18894505,42072073,20744838,24415031,19993435,13603690,47593787
03/1976,45112233,29594296,17931057,25670469,45188657,26209317,38873428,19921132,18064563,49144332
04/1976,46404081,30908677,19608795,25521151,17632369,29025935,39983414,20704740,16534856,84736925
05/1976,14022377,18434278,19738709,37533081,10248556,30317837,50996353,12135221,20149669,86750582
06/1976,15338910,20392558,16432914,37915943,13043244,30131663,53475848,13259390,51714122,53544570
07/1976,15980620,20786224,21405153,35730915,14180239,35406285,50606245,14728348,55925036,54273306
08/1976,9088334,44570114,25762970,32923290,34036385,23050559,23529626,20240094,60678501,46150616
09/1976,9333903,46045400,24993106,36943179,20028564,29578789,23805025,16229947,67612087,47652226
10/1976,7548512,47701653,14972820,46523636,22396832,36470584,20412607,25297576,60344903,50915083
11/1976,11171218,40841582,18836543,50056836,19236530,19328113,22734714,64944241,14876672,50787929
12/1976,8358258,52674097,17445691,39840799,31066390,15815369,31397250,63121599,19170148,52717927
01/1977,18872510,46490519,20879063,40734097,35617708,16264995,31572595,68893514,16769719,57262411
02/1977,17323909,25368083,12412905,17639373,46428306,12388037,68082134,23338187,67680938,29299770
03/1977,19017431,20006285,21075186,20050045,43256514,16932666,76449631,16283439,76210656,29870979
04/1977,19655066,19735648,20790996,17630121,21420407,41483283,76586649,54594408,32730018,34244537
05/1977,45707428,12485888,31862323,8969966,60527162,28236420,27663419,68822025,22718459,17150986
06/1977,45215145,11701132,31485151,12182586,60143709,31037792,23874253,63198688,27324850,18912782
07/1977,46468494,10636676,31793159,11764687,63334306,31483639,22769421,32577610,27592706,58302827
08/1977,14490264,33896752,13026056,18197989,31242466,30998180,75385932,23791925,59988983,25773124
09/1977,15222325,31536223,12511708,20417555,29643871,30462665,77490537,25668544,63280224,21820048
10/1977,14489327,32003667,11878116,19379231,32004865,24437639,80637125,20883168,68845924,23766515
11/1977,18283622,20008729,9227542,22176614,47197278,25221496,23051658,52716445,67910411,19763166
12/1977,20045688,17225428,16064958,20965495,46545862,29474365,22080118,17490035,102015954,26121128
01/1978,20081866,21115857,12863951,23459493,50608485,26220093,61553087,22137119,62963891,24534241
02/1978,34846451,17011685,21865505,12200977,9811801,27832452,61158743,28495783,25624097,58662884
03/1978,40299820,16039232,18252764,19182205,13771750,27982412,73788154,44338106,25866836,56906219
04/1978,43853877,15219573,19601215,20715353,15630701,26145407,35767664,47132537,71588207,56155447
05/1978,13844251,14224933,23799551,62128043,32146675,37798761,49713437,32801920,72222652,31548254
06/1978,13861329,12145143,24892322,60228029,26319086,50070973,47356693,31922950,31638768,75378422
07/1978,13614299,11206282,25408971,60956889,22848463,48607832,47257676,73077070,28708546,35511353
08/1978,19260939,22768290,19520668,68155122,28825854,23942993,88770486,32261714,48942416,33155697
09/1978,22947001,24971980,22662920,74826138,28918002,27497907,49308782,73417321,54099911,35994278
10/1978,21844188,26934416,22284370,73990460,25967357,30271942,47932148,36912104,95186504,34715960
