date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,32994032,44932848,36267803,58050558,31790915,42309272,29381112,19997456,14698354,9954997
08/1963,49102502,43641462,53121002,38160449,38514299,40498287,19660437,17649009,9316358,10526522
09/1963,41041970,46401952,58332268,23888167,47410281,31838218,22426404,31225342,18900655,14156820
10/1963,28677020,52013359,52757513,39072376,30172638,40357015,35118667,16256733,20773975,16115726
11/1963,43273488,47116117,31153921,26616004,78367756,37672617,20969187,26476404,14432506,15244173
12/1963,37083704,50527174,37557360,23561273,25772069,90114013,29363168,13154022,17075604,10227066
01/1964,18679933,44290128,55535774,39533725,45630594,21682269,73844011,15829836,17373614,11207323
02/1964,15570585,33652081,45604879,59257122,51753206,19840838,71160920,26991449,14629357,16076408
03/1964,16519912,37777136,30075573,73308284,55471424,20730932,76143635,20628794,16535147,13043189
04/1964,17824232,39940622,47758459,57321211,52155739,23304628,74993126,21712292,19458157,11487319
05/1964,16566540,38972884,75516132,47808088,79403961,21154700,44987502,22967809,11276012,8777847
06/1964,30421848,51620236,54204763,54703915,56204349,33759897,20043136,40559393,18712489,10543740
07/1964,35536126,45038847,94257569,58118797,23518421,36276201,35565983,18815462,23712416,12815416
08/1964,37912516,52284535,76553104,69417581,31933505,44032296,24765659,27386742,16982065,10318505
09/1964,40769668,100676607,38681731,74999291,30416072,29490482,17689195,30427682,12086860,10398149
10/1964,74952040,34754319,73851180,52279505,56169987,22415975,32620855,21747373,16919583,10457272
11/1964,54945049,90653079,42756680,33825463,38612407,50463920,32937408,18180098,25438191,11647201
12/1964,50852764,94552037,51898504,57354875,41585123,24341934,25577043,18316432,24463527,7651000
01/1965,52446374,82434371,93735428,27707048,29190172,42806973,21573985,24569517,21078110,6840050
02/1965,92121287,34289866,46068034,94020919,39994453,33520564,22234857,22220610,23567799,8291458
03/1965,93358375,84687993,47952621,59137998,26978178,28563632,31833176,20340029,16281448,7555067
04/1965,146066130,42786740,61978084,34649082,35092152,36087609,19579114,15269696,12948417,6704056
05/1965,165023979,46160385,57695766,38776606,27274375,32091289,25725918,15100652,10163895,7540783
06/1965,84472201,87781738,63634604,66282576,39994185,28560697,15591126,15516055,12888798,7499694
07/1965,92188844,63361781,80054320,40270640,63578426,20022506,17675384,17292306,10707425,6900317
08/1965,75199751,71072894,59949385,98143778,27526761,16885670,23810447,19355315,18617238,7515046
09/1965,53047965,96069972,75103278,31770521,71603914,30255076,17415070,21224102,22803421,8506232
10/1965,55972697,69738049,81111610,48121608,71253392,29078185,31008397,18305769,27047568,10163064
11/1965,44493135,55496173,89757583,57588908,79282553,40684194,30736284,18312195,26759170,10759967
12/1965,49194068,79303100,55331999,103392139,37471143,26620898,32384294,29845779,24529852,12016741
01/1966,61430533,120394504,63820850,60891290,32869389,39476342,28927089,21504279,18330126,11395065
02/1966,78246437,124658621,69675021,40687034,43210921,30945608,26078578,21092087,16650637,10837009
03/1966,79461122,126038003,57214896,60610213,28316378,35930365,21848996,17929574,16098812,10849384
04/1966,78580431,98957790,101380594,33124315,37979268,26909857,25275201,18213135,13594880,9989434
05/1966,127442984,81655566,72526568,39061984,32215800,32188050,24007050,18440374,15669067,10829742
06/1966,97848441,100309812,58997140,47317664,40243389,25782945,17838071,15862775,16327183,8626454
