date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.3913607144,0.5577508185,0.4790547725,0.4177138349,0.5774938166,0.4991697831,0.6092892447,0.8952335588,0.3355714838,0.419286804
08/1963,0.3967483325,0.5794853226,0.4804052985,0.4188847151,0.5713121862,0.4980759488,0.6076618153,0.9019436328,0.3377803288,0.4156157465
09/1963,0.3733816352,0.5412286408,0.4526328574,0.3977282646,0.54748695,0.479540635,0.5813036502,0.8251531524,0.3240869942,0.3913184327
10/1963,0.3634722567,0.5622089357,0.4656207538,0.4069436143,0.5657871225,0.4899343211,0.5770818018,0.8265188667,0.3239169366,0.3919661436
11/1963,0.3634387127,0.5527303515,0.4425190294,0.3953895041,0.5535375877,0.4918573239,0.5586482061,0.8115772156,0.3030582716,0.3441209174
12/1963,0.3684727712,0.551785287,0.4470032062,0.4012630835,0.5573887908,0.5012615029,0.5505414173,0.8189783516,0.3071742623,0.3763631209
01/1964,0.3646297278,0.551931755,0.4427364655,0.3827812749,0.5437460696,0.4837950559,0.5415924388,0.7992327566,0.4443470802,0.3765089214
02/1964,0.3474380091,0.5625716593,0.4287771248,0.3767704267,0.5035340665,0.4698166349,0.5228719821,0.778815506,0.4302743421,0.3708779597
03/1964,0.3416935379,0.5421750159,0.4222848832,0.3757470944,0.4973373017,0.4654115631,0.5141775167,0.7497663384,0.4213095716,0.3688970441
04/1964,0.3378877462,0.5248719308,0.41994106,0.3657240385,0.4916793408,0.45909606,0.508973585,0.7246482918,0.4023436722,0.3653595469
05/1964,0.3336500831,0.5383669455,0.4324322588,0.370430881,0.4984276964,0.4480888515,0.5003836418,0.7351899653,0.4105529511,0.3519015718
06/1964,0.3187812471,0.5483498768,0.4408831085,0.3684366861,0.4902431523,0.4515619989,0.4998272933,0.7275115185,0.4031092716,0.3450136113
07/1964,0.2647100894,0.5080179304,0.3945397281,0.3669608328,0.4601385936,0.5016466602,0.5569790995,0.5315235941,0.6642214608,0.5594335668
08/1964,0.2585366162,0.5061191421,0.3859376889,0.3492670119,0.4529891112,0.4875730598,0.5455430549,0.5379877528,0.6511304997,0.5414354363
09/1964,0.2607211781,0.5174731228,0.3986739661,0.2847167836,0.4622686443,0.5006141746,0.5522368121,0.5499257353,0.6623174669,0.5322879152
10/1964,0.2508809587,0.4966361749,0.3865270741,0.2772651053,0.4476125616,0.4860050926,0.5358321052,0.54493077,0.6400415989,0.508694134
