date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.2110632472,0.3706698024,0.5111106725,0.456956632,0.5614206104,0.4589751258,0.7981027683,0.8348081468,0.996443162,1.2343445063
08/1963,0.2130692784,0.3703738994,0.5123461978,0.4540350829,0.5539217891,0.4563113966,0.794443678,0.8492509877,1.0182328743,1.2227476021
09/1963,0.2030613348,0.3546862784,0.490536302,0.4396618279,0.5384948642,0.4325648319,0.7584869845,0.8013141893,0.9315345335,1.1604391601
10/1963,0.2045595261,0.3616473885,0.488324745,0.4540157089,0.5524192082,0.4344547772,0.7794543424,0.822183382,0.9202815541,1.1953807615
11/1963,0.1966392588,0.3541149391,0.4701775863,0.4571387417,0.5403013476,0.4016901142,0.7785107693,0.8241555262,0.8984278759,1.1705298919
12/1963,0.2010634639,0.3605870749,0.4621227495,0.4622560546,0.5458282925,0.4284494008,0.7932723789,0.8382637708,0.9181515193,1.1749977664
01/1964,0.2163074373,0.349798748,0.4542694971,0.4480104757,0.5252023621,0.4217335,0.7732908125,0.7927748266,0.9111484426,1.1303485586
02/1964,0.2098792174,0.3454694427,0.4410265178,0.4414519488,0.504119077,0.4133062277,0.7560193625,0.7830148532,0.8860515693,1.102019998
03/1964,0.2057389901,0.3378366558,0.4368612255,0.4340631073,0.5008188641,0.4102207863,0.7333580336,0.7708400413,0.8665305418,1.0498434728
04/1964,0.2049316905,0.3366779568,0.4364057653,0.4294102175,0.4935432174,0.401252227,0.7041756227,0.7506701909,0.8179001596,1.0243197454
05/1964,0.210624023,0.3387907436,0.4333236544,0.4224517928,0.483561259,0.3896911735,0.6982865434,0.7499309935,0.8416351944,1.0031428374
06/1964,0.208840829,0.3363832212,0.4371917864,0.4189816366,0.4815957061,0.3849948574,0.690871188,0.7363711936,0.8175648661,0.980482824
07/1964,0.2238598661,0.287806698,0.4429392465,0.4112737689,0.5397126167,0.6190444168,0.6934612001,0.7158655378,0.9280388224,1.0529972458
08/1964,0.2201124329,0.2782465179,0.4422640129,0.3959492725,0.529321491,0.6048053367,0.6765554933,0.6991464652,0.9093513835,1.0346147011
09/1964,0.1991679976,0.2825524518,0.4513615572,0.4004570572,0.5274249217,0.6201456346,0.6958159541,0.6971100244,0.914056853,1.0610974344
10/1964,0.1947001846,0.2742045442,0.4489164197,0.3887871099,0.5105518694,0.6023354914,0.6773319384,0.6675442731,0.8678303646,1.0054661107
11/1964,0.1955926087,0.2731452388,0.4482648058,0.3786289555,0.5043662382,0.606114951,0.6697499692,0.6615606792,0.8668712844,0.9819181566
12/1964,0.194146288,0.2859172637,0.4567582117,0.3805237722,0.5057404625,0.6025965905,0.6581842068,0.6527262833,0.898697131,0.9880125391
01/1965,0.1903312651,0.2820450941,0.4419632846,0.3746161043,0.5030922485,0.5934493775,0.6625270126,0.6446077258,0.9115177351,0.9995685677
02/1965,0.1797744558,0.2677953231,0.4349371179,0.3701745916,0.4823362758,0.5769794243,0.6440034468,0.6274733149,0.8706668953,0.9539593865
03/1965,0.1983866221,0.2688050357,0.431826623,0.3763936081,0.4749815853,0.5721911212,0.6479175099,0.6328972418,0.8580036859,0.9424478212
04/1965,0.2013358468,0.2726790564,0.4394752239,0.3820333662,0.478218168,0.5734600559,0.6669085331,0.6433970421,0.8634571992,0.9414916176
05/1965,0.191887968,0.2680850841,0.4279303367,0.3673653399,0.4687570764,0.5576652491,0.6481653116,0.6268341366,0.8263658196,0.9072404034
06/1965,0.1937909302,0.2664011394,0.4242691117,0.3760249306,0.4789351868,0.5648105514,0.6452349007,0.6260070266,0.8373096566,0.9096651659
07/1965,0.2148083202,0.259378783,0.3900854871,0.516648401,0.5750677504,0.6144872804,0.824614368,0.8557619808,0.8436007997,1.2043335478
