date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.6270094936,0.545633828,0.4521814105,0.4615621135,0.4408020122,0.4418606818,0.5624950565,0.8145905021,0.4426844232,0.9692503823
08/1963,0.8539131655,0.5520408885,0.3192005955,0.4349402746,0.4120537736,0.5800184155,0.4658329752,0.9047571054,0.5839061983,0.9498873743
09/1963,0.5693406417,0.5798261433,0.3939348424,0.4319302262,0.346671781,0.4685776685,0.6172482649,0.7439375479,0.4449400718,0.7296126872
10/1963,0.8503995367,0.5211622928,0.5203590031,0.3204707751,0.4012963871,0.468229574,0.5566868536,0.5019818503,0.6011756451,0.8230180011
11/1963,0.7862814324,0.5331754627,0.3340729099,0.4720505249,0.3849755535,0.4170649806,0.5696257328,0.6288892267,0.423948826,0.7413798624
12/1963,0.791674559,0.494914955,0.4429872901,0.3979517445,0.3711320682,0.5252770418,0.5861573959,0.3110404879,0.7771410777,0.5216320547
01/1964,0.7272204035,0.4454710149,0.4432129066,0.3578728256,0.4524023134,0.4713442941,0.5437086839,0.5656569705,0.764960045,0.8977808495
02/1964,0.7394830214,0.4650459732,0.4608824357,0.4325969503,0.4074664196,0.4092290608,0.519771919,0.7582771168,0.6627691177,0.4677359054
03/1964,0.6646414564,0.5030207966,0.4348213969,0.3819912418,0.390869701,0.501701718,0.4294939734,0.5277340129,0.6799057837,0.3831792051
04/1964,0.6814404107,0.4802700591,0.4352282188,0.448378148,0.3988005359,0.4492860021,0.5612409446,0.5028301079,0.5239895005,0.3124812934
05/1964,0.6777416047,0.3754846563,0.4362801339,0.3540262094,0.4496871486,0.5234448193,0.4861274226,0.533953438,0.4591476332,0.4301087284
06/1964,0.6606364674,0.4603198783,0.4274104761,0.4315229428,0.3747658551,0.4217489522,0.4992657386,0.4214793763,0.4696054858,0.8014366684
07/1964,0.7553937617,0.4465040322,0.4411665012,0.3674204733,0.4597112028,0.4177876591,0.4802953573,0.6549180638,0.6334181133,0.318594874
08/1964,0.6790660279,0.4668445958,0.4071754531,0.4398922857,0.4403037548,0.4149918625,0.4504583021,0.6310258744,0.4426503585,0.4624667077
09/1964,0.7102946446,0.5007432485,0.4314566944,0.3756336396,0.3736204498,0.4947289655,0.4958334198,0.4532940425,0.7175777626,0.5073227121
10/1964,0.7212227431,0.5162794359,0.3975080571,0.3100702783,0.3849166064,0.470229686,0.4738456529,0.4604663669,0.645965895,0.3932239712
11/1964,0.6662091169,0.4703114582,0.5099497588,0.4221018993,0.3368313981,0.4155219052,0.4220311916,0.5592573194,0.4056471126,0.390901475
12/1964,0.6426662659,0.4317038926,0.3954640169,0.3648159115,0.3520021777,0.42892547,0.4814210199,0.6109650118,0.4771658413,0.4643778356
01/1965,0.5720234073,0.4854080239,0.274264291,0.4501916681,0.4090113791,0.4327916806,0.5253655682,0.5784344316,0.6129809059,0.4117612876
02/1965,0.6591290095,0.4323505024,0.3195402446,0.4676881985,0.4099877081,0.4747084083,0.3520402469,0.4185167184,0.6049039366,0.3617780893
03/1965,0.5798780445,0.4518917276,0.4509285854,0.4338019629,0.418976157,0.3536422331,0.4583431273,0.4035442995,0.524459582,0.4197894862
04/1965,0.6488177005,0.4519364273,0.466797332,0.4539800641,0.3184936894,0.4628203997,0.4827044984,0.5209633024,0.4457611183,0.4238358385
05/1965,0.6467509703,0.4643838372,0.3961753374,0.4389352364,0.4550353137,0.3930524078,0.3858333641,0.4517285702,0.4314050686,0.3759803462
06/1965,0.5350932334,0.4396194098,0.4741471472,0.3994014745,0.3404159512,0.3206626637,0.4959353964,0.4395176062,0.6338015694,0.404121532
07/1965,0.6200962154,0.4551960628,0.4519632883,0.3470063582,0.35970384,0.4780203202,0.5646928624,0.66297329,0.5147105663,0.4278135091
08/1965,0.7268461072,0.4243592849,0.4125400081,0.4894774381,0.3499165471,0.4379687986,0.636845629,0.6384539332,0.4348921373,0.4090482185
09/1965,0.6970119877,0.4286913137,0.4440248163,0.2708109117,0.4153752018,0.5369810134,0.5312318509,0.6115912213,0.4866781034,0.4910183626
10/1965,0.7052893768,0.4268681522,0.5119690177,0.2634497792,0.4270008414,0.371964401,0.5408936584,0.5589609955,0.4171625406,0.4854743668
11/1965,0.6763844207,0.5369196599,0.4097577818,0.296791867,0.3800733992,0.3662837302,0.5415512726,0.4853191629,0.6692690061,0.3764407862
12/1965,0.5923957419,0.3966399801,0.300071219,0.2768693744,0.5049202224,0.4227611189,0.4117816537,0.6007671898,0.6201181854,0.4113752934
01/1966,0.53034172,0.3008335144,0.4020357754,0.3825786475,0.4524237292,0.4931998278,0.6126370017,0.5873797554,0.4486091834,0.4517197989
02/1966,0.5013407842,0.4642978862,0.3124536047,0.3971345637,0.4289778577,0.5968530466,0.5500123332,0.4141539157,0.646435028,0.375385037
03/1966,0.5771734975,0.3609220495,0.3145092897,0.4820609007,0.4623416401,0.5449678907,0.537841948,0.454741718,0.5153727106,0.3311282876
04/1966,0.5583643179,0.4617019881,0.3329700492,0.4147768253,0.505436379,0.5033464531,0.5618827913,0.386182069,0.5913957458,0.4891083844
05/1966,0.4983582657,0.3808882817,0.4378623096,0.5179481077,0.4087143259,0.4421052175,0.4626240814,0.5614941802,0.550502082,0.4364791217
06/1966,0.5794659542,0.4392835251,0.4605817975,0.423330366,0.4297020782,0.5135983728,0.512932429,0.5265406548,0.5131017833,0.4669581096
07/1966,0.559078841,0.4403732186,0.297286145,0.3517605486,0.5639633912,0.5333204216,0.6268798427,0.6790228256,0.7422359882,0.4554957332
08/1966,0.555486636,0.6372306184,0.3833034799,0.3837453951,0.5516768977,0.5070532326,0.6499548728,0.4837901892,0.6900371063,0.5501715284
09/1966,0.6341936734,0.5648041066,0.4506518497,0.6222213945,0.4232256521,0.5859199743,0.6412134659,0.6618555355,0.7453519824,0.4441936844
10/1966,0.657485781,0.5611931107,0.5904214979,0.4811511937,0.3690055239,0.7290140695,0.5511013234,0.5658908308,0.6302253428,0.5714719126
11/1966,0.7792104598,0.3273260496,0.3642725682,0.4826334018,0.5688214841,0.5722540219,0.6823617677,0.7158499343,0.6104509362,0.4429611229
12/1966,0.6508651707,0.4516941547,0.3059174773,0.5881280648,0.4647641189,0.390386609,0.6271605711,0.8564330208,0.7119805338,0.5113105637
01/1967,0.5459829844,0.450173206,0.4003284207,0.4473910531,0.5257270842,0.5515725879,0.6192832393,0.7826095738,0.6395329052,0.5957269637
02/1967,0.4997077512,0.476761915,0.2828394179,0.4708135954,0.4976561835,0.5073107244,0.5385160282,0.6157388387,0.7352563611,0.5687528542
03/1967,0.5617152433,0.4573774396,0.4242184354,0.4344915728,0.4870113652,0.4871967591,0.6472207698,0.656915541,0.7330158779,0.459311239
04/1967,0.5149175559,0.2824318167,0.3503638711,0.528390856,0.5462341548,0.5102514314,0.5692189677,0.6020576307,0.5681409165,0.5389072516
05/1967,0.5317215144,0.3734387057,0.3653542581,0.4949859742,0.4436931591,0.4817388642,0.4597890886,0.6363405985,0.7815553789,0.434344962
06/1967,0.4880558997,0.2554809183,0.404312903,0.5866581827,0.43714956,0.4726761144,0.6322920551,0.6797750764,0.5572165862,0.5213644536
07/1967,0.5565095574,0.4620589157,0.4756728687,0.5369340455,0.4131472619,0.4882198256,0.5491245202,0.6072815353,0.5748546372,0.4141261873
08/1967,0.5120106715,0.4146087477,0.4345384142,0.5050581603,0.431244076,0.5150238393,0.5679746739,0.6450092752,0.4635220094,0.4522127945
09/1967,0.530920819,0.2677561209,0.3871206738,0.4840612577,0.4193395845,0.6164770121,0.6311583918,0.6191536059,0.6747964194,0.4345917915
10/1967,0.5084282104,0.4106371314,0.2789707016,0.3974662902,0.5163649804,0.4951891761,0.61989216,0.4689998448,0.6635368711,0.4626489135
11/1967,0.548074617,0.6331513709,0.2658055571,0.4339253389,0.3775833617,0.4621409914,0.6239032163,0.697394172,0.8038303684,0.5280309744
12/1967,0.3885265379,0.5629318536,0.3952226281,0.4991357435,0.5077482981,0.5117321746,0.6740377699,0.7021763075,0.5930228108,0.487276293
01/1968,0.5319679506,0.3490813561,0.5445285794,0.3615768497,0.4494801216,0.6014882872,0.6365912879,0.6693333656,0.5635175937,0.5283966557
02/1968,0.4976683578,0.2477775537,0.4506516313,0.5939122122,0.352916249,0.5526432026,0.607821903,0.6176825024,0.6420071815,0.5366923417
03/1968,0.3813941911,0.5131119531,0.405326678,0.4296153806,0.3506040015,0.5231072255,0.621875038,0.7778670003,0.6557971572,0.4733751547
04/1968,0.5701754072,0.384826602,0.456648614,0.5093749218,0.4480161212,0.5105048214,0.5530324938,0.7231134759,0.6223511383,0.6053560743
05/1968,0.3899921594,0.4467862087,0.5846634427,0.4005877692,0.5394187223,0.4923010354,0.5278758332,0.8648068287,0.6443534613,0.4356260266
06/1968,0.3802693361,0.4485699529,0.3666525003,0.571934682,0.3958013273,0.6414852506,0.5884252244,0.5670609566,0.6029191618,0.478833835
07/1968,0.4999658858,0.4296580906,0.4422320993,0.5103551682,0.3653975631,0.620494225,0.5817492767,0.6347819924,0.7024978536,0.4493297475
08/1968,0.4100648101,0.2967835691,0.6637193025,0.3734268975,0.4359107294,0.5132252284,0.5674836869,0.6840003298,0.5114356217,0.6816297136
09/1968,0.3795243593,0.5154821281,0.3956937942,0.2765828566,0.5872059299,0.4575783515,0.5206711612,0.7551773442,0.5940079115,0.5366267092
10/1968,0.4790575149,0.3938450075,0.4085189909,0.4291727506,0.4258668618,0.4571057617,0.5023387993,0.641477483,0.6664115246,0.41253591
11/1968,0.3394264233,0.4751585836,0.2666061456,0.3639552231,0.3706292695,0.5532560664,0.5981960988,0.6201000185,0.6482661189,0.527036428
12/1968,0.3709845014,0.4357249879,0.2959056916,0.4063177474,0.4465196789,0.3598080493,0.5011481456,0.5046340143,0.5323913818,0.5139471797
01/1969,0.3046517992,0.4052395113,0.3703538042,0.2575138205,0.500723799,0.4278748105,0.5455786799,0.554202756,0.5351116036,0.5543680231
02/1969,0.3037135235,0.3487382621,0.3215396752,0.4531280798,0.3995932927,0.429753862,0.5733864489,0.6099723066,0.4577375775,0.5930844336
03/1969,0.3428467337,0.4289707515,0.319098179,0.2995250702,0.5446383538,0.5250475855,0.550518519,0.5451244109,0.6828638,0.5809648041
04/1969,0.357914593,0.3973611542,0.2904294909,0.3685424484,0.3591640799,0.6116471593,0.5449964363,0.6051544732,0.5862760968,0.4918203306
05/1969,0.3573427241,0.4343899514,0.3298821529,0.2872146562,0.5151969258,0.378373189,0.5830817892,0.6011540788,0.6065690777,0.5363114938
