date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.2143707471,0.3417174781,0.5389111788,0.6005851471,0.7276811785,0.8377530209,0.901446106,1.1129496197,1.3270121693,1.7887454278
08/1963,0.2158666376,0.3380402793,0.5373699605,0.6120930797,0.7149612922,0.8457146918,0.9113196066,1.1283170211,1.3317789243,1.8187479236
09/1963,0.2042064915,0.321051017,0.5206719921,0.5710564448,0.6864955187,0.7889482981,0.8494465377,1.0521685996,1.2611058921,1.720358646
10/1963,0.205111914,0.3277978647,0.5208639894,0.5823048496,0.6928437766,0.79214477,0.8504852715,1.0633672946,1.2980770055,1.7547503717
11/1963,0.1964938886,0.3019716171,0.5040668565,0.5740605995,0.7050430593,0.7706712155,0.8331808577,1.0408543994,1.3054522514,1.7307903594
12/1963,0.1993236705,0.3176987447,0.4968914958,0.5791648581,0.7245899467,0.7706883482,0.8619451612,1.0444803329,1.3082892029,1.7774479743
01/1964,0.2257851512,0.3107679846,0.4839317474,0.5574680625,0.7061250312,0.7664509298,0.8248819477,1.0336560215,1.26153467,1.7459811725
02/1964,0.2148969537,0.3040197614,0.4626962155,0.55239361,0.6878942459,0.768375803,0.8193139253,0.9890405929,1.2421013607,1.700344043
03/1964,0.2137821689,0.301055519,0.4565001801,0.5397833685,0.6756324838,0.7489935495,0.7830712729,0.9666857934,1.1961679211,1.6275030048
04/1964,0.2117143183,0.2971341942,0.4544784859,0.5263605407,0.648242027,0.712189529,0.7620080147,0.9042261372,1.1787471267,1.547388394
05/1964,0.2185591423,0.2880292015,0.4442021009,0.5361007058,0.6459723863,0.6984745096,0.7519797059,0.9469059554,1.1424438381,1.5475678947
06/1964,0.2170673552,0.2841800848,0.4456488303,0.538880817,0.6400912416,0.68990768,0.7293784735,0.9259184195,1.1311613838,1.5193339305
07/1964,0.217310069,0.3065967509,0.4490898748,0.5043178528,0.6066860827,0.7013268795,0.7941611063,0.9538453376,1.2311684541,1.5439813595
08/1964,0.2138475176,0.2935523975,0.4498782381,0.4972945297,0.5959022715,0.6698745241,0.7882658889,0.9320126832,1.2203204316,1.5256581403
09/1964,0.1966984425,0.2955810046,0.4595512483,0.5095800791,0.5991665228,0.6815848557,0.7960139539,0.9418289789,1.2210770619,1.5650641511
10/1964,0.1915821541,0.2858992157,0.4567013692,0.4955727234,0.5808642461,0.6530121784,0.7665061987,0.9016915994,1.1480213162,1.4978477761
11/1964,0.1922899423,0.2793583242,0.4575033444,0.4878278125,0.5729440043,0.6458957554,0.7621407152,0.8986266107,1.1242253127,1.4608849081
12/1964,0.1954472815,0.2804521591,0.4638199492,0.4909773963,0.5624903941,0.6421088662,0.7584737119,0.920458873,1.1644086252,1.5124519639
01/1965,0.1914689488,0.2775455887,0.4450517934,0.4826906868,0.5559548113,0.6593153137,0.7490328534,0.9453041789,1.1830171318,1.5623329443
02/1965,0.1812099678,0.2700925198,0.4404727044,0.4797204768,0.5425205067,0.6299323861,0.7288472088,0.9049734143,1.1180399244,1.4519795903
03/1965,0.1984539731,0.2728576607,0.4385463473,0.4894775678,0.52990176,0.6279162265,0.7333817593,0.9037573746,1.1215429369,1.4146391542
04/1965,0.2034347097,0.2738661488,0.4439433735,0.5065832421,0.5379117524,0.6380919897,0.7338052834,0.9082926354,1.1046194957,1.4317083926
05/1965,0.1945338348,0.2603850401,0.434075195,0.4935298837,0.5265531961,0.6135819356,0.7099199086,0.8898410564,1.0275152031,1.3594479762
06/1965,0.1946854258,0.2682736091,0.4284923591,0.4973976488,0.5313778174,0.6140771764,0.7092830603,0.8993108995,1.0627624884,1.3801493931
07/1965,0.2102500204,0.3449265949,0.4339395878,0.5419425916,0.61513866,0.7397285443,0.8197182135,0.9899840119,1.2209069723,1.5811659287
08/1965,0.2070448663,0.3445304928,0.4250263288,0.542820373,0.6014698258,0.7244109746,0.7852420251,0.9674889926,1.1781470953,1.5210989897
09/1965,0.2011401699,0.335350232,0.4080365762,0.5420662581,0.5739607666,0.7058337163,0.7729626594,0.9571949441,1.1335492525,1.5081482795
10/1965,0.1930653453,0.3205906934,0.3968834805,0.5258752785,0.5580533969,0.6965381115,0.7488534263,0.913909943,1.117914466,1.4258195947
11/1965,0.1875996336,0.312236455,0.3878045393,0.5248832885,0.540967688,0.6727241983,0.7164110304,0.8739695206,1.0503844835,1.3302181408
12/1965,0.1900996776,0.3152131817,0.3866338707,0.5379716536,0.5273456741,0.6708463046,0.7131590159,0.8774403706,1.0565711956,1.3504762736
01/1966,0.1973569451,0.3075214937,0.3785202515,0.532321728,0.5190362689,0.6432750992,0.6958597355,0.8295211629,0.9750784708,1.2721153477
02/1966,0.1993694683,0.3061577449,0.371892148,0.5304064685,0.5230753789,0.6170923297,0.6752847079,0.793031109,0.9426935212,1.2183085567
03/1966,0.2049031328,0.3078818903,0.3818051436,0.5395737809,0.5323602463,0.6246437294,0.6789807721,0.8020436409,0.9485963077,1.2231702622
04/1966,0.2109122483,0.31527359,0.3943099223,0.5628525483,0.5416189294,0.6325535654,0.6962953703,0.8295446229,0.9734078256,1.282248762
05/1966,0.2110496321,0.3095898982,0.3815847645,0.5520785002,0.5254926997,0.6259700963,0.6664916433,0.8016131701,0.9628473005,1.2749725535
06/1966,0.2191198381,0.3287787971,0.4027974082,0.5836125059,0.5586560613,0.6635049193,0.7245639594,0.8699297886,1.0493823167,1.3741913009
07/1966,0.1726282182,0.3092603121,0.3981060601,0.4626859194,0.5963116763,0.6975660792,0.7836234685,0.8697281327,1.1384585165,1.6339949374
08/1966,0.1849322151,0.3132157365,0.4042466959,0.4680809809,0.6009737404,0.707056239,0.7801769946,0.8716418445,1.1602353607,1.6658366363
09/1966,0.1892695872,0.3429179871,0.4399713591,0.5110627397,0.6558119667,0.7450480376,0.8503228069,0.944694051,1.2546320436,1.8303710763
10/1966,0.1935951053,0.3441699542,0.4437407262,0.5103531045,0.6717468708,0.7413283464,0.8532411878,0.9332022417,1.2975673288,1.8667604833
11/1966,0.1876638679,0.3447222359,0.4218393605,0.5072682728,0.6300885523,0.688207246,0.8085904779,0.89635117,1.2386043988,1.8202558697
12/1966,0.1785803353,0.346901069,0.4202104726,0.495006158,0.6498037631,0.7082507483,0.811050608,0.909387007,1.2708970669,1.8701676357
01/1967,0.1802766149,0.3476381523,0.410531151,0.4908387696,0.642374611,0.6862553355,0.7900673143,0.9264120464,1.2591083921,1.8433449428
02/1967,0.1790385976,0.3125912437,0.3825096314,0.4451546933,0.6135674089,0.641169812,0.7356655283,0.8337386795,1.0936975451,1.5817402626
03/1967,0.1788212036,0.3140852466,0.3796034487,0.4433950046,0.6134766071,0.6452874616,0.7494733229,0.846776711,1.1096749955,1.5840858852
04/1967,0.1786563136,0.300140741,0.3618289618,0.4254716043,0.589542539,0.6241181019,0.7057033306,0.8166328776,1.0466309937,1.49951822
05/1967,0.2051268453,0.2741446997,0.354422208,0.4086957455,0.5851396091,0.6142336376,0.6878915212,0.7816619285,1.0226533824,1.4471239425
06/1967,0.171846651,0.2939332867,0.3668593972,0.4243788362,0.6039475079,0.6504296832,0.7151535256,0.8067803443,1.0713035861,1.5003528225
07/1967,0.146895156,0.2680169746,0.3926223621,0.4665811868,0.6433720576,0.701844685,0.7210287414,0.855178654,1.0345469128,1.52541138
08/1967,0.1469588819,0.2500393324,0.370764563,0.4399708046,0.6022598567,0.7083011352,0.6749312962,0.8016339966,0.9483016875,1.4266476941
09/1967,0.148791054,0.25092278,0.3748377258,0.4462219479,0.6094760196,0.7256575112,0.6930327848,0.8137629997,0.931629781,1.4220129868
10/1967,0.1410290414,0.2431752234,0.3609814106,0.4348110805,0.587152058,0.7029436819,0.6859530695,0.7811290783,0.9095493505,1.3925083525
11/1967,0.1368995015,0.2525950421,0.3761545364,0.452463585,0.5980153945,0.7324173161,0.7311805199,0.8214198891,0.9573159971,1.4776590736
12/1967,0.1643051186,0.2560169384,0.3796198597,0.4585936763,0.6007914119,0.7352384083,0.7422092921,0.8300349116,0.9750951311,1.4818652065
01/1968,0.1559194686,0.2458778162,0.3606817847,0.4343257695,0.5701485073,0.7172263664,0.6671691639,0.7697984984,0.9234535669,1.4099793774
02/1968,0.138811765,0.2605433156,0.3779664323,0.4597311103,0.5816252867,0.7166906299,0.6928636718,0.7702048155,0.944953335,1.424634507
03/1968,0.1428482365,0.2665370755,0.396087034,0.4808332685,0.5965920678,0.7450875423,0.7194360479,0.8015283616,0.9880934613,1.4700869642
04/1968,0.1663520579,0.2642972662,0.398470352,0.4734186251,0.5940742224,0.753876747,0.7280372342,0.8173895274,0.9752741037,1.4968445405
05/1968,0.1824684042,0.2366162338,0.3681523878,0.4280345705,0.5628237772,0.7231456761,0.6776790125,0.7368626873,0.8754915424,1.3387820915
06/1968,0.1808719474,0.2379601309,0.3639445926,0.4241581867,0.5654755271,0.7307116929,0.6721529774,0.7217258326,0.8416973243,1.2911190261
07/1968,0.1438036054,0.2298965219,0.2832611414,0.38649222,0.4751401195,0.5596687458,0.6762356506,0.7956263673,0.859680338,1.3522656408
08/1968,0.1318257433,0.2457410651,0.2958735325,0.3934451942,0.4830825866,0.566186359,0.6498451491,0.7895102651,0.8361699432,1.3854712477
09/1968,0.1299928869,0.241951769,0.2919824594,0.3945443615,0.4799010235,0.551664888,0.6413944242,0.7775197128,0.801468693,1.3661550784
10/1968,0.1286949258,0.2318475461,0.277065473,0.3688269293,0.4611559489,0.5245865415,0.6157156949,0.7477338479,0.7433355598,1.2548939663
11/1968,0.1340182772,0.2328781809,0.2726222232,0.3623626232,0.4494892724,0.5168735783,0.6018239748,0.7225527031,0.7485871206,1.2189385423
12/1968,0.1259951789,0.2185971977,0.2603295812,0.3594681191,0.4344905771,0.4900634349,0.5693087323,0.6954719456,0.6864793273,1.2051306967
01/1969,0.1309205751,0.2190943505,0.2694414499,0.3620125574,0.4393355766,0.4899296166,0.5763650226,0.7124483949,0.7056647341,1.2006238245
02/1969,0.1357236248,0.2246509084,0.2720506633,0.3666612623,0.4450272402,0.4890466559,0.5761754512,0.7179674591,0.7184682893,1.1922016456
03/1969,0.1401721828,0.2368603734,0.2865236047,0.3839732784,0.4645706111,0.5240064004,0.6138082157,0.7576976743,0.7741087476,1.2853479458
04/1969,0.1351090594,0.2306501857,0.2746572409,0.3745342492,0.4492992482,0.503627313,0.5891420043,0.7440916003,0.7143464292,1.2528534018
05/1969,0.1297905526,0.2270190041,0.2666048798,0.3742991601,0.4484905201,0.494886315,0.5926807411,0.718984593,0.6938791711,1.2435276619
06/1969,0.1321182856,0.227376485,0.2690659382,0.3750896338,0.4472206264,0.5024240445,0.5843506851,0.7096490159,0.6830901574,1.2604647291
