date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.2224110513,0.2975255014,0.4981042498,0.5178409729,0.5207019991,0.7225456487,0.7229376039,0.7662908996,0.5260947468,1.1870531148
08/1963,0.2234469947,0.3017911526,0.4973882242,0.5208475926,0.5150379426,0.7275390193,0.728836553,0.7563882303,0.5224094216,1.1946116471
09/1963,0.2138107831,0.2881402304,0.4755066324,0.4962409962,0.4984138882,0.6958538375,0.6907291332,0.7247877813,0.4915551314,1.129329285
10/1963,0.213108603,0.2936785854,0.4753948015,0.5020467307,0.5140104444,0.7064795797,0.7024057983,0.750451657,0.4938119579,1.1554873247
11/1963,0.2030910076,0.2841034202,0.4583432908,0.5055941419,0.5135280855,0.7027816947,0.6906529113,0.7490850304,0.4414038712,1.1420851617
12/1963,0.2061853493,0.2917068268,0.4497220723,0.5140081177,0.5176709046,0.7234759074,0.7006457664,0.7723562035,0.4779538743,1.1400529678
01/1964,0.2443960396,0.2802321975,0.4427923326,0.4958410399,0.4988922197,0.713654871,0.6884280137,0.7374117741,0.4748906274,1.1035085182
02/1964,0.2350380577,0.2747891302,0.4291339807,0.4955119821,0.4802703766,0.6933613323,0.6861154444,0.7189928925,0.4664867865,1.086074783
03/1964,0.2286299853,0.2728150901,0.4220427802,0.4867066878,0.4729132929,0.692935403,0.6738015659,0.7019618081,0.460216596,1.0287849667
04/1964,0.2286078516,0.2706056529,0.4209624644,0.4830622366,0.4647729151,0.6712566727,0.6403372747,0.6706664003,0.4565440963,1.0059728509
05/1964,0.2376602617,0.2759865533,0.4206894305,0.4764513877,0.4574002253,0.6719796024,0.6355547131,0.650415909,0.436060468,1.0257359409
06/1964,0.2341528916,0.274684818,0.423181557,0.4716763649,0.4545482549,0.6712576871,0.6326352698,0.6353822277,0.4242059149,1.0320997376
07/1964,0.2604013374,0.3711565959,0.4456352008,0.5620112313,0.472819918,0.6209705812,0.5231783447,0.6707253369,0.9127476222,1.0221109328
08/1964,0.2565831554,0.3674736672,0.4361623682,0.5506183999,0.4626782299,0.6069152341,0.4974862193,0.6511703547,0.8952898079,0.999945374
09/1964,0.2228015317,0.3751707016,0.448400492,0.5550285641,0.4729315628,0.6162514102,0.4977698654,0.6605042326,0.8946503384,0.9853750339
10/1964,0.2181776801,0.3691358843,0.433267334,0.5380153604,0.4625145255,0.5959568913,0.4789398341,0.6420479455,0.8645553128,0.9251504219
11/1964,0.2195485594,0.3678152359,0.4233714752,0.5377729473,0.4475278916,0.5825037875,0.4790930096,0.6386426622,0.8603718277,0.9186844689
12/1964,0.2185768228,0.3782891878,0.4268421555,0.5378675425,0.4393891954,0.577409336,0.4915153208,0.6290774714,0.8739696337,0.9407683073
01/1965,0.2146327279,0.366297494,0.4190301623,0.5371165677,0.440367202,0.5622673214,0.4875078313,0.6318845283,0.8940451748,0.9201017112
02/1965,0.2034989867,0.3568408967,0.3969859966,0.5143504371,0.4414318812,0.5382044664,0.4718173696,0.6163238589,0.8462669317,0.9014104537
03/1965,0.2326623807,0.3563915342,0.3926641777,0.5033023911,0.4502550415,0.5340377508,0.4813745939,0.612845451,0.817250347,0.907488229
04/1965,0.2377689795,0.3617270159,0.3949889519,0.5054425677,0.4621020719,0.5449616581,0.4811938465,0.6222957809,0.8273765254,0.9054554797
05/1965,0.2238272945,0.3541864552,0.3872364277,0.4943996975,0.4544931264,0.5316020545,0.4545008825,0.611377459,0.8016752744,0.8422595584
06/1965,0.224991903,0.3507294844,0.3928768817,0.5015571744,0.4591804182,0.5336995535,0.4681457954,0.6132264782,0.8048620881,0.8718749304
07/1965,0.2144031334,0.3993291872,0.4172408352,0.5189870514,0.4968439107,0.6665306803,0.7858710486,0.8193222815,0.9300510296,1.0830697573
08/1965,0.2108076924,0.3982558797,0.4137578759,0.5207909003,0.487469421,0.6453997795,0.7659721378,0.8027632738,0.9000377194,1.0393183049
09/1965,0.2031835371,0.3940803475,0.4059218999,0.5154810301,0.4778394013,0.6220581858,0.7356246469,0.772148847,0.873880738,1.0176428711
10/1965,0.1972131681,0.3835898281,0.3920970947,0.5018130314,0.4590630724,0.6047687398,0.71763418,0.7508060746,0.8306728135,0.9901299173
11/1965,0.1942458733,0.3820470512,0.3868847989,0.4890983667,0.442790998,0.5808853541,0.6924505931,0.7066191662,0.7880587221,0.9351820797
12/1965,0.1919584959,0.3916069659,0.3903775621,0.489326896,0.4597592015,0.5638334407,0.6813636111,0.7144958989,0.7631401163,0.9262982568
01/1966,0.2041301473,0.3860286561,0.3876435603,0.4878340677,0.4529333541,0.54893708,0.6708442311,0.6847620336,0.7207410302,0.8583371936
