date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.8223136457,0.8174922654,1.071284583,0.7108488572,0.4663380125,0.5401743597,0.4972586739,0.4930581267,0.34765255,0.3736908931
08/1963,0.8440418546,0.837059107,1.0957653452,0.7248201334,0.4627512761,0.5396167363,0.4958113056,0.4900974151,0.3476966888,0.3734674546
09/1963,0.8052559971,0.7837672373,1.0210203459,0.6826414263,0.4410480587,0.5229484293,0.470028929,0.4667201037,0.3342231202,0.3597705581
10/1963,0.8371291718,0.7793966583,1.0255250451,0.6994931219,0.4497566504,0.5326320439,0.471960857,0.4794896442,0.3397563088,0.3596032614
11/1963,0.8142748888,0.7654103274,1.0253263459,0.6570854124,0.4185333273,0.5345013677,0.4630438214,0.4754690411,0.3336508794,0.3451386074
12/1963,0.7975140147,0.7822030126,1.0308740849,0.6650371983,0.4359995396,0.5462897768,0.4704663293,0.4852610436,0.3415740082,0.3446476486
01/1964,0.8046895079,0.7882584166,1.0095820795,0.6630248962,0.4200799614,0.5259197504,0.4540922954,0.4871734925,0.3336788895,0.3854176095
02/1964,0.7890936098,0.7925262096,0.9837103689,0.650360846,0.4085965166,0.5105579455,0.4461049854,0.4562534147,0.3255077157,0.3780096748
03/1964,0.7655594552,0.7644806825,0.9465759106,0.6403276489,0.4062456083,0.5086324108,0.4409577012,0.4508131724,0.3186913309,0.3679012873
04/1964,0.7394460594,0.7322959511,0.9152541008,0.6160985602,0.3979101932,0.4994007621,0.433777724,0.4370512771,0.3198638279,0.3708190024
05/1964,0.7561681248,0.7443163681,0.9239025918,0.637583203,0.391451168,0.4905608364,0.4238919508,0.4502688704,0.3223400927,0.368647046
06/1964,0.7519097685,0.718790445,0.9002733012,0.6462882584,0.3867313439,0.4934168122,0.4151031013,0.4463991091,0.3188160696,0.3707167977
07/1964,0.8065251953,0.8033117948,0.889796065,0.7305375459,0.427337209,0.4790108167,0.4457790291,0.439179913,0.3178736238,0.3873115035
08/1964,0.7876904224,0.7858254153,0.880074219,0.7235002709,0.4072211848,0.4709254392,0.4402404882,0.4256261034,0.308746706,0.3825137874
09/1964,0.7885884628,0.7836989536,0.8791863315,0.7317955305,0.4070445314,0.4809347544,0.4459878633,0.4307268084,0.3152365537,0.3422904787
10/1964,0.7548947983,0.7574945781,0.832152744,0.6973676791,0.3903637134,0.4667449982,0.4311486917,0.4214409929,0.3054043758,0.3424325405
11/1964,0.7449375331,0.747148211,0.8208923295,0.6998270464,0.3859792784,0.4530568372,0.4304379711,0.4231235092,0.3001652423,0.3458352646
12/1964,0.7418827511,0.7616959397,0.8407564744,0.7202899573,0.395785369,0.4427995832,0.4209190929,0.4211439549,0.3104369389,0.3515910314
01/1965,0.7501862049,0.7433942114,0.844982503,0.7191280181,0.3843578588,0.4377924979,0.423359008,0.4232136218,0.3060797056,0.3408557506
02/1965,0.7235242969,0.7225880293,0.8039248081,0.6907615165,0.3703112157,0.4343968016,0.4074230368,0.4118690575,0.2880475749,0.3321435286
03/1965,0.7039961208,0.7165384618,0.7953517116,0.6787793748,0.3734232649,0.4399812112,0.4001603139,0.4107261679,0.2910452829,0.3817950861
04/1965,0.7006399873,0.7316132252,0.7969851869,0.6726744784,0.3699567306,0.4528732111,0.4088233698,0.4172824298,0.2979831122,0.3872339729
05/1965,0.6597505726,0.6915700959,0.7546733829,0.650017911,0.3513122746,0.4429299918,0.393096875,0.4055460228,0.2907788925,0.3799251403
06/1965,0.6541619287,0.7145937498,0.7748028156,0.6563276783,0.3617320724,0.4444525619,0.3964331134,0.4104917815,0.2894847513,0.3769366283
07/1965,0.7684968828,0.913259357,0.8237125486,0.4358887311,0.4842982939,0.5265094585,0.445592067,0.4835282694,0.3099106797,0.375881274
08/1965,0.7194733363,0.9028254245,0.7921243581,0.4295321479,0.4656544841,0.5257996472,0.4423491656,0.4812839265,0.3062909427,0.3741823351
09/1965,0.7010445155,0.8678437341,0.7711273524,0.4177571577,0.4490721419,0.5243500671,0.4347161044,0.468429282,0.2996920129,0.3664099426
10/1965,0.6630281627,0.8342445745,0.7471573965,0.3980103627,0.4296929045,0.5024229192,0.4262783853,0.4626266152,0.2886204271,0.3602688397
11/1965,0.6317788083,0.8022329154,0.714212679,0.3769936322,0.4198731394,0.4918183368,0.415084572,0.4495650197,0.2808919367,0.36467897
12/1965,0.5934910909,0.819546686,0.6932171206,0.3950144628,0.4285939481,0.4947979224,0.411637161,0.4509355796,0.281192367,0.3682118656
01/1966,0.5841490085,0.7814996541,0.6679695625,0.3858673535,0.4163617356,0.4854225283,0.405303903,0.4481965191,0.3083112388,0.377338878
02/1966,0.5432522573,0.7516332225,0.6348393895,0.3868472615,0.4140302186,0.4769837378,0.4099567072,0.4580956958,0.3098532452,0.3818540298
03/1966,0.5468800486,0.7533552404,0.6737836694,0.3973979571,0.4249346249,0.4917735835,0.4153765291,0.4680470159,0.3214150705,0.3840058012
04/1966,0.5662564163,0.7877293137,0.6939997445,0.4146874379,0.4324419155,0.5103246759,0.4232994666,0.4718561966,0.3278917251,0.3953969737
05/1966,0.5465808347,0.792891885,0.6826186925,0.4180428817,0.4178893403,0.4926542116,0.4304647882,0.4642140404,0.3227953263,0.3887171213
06/1966,0.602172209,0.852511306,0.7422592289,0.4511480512,0.4370893152,0.5241871197,0.4492780373,0.4898020427,0.334022615,0.3994425653
07/1966,0.6691389714,0.9440414804,0.8134097398,0.4709595505,0.5544671511,0.4958374103,0.4720383219,0.5162170047,0.3138598733,0.418648059
08/1966,0.6962984602,0.9558549676,0.8413379759,0.477968913,0.5543681387,0.5065125675,0.4786886732,0.5247919705,0.3620144234,0.4156473441
09/1966,0.7689882813,1.028950256,0.899881741,0.5297447279,0.6095524792,0.5552959365,0.51644596,0.5622976854,0.3410917164,0.4471221011
10/1966,0.7983701709,1.0637829949,0.9503425684,0.519284887,0.6097670274,0.5542294752,0.5189781931,0.5612429144,0.3463771482,0.4436267439
11/1966,0.7949726287,1.0557229801,0.9363428557,0.5142838927,0.5734123348,0.5170319221,0.5024209551,0.5397312616,0.3285590124,0.4173832709
12/1966,0.7396127844,1.0748083137,0.9600236548,0.5315995649,0.5821693195,0.5117255148,0.4975358957,0.5361716365,0.3251913651,0.4168684308
01/1967,0.7221008049,1.0427173422,0.9331497378,0.5363965598,0.5771870826,0.5150233512,0.4837592362,0.5375869403,0.3194827039,0.4096566187
02/1967,0.6555859199,0.9163991147,0.8136749932,0.4774507255,0.5497390601,0.4810506108,0.4470761752,0.5008935035,0.3508469925,0.3900948505
03/1967,0.64852629,0.9002013102,0.8205069624,0.4814846407,0.5573541927,0.4851744382,0.4727491625,0.5057567718,0.3537129268,0.3870909853
04/1967,0.6087439403,0.8562207761,0.7768844467,0.4654658963,0.5672201619,0.4698626771,0.4519290219,0.4901620497,0.3412449742,0.3793803947
05/1967,0.5818554059,0.822934343,0.7538330328,0.4244543946,0.5583453369,0.4515207685,0.4397132091,0.4610433321,0.3345101236,0.4870522972
06/1967,0.5811338127,0.8499769521,0.7776070849,0.4572106759,0.565137115,0.473557223,0.4499771238,0.4904315648,0.3493408099,0.3858876169
07/1967,0.5996081518,0.8636638928,0.5895780916,0.5267018721,0.5499841123,0.5405952271,0.5569601345,0.3829978875,0.3943661944,0.3871056686
08/1967,0.5687119801,0.8134181271,0.5449908284,0.4939669863,0.5220949438,0.5168855517,0.523809072,0.3668224201,0.3767670823,0.406594617
09/1967,0.586352651,0.8264391493,0.5508133776,0.4888596898,0.515219268,0.5165572194,0.531884476,0.3713467541,0.3886639064,0.412782532
10/1967,0.5508893926,0.8105652166,0.5245662262,0.4698362376,0.510141962,0.5046131312,0.5135505468,0.3664556661,0.3789970605,0.3988136616
11/1967,0.5743948603,0.8539381768,0.5568095072,0.4818321293,0.5309705616,0.5247438302,0.5388351238,0.3809492768,0.3900280647,0.3869856366
12/1967,0.5714994002,0.8552465712,0.5681788048,0.4897350492,0.5338373935,0.5309878366,0.5444391132,0.4006955081,0.3774764621,0.5521798621
01/1968,0.5329709002,0.8180165268,0.5417146668,0.4636751444,0.5261731099,0.4990767834,0.5080861511,0.3703167455,0.3649485812,0.528451102
02/1968,0.5660295948,0.839047127,0.5606784509,0.487644448,0.527267301,0.5201899288,0.5424652859,0.3791556904,0.3820573012,0.3798066808
03/1968,0.5574112996,0.8733444451,0.5803893111,0.502691897,0.544552088,0.5427919135,0.5635774,0.3854431433,0.3952346408,0.3934052758
