date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.5662102783,0.3300354257,0.4944973996,0.4396096303,0.496277031,0.571895556,0.6805745188,0.673628932,1.0401872197,0.8170852572
08/1963,0.5773839879,0.3283135092,0.4959645883,0.4357642883,0.4973044301,0.5643966799,0.6862117234,0.6795534636,1.0500233898,0.8313765048
09/1963,0.5388561944,0.3128738108,0.4743826007,0.419514834,0.4692237379,0.5366153798,0.6536245814,0.6487408397,0.9709197114,0.7699213016
10/1963,0.5583288066,0.3144623976,0.471005349,0.4313059475,0.4815099183,0.5507972631,0.6533977731,0.6657466261,0.9675069998,0.7856161539
11/1963,0.5362489478,0.2853510759,0.4569495486,0.429348363,0.4747739276,0.5433612854,0.6554276298,0.6560279313,0.9461017292,0.7691210048
12/1963,0.5431690275,0.3004138321,0.4500000162,0.4329490642,0.4802223925,0.5542537292,0.6740088523,0.659985608,0.9503053852,0.7917693508
01/1964,0.5283770552,0.3578704481,0.440389242,0.429175487,0.4635420335,0.5369166014,0.6515504015,0.6486303729,0.9414680956,0.7699494713
02/1964,0.5307441315,0.3505070414,0.4208678972,0.406119923,0.4578591889,0.521230774,0.6473365583,0.6358558857,0.9254755579,0.7439101833
03/1964,0.5199032118,0.3484686602,0.4147996977,0.3992835927,0.4519338034,0.5134053362,0.6377467694,0.623030175,0.8999030033,0.7305123579
04/1964,0.5062584902,0.346715212,0.4140347027,0.3972616991,0.4496628577,0.4998706918,0.6170118036,0.5923851648,0.8466256117,0.7014625206
05/1964,0.5000604474,0.3363938362,0.4092877388,0.4005206935,0.4511192291,0.4980269937,0.601569142,0.6024890334,0.8939659573,0.7245367176
06/1964,0.5063370101,0.3304676253,0.4074798316,0.3983018089,0.4532589003,0.4896720178,0.5991140766,0.6012806888,0.8893264774,0.7155273653
07/1964,0.3715416886,0.4636685496,0.4888830689,0.3862121367,0.4560754602,0.479921471,0.6206474079,0.6931070701,0.7168794738,0.3520754315
08/1964,0.3664414508,0.4534984107,0.483315236,0.3679354495,0.456092186,0.4698276164,0.608798927,0.6619399833,0.7046328971,0.3413350477
09/1964,0.3625983196,0.3217818058,0.4928999054,0.3699393458,0.4666543999,0.4823376063,0.6136252097,0.660998008,0.7116494271,0.3466555209
10/1964,0.3488116517,0.3154896329,0.4767279007,0.3577794868,0.4611353312,0.4704845457,0.5901834637,0.6456312244,0.7032420646,0.3321827285
11/1964,0.3467828444,0.3143967357,0.4771689927,0.3504716435,0.4619970779,0.4637126674,0.5867048935,0.6418263205,0.6870389199,0.3327298041
12/1964,0.3431117637,0.3144498333,0.4760919373,0.3502323171,0.4656475181,0.4646509418,0.589051865,0.6479671661,0.6845719474,0.3603262021
01/1965,0.3306888919,0.3107535173,0.4716255602,0.3453603847,0.449509198,0.4610253681,0.598258656,0.6574058935,0.6903424953,0.3568769612
02/1965,0.3194815617,0.2963047981,0.4513319859,0.3374400764,0.439867134,0.453636558,0.5739816395,0.6284026254,0.6578081992,0.3404585394
03/1965,0.3121371125,0.4272825575,0.4437100433,0.3430721312,0.4374328985,0.4628870593,0.5681648677,0.6178768588,0.6479959604,0.3434174522
04/1965,0.319021432,0.4331510512,0.4435867543,0.3453444133,0.4468008345,0.4728844999,0.5765312622,0.6212897941,0.6505124939,0.3498946462
05/1965,0.2948309497,0.4206737401,0.4291760338,0.3298439604,0.4331687985,0.4687395891,0.562837513,0.6140585733,0.6276263826,0.3424199461
06/1965,0.2991975312,0.420799667,0.4306528792,0.3373764188,0.4309079232,0.4752061931,0.5663797917,0.6225104164,0.6326597215,0.3386644859
07/1965,0.327364328,0.3033645024,0.4013624974,0.5142972775,0.5148405185,0.543787837,0.4588399546,0.6485112867,0.6738638175,0.4170794464
08/1965,0.3212214624,0.3056795415,0.3959270368,0.5099569562,0.5000993694,0.5347139311,0.453116676,0.6435701863,0.6567453537,0.4124345609
09/1965,0.3090809445,0.2961918863,0.3853088906,0.5001129485,0.4883079503,0.5225363244,0.4479783632,0.6341141778,0.6371586258,0.4061095464
10/1965,0.2986969734,0.2896634274,0.3727490255,0.4882674733,0.4745352154,0.5128336377,0.4274996869,0.6214183484,0.6043617887,0.3922495293
11/1965,0.2873325246,0.2832354952,0.3740210981,0.4817000458,0.4670564173,0.5012252288,0.4118530767,0.6124777907,0.581876279,0.3785081421
12/1965,0.2899364467,0.2776074387,0.3636535649,0.4984838393,0.4614139474,0.4987005788,0.4247672437,0.6186017518,0.5807508667,0.3820060855
01/1966,0.2895859874,0.2678074456,0.3676316008,0.5388001656,0.455308463,0.5114257999,0.4186790537,0.6130342028,0.5681343155,0.3771246965
02/1966,0.2877762313,0.2701099882,0.3603997888,0.5418306491,0.4473760085,0.5169069566,0.422027434,0.6222743285,0.5422753039,0.3721473067
03/1966,0.282023322,0.2717459406,0.3802518629,0.5422364145,0.4625651109,0.5235049803,0.4371744852,0.6484399832,0.5473827105,0.3844482485
04/1966,0.2855786554,0.2788737632,0.3908658531,0.563028997,0.475479373,0.5412491964,0.4506680639,0.6517180743,0.5564351509,0.4063049573
05/1966,0.2700612388,0.2749906616,0.3827712602,0.5717628695,0.4638235444,0.5272628351,0.4497253282,0.6409471105,0.5347232631,0.4057915942
06/1966,0.2806907481,0.2759893861,0.4027750992,0.6020680532,0.490057624,0.5560243585,0.4826512212,0.6746832021,0.5837311339,0.4302434874
07/1966,0.3194822486,0.4425768112,0.4700454705,0.3257209466,0.4855129931,0.5255702324,0.66211221,0.6234228944,0.7788816644,0.6571227802
08/1966,0.3323669055,0.4585308357,0.480847239,0.3615882425,0.4622606887,0.5298158436,0.669893982,0.6228418514,0.7806878099,0.6669993177
09/1966,0.372051017,0.5065680936,0.5187834373,0.3562205206,0.5068692699,0.5758035906,0.7216039376,0.6714080515,0.8463365028,0.7378171043
10/1966,0.3825662249,0.5138132091,0.530097958,0.3559566183,0.5082953092,0.571734593,0.7153832687,0.6690453272,0.8425710452,0.7470640333
11/1966,0.3665994808,0.5271874527,0.5236575607,0.3445723825,0.4941951899,0.5335520578,0.6607467379,0.6168731722,0.8026058171,0.735909123
12/1966,0.3414441076,0.503042851,0.5155391823,0.3398939336,0.5144801305,0.5406084989,0.6740353183,0.6392180508,0.8135306172,0.7347902863
01/1967,0.3426227915,0.4866935867,0.5201964147,0.3365267214,0.5047667488,0.5418041035,0.6572067452,0.6401043807,0.7950029295,0.708999267
02/1967,0.3182524423,0.4443190748,0.47556723,0.3378657598,0.469596687,0.5090749264,0.6200282101,0.6132432908,0.7338655718,0.6439341769
03/1967,0.3282967666,0.4409379104,0.4726313924,0.3388790314,0.4754926692,0.513462371,0.6218725347,0.6278961171,0.7498968084,0.6263215551
04/1967,0.3432282341,0.4369065697,0.4470622161,0.3249218886,0.4541695575,0.5097841102,0.6068936276,0.6009176295,0.7325272865,0.6036021569
