date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.6879143114,0.5274092912,0.4929245504,0.416515277,0.3610663934,0.6383783559,0.4245936263,0.4975735981,0.6477948955,0.5610882392
08/1963,0.677521447,0.6104350963,0.4310012078,0.5085616208,0.4217461828,0.4109719557,0.2331955073,0.6158120954,0.5222034382,0.6041676643
09/1963,0.7564577131,0.5234703643,0.7475221327,0.4513704039,0.4358496115,0.4055203131,0.5086557411,0.3032793365,0.5929320242,0.5208688479
10/1963,0.6669676508,0.6417364826,0.7589972807,0.4001617695,0.4481254387,0.4642712976,0.2387148144,0.555223493,0.4918591149,0.5856326723
11/1963,0.6637656124,0.6618441619,0.6677301503,0.4719169503,0.5477669518,0.459427677,0.306509603,0.3777978645,0.760163381,0.4185810076
12/1963,0.8551239294,0.7219788907,0.6229341974,0.4600220564,0.5641474687,0.4204649742,0.4378041079,0.3210304292,0.4577393406,0.6534333403
01/1964,0.686497805,0.6462753068,0.6134626165,0.6600633482,0.431790677,0.5818025038,0.3958208069,0.4144902304,0.4248618704,0.6000736487
02/1964,0.7068048188,0.5482321608,0.6106974527,0.4479894795,0.5807097274,0.35987631,0.484001968,0.3689538743,0.4103094906,0.4804128746
03/1964,0.6674821366,0.6026448205,0.4512096413,0.4290582905,0.4325049753,0.5166877129,0.3325025436,0.5236791933,0.4306625128,0.6536619188
04/1964,0.6120522989,0.5540649426,0.4370239525,0.4511818638,0.3486587566,0.412675327,0.5478341855,0.5298097046,0.3749489433,0.6511938242
05/1964,0.533161238,0.4913566969,0.3929575787,0.4333075397,0.3845628963,0.287053582,0.4274294356,0.7125508527,0.4889917421,0.5464291701
06/1964,0.5406634731,0.375028404,0.4635895447,0.5427137788,0.4138683048,0.3203899478,0.4540358667,0.4558840279,0.5289189681,0.6185244737
07/1964,0.4473605215,0.4578533951,0.454069922,0.4371491056,0.3984860643,0.414506202,0.5507616512,0.5716425898,0.3738615713,0.7586286786
08/1964,0.4314346138,0.38739141,0.4904826822,0.387163585,0.317169421,0.5034158739,0.556767056,0.7555882073,0.4355366021,0.6135034129
09/1964,0.3943965071,0.5673354724,0.3690024511,0.3627287223,0.7075561666,0.5445286579,0.4454211662,0.5701386913,0.3729437162,0.4342737567
10/1964,0.2643062602,0.5026454497,0.47229239,0.5177579536,0.3299688573,0.6206027294,0.6554373171,0.5006326713,0.3923118442,0.52539017
11/1964,0.2368242849,0.4491556756,0.6731645734,0.3846841431,0.298285301,0.4552517991,0.4907075943,0.4662518302,0.4050654266,0.7048608663
12/1964,0.2524822221,0.5550101725,0.4395820674,0.4504934708,0.5883653792,0.3180146795,0.5285904934,0.4047694315,0.3904244324,0.5981766961
01/1965,0.2389762356,0.5823456008,0.4311677419,0.5140118819,0.3029845849,0.568401823,0.4551652763,0.3046514638,0.39871627,0.5942200372
02/1965,0.3917189886,0.7586813659,0.4874251967,0.4933944877,0.39914045,0.290938184,0.329447831,0.356875106,0.3210497817,0.4142047262
03/1965,0.4833830339,0.5073587819,0.4358036548,0.3791153901,0.5548024883,0.3143505341,0.3295430999,0.3581238537,0.2524827498,0.5793305639
04/1965,0.6006414427,0.4374584619,0.6431909617,0.3699278736,0.4110856668,0.3189984593,0.3606317392,0.4801064216,0.2594364914,0.6500738586
05/1965,0.5652062315,0.5071749971,0.3842662206,0.4258025559,0.342096889,0.3449281498,0.352654404,0.2586840099,0.5500802154,0.4421503675
06/1965,0.5612038455,0.4047399217,0.4781895055,0.399619053,0.4347773298,0.3688425243,0.3962751795,0.4803654788,0.4073732476,0.3712671827
07/1965,0.5903455169,0.4685111277,0.4536174526,0.5358266879,0.391081289,0.5232268041,0.5867816845,0.2570951308,0.5285871713,0.4416175314
08/1965,0.4583620705,0.519190644,0.4540183795,0.4571354334,0.4301813634,0.4994418087,0.530486335,0.2967582421,0.5710431259,0.4052271251
09/1965,0.5916592469,0.4037392138,0.5886516671,0.4536845469,0.3867093623,0.4839695592,0.7947300218,0.2533213541,0.5608036487,0.3520982601
10/1965,0.5308966579,0.4618278049,0.3889349841,0.3785686072,0.4633963771,0.5339822355,0.7890296318,0.2979264016,0.3329492568,0.3149712111
11/1965,0.4049904658,0.4466079816,0.497709341,0.3706627263,0.4779270675,0.4679078042,0.3963255939,0.30497969,0.6592755464,0.2910994667
12/1965,0.4871598112,0.4510306791,0.4122387869,0.5555291775,0.2121369428,0.3597069987,0.2782332441,0.527961058,0.6273058314,0.2835024453
01/1966,0.494041506,0.4049824616,0.4671547163,0.4708212837,0.3287728777,0.3489474143,0.4281413784,0.6387686794,0.3336493133,0.2850540969
02/1966,0.4806050337,0.294017018,0.4559262721,0.4007168747,0.4564620699,0.4528857988,0.3961752664,0.5368384847,0.4217331347,0.2613829694
03/1966,0.4942770622,0.5500092571,0.3340634467,0.4025768133,0.4877416993,0.3880807082,0.3738858468,0.5548663734,0.3609739141,0.2688687228
04/1966,0.5083537054,0.4946872213,0.3249435486,0.3215344274,0.5688604732,0.3929595529,0.4571248611,0.3796275676,0.5560031851,0.2871871979
05/1966,0.5053858748,0.4827945174,0.4831833288,0.3586020779,0.4031777081,0.382604879,0.3979970177,0.5664676932,0.3513784452,0.2552821552
06/1966,0.4997007968,0.4830093554,0.5477755497,0.3959416973,0.5231069252,0.2155101325,0.6613626548,0.3323189611,0.4000460128,0.3821251684
07/1966,0.5301846475,0.4752208091,0.610586711,0.4260133828,0.5691295946,0.5202903178,0.271883588,0.4368519183,0.2663552028,0.3187211844
08/1966,0.5983892534,0.4614123667,0.5929249922,0.3970951441,0.5941385865,0.5782227204,0.4743912721,0.5001424611,0.2866388284,0.3306823947
09/1966,0.6401807634,0.6268622921,0.5695607199,0.4865034394,0.7176012038,0.385486203,0.5874278516,0.568205728,0.4523347351,0.2747533072
10/1966,0.6769408218,0.4882268762,0.7141987091,0.4603129098,0.6820026469,0.6403940821,0.505618112,0.5397864162,0.5733705946,0.3856024648
11/1966,0.6108527086,0.5424939294,0.5867493246,0.4901198873,0.6409037842,0.5871731997,0.2416661426,0.3556418124,0.5167702746,0.5875680136
12/1966,0.514173144,0.6612571304,0.4960606568,0.4205549872,0.5506663314,0.6214911694,0.5527776484,0.5119114303,0.4971750058,0.3972771507
01/1967,0.6535556275,0.5746950016,0.4422771288,0.515850254,0.5284891139,0.5138650091,0.5953562054,0.5730747549,0.4070098105,0.283240148
02/1967,0.5204054074,0.5183969655,0.5860826181,0.3996139271,0.5776490861,0.4592786805,0.575893744,0.5467342645,0.3859231726,0.424206271
03/1967,0.5891588786,0.4641448884,0.4015021279,0.5506129914,0.5462853394,0.7317375954,0.5230314186,0.395383309,0.2428297741,0.2847940808
04/1967,0.5182724586,0.5661188855,0.4616389933,0.4913102876,0.3700795364,0.6141042992,0.5046469001,0.3830731492,0.1933000046,0.2968658724
05/1967,0.555619893,0.5559235201,0.442369753,0.4287037498,0.5698522992,0.453076857,0.530473688,0.3248530522,0.3392176295,0.3018145835
06/1967,0.577812526,0.5837094247,0.424549324,0.4403984731,0.5664312632,0.5823855856,0.3644931508,0.184322138,0.3057701178,0.3866131031
07/1967,0.5729488994,0.6355183237,0.3845276635,0.6354999731,0.4956317314,0.4185310759,0.3487845758,0.1994087865,0.3620938388,0.4548304705
08/1967,0.6048544085,0.5745085438,0.4754700274,0.4358370725,0.5194691096,0.4414868183,0.4108200499,0.2658338396,0.3720754294,0.3190688573
09/1967,0.6129377363,0.4225357931,0.5628922502,0.4373552416,0.5302317695,0.5318175268,0.5791309849,0.2726105123,0.3673479768,0.3693179828
10/1967,0.6293512706,0.3719016157,0.4185267022,0.5572957317,0.5215280315,0.4579718032,0.3755030529,0.2704952234,0.319770186,0.2824676836
11/1967,0.6549019928,0.5279990584,0.5331624965,0.3719534333,0.4788685941,0.520474094,0.34956658,0.5134787975,0.1603529164,0.3043038202
12/1967,0.7060880459,0.5428948786,0.799153262,0.5189094054,0.6143735539,0.2646545775,0.420190704,0.3692703881,0.383883112,0.2473141127
01/1968,0.6653998724,0.5265893348,0.4548372515,0.5226785276,0.5808806766,0.5262923064,0.3155770894,0.4096575397,0.4052718756,0.2088030497
02/1968,0.533718142,0.5491244572,0.4456387969,0.3229781072,0.574145484,0.3686640579,0.5896848832,0.3717698442,0.1944787959,0.3214880817
03/1968,0.5609290885,0.5327314016,0.4557903994,0.6534273673,0.565436582,0.4515132846,0.3061386967,0.6106111667,0.4180315028,0.1505160868
04/1968,0.5100336141,0.7288012976,0.4343072542,0.5583419169,0.6271885405,0.5298320471,0.6546529695,0.5018591459,0.5471482399,0.3831075892
05/1968,0.3131257218,0.5440709322,0.5809071564,0.5325647033,0.5543732588,0.4103190234,0.4687493535,0.4976448988,0.3800148228,0.2961504329
06/1968,0.573969441,0.4591186157,0.6107573865,0.4668240263,0.3747427626,0.4995825692,0.4187398256,0.4700073935,0.3746910171,0.3290113116
07/1968,0.3624979808,0.5313725762,0.4305962753,0.6227165042,0.577993729,0.4695187235,0.430541716,0.4367918815,0.3785103878,0.5226943893
08/1968,0.5051337509,0.6078528137,0.5178772992,0.5389390158,0.5363999385,0.3468380326,0.5495599377,0.2542191912,0.4857670568,0.5534574258
09/1968,0.5152666089,0.6327168031,0.5385367259,0.4409348531,0.1898213549,0.5070676825,0.4591352347,0.3935265302,0.4897965147,0.3400930589
10/1968,0.4444365878,0.6191661318,0.3162899024,0.4400182815,0.497698889,0.3727872036,0.5285752002,0.4885721267,0.4820266435,0.3648889307
11/1968,0.2140213526,0.2757518922,0.2764928916,0.4996450737,0.4710870084,0.5342553506,0.6837838117,0.5310218887,0.4810979765,0.4636778645
12/1968,0.1945582238,0.2461952026,0.4995011629,0.5449471025,0.3142264666,0.5968794532,0.5519060694,0.51810475,0.4085643178,0.4704607116
01/1969,0.2106383338,0.3279921459,0.561302374,0.416988657,0.3470806221,0.4650989986,0.5620626495,0.443474856,0.5025844931,0.3283589419
02/1969,0.3491072233,0.3648808438,0.4871735532,0.4525391996,0.4730520452,0.4035729574,0.4543646745,0.5463076311,0.5843628901,0.324251171
03/1969,0.1641266516,0.4111415139,0.2986053101,0.5668990764,0.6406929742,0.3984746411,0.518324805,0.5726606076,0.6511334979,0.3635847337
04/1969,0.3121721993,0.4934785124,0.6941298665,0.2864303486,0.5916889656,0.385997353,0.4203374787,0.4992481254,0.4931215781,0.4843984038
05/1969,0.5823100598,0.4115919851,0.5793049668,0.4315568341,0.3719635251,0.4973220278,0.5280949996,0.2612128611,0.2915327489,0.3350982267
06/1969,0.5621146439,0.6122598854,0.4854791659,0.5655228887,0.4817703183,0.2408729096,0.5887170668,0.3886317599,0.4323355604,0.3945255384
07/1969,0.6690747285,0.738895043,0.6363343571,0.7248000149,0.5398912253,0.4601750791,0.5583747577,0.5110004067,0.6033055937,0.2547679892
08/1969,0.8301464386,1.0298565397,0.6436250522,0.8107963274,0.3912003248,0.5623000337,0.6425614243,0.6045046152,0.5295553345,0.2174042803
09/1969,0.8255838616,0.9293995082,0.8344095474,0.6002383939,0.5805517023,0.6130370221,0.6958411639,0.4098365147,0.3540117553,0.1952024057
10/1969,0.8162396051,0.7671130183,0.7338971689,0.4333028279,0.6802041836,0.4704991037,0.3818978636,0.6808716036,0.4267137762,0.2071054597
11/1969,0.7934943027,0.7655424084,0.6861017874,0.5628000302,0.6796705924,0.3833951812,0.3605168123,0.4531461998,0.1931107244,0.234057958
12/1969,0.7885604268,0.9248145897,0.7292352251,0.6387948251,0.536958418,0.6959176003,0.3850945913,0.5458625188,0.2917648959,0.182077948
01/1970,0.8481449586,0.5258265672,0.7330270981,0.6160597818,0.679985815,0.4389865874,0.528094665,0.4585387198,0.1980988285,0.2322063314
02/1970,0.9619009314,0.6629338318,0.698095932,0.6779205844,0.8947910147,0.4378154902,0.6611236207,0.2339902902,0.5303294813,0.2325014866
03/1970,0.8479688979,0.8234095794,0.4440140818,0.635399362,0.2634504905,0.6157400599,0.5742048574,0.5018339175,0.4792730783,0.2767063337
