date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
08/1963,0.4697127868,0.3720953891,0.4675995777,0.4455332848,0.5861022875,0.3850095419,0.352378873,0.5493435624,0.8563781381,0.8163686139
09/1963,0.5063296524,0.5185364432,0.3237592635,0.3934024682,0.3694791064,0.6416431813,0.4074364328,0.5270749861,0.496590752,0.5915040944
10/1963,0.6557647348,0.3777113454,0.570112795,0.4214426824,0.4299817805,0.4425326411,0.4411024937,0.564013087,0.4951944914,0.6153626647
11/1963,0.5325801136,0.5303703491,0.488022397,0.3679974526,0.475701534,0.3431470378,0.4990931866,0.6499994904,0.6307495447,0.7050784447
12/1963,0.494027377,0.5688085305,0.5964082139,0.4752920176,0.3935397852,0.3363241049,0.638444653,0.5356638785,0.3760990339,0.5347044884
01/1964,0.5795569512,0.4699073932,0.4504035792,0.4509538705,0.4550174874,0.371092761,0.4929033046,0.4328616486,0.8088540762,0.476109743
02/1964,0.5176516029,0.4516264724,0.4281764829,0.4679874111,0.4935917525,0.3988545868,0.4129811067,0.6296598067,0.5657162624,0.5908650415
03/1964,0.4045694024,0.4584993982,0.5490826015,0.5499626022,0.4612747955,0.4133083318,0.5812129811,0.4353924514,0.3490538577,0.3600605055
04/1964,0.4986440132,0.4379557598,0.4910319125,0.5032743489,0.4949256876,0.3892668645,0.4786488574,0.5021928806,0.3710389687,0.7186516533
05/1964,0.4613786129,0.3458220898,0.4129224741,0.572287349,0.4851826528,0.4603126489,0.4775672911,0.2916629632,0.5236853933,0.6893644977
06/1964,0.377497743,0.4541679599,0.4055151106,0.3700324935,0.5233653704,0.420936941,0.4071582603,0.4337857062,0.5635564077,0.5870356797
07/1964,0.4198788331,0.4177683035,0.466947965,0.4251032202,0.5815000993,0.4220098542,0.5099429236,0.3790397779,0.5623870412,0.6235578387
08/1964,0.3711285744,0.406500935,0.3801923006,0.5498101025,0.591389826,0.4900468178,0.3729031618,0.5226555033,0.440353986,0.8288665549
09/1964,0.5126349265,0.3707865142,0.2838983127,0.4242346116,0.5302553155,0.5615922177,0.4741209025,0.5755859202,0.3821870251,0.6903691304
10/1964,0.5116818822,0.3019744858,0.3936696017,0.5375436197,0.5592314778,0.4632662747,0.5349626721,0.435903899,0.3289946445,0.5453124374
11/1964,0.4208724772,0.285561937,0.4617925246,0.3370415765,0.4910977025,0.5245834599,0.4778199551,0.3515402763,0.4337906893,0.5501905277
12/1964,0.500868989,0.2713812588,0.4225692241,0.427147847,0.4118366967,0.589000311,0.4901517893,0.3460741224,0.4834045014,0.7001881344
01/1965,0.4613998411,0.3447299059,0.5984773026,0.3490635851,0.3902682393,0.5025454362,0.3385840829,0.4599262858,0.4638982313,0.601960033
02/1965,0.5085017788,0.4023424795,0.4578813759,0.5099360192,0.3823669859,0.3681134621,0.4354473628,0.3343148736,0.3318653032,0.371496411
03/1965,0.54349152,0.4317912405,0.4561820771,0.3417920049,0.5772137209,0.418469159,0.4202394018,0.3440803364,0.4204752774,0.263576955
04/1965,0.6707689681,0.6311774514,0.416264109,0.4229256724,0.4903888458,0.4065502561,0.3006580544,0.3753977682,0.3218425541,0.3444569438
05/1965,0.4921969886,0.5665650326,0.4523574614,0.3273967525,0.4042882417,0.3647497475,0.3079779511,0.4080625435,0.4274559617,0.3988707319
06/1965,0.5221303437,0.3376969685,0.498200103,0.4576170381,0.320625732,0.4677327722,0.3941821608,0.364173004,0.5307007671,0.5389721599
07/1965,0.5661783839,0.4654684158,0.4443183307,0.4227732758,0.6395643945,0.4246112338,0.4968029712,0.4773871239,0.3447294904,0.4225501363
08/1965,0.5769539267,0.5536660249,0.4356304213,0.3766586829,0.4239935268,0.5019202197,0.5088393345,0.3702143198,0.4608440691,0.5157049285
09/1965,0.48428828,0.4568404789,0.478687676,0.4713658326,0.444588491,0.3912281269,0.5627190077,0.3537865698,0.6095946159,0.4245280608
10/1965,0.3927105771,0.4496430026,0.3963117949,0.3590709655,0.3814667681,0.5170186304,0.3723353986,0.5414317985,0.5687087295,0.5077633594
11/1965,0.4216910773,0.4277553533,0.4913215896,0.4143875572,0.4779545049,0.5343253007,0.3044113351,0.4942006883,0.3753643482,0.5017923491
12/1965,0.3482535382,0.5022656675,0.4404108366,0.3599265016,0.481806319,0.3696926198,0.326534724,0.6105578606,0.3392430449,0.6292426619
01/1966,0.5744323237,0.4146892477,0.5608128831,0.4199736122,0.4774650435,0.2922659922,0.4077898432,0.5852496289,0.5549934553,0.3235095296
02/1966,0.467777169,0.4888815783,0.4578620785,0.5326492985,0.3399068623,0.4390852159,0.3766374898,0.439222083,0.4563023276,0.4779483199
03/1966,0.4904846267,0.4242392882,0.5559864231,0.3275635273,0.5622666834,0.3665242053,0.5545532275,0.3246782818,0.4193055503,0.5579421615
04/1966,0.5227148614,0.4926506201,0.5009008904,0.4505642788,0.3591341287,0.4756695348,0.5038299573,0.5348484424,0.4255390723,0.8042588299
05/1966,0.4208450322,0.5628693344,0.5671650241,0.3155381419,0.3361148056,0.3702780431,0.5941145967,0.5589368068,0.5597470616,0.6488493219
06/1966,0.5070491467,0.3540007105,0.3906354568,0.6612757778,0.5857806302,0.5743076858,0.3770953336,0.4906232752,0.4620237609,0.5222615948
07/1966,0.5970739413,0.5020682524,0.4647768578,0.7171533484,0.4643761599,0.5642657978,0.5754125028,0.5748919219,0.2996838724,0.4364917569
08/1966,0.6017608668,0.4903988741,0.5152264789,0.621678849,0.5805266867,0.4705876301,0.6520294618,0.5460597368,0.3993390829,0.5249342105
09/1966,0.6216968979,0.689785061,0.6617847282,0.4364129039,0.4563915362,0.7588005806,0.6752887849,0.4785442324,0.5108443616,0.3885134109
10/1966,0.5579513008,0.4322310243,0.4867633058,0.4897762717,0.6469209641,0.5007447314,0.5087645683,0.6034416937,0.5576919392,0.7168579562
11/1966,0.5726936746,0.5586895969,0.6858894103,0.6372925144,0.4062299474,0.3611810662,0.6639277628,0.532505589,0.5530614519,0.5913225082
12/1966,0.7673928879,0.4400509099,0.5676801675,0.4456553428,0.5579896182,0.3514511003,0.6868054517,0.3963193596,0.7708618626,0.6959217766
01/1967,0.591054256,0.759579712,0.5666148672,0.4850701876,0.4252782996,0.5474329106,0.6001217802,0.4018896298,0.631981973,0.5808795835
02/1967,0.9015751754,0.4973632296,0.5372886064,0.6656111163,0.448667898,0.4966919744,0.526150853,0.579465361,0.4532914488,0.2617834698
03/1967,0.5474597428,0.5782854247,0.4680385224,0.4124684414,0.408915909,0.6690292166,0.66311822,0.6262189399,0.3166600007,0.5993672882
04/1967,0.6727454589,0.5830449649,0.4320912601,0.421355296,0.5756441964,0.5686625629,0.5997057606,0.3907332052,0.3165024419,0.5248700923
05/1967,0.4792492851,0.3553633902,0.6117979304,0.5926327427,0.4505151928,0.5959985319,0.4754209901,0.5390756662,0.7771068405,0.5035648449
06/1967,0.5199577067,0.5191162999,0.4853501291,0.5676003723,0.6611796783,0.3963929661,0.6218938308,0.4387226116,0.2684972079,0.5539699348
07/1967,0.5825125228,0.5503155446,0.6740728325,0.7086386275,0.679614876,0.3962390085,0.5611300023,0.3817354047,0.3109871877,0.4880400218
08/1967,0.4791894828,0.6926671356,0.5238673738,0.4901612048,0.5472537652,0.5092122244,0.4966768939,0.3691491354,0.3161078726,0.4332635338
09/1967,0.5220123946,0.5754951179,0.5752829622,0.6464828355,0.4628803173,0.5290565687,0.4123642795,0.4717240504,0.3226575326,0.444940802
10/1967,0.5757302871,0.5491878549,0.5337202879,0.540041119,0.5592263396,0.4406649749,0.5333625136,0.2871679174,0.4219558332,0.3721468113
11/1967,0.5183479405,0.6976536243,0.5727356589,0.5335093442,0.4697694926,0.4258912305,0.5852880578,0.3262998554,0.4458312954,0.6424386353
12/1967,0.5050572957,0.7145269605,0.8101992314,0.5019478875,0.3889128016,0.6353982788,0.4994467976,0.6072958916,0.4121479285,0.4549719007
01/1968,0.6585215896,0.5259088438,0.5096675332,0.6395970691,0.5062489553,0.5924038231,0.503610171,0.49357428,0.3553608341,0.3687309306
02/1968,0.9138361817,0.6913640127,0.5053262921,0.4839698801,0.6536206973,0.5797600753,0.3665559053,0.5030542403,0.5131220631,0.2694969735
03/1968,0.5879719889,0.4635618131,0.5570909749,0.545929929,0.59662375,0.5665098728,0.5989200663,0.4449778462,0.3226762064,0.4636235326
04/1968,0.5501933448,0.4667379158,0.487121346,0.4632852548,0.7047739147,0.5219711406,0.5669108923,0.5424471446,0.5729743796,0.5383226312
05/1968,0.4307820013,0.5293099829,0.528216424,0.456624643,0.6262985173,0.4886088127,0.5391783082,0.6653196056,0.4402391654,0.5808314779
06/1968,0.5392997699,0.4557216528,0.674148316,0.5692523982,0.4796698552,0.6193994806,0.4301908376,0.4672989565,0.4323948524,0.5047602515
07/1968,0.5144504018,0.5022640705,0.4565006998,0.7064875682,0.4954050783,0.5896371263,0.4639459405,0.6676536501,0.3090670813,0.4884111003
08/1968,0.7066739247,0.6543030315,0.566313642,0.5018466493,0.4954706697,0.3651768096,0.5485862841,0.3288503846,0.417899993,0.519829202
09/1968,0.6376502573,0.5935312233,0.6846106989,0.3926382331,0.4276198907,0.3956470666,0.4300805051,0.4754531262,0.5106930951,0.5554765851
10/1968,0.507501751,0.5545537248,0.71905734,0.4460792995,0.325705141,0.386308006,0.5501736385,0.4843427893,0.4899887585,0.4120419044
11/1968,0.3625098004,0.4569020093,0.3328413814,0.3876980911,0.4619790171,0.5281246,0.4709265436,0.4429455024,0.5922289619,0.5278480468
12/1968,0.4414164139,0.2013564552,0.3905218184,0.3067245313,0.4841247625,0.6377891647,0.492503752,0.44735388,0.5984551509,0.5315961653
01/1969,0.4394543101,0.2547398181,0.4475051438,0.5405457403,0.46779667,0.4848698102,0.5479630448,0.4328433503,0.4434678132,0.5109171918
02/1969,0.4131830165,0.3189142547,0.583022421,0.3985532876,0.5070109303,0.4804590597,0.4239438535,0.4980601401,0.5630837507,0.4846381272
03/1969,0.20115581,0.3891840124,0.5698606996,0.6278011716,0.5582497619,0.5035034035,0.555388826,0.6216694267,0.4925779325,0.5355411704
04/1969,0.6111815166,0.4870962398,0.2950061337,0.5828974703,0.3870049269,0.5516494488,0.590102618,0.4461544015,0.6023684833,0.5228966047
05/1969,0.590087533,0.4052705446,0.4955638615,0.4443605001,0.4911981507,0.2944156714,0.5697723926,0.4446625203,0.4822928482,0.4967777022
06/1969,0.6982545237,0.5116399956,0.5544408436,0.3912144131,0.2855369595,0.6159020749,0.3701286239,0.4275518815,0.5779965095,0.4209509371
07/1969,0.6322250143,0.5427964378,0.5840496108,0.4789538606,0.625305972,0.3513920302,0.5014813511,0.6251625276,0.5541907026,0.5343703507
08/1969,0.8163769459,0.6874978274,0.6716337981,0.4567549433,0.6073534045,0.6401999773,0.612954127,0.4695523177,0.3109044337,0.4646935201
09/1969,0.595358457,0.7381619999,0.5997078326,0.6713639507,0.5777024933,0.6349757164,0.4875317417,0.5824728676,0.304479659,0.4850123003
10/1969,0.7336040895,0.6806326522,0.5791505859,0.6093915555,0.555634644,0.4702245475,0.5462331772,0.603854419,0.3244912399,0.3625477928
11/1969,0.7683613627,0.6073563543,0.6715404545,0.7790202579,0.6016497276,0.5213646751,0.4131024073,0.4113224359,0.2054807732,0.3945426398
