date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.2907261987,0.450355965,0.3649418191,0.4060807567,0.5442490922,0.6031855694,0.5352285068,0.6631725937,0.8248022659,0.8729348381
08/1963,0.2936032955,0.4563968858,0.3649338247,0.4036993067,0.539544169,0.6006177389,0.5375820282,0.6715499607,0.8346520829,0.8836366266
09/1963,0.2890560327,0.4278882728,0.3464554387,0.3841121374,0.5216148618,0.5744748377,0.5141013428,0.6380817286,0.785833745,0.824924517
10/1963,0.2889044297,0.4375631029,0.3494405,0.3968321424,0.5318472787,0.5880800522,0.5053032377,0.6505988169,0.7944573299,0.8372864071
11/1963,0.26889905,0.4204317412,0.3239794668,0.3887204671,0.5221354518,0.57591351,0.4902387891,0.6396053144,0.7840523586,0.8248801551
12/1963,0.2755952656,0.4214696134,0.3461483949,0.3924845148,0.5324935,0.5796670343,0.4814173703,0.64599404,0.8025071089,0.8411613386
01/1964,0.5198228742,0.4116532722,0.3386865849,0.389910729,0.5123005466,0.5551959809,0.4747962156,0.6276616929,0.7831067424,0.833842819
02/1964,0.5203668496,0.4165919465,0.3291157023,0.3657377679,0.5054891322,0.5308031784,0.4650804653,0.6251296003,0.7598019184,0.8107342019
03/1964,0.5062270314,0.4066578319,0.3260242362,0.3566188541,0.5033113796,0.5244900354,0.4524343971,0.5996468018,0.7472845432,0.7930559342
04/1964,0.499463653,0.3962246512,0.3207562381,0.3544996452,0.4972453794,0.510196793,0.4520485252,0.5800786681,0.7096936339,0.7534261024
05/1964,0.5034930151,0.3985218171,0.3167169287,0.3622071517,0.4918530396,0.508538108,0.4469522803,0.5779284945,0.7205032242,0.7613312636
06/1964,0.506723762,0.3916113075,0.3124548919,0.358336929,0.488295757,0.5050698482,0.4453210946,0.5733174613,0.7250825407,0.7520203538
07/1964,0.3147931045,0.4612308894,0.4469013967,0.3538880627,0.43479731,0.5027057358,0.5120509101,0.5948583693,0.6602847936,0.7566841461
08/1964,0.3054646447,0.4528706335,0.4351055826,0.3392018042,0.4264866289,0.496864929,0.5137023916,0.5860550901,0.6500137893,0.7380858909
09/1964,0.2282130292,0.4526325621,0.4465861863,0.33983212,0.4293845447,0.5070188715,0.5258863474,0.6067090862,0.6632695199,0.757755795
10/1964,0.2221256253,0.4357626696,0.4360010309,0.3283423619,0.4075126986,0.4900239904,0.5248380382,0.5964204997,0.6401052482,0.7306721128
11/1964,0.2231781033,0.442034606,0.4275918479,0.3185006325,0.4099787967,0.4823637292,0.522507769,0.5834276307,0.6356770608,0.7383093879
12/1964,0.236590895,0.4472501042,0.4244486689,0.320926154,0.4022302531,0.4899900621,0.5280999112,0.580911811,0.6303193355,0.7681002858
01/1965,0.2319090965,0.4386197716,0.4256900952,0.31646198,0.3952311629,0.4909696913,0.5071614486,0.5832703971,0.6344626758,0.7707721593
02/1965,0.2160329252,0.4184103546,0.4015426845,0.3073281962,0.3826347494,0.4861435908,0.5008204898,0.5850915104,0.6101592473,0.7493224186
