date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
08/1963,0.8962177467,0.6791763563,0.7722532495,0.6543308005,0.5727665999,0.4937624007,0.488089923,0.5520988689,0.6446540532,0.4402304781
09/1963,0.8179514134,0.6588466633,0.7097967611,0.5094101372,0.5656464398,0.4584796062,0.5243519517,0.5134357209,0.5724181945,0.4255231836
10/1963,0.9256089553,0.7679503444,0.6630817117,0.508897487,0.4903036638,0.5560679352,0.4904467485,0.4816421652,0.5798601067,0.432872644
11/1963,0.7160945581,0.5923363033,0.5333207269,0.5034537437,0.4895728847,0.5263442359,0.4448800932,0.6254425687,0.3751866972,0.4709032718
12/1963,0.7334646821,0.5604959489,0.5278713612,0.5235242219,0.450625401,0.4822040102,0.6730719662,0.4394804638,0.4304552424,0.4638844253
01/1964,0.8096046129,0.6360655986,0.4630492929,0.4685440806,0.5426331557,0.5199205672,0.4466607005,0.6277899514,0.480875592,0.4272694807
02/1964,0.7118424344,0.682636631,0.6311120691,0.4089574918,0.4958306367,0.6039123461,0.4702340478,0.4636259122,0.4555571103,0.4440761897
03/1964,0.7702858913,0.6252774093,0.6122528553,0.5358450925,0.4085331803,0.5168101499,0.5466389312,0.496427968,0.431997474,0.4342135295
04/1964,0.7431208634,0.547939451,0.5385833944,0.4402913151,0.4646239379,0.4695274027,0.6123894623,0.49748342,0.5053643419,0.3979327729
05/1964,0.7674467843,0.8131679277,0.5254375652,0.5682013426,0.38875604,0.5022817422,0.565883888,0.4981448487,0.6092608335,0.3749333342
06/1964,0.8230466792,0.7002151763,0.5399911406,0.437707322,0.6085038322,0.53964664,0.4967291366,0.5227477099,0.5255126545,0.3652070304
07/1964,0.7961373776,0.6809574117,0.5800853252,0.5566799444,0.5217101656,0.592861066,0.5383752935,0.527465161,0.582027469,0.3746723825
08/1964,0.7460630092,0.6639611145,0.6520462541,0.5519424368,0.4933299579,0.5337420707,0.5427360622,0.4874003186,0.4799351589,0.4094361913
09/1964,0.6710288137,0.6340332698,0.8178546009,0.5327226369,0.445168424,0.4932239877,0.5181937234,0.4902066381,0.5040699007,0.4085284364
10/1964,0.647880415,0.7813988933,0.7363074755,0.4877166683,0.4192780265,0.4925662131,0.4591281504,0.5413436396,0.422902992,0.4043141217
11/1964,0.7136298914,0.8454424269,0.5669738803,0.5623297479,0.4536141197,0.4681953373,0.5096713916,0.5117187061,0.3852182639,0.4011527649
12/1964,0.786150717,0.8694532347,0.7738140383,0.5383242629,0.3907078472,0.4637185629,0.5257337246,0.4141126194,0.4454741093,0.4104678015
01/1965,0.7721382411,0.6820794248,0.6133533831,0.5509526191,0.4799284757,0.424735879,0.4562661263,0.4797938792,0.4329678306,0.3995174046
02/1965,0.6564168145,0.6071019764,0.665817305,0.5380176501,0.4539779351,0.4297818696,0.4572220266,0.472551289,0.4182299915,0.3838151879
03/1965,0.6943390169,0.575374199,0.5826507591,0.4916329649,0.5337478781,0.458116977,0.4007839995,0.4145349713,0.4210055797,0.4267309745
04/1965,0.6508586674,0.6076125692,0.6556993123,0.5182732151,0.4952216716,0.4243601463,0.4595237255,0.4361112769,0.4418954255,0.4231803621
05/1965,0.721809217,0.6677932276,0.5195276318,0.4775909164,0.3926449851,0.4734364093,0.40914037,0.5312681118,0.4338397442,0.3946712236
06/1965,0.7477753083,0.6267589107,0.4951996817,0.475894285,0.4232691505,0.4588453433,0.4434437534,0.4443723246,0.4394663,0.4052579566
07/1965,0.7140151438,0.5692603758,0.7122234219,0.4753875192,0.5498159265,0.4908338071,0.4581953498,0.4172169467,0.557053283,0.4382887662
08/1965,0.6472421439,0.6527710957,0.6042620802,0.5745198457,0.4764736823,0.4965098332,0.514550521,0.4189694105,0.4592237965,0.4576886287
