date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.2067911327,0.3615145308,0.5323608268,0.5712314492,0.6060112647,0.6630673151,0.7466276984,0.9882295905,1.0814089035,1.5275492328
08/1963,0.2085911008,0.3575174424,0.5340282934,0.5621689007,0.6052897244,0.6647275105,0.7491943153,0.9940031308,1.1127127701,1.5437642683
09/1963,0.1991090718,0.3406858152,0.514249238,0.5392227131,0.5809085676,0.6338243412,0.7088751694,0.9396262955,1.0515961891,1.4545744486
10/1963,0.2002366839,0.3482842254,0.51454982,0.5463513356,0.5934551259,0.6538138745,0.7285609393,0.9519728437,1.0514817818,1.5418950701
11/1963,0.1921649519,0.3283441671,0.5000762756,0.54043936,0.5910899601,0.6569153029,0.723900048,0.9383050747,1.0339194901,1.4601706018
12/1963,0.1968877415,0.3450424432,0.4935064308,0.5522764703,0.5984274724,0.6601510415,0.7329998822,0.9459827237,1.0623738416,1.4513423341
01/1964,0.2118929377,0.3363603628,0.4799580159,0.5370335384,0.5881436385,0.6346295078,0.7128423118,0.9234680154,1.0450987102,1.4017731464
02/1964,0.2054622957,0.3291278281,0.462925606,0.5220302102,0.581284242,0.6321535299,0.6958771933,0.9123684421,1.0400699114,1.340514411
03/1964,0.2018841763,0.3262349099,0.4553822734,0.5148577648,0.572225375,0.6235750843,0.68661109,0.9074796596,0.9819323105,1.2553712986
04/1964,0.2007127651,0.322249265,0.4526694952,0.5021708043,0.5610995702,0.6112874395,0.67063471,0.8738242972,0.970441078,1.1873707593
05/1964,0.2066768782,0.3114096668,0.4477666422,0.4986739099,0.5616896448,0.605747248,0.681013393,0.8784421555,0.9627672864,1.2198168684
06/1964,0.2048426982,0.3082388952,0.4481361627,0.4974381268,0.560491616,0.5994458862,0.6698558315,0.8485957219,0.9653651599,1.1889736554
07/1964,0.2153241137,0.3207495244,0.470640652,0.5503290408,0.5937806064,0.6686671854,0.6705694307,0.8805895123,1.1121089616,1.1847956719
08/1964,0.2115551919,0.3071936558,0.4690583346,0.5309925926,0.5707770427,0.6486634001,0.6617101863,0.870727774,1.1001601739,1.1759939314
09/1964,0.1963862081,0.310037341,0.4797087253,0.5382643828,0.5729702135,0.653376507,0.6683848783,0.8699632388,1.1192605935,1.2117574804
10/1964,0.1914285344,0.2999744494,0.4745292931,0.5216142024,0.5593720857,0.6278031637,0.6468539909,0.8368416294,1.0579559075,1.1758112018
11/1964,0.1920935887,0.2946833684,0.4691182073,0.5245793086,0.5473145541,0.6257045161,0.6367785465,0.850407799,1.0283520567,1.1503837467
12/1964,0.1948002985,0.296459286,0.4740297573,0.5207445961,0.5448846331,0.6190558012,0.6433642935,0.8704652607,1.0489801614,1.1680847014
01/1965,0.190876474,0.2931723891,0.4615373077,0.5283399945,0.5330004687,0.6093652603,0.6391877824,0.8790586544,1.0467405333,1.1912762373
02/1965,0.1803982458,0.2862231757,0.4587059337,0.5102208452,0.5097033754,0.5927314385,0.6145879871,0.8487834915,0.9924525409,1.1357670807
03/1965,0.1953742251,0.2900141018,0.4632836515,0.5059781989,0.5018420539,0.6025229347,0.598897253,0.8367548336,0.9792468854,1.1099888215
04/1965,0.2000066531,0.2914348784,0.4736557119,0.5149751487,0.5073265267,0.6029664354,0.5989793266,0.8400027137,0.9856677916,1.1128386107
05/1965,0.1915674223,0.2793572064,0.4639005558,0.5048417509,0.4934443696,0.5892257595,0.5773237149,0.8152144302,0.9298838447,1.0840396297
06/1965,0.1922478023,0.2873198445,0.4611818392,0.5010988153,0.4985431079,0.5929896999,0.5825347426,0.8282009418,0.9483385572,1.1004600841
07/1965,0.2272413786,0.4099483799,0.4989173238,0.5360400626,0.6064439191,0.6101718353,0.7476968916,0.835567437,1.1470396206,1.2716320613
08/1965,0.2243065911,0.4096332861,0.492877665,0.5356877454,0.5907439606,0.5983824337,0.725833046,0.8123762871,1.1071016758,1.2436208754
09/1965,0.2189681165,0.4000999026,0.4776054082,0.5285419274,0.5835185883,0.5877701669,0.706710873,0.7884925567,1.0839390812,1.1848849959
10/1965,0.2106457065,0.3826631739,0.4669140277,0.517946656,0.5639164874,0.5844261814,0.6917429576,0.7624768031,1.0467576225,1.1725443891
11/1965,0.2056473,0.3725406489,0.4562917564,0.5203906683,0.547850776,0.5722211793,0.6630172335,0.728221024,0.9811840735,1.1349658543
12/1965,0.2075988147,0.3804093495,0.4566524641,0.5408243517,0.5358009734,0.5664772282,0.6552779226,0.7274482663,0.9979329614,1.0831777623
01/1966,0.2147828355,0.3746766588,0.4478968967,0.5361346584,0.5306678763,0.5620625379,0.6253344636,0.6873836443,0.921449503,1.0534083216
02/1966,0.216565275,0.3725283851,0.4474229054,0.5363056633,0.5269440099,0.5580048442,0.6224981382,0.6614343502,0.8983602029,1.0005656689
03/1966,0.2228161912,0.3796527997,0.4620976553,0.5417143299,0.5445723257,0.569839781,0.6344841981,0.6585690609,0.8972207582,0.9971074955
04/1966,0.2302029311,0.3901721516,0.4681804341,0.5637036131,0.5579857767,0.5728921643,0.6466724193,0.6675153717,0.9279582153,1.0365233735
05/1966,0.2303335875,0.3774217034,0.4528807502,0.5579699901,0.5555249318,0.5536297711,0.6388866961,0.6361790102,0.9068809654,1.0633800759
06/1966,0.2392158249,0.4015735992,0.4836841938,0.5834460614,0.5804980383,0.5968384973,0.6652816744,0.6887392887,0.9780666438,1.1592018861
07/1966,0.2198014117,0.3555978377,0.5282175959,0.5482936136,0.6567498754,0.6701967304,0.6751316586,0.7687252107,1.0576723046,1.2890021216
08/1966,0.2328304846,0.3600212229,0.5330960783,0.5554013914,0.6603250018,0.6844926634,0.6711945201,0.7849582604,1.0798469707,1.3198236413
09/1966,0.240637288,0.3929192818,0.5814828156,0.5968555874,0.7097326392,0.7432218127,0.7423085919,0.8639836739,1.1773567413,1.4379792079
10/1966,0.2430719001,0.3945643808,0.5878474558,0.5807342241,0.7005931029,0.7449687675,0.75537065,0.8781376064,1.2162569142,1.4701846621
11/1966,0.2382305933,0.3766840098,0.5581305596,0.552166194,0.6466500511,0.7200578916,0.7221524617,0.8213388351,1.1533547358,1.3814902507
12/1966,0.2341859385,0.3728551052,0.5674550636,0.5498236493,0.664763342,0.7135663975,0.7117851311,0.8032337479,1.1764791593,1.4227550084
01/1967,0.2379098848,0.3704120492,0.5620169966,0.5324010919,0.645750038,0.6907733358,0.6862128477,0.7790116315,1.1548468444,1.3915652434
02/1967,0.2326179982,0.3421720056,0.528395096,0.5041058151,0.6075264353,0.639457362,0.637247248,0.7097409099,1.0254947428,1.2177217461
03/1967,0.23493166,0.3383620484,0.5344701408,0.5046002559,0.6126079555,0.6379556018,0.6452747775,0.7203660632,1.0316400083,1.2237230094
04/1967,0.2332499256,0.3269659787,0.5163895692,0.4855517968,0.5900196016,0.6040331114,0.6241361348,0.7042023959,0.9938846056,1.1577304183
05/1967,0.2482954755,0.3230185987,0.5020478917,0.4682259114,0.5830135339,0.5816809157,0.6124041892,0.6851517518,0.9685896853,1.1355633438
06/1967,0.2235796288,0.337137173,0.5178902086,0.4840760519,0.6231467354,0.6024968342,0.6392689097,0.7092066593,1.0058303571,1.1629696398
07/1967,0.1741009122,0.351919099,0.491147991,0.5732810273,0.6325516272,0.6329246174,0.7510733065,0.8591150359,0.9228151167,1.2814946907
08/1967,0.1740047201,0.3247999797,0.4636339218,0.5466843891,0.6414050425,0.6015327419,0.715812201,0.8004536698,0.8545591219,1.1875253538
09/1967,0.1750254578,0.326867905,0.474787824,0.5533779859,0.6576112906,0.6171946027,0.7208468119,0.7965283819,0.8499368378,1.1882823085
10/1967,0.1676905624,0.3131683516,0.4593493613,0.542734018,0.6463712472,0.6068902939,0.7121612329,0.7628538701,0.8237265474,1.1455290242
11/1967,0.1664311311,0.3247517901,0.470505462,0.5649141363,0.6720538582,0.6379024133,0.7584199968,0.7903631498,0.8695993733,1.1882726116
12/1967,0.2020652023,0.3310466697,0.4672141781,0.5568259856,0.6804160632,0.6342045107,0.7667705205,0.7903436959,0.894894856,1.170829652
01/1968,0.1906714753,0.3233431763,0.4485441132,0.5342038198,0.6545238068,0.5748912688,0.7202614913,0.7486123834,0.837305277,1.1010331157
02/1968,0.1683451576,0.3372813221,0.4681369676,0.5399911855,0.6604604009,0.6148405698,0.741645924,0.757293095,0.8211103919,1.1004795992
03/1968,0.1738256562,0.3490639065,0.4747442398,0.5583559235,0.6805648332,0.6421969937,0.7671944523,0.7845472566,0.8558732336,1.136644328
04/1968,0.2015425639,0.3488344183,0.4829611815,0.5612485861,0.690897278,0.6617204782,0.7805850607,0.7844588593,0.8647518924,1.1382938056
05/1968,0.2121788283,0.3176616875,0.4513357712,0.5308933063,0.6603264021,0.6151051754,0.7405471466,0.7074432873,0.7812359666,0.9978817623
06/1968,0.2128131513,0.3172370026,0.4479783684,0.5391383696,0.6617012426,0.6075642379,0.7185712222,0.6889154533,0.7551051074,0.9622527852
07/1968,0.159524446,0.302182382,0.3614198326,0.4569631982,0.6069419516,0.5761059057,0.7544285251,0.7215497061,0.9306290812,0.9507975296
08/1968,0.1425570905,0.3132825051,0.3757969401,0.4568553146,0.5883082855,0.5886929149,0.7473984957,0.7297735669,0.9360066018,0.9549174157
09/1968,0.1403117167,0.3101427636,0.3733186744,0.4497415415,0.5794266094,0.5847460209,0.7372267213,0.7232624365,0.9289994326,0.9332952629
10/1968,0.1393593298,0.2947255678,0.3529149695,0.4319278709,0.565871665,0.5566715299,0.699736575,0.6913482979,0.8827074746,0.8768420005
11/1968,0.1443441891,0.290231593,0.3467611544,0.4243384925,0.5470298119,0.5533498888,0.6931158468,0.6837949192,0.8633982995,0.8513949413
12/1968,0.1354706011,0.2869253458,0.3337304926,0.4079099795,0.5221503382,0.5132336568,0.6523137261,0.6381648726,0.8260878069,0.8199045079
01/1969,0.1422216394,0.2947296145,0.341207192,0.4025795973,0.5316427244,0.5182154044,0.6660967018,0.65032799,0.8305494899,0.8060844035
02/1969,0.1464087967,0.298899087,0.3438368294,0.4075356706,0.5337518885,0.5179479749,0.6672805833,0.6527770042,0.8264626239,0.8008301977
03/1969,0.1502604204,0.3115001871,0.36053514,0.434740115,0.5631046688,0.5608517087,0.7100185132,0.6994024456,0.8827344989,0.865697154
04/1969,0.1443815309,0.3002066192,0.3478329401,0.4183525866,0.5410895861,0.5559464303,0.694402001,0.689141487,0.8828631506,0.8421485124
05/1969,0.1394058314,0.2936503846,0.3409638956,0.4148857649,0.5400020835,0.5526117716,0.6623630822,0.6926912076,0.8812940296,0.819052416
06/1969,0.140321942,0.2971251676,0.3468374473,0.4209631472,0.5271548357,0.5520200869,0.6557486535,0.6935845459,0.889832595,0.826516193
07/1969,0.146816447,0.3163667708,0.3734646725,0.4699440249,0.5396613186,0.6692666771,0.7324436483,0.7634103308,0.8304154682,1.192253075
08/1969,0.1527760188,0.3336561571,0.4027693059,0.5117182873,0.586098883,0.7243035522,0.7675320983,0.8295203688,0.8878243595,1.2779596493
09/1969,0.1439187953,0.3138500636,0.3855483435,0.4981442867,0.5616319538,0.6915725663,0.7598628833,0.8112806671,0.8805972498,1.226667595
10/1969,0.1444253771,0.3183146532,0.3869941023,0.5133708954,0.5781241645,0.7316954315,0.7943571416,0.8532757288,0.9173337768,1.2911784483
11/1969,0.1368246563,0.2958838287,0.3682212138,0.5032429456,0.5590588182,0.7160772517,0.7608934271,0.7950128309,0.8580069868,1.2070077555
