date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.6248599203,0.6924544225,0.6380514702,0.5633304714,0.5504042216,0.4971536751,0.6190498613,0.3980167189,0.4014070922,0.4855462324
08/1963,0.6009030943,0.7991813633,0.5657219488,0.4784782635,0.4056268951,0.4582092862,0.6111903761,0.4529859357,0.5112827851,0.5382862452
09/1963,0.6508689421,0.6231621445,0.5571443019,0.4702782827,0.4580591932,0.4345124876,0.505490505,0.438263686,0.4870883647,0.5257944199
10/1963,0.7465531104,0.6041390266,0.505318971,0.5419881175,0.3733893927,0.4581924187,0.5167200442,0.521817476,0.4722717457,0.5132073505
11/1963,0.7236989577,0.5505157708,0.5168109141,0.4363328008,0.4662619477,0.4134532557,0.5568058098,0.4566043635,0.4594824389,0.5318686396
12/1963,0.7097163646,0.6678496058,0.4992591672,0.5298693289,0.4002938487,0.5722849382,0.4962727308,0.4527933751,0.4869757255,0.3392450051
01/1964,0.6680102628,0.5891628037,0.5326596894,0.3834658452,0.3947435158,0.5565628298,0.5562783651,0.4999455604,0.4035332064,0.4079055045
02/1964,0.7741264054,0.7161534679,0.6192290193,0.4983290119,0.6095683133,0.3614343218,0.4243155401,0.5149142649,0.4245800631,0.4281422113
03/1964,0.6932239139,0.7174031615,0.5845680774,0.5439688702,0.5107386229,0.4563824656,0.4626565551,0.4567279752,0.4066576701,0.3658888595
04/1964,0.7070675962,0.6158228172,0.5542902823,0.5182356486,0.5114517779,0.4627371578,0.4439636382,0.4017738936,0.4336999999,0.386849039
05/1964,0.6548226435,0.5662025715,0.5447548273,0.5308151092,0.4572982862,0.4682591322,0.4090850019,0.457783101,0.3748292883,0.4406329939
06/1964,0.710401493,0.617779265,0.5211922176,0.4584667224,0.4097657125,0.6080139232,0.4447925986,0.3729903168,0.4734747947,0.3943728842
07/1964,0.6838245907,0.6161275052,0.5710464293,0.4883717435,0.5536912118,0.4888614869,0.4491488061,0.4940092059,0.3951564786,0.4964491064
08/1964,0.5794640359,0.5669115646,0.5390977692,0.5344200099,0.4557108391,0.435271209,0.4198099101,0.4477370504,0.4503533644,0.4670306239
09/1964,0.4847801995,0.6647014652,0.6190598008,0.4155661761,0.4977796911,0.4980066611,0.4862387481,0.4246018448,0.3023728417,0.5274459033
10/1964,0.5107233862,0.4566083401,0.6885430089,0.5426957332,0.4519111849,0.4825960341,0.4123262226,0.358678992,0.3732930759,0.4969758458
11/1964,0.4145958155,0.4935985239,0.5023562172,0.4517995431,0.4420253292,0.509316594,0.3173199216,0.431057833,0.6174478099,0.4530097475
12/1964,0.6739985256,0.4289029599,0.5093276958,0.3397480278,0.4785733075,0.4583280515,0.362307427,0.4456879295,0.5367509476,0.4165253164
01/1965,0.5969292066,0.4768100314,0.3935636947,0.357376726,0.5314700153,0.4171158931,0.3838420436,0.4573880577,0.467477101,0.4624000151
02/1965,0.4752980628,0.3807088859,0.4660444924,0.4412329839,0.5313895035,0.4584606176,0.3654441259,0.3582770795,0.4624805936,0.4015118359
03/1965,0.6809975064,0.473084117,0.6693310856,0.5283059724,0.3998826807,0.4190972122,0.3196131448,0.3739436123,0.4851495789,0.372377286
04/1965,0.5476770641,0.5414284554,0.6005601093,0.4637420623,0.387172978,0.3728694732,0.4235797245,0.3225180204,0.4876121374,0.4734588493
05/1965,0.4893615042,0.5408156513,0.5033968005,0.52642536,0.4212450707,0.3646636308,0.2688743897,0.4136187655,0.4195826792,0.4298426177
06/1965,0.590893498,0.4811031251,0.5246760226,0.4385519453,0.4528756361,0.40967236,0.2725279074,0.4349271534,0.3747133398,0.4623823041
07/1965,0.7707896335,0.4917171146,0.5077119891,0.6001864595,0.5928143425,0.3416923986,0.3522056809,0.3661567661,0.4916589793,0.525224778
08/1965,0.7500419131,0.6221986763,0.5691816278,0.3773240314,0.6028796772,0.3982004866,0.4088378978,0.3296960714,0.3606354499,0.4702757507
09/1965,0.572770395,0.6016194021,0.561542384,0.5611233229,0.4205266374,0.3232413594,0.5068816366,0.3947940304,0.3416241108,0.4100894742
10/1965,0.6761159482,0.6028858783,0.5309066372,0.3538304594,0.5112714251,0.4575862901,0.3039102711,0.4524617851,0.3524635316,0.2829538387
11/1965,0.7644778575,0.5359564591,0.5329373625,0.5479861359,0.319222782,0.5402389292,0.4334787988,0.2879395949,0.3561480136,0.252994062
12/1965,0.6255762178,0.4933501324,0.5345080378,0.4474553139,0.5320737327,0.4507885325,0.3340340992,0.2865884964,0.3693456564,0.2817738603
01/1966,0.5158625107,0.5301654609,0.4382468361,0.4561656014,0.4778276743,0.3631194143,0.2793104401,0.4208643696,0.4394517931,0.3412101731
02/1966,0.5455237871,0.486223616,0.5391719685,0.3551310214,0.4142592018,0.3500109705,0.4254320514,0.4569302848,0.3842816137,0.289339964
03/1966,0.5206175383,0.4964855865,0.5059702364,0.4096254439,0.3512090523,0.4486722708,0.5296987354,0.4715555591,0.4187201775,0.2750096215
04/1966,0.5131878001,0.5289949195,0.5575173368,0.4105107251,0.3426080399,0.5039630788,0.5393224913,0.4447906416,0.4302733568,0.29035363
05/1966,0.568400601,0.4035140446,0.59670173,0.4826192858,0.3286320829,0.4639367537,0.4987206905,0.4609157853,0.3975012902,0.2761590074
06/1966,0.5142174678,0.4952201955,0.5845928003,0.5404680815,0.4540887461,0.3119125375,0.4997465403,0.4220443488,0.433209623,0.2809937921
07/1966,0.5848801961,0.4927302941,0.6615685408,0.6116774872,0.4837179582,0.3425016659,0.5096099708,0.5684514843,0.2532492107,0.3010159724
08/1966,0.575451152,0.5823151655,0.6310829778,0.5639678173,0.481049373,0.3653366389,0.5883713479,0.4306691217,0.3461186908,0.3022389634
09/1966,0.554003866,0.635197756,0.7017320364,0.5700016246,0.3650308527,0.7494246483,0.5824220347,0.5157483761,0.3285605032,0.3551199314
10/1966,0.4679975957,0.6559072178,0.6463263963,0.7560382781,0.6443077531,0.4722542513,0.481813077,0.5583743296,0.3458088603,0.3246727248
11/1966,0.55705723,0.6120007633,0.6726641886,0.585945759,0.6287271176,0.3955662641,0.5119680681,0.4062269939,0.4955195004,0.3552090221
12/1966,0.6178387633,0.5388398456,0.7010405398,0.67509087,0.5629891378,0.6387376025,0.6060711299,0.3714552877,0.4170654092,0.4274316016
01/1967,0.7037882753,0.6512574157,0.7116487274,0.6491445627,0.5889048412,0.609351292,0.4737105906,0.497881455,0.3473250984,0.303921441
02/1967,0.5979766117,0.4806205413,0.8089810756,0.4981240649,0.5867853011,0.5242999185,0.5604557895,0.516590694,0.4295044198,0.209757667
03/1967,0.5846306156,0.4597851311,0.5885073564,0.71558089,0.5620909676,0.5893398223,0.4946833915,0.5151044963,0.3571969894,0.2531391671
04/1967,0.4896007172,0.5002880805,0.6106989818,0.7458891605,0.5349615463,0.4824045923,0.5534103714,0.4523412249,0.3099643397,0.2783788744
05/1967,0.3787417534,0.5877623708,0.4868350338,0.5201586572,0.4925810225,0.5537465624,0.6132064648,0.4698660609,0.3156841918,0.2912863143
06/1967,0.542372503,0.5964848683,0.5610968897,0.5304137645,0.500512903,0.6116485664,0.5418146221,0.4558849598,0.2095221161,0.3233906197
07/1967,0.459661216,0.6701728815,0.6096431979,0.6098592056,0.4827755763,0.5478596935,0.5432907971,0.4427147946,0.2390475799,0.2624960796
08/1967,0.5547137256,0.5628409987,0.4344128429,0.6261859665,0.5308806179,0.6009516533,0.4130169366,0.4009853413,0.2440991596,0.3048032197
09/1967,0.6383335117,0.5141361093,0.5677240496,0.5365146787,0.4230092917,0.4826041993,0.5137875892,0.2575540406,0.4120659093,0.3171564046
10/1967,0.6255039663,0.4476931287,0.4561560091,0.5662586978,0.527547255,0.5005045516,0.5097730709,0.2171890556,0.3593751976,0.3462057014
11/1967,0.6797858483,0.5712646378,0.4298278307,0.5306919384,0.4459101245,0.5191885474,0.4348978825,0.2194807411,0.4062214269,0.2715261493
12/1967,0.6386854296,0.6365477614,0.462407028,0.5575648111,0.5135583637,0.4823979192,0.3925705738,0.4134083199,0.4326122946,0.3051370067
01/1968,0.6353098102,0.5872592212,0.6471525749,0.4017809875,0.4156730129,0.399937347,0.5902663798,0.3293768919,0.3923077906,0.2886426126
02/1968,0.6847311166,0.7140699794,0.5790278205,0.492763162,0.4006267628,0.5749286704,0.4051982694,0.3938069786,0.2241230153,0.2953290117
03/1968,0.556115007,0.5920179737,0.5843228478,0.5272610565,0.5518798876,0.4660314357,0.4671074156,0.2352169431,0.4275257915,0.3421222373
04/1968,0.5084626446,0.6148937261,0.5901082505,0.6722039298,0.4905339469,0.5265476417,0.446229388,0.4472782536,0.3489133598,0.4042166732
05/1968,0.4655915248,0.6383553191,0.603716364,0.5098170199,0.4778174349,0.4291176238,0.5121394945,0.4367308678,0.3558062922,0.3224931278
06/1968,0.4979211365,0.7111873195,0.6339945945,0.4529362506,0.5008129414,0.5114883533,0.3477202862,0.3503977077,0.4139885831,0.3053708573
07/1968,0.6914312679,0.5820837291,0.5535339597,0.4534595169,0.6091337672,0.3471443309,0.3702787148,0.4123047547,0.3988138071,0.3091545449
08/1968,0.5441050837,0.5999297509,0.593314511,0.5988005281,0.5807857452,0.4520208077,0.3023709672,0.2518824114,0.3447561256,0.311199252
09/1968,0.4907566213,0.6308781485,0.4747514842,0.6832743949,0.5794090621,0.4452949534,0.3781266147,0.3300523191,0.3643941043,0.2744047799
10/1968,0.4194463795,0.6141790819,0.4688046353,0.5977014081,0.5334980067,0.4367925286,0.3177274711,0.5165057004,0.3737049414,0.252819677
11/1968,0.3814146308,0.4675834262,0.4635043111,0.6385665129,0.3839434877,0.4185274222,0.4706865475,0.4516172353,0.4712509546,0.303257392
12/1968,0.3743917978,0.2969218007,0.3765765901,0.5629963023,0.4694990082,0.5397903989,0.4790048635,0.4118856804,0.4780487196,0.279966993
01/1969,0.3976292785,0.4429747608,0.3562617237,0.5006528151,0.5552268489,0.5281815643,0.481711469,0.4687897652,0.4946910732,0.2484185434
02/1969,0.4379873669,0.4591052022,0.4067602543,0.4803663233,0.5205668143,0.5580835606,0.5004766089,0.400706624,0.4285303217,0.2639407391
03/1969,0.4072192743,0.3812864951,0.5317969992,0.5207968107,0.574590423,0.5664358728,0.4882288321,0.4782099636,0.4278984,0.3011601474
04/1969,0.405023109,0.2766967787,0.449170634,0.5642260346,0.5569639072,0.561340298,0.501927795,0.3988000716,0.4717908769,0.2965441266
05/1969,0.400985489,0.4524459578,0.2697193653,0.3498539883,0.5687040601,0.5259070968,0.5473040696,0.5466150951,0.4603116975,0.3627675188
06/1969,0.4677197448,0.407759196,0.2339863493,0.4484216066,0.424899385,0.5498585437,0.4777454311,0.6311377784,0.3942175975,0.3745652538
07/1969,0.5742161947,0.5865439262,0.3323539636,0.486636979,0.5892887537,0.4589767328,0.4904779308,0.6851620961,0.5668480241,0.4191439151
08/1969,0.6874682788,0.7799238735,0.6191611677,0.5465666208,0.7771654393,0.4184647049,0.534898465,0.6139381336,0.552017731,0.3677407701
09/1969,0.8000603483,0.6039814927,0.6496040006,0.5730102233,0.6772374842,0.6822122118,0.3975805241,0.4912293966,0.58036034,0.3682883022
10/1969,0.9066292786,0.6751924404,0.7183465745,0.6329577827,0.7622484934,0.7182759915,0.5191062793,0.519298673,0.461351463,0.2797897941
11/1969,0.8638013019,0.695971622,0.6258629614,0.759527384,0.7372394502,0.7152746109,0.5970807958,0.5888488982,0.2910480278,0.1961571626
12/1969,0.9396848137,0.7684793034,0.6920004483,0.64434698,0.7856180141,0.757098087,0.6298519593,0.6459853907,0.2590700691,0.2550273148
01/1970,0.9332556948,0.9033909793,0.7629817909,0.7274161458,0.8075232051,0.7958276269,0.6386125688,0.5416223246,0.4420494664,0.1803221619
02/1970,1.0645251682,0.9983347555,0.869811439,0.9044699208,0.885058457,0.8307755237,0.7115604031,0.682066975,0.3642002689,0.1811794688
03/1970,0.975987122,0.9034207852,0.7444473242,0.6899620961,0.9122748595,0.8925707031,0.5508693384,0.6881244607,0.2958219823,0.1841226193
04/1970,1.0176209566,0.8353895862,0.8152931672,0.8118566838,0.6785195451,0.9163483156,0.6040235772,0.5041875171,0.3662684545,0.2434811828
05/1970,1.0791450008,0.9995063709,0.8569262436,0.8743211957,0.7223285976,0.8695284576,0.8114203702,0.6527583708,0.2939389698,0.2837603383
06/1970,0.8849597262,1.112008118,1.008963895,0.8987647739,0.8463468232,0.6413947991,0.9432021339,0.6980857317,0.3677571654,0.3426544728
07/1970,1.372922958,1.200433279,1.0279286127,0.9493691402,0.945784845,0.830244638,0.5846193852,0.7545630265,0.671319451,0.4263065126
08/1970,1.2173657209,1.030555028,1.0060694238,0.8554393425,0.9985991122,0.5817011739,0.856471884,0.510302954,0.5340716547,0.4883900119
09/1970,1.207295799,0.8219272659,0.8625062693,0.8088471439,0.548290648,0.7938656924,0.7618141536,0.6730771983,0.5693466255,0.4502171171
10/1970,0.880125674,0.7902068115,0.8141801477,0.8315851884,0.3657361035,0.8227037843,0.6597842599,0.699144517,0.6037169087,0.578393523
11/1970,0.9913236899,0.8696196753,0.9067962017,0.815862297,0.7501393984,0.4224346279,0.8000983405,0.7580972773,0.5127745131,0.6629082373
12/1970,0.9241737915,0.8927088879,0.7974684271,0.7714798784,0.6587839494,0.5539120256,0.7905282253,0.6656196066,0.4140269967,0.6131821274
01/1971,0.9001567559,0.5933250568,0.6744078476,0.6427528217,0.3893390165,0.7616078272,0.6503704158,0.6708212214,0.4806999771,0.6333990086
02/1971,0.7067474213,0.621629112,0.4956343236,0.4164835337,0.4302050986,0.6408870218,0.6010437935,0.5524437283,0.5216364183,0.6698387917
03/1971,0.6711509076,0.7049930731,0.558895063,0.3721402509,0.504645444,0.6120982164,0.6808593407,0.4903041368,0.6339222433,0.5465625225
04/1971,0.7080085563,0.6395518053,0.6206011615,0.4939971427,0.4252977024,0.4956237786,0.5267277405,0.5701814043,0.6474664014,0.4642203513
05/1971,0.7552667861,0.8394055779,0.4988518729,0.5378468717,0.3591941749,0.496729464,0.5560704073,0.627831233,0.4678456133,0.385918556
06/1971,0.9879906693,0.7739163064,0.6307202536,0.355308605,0.5366407536,0.6478393257,0.5194758597,0.4539473122,0.3743963563,0.5013280196
07/1971,0.9024707449,0.833296954,0.5273637881,0.4082388493,0.5611812274,0.5440337568,0.5099133552,0.4697105906,0.4768002706,0.4550359179
08/1971,0.9426550485,0.8959057366,0.6241800781,0.4955185552,0.6966778496,0.4942143487,0.5571465951,0.4331853519,0.424813952,0.4320360505
09/1971,1.1331954211,0.8846643359,0.6550164276,0.5118844217,0.5622016155,0.5135235251,0.4168884286,0.4092723673,0.4784281474,0.3709400062
10/1971,0.9918963184,0.9149615777,0.639648098,0.7636953915,0.5980611016,0.4877582186,0.3712618413,0.5056218598,0.4828994211,0.3950547866
11/1971,1.0331634849,0.8550233276,0.6947629134,0.7443771643,0.5986728271,0.4915009492,0.3472095423,0.5448686137,0.4168245497,0.5425017442
12/1971,1.1217642698,0.8733696792,0.7120630142,0.6210662631,0.6769999016,0.598442568,0.3668476531,0.4414126769,0.4646170238,0.5098985746
01/1972,1.1680664262,0.7198055911,0.9148544824,0.7413046609,0.4897621157,0.5483333459,0.4858224083,0.3889361293,0.36660391,0.3569394183
02/1972,1.1673456128,0.7741911739,0.8093678247,0.8666901071,0.6100032445,0.4892702375,0.5281219404,0.4921462743,0.3312017196,0.2708275849
03/1972,0.8197423556,0.8251332584,0.8415566102,0.7216569535,0.6453896066,0.3823692834,0.4438499721,0.4835512425,0.3244706724,0.3441158828
04/1972,0.978087632,0.7995759574,0.7166529129,0.8515298086,0.6556759073,0.4173469348,0.559285691,0.4071624705,0.239750026,0.3655262947
05/1972,0.964259412,0.8204435742,0.7087187289,0.8292117909,0.5827856325,0.6056483083,0.3317607468,0.4414292197,0.3281074303,0.2489693092
06/1972,0.9484692922,0.8249637325,0.7320577071,0.7666659705,0.6389453018,0.5991634801,0.3391510425,0.3384062237,0.3948168701,0.2350598228
07/1972,1.0307291201,0.9146993577,0.7527745941,0.8428300729,0.7431111891,0.7936905064,0.501826279,0.2734633922,0.3274522645,0.248503057
08/1972,1.0504172285,0.8738928617,0.888707131,0.83704347,0.8090913818,0.7842164957,0.4625691206,0.3985079274,0.2476888607,0.2472366702
09/1972,1.0364375167,0.7914383808,0.9002149687,0.7217138901,0.841691848,0.6427459613,0.5917232474,0.4186171597,0.2329153486,0.2418684418
10/1972,1.036439696,0.7816599562,0.9125376354,0.7328539321,0.772567545,0.7412041913,0.5382967296,0.6031956322,0.2826065286,0.2684054008
