date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.6198635483,0.5104071498,0.6460429656,0.495391075,0.4750402966,0.5146594582,0.5173354543,0.4755307125,0.342724063,0.4447733896
08/1963,0.6404714974,0.6712897189,0.4666031782,0.4684850821,0.4966953174,0.4972447928,0.4545139155,0.5874722196,0.2963262024,0.6419498319
09/1963,0.4955716178,0.4137620038,0.381327597,0.5651997087,0.5355178888,0.5327736298,0.4536957018,0.3883801628,0.6258949684,0.6875515845
10/1963,0.5318453461,0.3804541058,0.6153735739,0.5985920736,0.5218241592,0.5729215046,0.6133740789,0.36741484,0.4900467513,0.7428810975
11/1963,0.4097933159,0.6064702796,0.5552040675,0.4493391607,0.5940950644,0.5096662104,0.5850661812,0.364374857,0.3321581778,0.7042156051
12/1963,0.426449484,0.5335894673,0.5983737211,0.4693841034,0.5520374898,0.4938669955,0.3125038168,0.5423735735,0.6015867695,0.6032544944
01/1964,0.3489287736,0.474080497,0.3982424486,0.5576846178,0.5200181391,0.4755948148,0.545481974,0.5703341548,0.6945660001,0.7001043553
02/1964,0.3009883199,0.3650036612,0.4778306189,0.494116843,0.4355064733,0.6043080729,0.6401388912,0.7833568227,0.6725117164,0.7943369719
03/1964,0.4437177969,0.3588434894,0.5763644805,0.3628776718,0.4372740158,0.504949299,0.4794689097,0.6260435504,0.6308226246,0.6506755348
04/1964,0.3985552007,0.5413041433,0.3651492732,0.4807724505,0.4947326774,0.4275908108,0.5142634558,0.5891047047,0.6383103297,0.5358024916
05/1964,0.4688973671,0.5298237854,0.4160572106,0.413150805,0.3666185921,0.4488322126,0.621765416,0.5446548593,0.5176711562,0.7479572392
06/1964,0.4370559692,0.5684107982,0.5348894879,0.3717617218,0.5300062609,0.3966158257,0.3902777183,0.4493900562,0.6099829959,0.6475177064
07/1964,0.5484825222,0.4209647982,0.5647737885,0.3974173868,0.5275034972,0.4662071136,0.4322886116,0.5093032199,0.4969144462,0.645397375
08/1964,0.6285772675,0.636094639,0.3522856259,0.5271568683,0.4915400965,0.5098043256,0.4216589177,0.4113279824,0.4163385436,0.6099233286
09/1964,0.512347499,0.4548339953,0.4492980352,0.4533345995,0.5436274633,0.389105176,0.4525071246,0.4345516533,0.5474698245,0.7075863545
10/1964,0.4509773262,0.4297718047,0.4226314029,0.4960300875,0.3474535051,0.4591100955,0.4588245106,0.5081300534,0.4823131916,0.6890692498
11/1964,0.3889373922,0.3779100157,0.5476776448,0.5175844306,0.4070117884,0.4789422141,0.3660114853,0.4327298098,0.5619917691,0.7711069472
12/1964,0.3105672618,0.3824018172,0.4927656793,0.4493234275,0.4974924217,0.4908525371,0.4302779118,0.43032413,0.6331150002,0.6678227593
01/1965,0.3563161462,0.391542411,0.4201958696,0.4842720847,0.4043560508,0.4214836132,0.5415620575,0.5776738513,0.753714996,0.7883635419
02/1965,0.3519380493,0.3620911872,0.3567674151,0.4796484818,0.5164108226,0.417378086,0.6563310813,0.5358468702,0.6000572311,0.7742446192
03/1965,0.3549147495,0.419283485,0.3374140029,0.4771019505,0.5515947067,0.4363479002,0.6275737311,0.5631778636,0.4892520857,0.6222519294
04/1965,0.3232375884,0.4485456687,0.3470794144,0.448827044,0.4780965384,0.5075965773,0.5600313298,0.5255747863,0.4496481023,0.5428768762
05/1965,0.3738353005,0.5003292934,0.3613430287,0.4609323465,0.3164105472,0.4290554695,0.6185713703,0.4951902143,0.5034670119,0.4429444314
06/1965,0.4128628364,0.439559113,0.4721935135,0.3915505575,0.5033869251,0.4475434606,0.5201290812,0.3112266899,0.433529878,0.4287800072
07/1965,0.6016431831,0.4390130049,0.424459516,0.4849031484,0.3832540797,0.5561491007,0.5565058974,0.4502997858,0.4947617445,0.5153320758
08/1965,0.6025152222,0.6247419873,0.3937341222,0.4112789616,0.56581848,0.5055219352,0.4509389726,0.5188536409,0.3930708849,0.5411652319
09/1965,0.5444798113,0.5051452004,0.4341326731,0.4525586117,0.4607955526,0.4145874115,0.5064272363,0.5166838693,0.4013007095,0.4261029312
10/1965,0.5551409377,0.3403529349,0.4273087076,0.5386182561,0.5313903713,0.5086542774,0.4433843866,0.3741631746,0.4275280564,0.3579377645
11/1965,0.5052676732,0.3717608327,0.4149861918,0.5066533221,0.5868284964,0.4108925927,0.463431325,0.4534165343,0.2969547431,0.4339585319
12/1965,0.4928683269,0.3902223102,0.3870522012,0.4785913728,0.4290737377,0.4554504085,0.4449341926,0.5071288457,0.4119879578,0.5613356473
01/1966,0.3931577246,0.4341983112,0.4056945763,0.3753234737,0.3824351989,0.5334511141,0.4991557664,0.4537003326,0.6006004752,0.3115953362
02/1966,0.3240498203,0.3668758845,0.3578446833,0.4415388466,0.4431439983,0.5260270778,0.4752568804,0.5153004989,0.5815083794,0.3534979982
03/1966,0.3655286166,0.3228108036,0.3485115276,0.4491292954,0.401652686,0.4445786649,0.5020952801,0.5601733412,0.4859924452,0.6471345473
04/1966,0.3767569142,0.3349524184,0.3594474754,0.3940893513,0.4075057092,0.5081891093,0.4542081338,0.3894015339,0.621578245,0.7200418814
05/1966,0.3423667985,0.315593501,0.4149686789,0.362661974,0.4240022903,0.3886811898,0.3465964537,0.5310575794,0.6138696499,0.6487213919
06/1966,0.3417196666,0.3443089399,0.3048390929,0.3512327071,0.3894617681,0.4994463872,0.4880320939,0.5748444144,0.7052359932,0.6479855959
07/1966,0.3443812794,0.3923090303,0.4716157368,0.2734006142,0.4100358865,0.5910331022,0.6000472887,0.5873576718,0.736708441,0.6480790574
08/1966,0.3277458451,0.5250158068,0.3502534038,0.4583667227,0.4355937642,0.6294797524,0.4970158057,0.7045749263,0.5696460626,0.6390957949
09/1966,0.4158024953,0.4540748271,0.3658711024,0.5309884027,0.6041157834,0.6353028611,0.6445044579,0.5062289132,0.623144139,0.6416066793
10/1966,0.3199759663,0.4349063062,0.4200656434,0.5582305992,0.6381780039,0.6113934732,0.6490438652,0.5735017777,0.6372349504,0.6008310961
11/1966,0.298293202,0.445859692,0.4075960429,0.5362459031,0.5730514536,0.6427909516,0.5655199103,0.7175303847,0.635241072,0.6705897307
12/1966,0.2930262583,0.5359327716,0.5466703327,0.3802028034,0.5628771812,0.5403461565,0.7150837667,0.5578572772,0.6468893151,0.5812281561
01/1967,0.3249120152,0.3541051308,0.510279204,0.5580191742,0.3332645934,0.5257585983,0.7225911403,0.5980661261,0.5829545416,0.6967818604
02/1967,0.2983645803,0.4045511333,0.447036465,0.5665519159,0.4964361794,0.4866606354,0.416094885,0.5815248276,0.5454118422,0.5740129756
03/1967,0.2808896843,0.4638454772,0.4501588216,0.5017396516,0.5368382288,0.4901956436,0.54235873,0.4678156775,0.5658138552,0.5614827296
04/1967,0.3001988351,0.5220513526,0.4525091749,0.438346812,0.5296805499,0.632795361,0.409664657,0.5244467472,0.5126274156,0.5433974671
05/1967,0.266988479,0.4332126461,0.4682233099,0.4472667965,0.4237037929,0.5449762678,0.6406862995,0.5490184865,0.4780370291,0.5123390151
06/1967,0.2939652626,0.3385925658,0.4467007887,0.4567930201,0.4649838307,0.3536538457,0.4942990731,0.5572016086,0.5705868168,0.5714543965
07/1967,0.3491450883,0.332203218,0.4943976559,0.2605849664,0.5353402237,0.5144627395,0.5871540882,0.5924856911,0.6766180048,0.4914178005
08/1967,0.3265379458,0.3226496493,0.2881351612,0.527551897,0.4827608693,0.6080338973,0.5094328619,0.6497478608,0.5794626512,0.4679412275
09/1967,0.3225730989,0.2687626692,0.4134643847,0.5140560038,0.6238447096,0.5497384103,0.6052841192,0.5704548049,0.4752373825,0.5829478855
10/1967,0.3312242051,0.2833911662,0.4836615678,0.6537681366,0.7116636624,0.4881506221,0.4345965753,0.4614502422,0.6118996063,0.4449608165
11/1967,0.41593615,0.5208485071,0.4164881204,0.4919496225,0.6738670766,0.5358011564,0.5039300807,0.5666165239,0.5193853438,0.4747230924
12/1967,0.4830915552,0.6024733383,0.6343769875,0.5337488515,0.4352597822,0.5538076464,0.4210332648,0.5706667472,0.4614755919,0.4598619505
01/1968,0.3868474054,0.4338325301,0.6101348327,0.4503800889,0.4030275033,0.6192773649,0.6350158473,0.4362187607,0.5167706449,0.521746761
02/1968,0.4062966741,0.4756139084,0.431437938,0.4446625742,0.5848836921,0.5885936402,0.7509432796,0.4203207594,0.4700002604,0.5422361865
03/1968,0.3660618003,0.425502751,0.3571531252,0.5622687163,0.6359362266,0.5154585426,0.6888274615,0.4607916209,0.5302002525,0.4840938848
04/1968,0.3271424055,0.3380728114,0.5006062578,0.3991590173,0.5012675105,0.6420791502,0.6029076844,0.8704870424,0.5138310498,0.4988593414
