date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.5906818608,0.5324264233,0.5002431167,0.3800931997,0.4080171212,0.5417329518,,,0.5016534531,0.7921216369
08/1963,0.5913114979,0.5342674884,0.4949448456,0.3830753097,0.4070086387,0.5455830938,,,0.5024866203,0.7737623553
09/1963,0.5610642252,0.5141822,0.4784633827,0.3621740427,0.3859560817,0.5233793172,,,0.4742444769,0.7500342696
10/1963,0.5787520005,0.5137510217,0.4980501197,0.3580988571,0.3891683237,0.5308124281,,,0.4849849677,0.7733907877
11/1963,0.5779161502,0.5035926843,0.4732508736,0.3467237313,0.3551042924,0.5251591838,,,0.4789785992,0.770485437
12/1963,0.5864098718,0.4930388315,0.4820774061,0.3528286029,0.376523349,0.5389428695,,,0.482228001,0.7876949247
01/1964,0.569151505,0.4820474147,0.4560209143,0.4310371824,0.380991116,0.527241678,,,0.4623894886,0.7700999094
02/1964,0.5587413543,0.4683737846,0.4399871381,0.4231815257,0.3661562417,0.5206488399,,,0.4520783581,0.7410633992
03/1964,0.5494246933,0.4603074221,0.4388873835,0.417263904,0.3637847403,0.5042626822,,,0.4435411564,0.7270865384
04/1964,0.5368310073,0.4602744977,0.4314620613,0.4134588127,0.358634062,0.4967250578,,,0.4345820785,0.6960222653
05/1964,0.5367610933,0.4543756174,0.4307149674,0.4158420823,0.357917957,0.4956994472,,,0.4346049928,0.6946536523
06/1964,0.5389890022,0.4572635036,0.4306891534,0.4071234248,0.350387386,0.491985529,,,0.4314074377,0.6766058627
07/1964,0.5234632752,0.5105543856,0.4151721983,0.356421513,0.4954353161,0.5378086561,,,0.3800570247,0.5778954151
08/1964,0.527780591,0.5002153984,0.4043310067,0.3412026761,0.4867026847,0.5215556062,,,0.3751488342,0.568218035
09/1964,0.5387255769,0.5083755376,0.3063429491,0.3418124728,0.4946876686,0.5278753389,,,0.3826592109,0.5864946293
10/1964,0.5371663667,0.4905234106,0.3000209275,0.3308003767,0.4801467114,0.5103549315,,,0.3680225775,0.5751079732
11/1964,0.5362445931,0.4834725053,0.303475622,0.3294214071,0.476772006,0.5097261167,,,0.3523411682,0.5596928443
12/1964,0.5485477937,0.4843825318,0.3007007203,0.3327782493,0.4774155694,0.5199978921,,,0.3450479228,0.5585390288
01/1965,0.5221601683,0.479602996,0.2958934441,0.3268168418,0.4754580956,0.5181737199,,,0.3472261453,0.5574532378
02/1965,0.5159317497,0.451914041,0.2777164213,0.3179109062,0.4530779738,0.5050240509,,,0.3382079747,0.5526598142
03/1965,0.5123988571,0.4496505643,0.3527569202,0.3226270619,0.4465087836,0.5043410458,,,0.3420963042,0.5639384275
04/1965,0.5187316681,0.4551748212,0.3539326764,0.3243433628,0.4530129585,0.5122053917,,,0.3500143444,0.5832583566
05/1965,0.5012317842,0.4408214968,0.3380069927,0.3068257351,0.4368486875,0.5044076715,,,0.3402745829,0.5792729237
06/1965,0.4974701919,0.4442265994,0.3394179928,0.3148516697,0.4431919892,0.505635367,,,0.3385218947,0.5875908056
07/1965,0.4977042,0.5426178528,0.3561349281,0.4017763381,0.3936542118,0.5083290615,,,0.6533430828,0.6143803173
08/1965,0.4920786027,0.5408378449,0.3457782959,0.3900390884,0.3933692088,0.5025113864,,,0.638667061,0.5909588003
09/1965,0.4784581029,0.5365997385,0.3334984337,0.3737712001,0.3890825711,0.4911543473,,,0.6186398122,0.5626633853
10/1965,0.469707918,0.521311698,0.322491664,0.3498899955,0.3759593592,0.4792035237,,,0.601198442,0.5451908449
11/1965,0.4559278281,0.5216347056,0.3128341672,0.3567456211,0.3633409665,0.4643505068,,,0.580386878,0.5346211465
12/1965,0.4540668614,0.5339743582,0.316167347,0.337736454,0.3718548311,0.4683861924,,,0.5910990881,0.5101348017
01/1966,0.4361502506,0.5209962517,0.3138746464,0.3554241792,0.368238883,0.4899495546,,,0.5955261719,0.493870926
02/1966,0.4334536477,0.5209092875,0.3125951688,0.3471997218,0.3715904985,0.4888342416,,,0.5908815281,0.474703501
03/1966,0.4394410963,0.5289073312,0.3156981153,0.3541836063,0.3836540425,0.502053437,,,0.6101236823,0.4715508588
04/1966,0.4522855685,0.5459923599,0.3244392251,0.3599446757,0.3948039892,0.5172864981,,,0.6249869058,0.4844758447
05/1966,0.4421745135,0.5407758173,0.3120748003,0.344961753,0.3988623362,0.5129161304,,,0.609359711,0.4684603176
06/1966,0.4661533691,0.5618281729,0.3207659472,0.3735645753,0.4219301259,0.5421205712,,,0.6472253414,0.5033617035
07/1966,0.5731541795,0.3384049245,0.6276849179,0.4575723031,0.4051729997,0.4612317691,0.5198596028,,0.6228766465,0.6239621182
08/1966,0.5804458774,0.3456301097,0.6388047537,0.441374357,0.4162529155,0.4679173552,0.6031921568,,0.6216509788,0.6294929587
09/1966,0.652267131,0.3768142955,0.6837786395,0.4748887619,0.4498200885,0.5089861087,0.5769702028,,0.672824695,0.6706960362
10/1966,0.6641021773,0.3753470104,0.6961101374,0.4854830085,0.4516701608,0.511692587,0.5814983672,,0.6524776945,0.6696762931
11/1966,0.6626039299,0.3587614229,0.6499747649,0.473184787,0.4346805617,0.5007715236,0.5468381199,,0.6024182659,0.6474588973
12/1966,0.6198338146,0.3363504193,0.6639676929,0.4892263902,0.4335244515,0.5179420527,0.5472439742,,0.6135838409,0.6543976668
01/1967,0.5804196537,0.3278889193,0.6422632406,0.4866255157,0.4434524004,0.5234926904,0.5320115676,,0.6244884265,0.6481595539
02/1967,0.5294438845,0.3038271634,0.5997527427,0.4448387039,0.4172264517,0.4738833199,0.5761723689,,0.5981713412,0.5948442581
03/1967,0.543997572,0.2944571026,0.5980976398,0.4641882999,0.4197311768,0.4840636316,0.581733484,,0.6054217631,0.59877533
04/1967,0.5275005599,0.2862727608,0.587708404,0.4706189724,0.4107925895,0.4651518845,0.5642598908,,0.5820266813,0.5750261265
05/1967,0.519228876,0.3959308603,0.5747197946,0.4449120015,0.3920479935,0.4342400426,0.5591781873,,0.570977763,0.5566788225
06/1967,0.5328859128,0.2747415286,0.6104530401,0.4652518189,0.4164391438,0.4650046956,0.5704663649,,0.5947503155,0.5688247951
07/1967,0.4199485544,0.581875925,0.5731642537,0.3310790019,0.374005447,0.4650173401,0.6632541633,,0.5613142792,0.5617720588
08/1967,0.3959896889,0.5628489933,0.5822733797,0.3183645932,0.3745370154,0.4361986651,0.6310670359,,0.5171173141,0.554424189
09/1967,0.4063798987,0.5705528201,0.5883226531,0.3228019308,0.3795684142,0.44122486,0.640914987,,0.5229874481,0.5247961276
10/1967,0.3885643107,0.5609279127,0.5687320985,0.305227564,0.3653265008,0.4247331914,0.6275220348,,0.5136016245,0.5488194289
11/1967,0.4017196685,0.5852569307,0.586876921,0.3020225563,0.3675865709,0.445210385,0.6508582117,,0.5361457148,0.5654319838
12/1967,0.3996696201,0.5716897522,0.5901030904,0.5293273946,0.3845516059,0.4516401867,0.6535229671,,0.5415661272,0.5754825544
01/1968,0.3715683088,0.53096606,0.5600757706,0.4974273586,0.3577414794,0.4363972971,0.6363622028,,0.5294792542,0.5485825436
02/1968,0.3924094031,0.5582126802,0.5763664694,0.3026137407,0.3687269151,0.4541034221,0.6383666249,,0.5366486807,0.5319066104
03/1968,0.3945696373,0.5857918703,0.5995420017,0.3125879166,0.3800222691,0.4668652888,0.6569729802,,0.5581660208,0.5446016126
04/1968,0.4054628454,0.5910117435,0.5942492128,0.5420335636,0.3779350368,0.4713325533,0.6629683524,,0.5609028155,0.5517517305
05/1968,0.380100978,0.537842789,0.561431564,0.4885212061,0.40468994,0.4613767439,0.6279980161,,0.518759301,0.5049296767
06/1968,0.3666717646,0.5498490166,0.5625673525,0.481065247,0.3981563987,0.4668164235,0.623327379,,0.5212902026,0.4942082712
07/1968,0.3297690355,0.4244084182,0.5227924501,0.4035374649,0.586033194,0.4355797653,0.556713601,,0.3767298706,0.6142750035
08/1968,0.3443294167,0.4439649114,0.5283884329,0.4194278861,0.4302272248,0.4446125225,0.563032996,,0.3843649577,0.59046828
09/1968,0.3403544646,0.4368888563,0.5154060051,0.4117370717,0.4265038111,0.4388053444,0.556027912,,0.3821933708,0.582223156
10/1968,0.3284239468,0.4214697236,0.4911159538,0.3999705952,0.4126905674,0.4174581087,0.5349994144,,0.3753435871,0.5610686818
11/1968,0.3238989423,0.4096400527,0.4813436735,0.3940405545,0.4209645647,0.4196206617,0.5243750538,,0.3477921894,0.5517588959
12/1968,0.3108675666,0.3869882059,0.4584117126,0.3693561911,0.3962128185,0.4051443157,0.5105721118,,0.3333028486,0.5176307779
01/1969,0.3046974207,0.3827116014,0.4495266899,0.3665995881,0.4158896562,0.4225016254,0.5224368603,,0.343986709,0.5390763686
02/1969,0.3131122045,0.389040415,0.4567049343,0.3676593001,0.4254379769,0.4160338721,0.5212265199,,0.3459301972,0.5426179839
03/1969,0.3317030145,0.4207496032,0.4886019721,0.3890738021,0.4392366533,0.4381297548,0.5457025677,,0.3695885531,0.5734321196
04/1969,0.328332215,0.4060857369,0.4795336719,0.3776970452,0.4231703853,0.4238022133,0.5356822292,,0.3517851383,0.5429624926
05/1969,0.3267738004,0.4043393458,0.4736906226,0.3736158621,0.4053324995,0.4093390006,0.5297174604,,0.3359878072,0.5369282814
06/1969,0.3322828029,0.4016684251,0.4704709159,0.3750920592,0.4092454723,0.4143746262,0.5318950652,,0.3442301851,0.5307522969
07/1969,0.446907067,0.4421337309,0.5817351094,0.6743388145,0.3218419941,0.4051070489,0.6493388406,0.5507439605,,0.6697095468
08/1969,0.4859048617,0.4774686121,0.6161870933,0.7169984312,0.3401780763,0.4291865098,0.7059034336,0.5856422823,,0.717681691
09/1969,0.4421131322,0.447572335,0.5920597342,0.7007442017,0.3217038818,0.4165382699,0.6789924139,0.5751374001,,0.693026886
10/1969,0.4679038953,0.4616645117,0.6113900213,0.7271698772,0.3261525176,0.4226455741,0.7047025408,0.5911252254,,0.7205257246
11/1969,0.4501777151,0.4371112857,0.5785123497,0.6937129769,0.3101231861,0.4029539404,0.6939559825,0.5583605007,,0.6907422881
