date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,1.2986408072,0.9514408361,0.9198554272,0.6386177714,0.6658100241,0.5962224739,0.5777202134,0.5579940669,0.6003358136,0.4071275382
08/1963,1.3215263085,0.9739565044,0.8735437103,0.6493174836,0.6875295485,0.6093941629,0.5876426361,0.5230275091,0.6372875,0.4007290205
09/1963,1.2056419368,0.9907010328,0.9001212695,0.6729199848,0.5852938814,0.5810643822,0.5703507692,0.4722602687,0.6114623817,0.3874312384
10/1963,1.1799103644,1.0950714657,0.8651610216,0.6459901623,0.6449198275,0.6567689805,0.4956037747,0.5351442332,0.6042342327,0.3898199854
11/1963,1.2518682468,0.9962079701,0.9275747686,0.6964990171,0.5660229819,0.6434736696,0.5024548402,0.5438841823,0.5894465131,0.3744772107
12/1963,1.2558009245,1.0195095646,0.8734844407,0.6914720557,0.6020179217,0.5920661621,0.5372662444,0.6014663571,0.5847078955,0.3783530381
01/1964,1.2288927415,1.1267049192,0.8795530155,0.6533222313,0.5674004065,0.5818662588,0.5575115491,0.5667227898,0.5693615713,0.3902166098
02/1964,1.1222354552,1.0958053438,0.9281183403,0.6177062322,0.6034512786,0.5705322941,0.5624518889,0.5464023667,0.5611357327,0.3774969209
03/1964,1.1538233288,0.9457095143,0.9216524805,0.6282921669,0.5359543439,0.5785186957,0.5341367609,0.5122534292,0.567608088,0.3671599391
04/1964,0.9976690832,0.9111612836,0.8658909024,0.6142992481,0.5473812366,0.5174263603,0.5548176461,0.5226042879,0.5428435864,0.3686999852
05/1964,1.0698521128,0.8312714105,1.0581707049,0.5974327476,0.5051524626,0.5619346965,0.5186655948,0.5142437423,0.522547171,0.3746551214
06/1964,1.0387179601,0.9079978921,1.0284508623,0.5916846444,0.4997916439,0.5133877595,0.5657901368,0.5046820733,0.5033006776,0.3728442851
07/1964,1.0314056341,0.9463231256,0.9061112612,0.6322841171,0.5759121599,0.5329989412,0.5277132058,0.5313680212,0.5592563412,0.3924761297
08/1964,1.0268703896,0.9390010192,0.8677943971,0.6051576854,0.5506275404,0.5116776681,0.5111457079,0.5298888163,0.5390180731,0.3852432646
09/1964,1.0317010201,0.9034578365,0.8619810459,0.5747541631,0.5928821558,0.5065685454,0.5475652262,0.5169698204,0.5490886564,0.3715787616
10/1964,0.9822869334,0.9183144422,0.8158377936,0.5769130863,0.579406373,0.4923314819,0.5544606418,0.4664051433,0.5366542465,0.3660052719
