date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.5948067964,0.645984745,0.6874627912,0.6016867462,0.717039282,0.508549109,0.4136988628,0.337007411,0.2512612176,0.2967145929
08/1963,0.5889902127,0.6472406599,0.6895114576,0.5965661682,0.7219815625,0.5178619084,0.4115531069,0.339421187,0.2517508925,0.2983697896
09/1963,0.5675143414,0.6160047115,0.6606517294,0.5779486155,0.6809434423,0.4947630776,0.3893329364,0.3239064418,0.2400923718,0.2793483922
10/1963,0.584900273,0.6275364476,0.6736558993,0.583221305,0.6896451855,0.4978988927,0.39312763,0.3286230209,0.2407842169,0.2854787163
11/1963,0.588110428,0.6251147968,0.6750767543,0.5716783138,0.6762250639,0.4854089641,0.3535929967,0.315721198,0.2280939094,0.281848644
12/1963,0.5923446602,0.6309309654,0.6885533813,0.5639889042,0.695187054,0.5018440407,0.3768504327,0.3190872547,0.2326593146,0.2870629782
01/1964,0.574853288,0.6135167075,0.6768576828,0.5451049464,0.6784779983,0.4802111946,0.3744295639,0.3055950493,0.2898144534,0.284639504
02/1964,0.5652538186,0.6016241426,0.6559433225,0.522883096,0.6688809744,0.4702550249,0.3655709421,0.3044301593,0.2708300118,0.2922562079
03/1964,0.5613147369,0.5966492549,0.6465288646,0.5158873863,0.6457588125,0.4575675116,0.3617488549,0.3013476086,0.2689974119,0.2793777883
04/1964,0.56224193,0.5859162465,0.6330281371,0.5148344997,0.6223537269,0.4440060334,0.35279526,0.2958938355,0.2666883389,0.2796223962
05/1964,0.559689183,0.5927934889,0.6182705016,0.5019642731,0.6273652085,0.4455394288,0.3464644556,0.3038740748,0.2746612425,0.2817472916
06/1964,0.5562100198,0.5906277068,0.6159937363,0.5008397198,0.6177132776,0.4423585669,0.3421801543,0.3027953076,0.2719832123,0.2763838859
07/1964,0.6095146003,0.5269067328,0.6982443796,0.5137221869,0.7491632058,0.5392395362,0.4836089585,0.2848836515,0.2813420155,0.2882294014
08/1964,0.5948509654,0.502260963,0.6801782211,0.5094294389,0.7429675636,0.53217976,0.4721297058,0.2730455463,0.2771151125,0.282108843
09/1964,0.6016024407,0.5011570552,0.690943858,0.5235721978,0.7522586339,0.5378189628,0.4764920373,0.2737339381,0.2284340088,0.2872323319
10/1964,0.5775413052,0.4935280808,0.6714321607,0.5174541238,0.7208272014,0.5056355015,0.4619959512,0.2627164919,0.2243765784,0.2843851094
11/1964,0.5770556541,0.4858591407,0.6672400497,0.5091399519,0.697652303,0.5045857879,0.4673736979,0.2616962865,0.2254549918,0.2805863665
12/1964,0.5751443167,0.4848588729,0.6682448212,0.5146227369,0.6975842982,0.5014045483,0.4626867033,0.2721243546,0.2250416988,0.2778121285
01/1965,0.5671656342,0.4788450338,0.6692034153,0.5037771899,0.6963944246,0.5034170002,0.4624518316,0.266628353,0.2200041287,0.2731180024
02/1965,0.5450876183,0.4610957349,0.6446379451,0.5044952214,0.6691532063,0.4870713143,0.4545424124,0.2535406753,0.2082365417,0.2628258142
03/1965,0.5396837724,0.4590035422,0.6368930329,0.5157063565,0.6683852619,0.481013001,0.4474390151,0.2546186936,0.2513535082,0.2576675251
04/1965,0.540828814,0.4652839923,0.6454312575,0.529381628,0.6741540771,0.487007056,0.4497754501,0.256279986,0.2548057624,0.2618532614
05/1965,0.5306552937,0.4582714016,0.6283609669,0.5184592426,0.6568726706,0.4681073407,0.4358108708,0.242128223,0.2417051719,0.2558367955
06/1965,0.542260913,0.4617243031,0.6303291534,0.5157784629,0.6551186683,0.4781050061,0.4382061954,0.2466483633,0.2459837732,0.2556874737
07/1965,0.6266835099,0.4740856771,0.6024480154,0.6606875855,0.6580886145,0.6017159697,0.3802950889,0.2574282293,0.3205804574,0.2260997008
08/1965,0.6125884032,0.4691016532,0.5935848183,0.6511613151,0.6519239464,0.6003449164,0.3748904568,0.2536757387,0.3234878881,0.2217866005
09/1965,0.6079887108,0.4623695641,0.5898018958,0.653198587,0.6279732883,0.5712952969,0.363362732,0.2456077552,0.3128612404,0.2146689762
10/1965,0.5997017721,0.4529907667,0.5760303501,0.6329164753,0.6038912304,0.5504468351,0.343502153,0.2340192519,0.3063228468,0.2113337718
11/1965,0.5899266284,0.4441224475,0.5753672789,0.6140850355,0.5811624367,0.5313032434,0.3256270463,0.226482718,0.3134783773,0.207226967
12/1965,0.5950911438,0.4490546323,0.5958568423,0.6107683868,0.5858157864,0.5236961778,0.3381988915,0.2285215273,0.2884945955,0.207094848
01/1966,0.5913213438,0.4475972973,0.5851247393,0.6008958653,0.5675264057,0.5012893804,0.333837782,0.2409201052,0.2970082447,0.2105596953
02/1966,0.5928353249,0.4556699316,0.5779773089,0.5959348858,0.5595847104,0.4989820861,0.3289889709,0.2455107898,0.2936177921,0.2109668605
03/1966,0.6135650901,0.4728459022,0.5890490861,0.6137247173,0.5721877986,0.4973331716,0.3327343468,0.2552130084,0.2981584417,0.2114858112
04/1966,0.6250021923,0.4791802134,0.6176426978,0.6274428379,0.5803762717,0.514204873,0.3457244628,0.2613515377,0.3112683388,0.2128372971
