date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.3557688883,0.7568762035,0.3988514082,0.5603324927,0.4428334093,0.5108710277,0.6141251694,0.53915329,0.7755049274,0.8246144534
08/1963,0.3536772542,0.76535696,0.3963828708,0.5576797432,0.4424053562,0.5118930234,0.6202950881,0.5342039491,0.7819852937,0.8555216795
09/1963,0.3320937529,0.7275960125,0.3796265254,0.5229456419,0.4211995158,0.4931238041,0.5836077359,0.5097590206,0.7460056392,0.8093657838
10/1963,0.3360675533,0.7490643573,0.3852721329,0.5381504321,0.4333163109,0.4869247631,0.5909999389,0.5121266099,0.7493595117,0.835647446
11/1963,0.2976054388,0.7446385055,0.3625195825,0.5343649842,0.429423904,0.4723065388,0.5866170547,0.5097776102,0.7501786682,0.8329612325
12/1963,0.3234346362,0.7496281592,0.3660627007,0.537513269,0.4351568489,0.4598356878,0.600781436,0.5214385608,0.7574135516,0.8343549503
01/1964,0.3209790043,0.7130277703,0.454634642,0.5292043144,0.4150625561,0.4513313829,0.5937878973,0.5056975179,0.7552791561,0.8169178413
02/1964,0.3178042819,0.7045592727,0.4177096105,0.520875266,0.4070212808,0.4369773544,0.5822855244,0.4890971646,0.7461752245,0.8084814885
03/1964,0.3161720408,0.6787966552,0.4139593397,0.5034655276,0.4022928956,0.4270015303,0.582268148,0.4849647814,0.7278036882,0.7890642457
04/1964,0.3149819505,0.6704186582,0.4051601491,0.4958138529,0.3979474966,0.4285031861,0.569033118,0.4710998241,0.7011126404,0.7675377208
05/1964,0.3030939433,0.6595944264,0.4147305141,0.500229965,0.3992354248,0.4245419049,0.5576426465,0.4716443688,0.698106237,0.7670769534
06/1964,0.2981402744,0.6505095478,0.4109440055,0.49018647,0.3977612605,0.4276463888,0.5606846938,0.4620906959,0.6915844212,0.7626686798
07/1964,0.4760422744,0.3511967637,0.4158162777,0.4750404571,0.4350972997,0.4774438979,0.5503039284,0.4908061516,0.7965144705,0.7971202882
08/1964,0.4607711512,0.3320736326,0.4052454256,0.4661085797,0.434671569,0.4658741511,0.5346841272,0.4811833054,0.7808457807,0.7889338115
09/1964,0.4584810099,0.3310535713,0.4174335037,0.4756196877,0.3848016769,0.4747517086,0.5399848205,0.4883212071,0.7827007205,0.7966793428
10/1964,0.4363296865,0.3215284111,0.4020345265,0.4619377754,0.3827729519,0.4553606391,0.5281987226,0.4708218458,0.7600505616,0.7646835186
11/1964,0.4299862388,0.3178143842,0.3939165188,0.4548544452,0.3865791555,0.450615676,0.5177795137,0.4729224208,0.7496721172,0.7562254929
12/1964,0.4345369729,0.3247345761,0.3915952709,0.4505912802,0.4018471971,0.4473610346,0.5138490601,0.4665769357,0.7508135277,0.7660615503
01/1965,0.4203817282,0.3144577251,0.3871309324,0.4454436531,0.3908907152,0.4491049405,0.514162702,0.4614181687,0.7682395038,0.7809621248
02/1965,0.3992443726,0.3066300744,0.3661483237,0.4404513846,0.3783508638,0.4289060715,0.5080140967,0.4473390343,0.7294487909,0.7354191107
03/1965,0.4087054649,0.3070408017,0.3666690178,0.445083001,0.4352422968,0.4270316104,0.5140054539,0.4454754568,0.7194920093,0.7031163928
04/1965,0.4177543823,0.3063066508,0.3694028321,0.4536032558,0.4438994632,0.4357156666,0.521370453,0.4523321897,0.7242426109,0.6976428286
05/1965,0.3957036714,0.285910535,0.3613097509,0.4381294679,0.4347837198,0.4227609741,0.5151230519,0.4397659283,0.6908222887,0.6732153804
06/1965,0.3965571874,0.2976312556,0.3608778773,0.4436405821,0.4297374371,0.4267720634,0.5176297967,0.4417729289,0.6899075484,0.6861749143
07/1965,0.346135233,0.4123689586,0.5715776856,0.4287505337,0.4571023502,0.4895869121,0.5206198131,0.4511390502,0.4853218238,0.6491440963
08/1965,0.3339053085,0.4057370851,0.5611063011,0.4288144458,0.4472044311,0.4896546761,0.5271741399,0.4398576581,0.4735455311,0.6324844111
09/1965,0.3212043493,0.3855773876,0.5532905822,0.4147837721,0.4294435647,0.4827075318,0.5273568525,0.4370143358,0.4554572323,0.6035051817
10/1965,0.310157256,0.3675843806,0.5422284524,0.4005888966,0.4268250309,0.4714533484,0.5123381903,0.4208350696,0.4259863515,0.5852233054
11/1965,0.2980764204,0.347914427,0.526621637,0.3835476636,0.438747392,0.4706250551,0.5031982674,0.4080902807,0.4173422823,0.5653003337
12/1965,0.2980070791,0.351904206,0.52458255,0.3804998758,0.4141961039,0.484018966,0.5073816871,0.4217495996,0.4223252045,0.5526023527
01/1966,0.2960311423,0.3412187131,0.5127224068,0.4259811749,0.4278273867,0.479648303,0.5044502285,0.4181352013,0.4127469626,0.5421804659
02/1966,0.2913649117,0.3340332263,0.51200977,0.4267216612,0.4165002231,0.4837073672,0.5115393878,0.4208440725,0.4077202173,0.5196739899
03/1966,0.2874852133,0.3391697664,0.5117198887,0.4431448677,0.4318471466,0.4930797493,0.5306136772,0.4361226364,0.4162289669,0.5224474872
04/1966,0.2889739614,0.356932219,0.5253544352,0.4531240989,0.4385547875,0.5102603,0.5440923631,0.4544568452,0.4192945829,0.5383903896
05/1966,0.2739672256,0.3494235348,0.550471917,0.4474611544,0.4220115842,0.5070342427,0.5275562903,0.4569031023,0.4068961329,0.5235308226
06/1966,0.2867078023,0.3513069362,0.5854623853,0.4693058574,0.4474985663,0.5279045638,0.5564497738,0.4840391709,0.4434426758,0.5651589146
07/1966,0.3675154625,0.3601145692,0.4333435888,0.4249719647,0.3721631881,0.5628433116,0.6612860516,0.5653254946,0.558045829,0.7246370456
08/1966,0.3673657896,0.3719326075,0.5500268499,0.4374556969,0.3751680992,0.5679310279,0.663862754,0.5711294924,0.5591119588,0.743579634
09/1966,0.4213151229,0.4109632007,0.4569172229,0.4695123384,0.4045555294,0.6149689825,0.7122875247,0.615407386,0.6084006253,0.8144914664
10/1966,0.4122961637,0.415817918,0.4719958691,0.4701145311,0.4051735443,0.6325875722,0.7003253415,0.6091759521,0.6159857641,0.8145091947
11/1966,0.4080120133,0.41192911,0.4634069177,0.454121625,0.3930139015,0.6043527313,0.6405496024,0.5720359067,0.5827825454,0.8036170852
12/1966,0.3798073801,0.4177279453,0.4706168502,0.4472999577,0.3775236882,0.6124923876,0.6659222768,0.5736680027,0.5777274868,0.7822276454
01/1967,0.3680430137,0.4242337061,0.4467950643,0.4458260736,0.3774911485,0.6078499538,0.6647671669,0.5667423844,0.5569389077,0.7542291842
