date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.5939961071,0.6447369977,0.704207116,0.9772694859,0.7690967565,0.7279160173,0.6073373216,0.4189528884,0.5163877538,0.4110964153
08/1963,0.6367200955,0.6408056413,0.6832283369,0.9679349558,0.8252136556,0.6615552571,0.6481710263,0.4333869612,0.5122248776,0.4130977652
09/1963,0.6313724431,0.5647904828,0.596469817,0.7940498653,0.8603206172,0.5535479623,0.6062347067,0.4316492128,0.4838942098,0.4024893504
10/1963,0.6337361744,0.6649536867,0.6707589194,0.7196013052,0.9447083419,0.6009622715,0.4499796418,0.5402264366,0.4981964879,0.4062182738
11/1963,0.5053387262,0.5117359044,0.7722561856,0.760914554,0.8593286048,0.647237829,0.4088299473,0.5468781783,0.4686349744,0.3995430045
12/1963,0.4445290165,0.7793395709,0.7125883305,0.8916779581,0.7256886878,0.7760574072,0.4324228252,0.4988889325,0.4650322466,0.4104096183
01/1964,0.4453385326,0.6475122946,0.61430285,0.8196999395,0.9489451835,0.7183660789,0.5336254789,0.4929790828,0.47840647,0.398350632
02/1964,0.4775406655,0.5103167858,0.775831697,0.8096089307,0.8040768076,0.6955477036,0.5998284675,0.4629788863,0.5030114475,0.3790967074
03/1964,0.4957310904,0.6242335176,0.6021120157,0.749376199,0.6036156719,0.7709311696,0.5386747705,0.5028371127,0.4643395369,0.3799197494
04/1964,0.4901884189,0.4898577471,0.6203104033,0.7125574832,0.790493314,0.6357556949,0.5657883034,0.4704395967,0.4484311805,0.3787824097
05/1964,0.4894369054,0.6625594693,0.7004387102,0.6784287906,0.7511740523,0.6709470561,0.5654462121,0.486595041,0.4709609092,0.3624878338
06/1964,0.5382210011,0.5462372514,0.6409658984,0.7071272687,0.791253124,0.6847580414,0.5867360339,0.4682552965,0.4642049543,0.361336335
07/1964,0.5460538553,0.7052457169,0.5794436013,0.812044408,0.7250387728,0.711086718,0.6416823238,0.5310071562,0.4964113763,0.3796330359
08/1964,0.5730690734,0.6779538979,0.5185216491,0.7896552386,0.6280752854,0.7630466739,0.629145034,0.5205717185,0.413610559,0.3825942595
09/1964,0.5606264853,0.6649150782,0.7630978146,0.5651992856,0.6842817469,0.7750133072,0.6311677769,0.5176260996,0.3505256655,0.3894637782
10/1964,0.5385054312,0.6992517115,0.692944933,0.666400041,0.6965740178,0.7432655834,0.52020821,0.485229365,0.3197889841,0.3878661869
11/1964,0.6320343031,0.6607033248,0.7210560352,0.7113241936,0.5749245959,0.7488172292,0.5278674149,0.4619255994,0.332495094,0.3801069103
12/1964,0.6568955567,0.6501957453,0.7121506931,0.8360274434,0.6008535656,0.7027376588,0.5455499786,0.4595840219,0.3221716737,0.3879545141
01/1965,0.6655299145,0.7692324071,0.6405506027,0.5951355178,0.7833650898,0.7141916881,0.5549576109,0.459629404,0.3943535478,0.3582516723
02/1965,0.6068899602,0.7644320083,0.5815290187,0.5304167722,0.6786309024,0.6757138037,0.5398822979,0.4795811999,0.303887045,0.369314039
03/1965,0.5355553623,0.7087739392,0.5875379842,0.4637153477,0.6526493723,0.6390268405,0.5631418823,0.4795417634,0.359378049,0.3815633307
04/1965,0.5283585838,0.6446402605,0.6875519936,0.5287035246,0.5831459908,0.6226960556,0.5855677978,0.4978927571,0.3802467555,0.3849824197
05/1965,0.5661113651,0.5734271134,0.5725654655,0.5568573974,0.6808343136,0.5654829015,0.5497210784,0.4260809633,0.4454933317,0.3574676761
06/1965,0.5628502711,0.5377005268,0.6280450974,0.5170371429,0.735115286,0.5993579852,0.5643749147,0.4458157064,0.4433261993,0.358083103
07/1965,0.5739217663,0.6682532712,0.7085019358,0.7685103912,0.7004606953,0.6608150604,0.6404095634,0.5672274254,0.3790721457,0.4009746725
08/1965,0.5603883835,0.5950450284,0.6886000014,0.7790876595,0.6695110224,0.6542209406,0.604751253,0.5626697914,0.3509761489,0.4012583457
09/1965,0.4978534319,0.607709849,0.6017162123,0.5635188685,0.8815613911,0.6464717451,0.5497536882,0.5285525346,0.3112566545,0.4107399007
10/1965,0.4514936255,0.5586376953,0.579905599,0.5862398804,0.7534766709,0.6367259233,0.5908712131,0.4617833116,0.3003458035,0.4025749744
11/1965,0.4395739809,0.5344306864,0.5415475515,0.5686610156,0.6926455576,0.6186871707,0.5490451437,0.4799934199,0.3534652528,0.3748261447
12/1965,0.422762827,0.6241052645,0.5679735825,0.4938020257,0.5458045006,0.7101291052,0.5617794582,0.4401649496,0.3995135225,0.3759126358
01/1966,0.4273308316,0.5150328861,0.549282857,0.6179721854,0.4650375667,0.7131575161,0.4815648434,0.4555715841,0.4069960578,0.3820999336
02/1966,0.3829995326,0.556378674,0.4559433591,0.6164494012,0.5202158051,0.6868803159,0.473731874,0.4440747088,0.398077478,0.3890941522
03/1966,0.325010882,0.5587564466,0.4396595592,0.5898399733,0.6762217199,0.6235337515,0.5280452327,0.4657181552,0.3214823708,0.4242711182
04/1966,0.3248129684,0.4571564644,0.4961088798,0.6529106375,0.6257659878,0.57666938,0.579009268,0.4842170239,0.4279179071,0.4100204274
05/1966,0.3115174267,0.4385612951,0.4482993533,0.6333616508,0.5551572644,0.5570136062,0.6017855531,0.4738831698,0.4515311054,0.4017012249
06/1966,0.3495326717,0.5092768654,0.5715226011,0.4410903423,0.6709798999,0.6295119649,0.6505739929,0.532889679,0.4316445972,0.4225277285
07/1966,0.3557312073,0.4644988894,0.6203144428,0.4727302744,0.7249752993,0.6644251699,0.692386841,0.5065888605,0.5067169554,0.4466384372
08/1966,0.3376359053,0.4794247451,0.7147738942,0.5120526448,0.5765241258,0.7726091189,0.6367293567,0.5595408749,0.3849930504,0.5048038883
09/1966,0.4277330362,0.4506752734,0.7856515249,0.7045288192,0.5846834345,0.7971602993,0.6396701187,0.6899450988,0.3906103908,0.5396167761
10/1966,0.3945204241,0.716188784,0.7067211845,0.634060284,0.6730605097,0.8071146202,0.5986737943,0.6944022831,0.4046631845,0.5106444656
11/1966,0.4229580937,0.7507357831,0.6811467849,0.6634916574,0.666367807,0.8282312122,0.5318965713,0.5642515387,0.3447156201,0.5207672859
12/1966,0.3427913459,0.5763925977,0.7427724491,0.6854878369,0.8167017712,0.6529309243,0.5342181732,0.6210777512,0.3295252793,0.5328491591
01/1967,0.3391728696,0.5433812171,0.6831339502,0.6781327091,0.9373595616,0.6208263493,0.5549257246,0.5853535009,0.403301311,0.4888657186
