date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.3568804361,0.4096126027,0.3969071866,0.4541311442,0.7905366309,0.8138957669,0.7957381206,0.8290224851,1.0287486629,1.0666677128
08/1963,0.3572499657,0.4032558763,0.396720994,0.4522740605,0.7937281376,0.8348661273,0.8067258457,0.8448996011,1.0533452266,1.0743039579
09/1963,0.3457803482,0.3888129815,0.3794528248,0.4294771806,0.7459829539,0.7826482321,0.7656969397,0.8107857059,0.9750324785,1.0358557305
10/1963,0.3461945576,0.4016217252,0.3892043594,0.431686203,0.7598358627,0.793969044,0.7719778932,0.8337445523,0.9845164899,1.0754507805
11/1963,0.3341673399,0.4061070475,0.3786176782,0.4073914807,0.7455525065,0.7678383169,0.7608694335,0.8193148384,0.9507935346,1.0690296786
12/1963,0.3363552374,0.4136229155,0.3838017736,0.4248328148,0.7573860958,0.7790446541,0.7636139581,0.8116012763,0.959376347,1.0744312842
01/1964,0.3675409874,0.4030718525,0.3689785837,0.4128973023,0.7197824691,0.7713967245,0.756931304,0.8018376698,0.9453483681,1.08527824
02/1964,0.3550148982,0.3917339296,0.3647707688,0.3989839733,0.7121225603,0.7521364986,0.7400622706,0.792518326,0.9442293267,1.0822466685
03/1964,0.344734539,0.3914254838,0.3645716362,0.3963639563,0.6891703266,0.7403895807,0.7253949305,0.7764560525,0.8799341267,1.052676172
04/1964,0.3478707977,0.3932898005,0.3545909986,0.3884999214,0.6718137239,0.7074680583,0.6907804423,0.7380086357,0.8582924966,1.0317490132
05/1964,0.3513671826,0.3800686491,0.3607881226,0.3797837923,0.664493612,0.7310229326,0.6910723922,0.7614872606,0.8682983384,1.0126016735
06/1964,0.352297229,0.3799183986,0.359242013,0.3753429274,0.6455845041,0.7275305354,0.6797520711,0.7530853013,0.8562080539,0.9679360124
07/1964,0.3653208919,0.362988458,0.4225254319,0.4190245718,0.6658716516,0.7244681682,0.7193912028,0.7378310635,1.0493112624,0.9525721669
08/1964,0.3601152073,0.3517709141,0.4153723275,0.4007845343,0.6560494358,0.7138556459,0.7003543571,0.7247364851,1.0362398688,0.9358932969
09/1964,0.3311292349,0.3583921804,0.4240318292,0.4014246224,0.669605329,0.7150514813,0.711928502,0.7097341281,1.0448405261,0.9271470905
