date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
10/1973,,0.326003732,1.2689237098,,0.9898578374,1.148987503,,0.216868126,1.3830341345,0.9905909146
11/1973,0.8606259104,1.0298264554,0.3742292512,0.5799487727,0.7940862431,0.7725659391,0.8513750032,0.4578530678,0.3631948572,0.4658194178
12/1973,0.7982527247,1.2065197327,0.7199658122,0.4339352913,0.6081312268,0.9638040544,0.9175628528,0.2784248427,0.4574432905,0.5056292827
01/1974,0.7848946387,1.1382553707,0.549741615,0.3771906445,0.7732143522,0.8154029805,0.8693362295,0.2450325868,0.4748738194,0.4975840112
02/1974,0.823647801,1.2229818995,0.3720121166,0.5769957425,0.3412558084,0.8042920124,0.239642489,0.7124397387,0.7516692043,0.4735823025
03/1974,0.935057649,0.9521568369,0.3094873931,0.7214614058,0.4354678228,0.6800064168,0.3068620712,0.515162932,1.0131552081,0.5367593378
04/1974,0.9985239589,1.0758212922,0.4106390835,0.5412313893,0.5659778757,0.3588380541,0.6120727628,0.4981784592,0.882416225,0.4895904658
05/1974,0.7442645154,0.6842191913,1.1501326756,0.3363092487,0.7029239186,0.2751838559,0.8839582574,0.2903825518,0.9417008392,0.8194989048
06/1974,0.7582016878,0.6780966858,0.7360621052,0.4153682027,0.4586710022,0.5613843798,1.0846695687,0.3905517271,0.666952829,0.8669212994
07/1974,0.8132770019,0.8896887754,0.750906723,0.5741538743,0.7345446158,0.5529990674,0.9938648678,0.475980191,0.7239715778,0.9603318324
08/1974,0.8466902363,0.7829221118,1.3209098529,0.6348609303,0.4972846455,0.6948480954,0.9655307509,0.5194204553,1.0676370386,0.8177849975
09/1974,0.9811104365,1.0132596575,1.2972615615,0.4558239079,0.5818069787,0.8111246003,1.0871344516,0.6394398397,1.2334742475,0.8648972285
10/1974,1.1380436137,1.0694759249,1.604230398,1.099855668,0.7052068908,0.8507185315,1.2694438026,0.6981362267,1.3552568512,1.0891532894
11/1974,1.6884674374,0.8479652139,0.7708348886,1.0161662511,1.1391194163,0.6659650295,0.4026846481,0.8012519106,0.8067556654,1.2903467632
12/1974,1.6284704065,0.8609018095,0.702160941,0.9948090164,1.2043986247,0.4007250021,0.5717639875,0.8885140077,0.8306516536,1.2013655645
01/1975,1.6682061821,0.9312571063,0.9183963866,0.9687010952,1.0718281898,0.8826124641,0.6218188761,0.8304983684,0.7704990776,1.1078296277
02/1975,1.3521030281,1.0520206087,0.8850257838,0.4509586009,0.9217544998,0.7670237496,0.9755839349,0.4080613527,0.9275554724,0.8678067742
03/1975,1.2014561965,0.990282429,0.8808501595,0.3620174152,0.7884150571,0.7593890602,1.0247722679,0.4571958649,1.0197042922,0.7257080717
04/1975,1.2022455185,0.7842376905,1.0935872286,0.3895879176,0.7587507919,0.8559709937,0.7826419935,0.4678768811,0.6321160597,0.6646775659
05/1975,1.0807608084,0.5867854475,1.0766526101,0.8949177799,0.793531777,0.3495630692,0.4815640025,0.776605514,0.3930614277,0.5695786423
06/1975,1.0238996274,0.6850040407,1.047735288,0.7968798051,0.7468716513,0.7885308412,0.3135711238,0.9601313517,0.3216024618,0.7295220809
07/1975,1.0787358229,0.6571362979,1.1881334087,1.0568152384,0.8241523445,0.8473907856,0.3635531164,0.94935138,0.2528052843,0.7860312465
08/1975,1.0060353769,1.267034422,1.0015023019,0.8047034701,1.1817326391,0.4335780505,0.7618420181,0.4992873887,0.3732351221,0.3533951254
09/1975,1.1222270761,1.1790307902,0.9983532456,0.8458209561,0.8576513166,0.9434900584,0.6181871223,0.6399343243,0.3974921067,0.3673632813
10/1975,1.2631595528,1.2280189449,1.0356391053,0.8139847421,0.6250768588,1.1076522292,0.6211425379,1.1934323259,0.4705547546,0.3842031224
11/1975,1.3055159729,0.9678381231,1.0700896576,1.1064415462,1.007297417,0.5459535191,0.9642807042,0.4020232154,0.5836363264,0.4499966957
12/1975,1.3528843744,1.0012452674,1.2452182549,1.060448345,0.5717241343,0.661654683,0.9420312385,0.3865406498,0.5402908878,0.4759593406
01/1976,1.2212465454,0.9919272519,1.2673412528,1.0284637697,0.6642218452,1.040673622,0.4772644857,0.3856139063,0.51703652,0.461739355
02/1976,0.9411318112,0.7614164839,1.2866415982,0.7140301882,1.0139341899,0.6565242518,0.6626443733,0.6051038678,0.7812980278,0.3714492796
03/1976,0.9339584819,0.9973761223,1.1889974514,0.7305813858,0.9941784063,0.631250632,0.6518798609,0.6711157653,0.7023890119,0.385251262
04/1976,0.9036907742,0.9694795893,1.1438343028,0.6558039579,0.710494654,0.6421127519,0.6158649472,0.6466935591,0.7308412583,0.6521527616
05/1976,1.1928484395,0.9930361729,0.9808543172,0.9880237982,0.8741329396,0.4471171908,0.7202522733,0.7557318253,0.702715619,0.6250275257
06/1976,1.2640136253,1.0008047666,0.8978879443,1.0089193037,0.7888861624,0.5396653724,0.733450245,0.6774030456,0.3469059135,0.9299969055
07/1976,1.2347339223,1.0381282103,0.8305702224,1.0521879892,0.8480685174,0.5150474273,0.7954377331,0.7613262691,0.37295577,1.012288582
08/1976,1.0527354078,0.8834073719,0.9621179017,1.0780252643,0.7252134391,0.7068619068,0.850253392,0.5894694425,0.3871800936,1.0265385268
09/1976,1.1060535135,0.9237513603,0.982796576,1.0520302921,0.6476230108,0.7989602414,0.8459473291,0.6031806698,0.413575124,1.0012641725
10/1976,1.193057715,0.8614388943,1.1214680721,0.9599820036,0.7146765668,0.7786887894,0.8600146084,0.6054272447,0.362308886,0.9718836058
11/1976,0.7534504,0.9527434045,0.6639527265,0.8641301994,1.1196003416,0.847888508,0.6553153401,0.4238149591,0.6041409278,0.9871880257
12/1976,0.9725266916,0.9820792004,0.6251933456,0.8383915628,1.0373574422,0.9032802839,0.620548174,0.4770652229,0.4946317486,0.9898977611
01/1977,0.8499681869,0.9648707032,0.5882805801,0.7632770205,0.9126597398,0.9083536076,0.6008684042,0.4281888723,0.6022002636,0.9225046079
02/1977,1.0012594733,0.8251205931,1.0710432678,0.9085013022,0.7487359543,0.75922749,0.4203631101,0.7497019974,0.8640381398,0.8034501761
03/1977,1.0908978476,0.8640250463,0.9778384545,0.9628445223,0.8247570225,0.6825547241,0.4471926998,0.7941494736,0.8960122777,0.8031349807
04/1977,1.060398749,0.8749019145,0.9910410648,0.9629307207,0.7702441724,0.8644451842,0.4475730257,0.9483275066,0.6938566074,0.90221778
05/1977,1.0161213021,0.9299208406,0.7010185694,0.9544529714,0.5379783411,0.7024597326,0.7312194228,0.8327294499,0.8807484843,0.7942360468
06/1977,1.0575733537,0.9309201422,0.7530623533,0.8750857346,0.5436891296,0.7681256896,0.7473929721,0.8999131686,0.8619879716,0.7529374911
07/1977,1.1292265065,1.0537249855,0.8505228403,0.9966611202,0.5592040113,0.8536182907,0.8576153517,0.7214420291,0.8736580358,1.0207704869
