date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.2544829319,0.3298282975,0.3340623712,0.4883355643,0.4834655721,0.4613181732,0.6369465226,0.8166283302,1.0675747048,1.1917672175
08/1963,0.2720725135,0.2958259401,0.5148618857,0.4041803579,0.3866501349,0.5633338311,0.6999757829,0.9515505274,1.1738370609,1.2358831194
09/1963,0.2573536804,0.2733944714,0.4741053049,0.380263496,0.3957467179,0.4778997605,0.6936623513,0.6467153186,0.8714794718,1.0839653723
10/1963,0.2793344263,0.2718297823,0.4732212308,0.3945507915,0.4191448942,0.4092378485,0.6171394787,0.7341883514,0.8887050745,1.0908966807
11/1963,0.2726651906,0.286746337,0.4304015267,0.4017586505,0.3948189208,0.4716395904,0.613093831,0.7812831306,0.8798435168,1.0975778449
12/1963,0.285301929,0.3197471531,0.3680238837,0.4747767611,0.43225662,0.4437972534,0.6541695379,0.9043193025,0.96064204,1.0490606791
01/1964,0.3400927535,0.3178443465,0.3652579351,0.3634874337,0.388847584,0.562510455,0.5391347869,0.6736225661,1.018003911,0.9671519022
02/1964,0.3614586956,0.3912544325,0.3203567346,0.3354208722,0.3581256194,0.5508619107,0.4741922281,0.7937332246,0.7994067032,0.9627118931
03/1964,0.3264868573,0.4102231531,0.4070245636,0.31670186,0.3237029029,0.4704695777,0.5028299509,0.7422318002,0.901486405,0.9371976892
04/1964,0.2902949336,0.4054273849,0.3451181287,0.3287300599,0.3536617044,0.4615699962,0.4969054755,0.6809146791,0.8959295095,0.8982651892
05/1964,0.311264274,0.3736999807,0.3262617442,0.3190071936,0.4316986299,0.5573876727,0.5241016315,0.8478943474,0.8514951776,0.9873127695
06/1964,0.2470792754,0.2980373035,0.3849056639,0.3699182969,0.451835296,0.4277153436,0.6796231409,0.5637514789,0.8778165865,0.9445958343
07/1964,0.2586014818,0.3489261198,0.4066547785,0.3523651079,0.5331234302,0.4590654903,0.565427699,0.8326495179,0.7688000406,1.046234493
08/1964,0.2688315425,0.3115772312,0.335422492,0.4535255121,0.4251311819,0.4800020134,0.5933618926,0.8023263337,0.8224566329,1.0529630274
09/1964,0.2590419846,0.3420969299,0.4037958669,0.3850235477,0.4484645468,0.5012722327,0.6967042409,0.7975751061,0.8422978385,1.0958779364
10/1964,0.2025552838,0.3711103907,0.4359023768,0.4494345153,0.3599715457,0.4459749881,0.6733405389,0.7774889734,0.8077417867,0.9097051641
11/1964,0.2193433674,0.3756946907,0.4477060433,0.3745909558,0.4142922547,0.3581273541,0.5728890931,0.716552243,0.7908288485,1.0523320694
12/1964,0.234358242,0.3725267824,0.3803452197,0.3552342288,0.437006552,0.5467071804,0.5787599244,0.7589656602,0.8099589543,1.1552251158
01/1965,0.230699547,0.3850544271,0.336669383,0.4153233123,0.5167638052,0.4844342342,0.5846931221,0.6712228952,0.8078930203,1.0825665709
02/1965,0.3333077859,0.2965676464,0.3535859501,0.3511824978,0.4096650898,0.5683239037,0.5723183253,0.5689837852,0.7625258252,0.9319285905
03/1965,0.3894401076,0.3351224078,0.3324337066,0.3722401963,0.4380753925,0.535025737,0.5708556522,0.6838274096,0.7509822453,1.015127537
04/1965,0.3704974588,0.3076007097,0.3572515877,0.4818499198,0.4126021818,0.6151979461,0.6279139702,0.7178168954,0.6556689295,1.0647140079
05/1965,0.353713301,0.2804047012,0.3839944328,0.4050423393,0.575532355,0.5566720005,0.6603036134,0.59430738,0.6752369047,0.8603056137
06/1965,0.3416175428,0.4307169717,0.3320734122,0.3380856672,0.440044744,0.6568268981,0.646924871,0.7400827664,0.6513844195,0.853410524
07/1965,0.3436376107,0.3910449603,0.2989673366,0.554936521,0.5115162805,0.7905158837,0.7164213438,0.8894916072,0.8099599441,1.0658378545
08/1965,0.3641181558,0.3031409843,0.3814265531,0.4398748509,0.5149941039,0.5817706919,0.7003020694,0.9182729763,0.757430015,1.0663203215
09/1965,0.2810209762,0.3631547961,0.3219859053,0.3445539963,0.5202825244,0.5761047064,0.6384494073,0.7612114822,0.8972122357,0.9687698099
10/1965,0.2781825237,0.3779405875,0.3048608345,0.3665518635,0.469910179,0.4733788453,0.5723910907,0.7670575688,0.8109989151,1.0090365899
11/1965,0.2898488016,0.3171970244,0.2805714536,0.4438428726,0.4297070003,0.5153689925,0.6058607537,0.6453412735,0.7126077237,1.0035371334
12/1965,0.2893175699,0.3029470586,0.3110804023,0.4543391322,0.3951188934,0.4401806864,0.5744920362,0.6738014374,0.6982157832,0.9503287658
01/1966,0.2768646119,0.3733325643,0.3566738081,0.4454261961,0.4542252456,0.4720918081,0.6691625165,0.6938201158,0.5962744227,0.9414249476
02/1966,0.2462794295,0.4042764194,0.3982582437,0.4797982722,0.4737062082,0.5259278512,0.6299914158,0.620280763,0.6595536975,0.801601549
03/1966,0.2598335014,0.4109333859,0.4356331299,0.4644554162,0.5920122266,0.4849162868,0.6893442028,0.5808786726,0.5927514477,0.8388683223
04/1966,0.2430525223,0.354048595,0.5502248685,0.4351305654,0.5498527644,0.6637769451,0.5950383481,0.6370639176,0.6375087028,0.7978059268
05/1966,0.2603625982,0.4933774401,0.4842134499,0.4081769454,0.5557589167,0.6890206374,0.6082211378,0.6263150634,0.5055661279,0.7738857714
06/1966,0.2912818107,0.4469228012,0.494429709,0.512962369,0.582002217,0.6769481877,0.6504906116,0.6184551134,0.5825916382,0.8863987643
