date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.4317975103,0.4574240278,0.4075039835,0.4332557827,0.5733059587,0.3600755385,0.4600368603,0.6949199398,1.115576603,0.7785221732
08/1963,0.4428789839,0.4389521304,0.4162870909,0.4243428771,0.4231517566,0.5233370459,0.5467238467,0.7593098004,0.987422006,1.0162119008
09/1963,0.4221011209,0.4263085497,0.4712520098,0.3620917561,0.4666965198,0.5291520539,0.4284766719,0.7264423793,0.7009673405,0.8975345133
10/1963,0.4395081064,0.4253240451,0.4973331024,0.4617246859,0.3643728166,0.5681036185,0.3826265457,0.6891810728,0.7097936676,0.9036848547
11/1963,0.4258319634,0.3737236153,0.5010115244,0.4675486106,0.3096533346,0.4034085865,0.6561223063,0.6821391687,0.4583065048,0.8626088988
12/1963,0.4187217628,0.4274237995,0.4304543482,0.5155530526,0.4268414093,0.5327980305,0.424962028,0.5140608019,0.6531140486,0.9229990563
01/1964,0.4214264779,0.4662291007,0.5566858487,0.3797285888,0.5089550059,0.4381137299,0.4486786425,0.4941409109,0.7732690155,0.7637615136
02/1964,0.4502254788,0.4374504539,0.5872860305,0.3904329005,0.4734188729,0.3853818246,0.4821337011,0.6834239412,0.6101262339,0.7371268083
03/1964,0.4283617226,0.4388683386,0.5047879711,0.5569912986,0.4109487141,0.405733602,0.4427190287,0.5887142194,0.6841246702,0.7345074117
04/1964,0.4477269884,0.4470527329,0.416446229,0.584197211,0.387414341,0.4112907144,0.4944040965,0.6062033545,0.7162573515,0.7770885146
05/1964,0.4256586252,0.4771358353,0.4147258788,0.3368202908,0.4018608616,0.5196211586,0.5001680791,0.7059313059,0.786559381,0.7678923535
06/1964,0.4313159532,0.4272410796,0.3667465154,0.4275298559,0.4443893329,0.4017752373,0.5722777086,0.5659858318,0.853613484,0.7572107225
07/1964,0.4498438394,0.4549731674,0.393275954,0.3892483129,0.4465445556,0.4209964096,0.4617185241,0.7586519295,0.7547564818,0.7876350315
08/1964,0.4106270053,0.3932669626,0.4097424518,0.4413629195,0.4139297523,0.4514010754,0.5107500781,0.7887462922,0.754580206,0.7824960497
