date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.2030505369,0.3326563087,0.4098037766,0.5281891502,0.5860424156,0.6959634533,0.8245978352,0.9233756439,1.1718737156,1.6768651123
08/1963,0.2050474314,0.330336544,0.4063282532,0.5284148904,0.5831722287,0.6968807731,0.8140703875,0.9355214847,1.18703406,1.7261649723
09/1963,0.1956377841,0.3123548691,0.3924157819,0.5086165924,0.563850701,0.6599014929,0.7752736853,0.8735749462,1.1082298421,1.6383900819
10/1963,0.1971232328,0.3154333517,0.4103278181,0.5067930555,0.5784467161,0.6635440718,0.7881135151,0.8712173848,1.12534827,1.6838446043
11/1963,0.1894542295,0.2886576635,0.4119401611,0.4971277246,0.5652892861,0.6709446481,0.7848916224,0.8324150127,1.0998537494,1.6828249475
12/1963,0.1939829595,0.3041601739,0.4169867697,0.4925438822,0.5715983998,0.6711146951,0.8028508562,0.8544107538,1.1080174303,1.6881200939
01/1964,0.2079788359,0.2982745747,0.4038260156,0.4827754465,0.5482037719,0.6495823051,0.7783168648,0.8445753402,1.08102836,1.6424064904
02/1964,0.2016249634,0.2936302725,0.3950606994,0.4702446397,0.5251616375,0.6460520948,0.7660389385,0.825296031,1.0386529792,1.6198485661
03/1964,0.1978491441,0.2921788237,0.3892907975,0.4640562672,0.5208077239,0.6378363499,0.7461280031,0.791563033,1.0139146269,1.530655785
04/1964,0.1972672321,0.2892516714,0.3851647624,0.4652498835,0.5055746277,0.6154158524,0.7185712938,0.7571247669,0.958067223,1.5057791174
05/1964,0.2032098676,0.2841659433,0.3764167399,0.4571947458,0.5044665481,0.6195276621,0.7019500068,0.7603937044,0.9761124848,1.5005871618
06/1964,0.201362462,0.2803913151,0.3756145556,0.4593552146,0.5022841158,0.622577099,0.6835761922,0.7476492727,0.9446344174,1.4939270367
07/1964,0.2115017006,0.2985418552,0.3908392286,0.4793033823,0.5688238989,0.6550080689,0.7551446098,0.9058693955,1.0538504096,1.5533722857
08/1964,0.2074565899,0.2839577388,0.3770860656,0.4778877404,0.5582565753,0.6251957962,0.7468197972,0.8853489306,1.0362673723,1.5475688506
09/1964,0.1930131486,0.2847006902,0.3807175537,0.4898801665,0.55953527,0.632903478,0.7626422574,0.8935407452,1.0375980928,1.5727820101
10/1964,0.1881381525,0.275590568,0.3727101279,0.4839560997,0.5416208794,0.6056375144,0.7356200207,0.8585800593,0.9973819065,1.4724793795
11/1964,0.1887795955,0.2735326553,0.3639338802,0.477298695,0.539569572,0.598262902,0.7298294616,0.8554991231,0.9941198666,1.4385700534
12/1964,0.1914845717,0.2766792923,0.3586285429,0.482917169,0.5361671316,0.5915784519,0.7340611835,0.8629653756,1.0326249818,1.4926012338
01/1965,0.1878252343,0.2718320194,0.359393918,0.4675352149,0.5204096948,0.6062357294,0.7249286055,0.8749823559,1.0655987119,1.5247171796
02/1965,0.1776914928,0.2618252264,0.3530953027,0.4652461828,0.5068357613,0.5797680816,0.6998119013,0.8412878845,0.9988192581,1.44252906
03/1965,0.1928588637,0.263047387,0.3555043168,0.4671397667,0.5055215973,0.5741533924,0.6997292457,0.8365010148,0.9821081851,1.4336347621
04/1965,0.1976732501,0.2627750207,0.3599159279,0.4761811077,0.5173146711,0.5821233046,0.7046756591,0.8398171139,0.984986379,1.4232896006
05/1965,0.1895646774,0.2503740888,0.3551014968,0.4657337571,0.5031118392,0.5589952937,0.6866379765,0.8140766438,0.9442273072,1.334059421
06/1965,0.1898320897,0.2580751189,0.3611963648,0.4620099638,0.5064395353,0.5574579539,0.6927408157,0.8156813048,0.9686086107,1.3752459489
07/1965,0.2074429275,0.3456798943,0.3974756215,0.4883642282,0.5580900655,0.6526525567,0.77613625,0.8966314805,1.1087980203,1.6498265025
08/1965,0.2043877531,0.3441658816,0.3944011239,0.484189862,0.5556969804,0.6432971236,0.7542367099,0.8573186235,1.0799729462,1.5825760164
09/1965,0.1988152362,0.3367084963,0.3878432199,0.4781317771,0.5468832874,0.6162790783,0.7357463863,0.8550114821,1.0477070988,1.5569802441
10/1965,0.1911124364,0.3232734772,0.3774283279,0.4635397205,0.5355811038,0.60597939,0.7183544736,0.8190679473,1.0283328711,1.4785394425
11/1965,0.1856491728,0.317652167,0.3705524306,0.4550554586,0.5336111023,0.5841245767,0.6934361198,0.7885800804,0.9689267292,1.382044805
12/1965,0.1882303559,0.3203420512,0.3694657264,0.4578626033,0.5447361503,0.5817151935,0.6865514198,0.7738934802,0.9794814662,1.3875912325
01/1966,0.1951310351,0.3124368576,0.3658726501,0.4541625705,0.5372394388,0.5673236793,0.6626278336,0.7542669077,0.911055318,1.3053119527
02/1966,0.1973299559,0.313853784,0.364799999,0.4538960586,0.540487343,0.5542873359,0.6364177422,0.7362622699,0.8760705715,1.2430917326
03/1966,0.2028488766,0.3190730384,0.3773249477,0.4704701216,0.5459449897,0.5627396728,0.6480354007,0.7300253547,0.8818818751,1.256435194
04/1966,0.2085757488,0.3254552751,0.3865970387,0.4841068473,0.5686553236,0.5650580922,0.659433249,0.7498711662,0.9127521317,1.3068194332
05/1966,0.2082327472,0.320633545,0.3781913757,0.469764958,0.5596914175,0.550001063,0.6514381887,0.719554817,0.8957091446,1.2915303266
06/1966,0.2162377301,0.337907516,0.3945572496,0.4969948893,0.5870948963,0.5965767783,0.6894343818,0.7785380515,0.9808089622,1.3947493471
07/1966,0.1679855623,0.3229132712,0.398790246,0.4761957907,0.5888689023,0.6137249914,0.7291996013,0.8381382088,0.9809253426,1.6057871931
08/1966,0.1791735472,0.3260848611,0.4048317189,0.4843134109,0.5922325881,0.6150271354,0.7416029252,0.8294414709,0.9933516448,1.6423736568
09/1966,0.1845307489,0.3533921065,0.4472752272,0.526852028,0.650757527,0.6714652113,0.7820888679,0.9002431295,1.087197454,1.7879799973
10/1966,0.1885777174,0.3523806649,0.447167664,0.5175837897,0.6550861511,0.6794403842,0.7823711511,0.8837255688,1.1133592906,1.8355444813
11/1966,0.1825597535,0.3479651151,0.4224766913,0.4975896725,0.6108364056,0.6488314182,0.7263729115,0.8394750952,1.0628830369,1.7813810439
12/1966,0.1737703052,0.3533777472,0.4208688618,0.496134685,0.6189403022,0.6570539151,0.7464765788,0.8478988589,1.0733622049,1.8422902381
01/1967,0.1755021868,0.3550419546,0.4062827821,0.4880175888,0.6105831892,0.6377177881,0.7243912967,0.8445908209,1.0683319517,1.8136103369
02/1967,0.1732072838,0.3248204362,0.3809658733,0.4543180548,0.5875477902,0.581464668,0.6781479365,0.7769897712,0.958084657,1.5468366071
03/1967,0.1726625562,0.3269999724,0.3779598493,0.4562658378,0.596263504,0.5893905885,0.6784781359,0.7958645127,0.9583487288,1.5594313533
04/1967,0.1716701742,0.3133278283,0.3621312051,0.4446958264,0.5744823451,0.5724885764,0.6507009328,0.7600561398,0.9168959617,1.4748294106
05/1967,0.1924765023,0.2900797873,0.3530847461,0.4308186306,0.5665096,0.5613868541,0.6428996545,0.7314812494,0.8931824598,1.4280686691
06/1967,0.1653941291,0.3091524938,0.3659784873,0.4510311918,0.5903026316,0.5900969031,0.6754015472,0.7625999382,0.9273054227,1.4802978541
07/1967,0.1568348606,0.29428257,0.3992058132,0.4866450214,0.5606371159,0.6889110088,0.709761594,0.8130864812,1.0160553107,1.4944496907
08/1967,0.1542047227,0.2809212574,0.3774353297,0.4642755969,0.5292544242,0.6866149594,0.6663141363,0.764240541,0.9350690882,1.3875080898
09/1967,0.1551684573,0.2837574576,0.3830067842,0.475444681,0.5292163605,0.7014322091,0.684753255,0.7726256105,0.9260332919,1.366898761
10/1967,0.1482317268,0.2744601186,0.3716247476,0.472399786,0.5176909084,0.6756740646,0.675222623,0.7504003167,0.9013650651,1.3281109514
11/1967,0.1455516382,0.2872997787,0.3860259635,0.4939292288,0.5492075882,0.6893520493,0.718130439,0.7866218813,0.9472346301,1.4012219337
12/1967,0.1721947881,0.2860819381,0.3880145063,0.4893243559,0.5475355782,0.69490713,0.725563117,0.8006742872,0.9630714638,1.3963465178
