date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,100,100,100,100,100,100,100,99,100,100
08/1963,101,100,101,100,101,100,101,100,102,101
09/1963,101,101,101,101,101,101,101,101,102,101
10/1963,102,101,101,102,101,101,102,101,102,102
11/1963,101,101,101,101,101,101,101,101,102,101
12/1963,101,101,101,101,100,100,101,101,102,101
01/1964,101,100,100,100,101,102,100,101,102,101
02/1964,102,101,101,101,101,102,101,101,101,102
03/1964,102,101,101,101,101,103,101,101,102,102
04/1964,102,101,101,102,101,102,102,101,102,102
05/1964,102,102,101,102,101,103,102,101,103,102
06/1964,102,102,101,102,101,102,102,101,103,102
07/1964,102,102,102,102,102,102,102,102,102,102
08/1964,102,102,102,102,102,103,102,102,102,101
09/1964,102,102,103,102,102,103,102,102,103,102
10/1964,103,102,104,102,103,103,103,102,104,100
11/1964,103,103,104,103,102,104,103,103,104,102
12/1964,104,103,104,104,103,104,104,103,104,103
01/1965,104,103,104,104,103,104,104,103,104,103
02/1965,104,103,105,103,103,104,103,104,104,103
03/1965,104,103,104,104,103,105,103,102,103,103
04/1965,104,103,104,103,103,104,103,103,104,103
05/1965,103,103,104,103,104,104,103,103,104,103
06/1965,104,103,105,103,104,106,103,104,103,103
07/1965,104,103,105,103,106,104,104,103,105,102
08/1965,163,158,160,149,155,144,158,179,156,309
09/1965,163,163,155,155,153,141,163,174,161,307
10/1965,164,164,152,154,154,141,160,175,161,307
11/1965,164,164,153,148,157,136,166,179,150,308
12/1965,161,168,150,153,151,141,164,181,148,310
01/1966,161,167,148,154,149,148,162,179,152,299
02/1966,158,167,152,156,150,149,156,183,157,304
03/1966,161,166,151,156,149,147,161,175,164,302
04/1966,160,167,154,154,152,153,165,172,164,293
05/1966,159,175,145,156,149,153,173,167,165,295
06/1966,168,177,147,162,154,152,167,163,170,278
07/1966,166,175,151,164,155,147,169,161,168,282
08/1966,170,173,147,170,151,151,164,166,163,287
09/1966,173,167,160,168,162,146,156,171,162,280
10/1966,172,170,151,177,149,160,148,167,176,278
11/1966,174,159,165,167,161,140,155,176,170,284
12/1966,178,157,167,167,160,147,148,179,173,282
01/1967,177,157,168,166,159,150,145,183,171,279
02/1967,179,160,170,171,158,153,145,175,180,273
03/1967,180,162,172,168,159,150,148,175,175,280
04/1967,179,165,170,169,159,147,153,171,178,277
05/1967,180,164,170,168,160,148,161,165,181,277
06/1967,166,172,171,171,154,164,160,169,169,279
07/1967,162,178,167,174,153,183,170,153,186,244
08/1967,160,178,162,179,155,188,171,158,174,244
09/1967,164,173,165,173,153,196,163,161,179,238
10/1967,161,178,164,169,157,190,167,154,184,238
11/1967,160,176,166,168,167,181,175,150,179,238
12/1967,164,175,162,176,167,189,163,151,176,234
01/1968,162,173,168,168,173,180,168,143,180,234
02/1968,162,174,168,165,181,175,161,143,184,228
03/1968,164,172,172,175,176,178,160,146,181,220
04/1968,165,181,177,173,188,159,169,147,181,203
05/1968,170,178,172,173,188,168,159,148,186,200
06/1968,173,175,180,168,186,172,156,155,179,200
07/1968,167,182,171,171,190,170,157,158,169,198
08/1968,166,180,173,175,175,179,157,161,165,190
09/1968,168,181,171,183,170,178,160,159,167,187
10/1968,165,183,166,183,171,180,157,159,164,188
11/1968,163,180,170,183,172,170,163,162,166,182
12/1968,165,180,172,175,176,170,164,158,170,182
01/1969,162,180,177,169,183,166,159,159,165,188
02/1969,169,181,185,177,175,154,154,157,173,177
03/1969,171,182,190,173,176,156,154,153,172,176
04/1969,170,183,185,186,166,150,159,153,167,176
05/1969,174,180,189,179,168,153,161,153,164,177
06/1969,173,176,189,184,171,156,157,155,159,177
07/1969,173,183,193,188,173,150,149,153,164,176
08/1969,177,192,214,176,166,155,145,146,160,171
09/1969,182,186,216,178,164,159,148,149,155,174
10/1969,177,190,221,179,172,152,148,146,156,174
11/1969,181,194,223,174,173,155,146,141,156,176
12/1969,179,200,212,180,173,154,147,140,163,173
01/1970,182,198,222,185,157,160,143,139,160,173
02/1970,191,203,218,185,161,151,144,135,161,172
03/1970,185,208,221,187,161,150,145,141,157,173
04/1970,187,209,228,174,168,146,147,139,153,179
05/1970,183,213,227,186,160,145,148,141,159,168
06/1970,200,232,214,177,155,144,138,145,145,176
07/1970,210,226,211,184,150,145,140,141,142,181
08/1970,200,236,208,185,158,137,144,148,141,182
09/1970,192,238,214,184,156,140,144,147,141,184
10/1970,200,226,214,187,155,146,144,143,148,181
11/1970,205,225,214,188,158,142,147,143,149,181
12/1970,201,229,218,187,157,145,144,146,151,182
