date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,276,194,187,177,157,185,171,170,180,264
08/1963,268,185,170,179,154,165,186,186,201,270
09/1963,238,168,147,163,156,155,170,184,220,362
10/1963,299,196,176,173,176,174,161,171,190,247
11/1963,234,164,173,176,160,183,158,186,231,298
12/1963,233,180,157,185,159,158,166,182,203,346
01/1964,217,166,141,165,165,187,166,186,228,338
02/1964,296,222,189,174,168,159,192,160,178,236
03/1964,255,187,165,160,160,184,178,195,188,304
04/1964,229,163,155,187,149,188,184,198,231,298
05/1964,298,178,171,175,164,188,164,176,218,264
06/1964,239,179,169,178,180,170,170,193,223,297
07/1964,245,171,171,158,166,192,167,204,206,322
08/1964,268,192,187,189,165,167,194,186,192,271
09/1964,282,174,175,200,178,174,166,189,197,284
10/1964,259,173,174,166,184,179,195,179,199,310
11/1964,274,169,178,178,169,181,173,185,219,296
12/1964,236,203,191,184,163,167,201,190,202,287
01/1965,251,173,164,185,169,186,164,207,197,330
02/1965,324,203,182,165,161,169,175,188,194,268
03/1965,303,191,171,168,163,169,164,192,203,310
04/1965,332,192,194,173,157,168,171,175,192,280
05/1965,301,177,171,169,158,171,184,205,216,289
06/1965,269,205,193,172,191,165,156,182,194,319
07/1965,255,172,161,162,156,185,166,196,228,370
08/1965,250,196,198,182,159,170,188,206,225,286
09/1965,258,181,185,162,168,162,187,175,218,369
10/1965,229,177,176,188,183,170,177,198,214,346
11/1965,320,200,178,178,164,166,173,194,197,288
12/1965,296,196,211,177,165,171,171,178,236,263
01/1966,310,193,182,176,165,171,185,186,192,292
02/1966,334,229,186,189,171,181,168,178,187,244
03/1966,319,218,192,182,176,156,173,182,209,260
04/1966,315,196,190,180,180,164,184,183,195,276
05/1966,317,198,185,168,163,170,187,188,191,289
06/1966,235,187,160,163,182,164,174,197,243,360
07/1966,255,194,186,204,189,180,203,192,193,268
08/1966,237,184,190,178,176,182,202,221,215,295
09/1966,258,195,161,169,168,189,185,185,224,348
10/1966,249,215,186,194,184,179,189,202,191,297
11/1966,173,172,166,185,173,175,196,214,266,369
12/1966,253,207,196,186,193,163,203,190,214,285
01/1967,284,200,198,193,172,167,175,166,212,316
02/1967,371,231,189,182,175,163,168,173,184,251
03/1967,352,226,204,181,184,173,166,165,196,242
04/1967,295,222,182,168,180,162,175,190,218,294
05/1967,288,200,172,178,165,184,171,222,199,309
06/1967,298,198,206,190,190,170,190,180,205,257
07/1967,384,217,188,173,170,178,176,190,183,225
08/1967,317,202,193,176,177,172,173,175,225,268
09/1967,285,187,180,168,190,186,176,194,182,330
10/1967,367,221,181,169,173,156,181,174,188,268
11/1967,311,210,188,173,188,179,179,191,211,253
12/1967,253,194,189,182,184,182,194,171,195,339
01/1968,380,222,198,179,167,165,170,154,181,262
02/1968,387,202,190,188,178,171,175,171,191,216
03/1968,219,160,173,173,178,180,190,205,231,364
04/1968,202,189,175,172,175,190,200,192,222,363
05/1968,328,241,188,192,180,181,167,171,187,250
06/1968,399,212,203,185,187,169,163,163,192,215
07/1968,281,195,197,171,176,172,168,189,227,304
08/1968,259,223,194,173,187,184,181,184,219,265
09/1968,301,208,187,162,168,183,175,189,214,294
10/1968,308,199,195,175,165,175,183,177,217,288
11/1968,231,187,187,174,187,170,191,206,209,343
12/1968,283,192,182,182,166,169,184,219,216,299
01/1969,370,234,192,187,175,169,171,188,177,232
02/1969,324,215,194,184,183,166,190,184,214,241
03/1969,213,186,165,155,162,207,185,198,256,382
04/1969,268,190,192,174,177,184,192,215,236,286
05/1969,250,204,179,178,165,176,185,195,229,370
06/1969,335,202,183,205,178,176,177,205,221,257
07/1969,217,175,160,158,169,188,190,247,265,381
08/1969,221,210,181,163,173,191,203,211,260,347
09/1969,286,184,196,187,178,196,184,213,230,322
10/1969,255,196,199,166,164,177,209,232,225,360
11/1969,373,226,208,185,185,185,179,181,200,267
12/1969,256,192,168,173,181,180,203,217,244,383
01/1970,231,177,180,174,188,163,199,206,239,446
02/1970,401,231,233,177,187,183,186,189,193,232
03/1970,265,193,189,177,183,200,217,230,243,335
04/1970,228,201,195,184,201,188,188,230,256,370
05/1970,221,164,172,174,164,169,202,254,288,434
06/1970,325,215,209,191,195,199,198,199,214,302
07/1970,287,210,204,195,196,192,202,211,269,280
08/1970,237,183,194,193,173,192,199,229,278,374
09/1970,255,221,190,193,194,173,213,223,235,359
10/1970,420,263,226,215,184,177,166,177,206,230
11/1970,257,200,198,179,192,207,222,228,234,356
12/1970,206,176,156,158,177,185,206,218,278,521
01/1971,295,201,201,176,202,177,187,212,238,390
02/1971,476,275,211,180,187,172,198,179,192,217
03/1971,409,234,199,197,174,187,192,203,207,287
04/1971,299,228,185,209,176,206,209,209,216,353
05/1971,289,198,173,186,193,188,192,222,250,404
06/1971,267,204,191,190,186,190,202,239,285,348
07/1971,255,202,199,198,213,198,213,229,222,378
08/1971,266,228,206,199,200,200,209,251,234,325
09/1971,240,192,193,212,187,195,193,250,262,408
10/1971,342,229,195,211,191,196,191,216,248,326
11/1971,279,241,206,188,202,208,203,216,286,326
12/1971,251,187,186,190,208,202,223,239,294,390
01/1972,347,228,217,200,209,188,187,212,211,383
02/1972,512,304,235,201,185,168,180,205,186,218
03/1972,351,246,212,202,200,194,234,209,233,323
04/1972,332,210,197,205,178,211,218,241,257,365
05/1972,319,214,212,198,193,214,209,219,256,392
06/1972,270,206,202,190,196,217,231,250,287,382
07/1972,295,202,222,216,217,194,224,238,293,333
08/1972,298,202,208,216,224,224,238,234,268,331
09/1972,256,211,207,213,206,221,228,236,268,409
10/1972,296,229,211,188,221,209,220,241,295,356
11/1972,285,220,202,220,219,222,204,237,279,387
12/1972,258,228,215,206,194,224,216,233,289,429
01/1973,287,479,606,713,784,1016,415,319,311,391
02/1973,1192,565,506,423,373,377,426,414,419,650
03/1973,849,494,439,373,399,443,411,481,572,878
04/1973,723,480,424,442,413,443,402,481,519,963
05/1973,793,592,383,420,370,455,458,512,500,773
06/1973,571,422,418,429,389,385,478,513,652,938
07/1973,658,478,398,395,411,459,454,467,559,870
08/1973,671,500,404,410,370,330,351,395,676,1011
09/1973,626,400,443,448,373,416,441,511,465,951
10/1973,601,390,376,316,342,336,365,424,576,1301
11/1973,779,522,438,420,398,429,408,493,471,670
12/1973,770,531,375,349,414,375,392,433,524,778
01/1974,480,333,347,367,350,434,470,493,583,997
02/1974,773,593,434,513,418,380,413,391,403,518
03/1974,674,417,424,362,425,377,427,434,538,737
04/1974,929,491,461,424,365,366,384,412,416,563
05/1974,745,482,437,439,370,363,359,411,494,699
