date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,1,,,,,,,,,
08/1963,1,,,,,,,,,
09/1963,1,,,,,,,,,
10/1963,1,,,,,,,,,
11/1963,1,,,,,,,,,
12/1963,1,,,,,,,,,
01/1964,1,,,,,,,,,
02/1964,1,,,,,,,,,
03/1964,1,,,,,,,,,
04/1964,1,,,,,,,,,
05/1964,1,,,,,,,,,
06/1964,1,,,,,,,,,
07/1964,1,,,,,1,,,,
08/1964,1,,,,,1,,,,
09/1964,1,,,,,1,,,,
10/1964,1,,,,,1,,,,
11/1964,1,,,,,1,,,,
12/1964,1,,,,,1,,,,
01/1965,1,,,,,1,,,,
02/1965,1,,,,,1,,,,
03/1965,1,,,,,1,,,,
04/1965,1,,,,,1,,,,
05/1965,1,,,,,1,,,,
06/1965,1,,,,,1,,,,
07/1965,1,,,1,,,1,,,
08/1965,1,,,1,,,1,,,
09/1965,1,,,1,,,1,,,
10/1965,1,,,1,,,1,,,
11/1965,1,,,1,,,1,,,
12/1965,1,,,1,,,1,,,
01/1966,1,,,1,,,1,,,
02/1966,1,,,1,,,1,,,
03/1966,1,,,1,,,1,,,
04/1966,1,,,1,,,1,,,
05/1966,1,,,1,,,1,,,
06/1966,1,,,1,,,1,,,
07/1966,1,,1,,,1,,1,,
08/1966,1,,1,,,1,,1,,
09/1966,1,,1,,,1,,1,,
10/1966,1,,1,,,1,,1,,
11/1966,1,,1,,,1,,1,,
12/1966,1,,1,,,1,,1,,
01/1967,1,,1,,,1,,1,,
02/1967,1,,1,,,1,,1,,
03/1967,1,,1,,,1,,1,,
04/1967,1,,1,,,1,,1,,
05/1967,1,,1,,,1,,1,,
06/1967,1,,1,,,1,,1,,
07/1967,1,,1,,,1,,1,,
08/1967,1,,1,,,1,,1,,
09/1967,1,,1,,,1,,1,,
10/1967,1,,1,,,1,,1,,
11/1967,1,,1,,,1,,1,,
12/1967,1,,1,,,1,,1,,
01/1968,1,,1,,,1,,1,,
02/1968,1,,1,,,1,,1,,
03/1968,1,,1,,,1,,1,,
04/1968,1,,1,,,1,,1,,
05/1968,1,,1,,,1,,1,,
06/1968,1,,1,,,1,,1,,
07/1968,1,,1,,,1,,1,,
08/1968,1,,1,,,1,,1,,
09/1968,1,,1,,,1,,1,,
10/1968,1,,1,,,1,,1,,
11/1968,1,,1,,,1,,1,,
12/1968,1,,1,,,1,,1,,
01/1969,1,,1,,,1,,1,,
02/1969,1,,1,,,1,,1,,
03/1969,1,,1,,,1,,1,,
04/1969,1,,1,,,1,,1,,
05/1969,1,,1,,,1,,1,,
06/1969,1,,1,,,1,,1,,
07/1969,1,,1,,,1,,1,,
08/1969,1,,1,,,1,,1,,
09/1969,1,,1,,,1,,1,,
10/1969,1,,1,,,1,,1,,
11/1969,1,,1,,,1,,1,,
12/1969,1,,1,,,1,,1,,
01/1970,1,,1,,,1,,1,,
02/1970,1,,1,,,1,,1,,
03/1970,1,,1,,,1,,1,,
04/1970,1,,1,,,1,,1,,
05/1970,1,,1,,,1,,1,,
06/1970,1,,1,,,1,,1,,
07/1970,1,,1,,,1,,1,,
08/1970,1,,1,,,1,,1,,
09/1970,1,,1,,,1,,1,,
10/1970,1,,1,,,1,,1,,
11/1970,1,,1,,,1,,1,,
12/1970,1,,1,,,1,,1,,
01/1971,1,,1,,,1,,1,,
02/1971,1,,1,,,1,,1,,
03/1971,1,,1,,,1,,1,,
04/1971,1,,1,,,1,,1,,
05/1971,1,,1,,,1,,1,,
06/1971,1,,1,,,1,,1,,
07/1971,1,,1,,,1,,1,,
08/1971,1,,1,,,1,,1,,
09/1971,1,,1,,,1,,1,,
10/1971,1,,1,,,1,,1,,
11/1971,1,,1,,,1,,1,,
12/1971,1,,1,,,1,,1,,
01/1972,1,,1,,,1,,1,,
02/1972,1,,1,,,1,,1,,
03/1972,1,,1,,,1,,1,,
04/1972,1,,1,,,1,,1,,
05/1972,1,,1,,,1,,1,,
06/1972,1,,1,,,1,,1,,
07/1972,1,,1,,,1,,1,,
08/1972,1,,1,,,1,,1,,
09/1972,1,,1,,,1,,1,,
10/1972,1,,1,,,1,,1,,
11/1972,1,,1,,,1,,1,,
12/1972,1,,1,,,1,,1,,
01/1973,1,,1,,,1,,1,,
02/1973,1,,1,,,1,,1,,
03/1973,1,,1,,,1,,1,,
04/1973,1,,1,,,1,,1,,
05/1973,1,,1,,,1,,1,,
06/1973,1,,1,,,1,,1,,
07/1973,1,1,,1,,1,1,,1,
08/1973,1,1,,1,,1,1,,1,
09/1973,1,1,,1,,1,1,,1,
10/1973,1,1,,1,,1,1,,1,
11/1973,1,1,,1,,1,1,,1,
12/1973,1,1,,1,,1,1,,1,
01/1974,1,1,,1,,1,1,,1,
02/1974,1,1,,1,,1,1,,1,
03/1974,1,1,,1,,1,1,,1,
04/1974,1,1,,1,,1,1,,1,
05/1974,1,1,,1,,1,1,,1,
06/1974,1,1,,1,,1,1,,1,
07/1974,2,1,1,1,1,1,1,1,1,1
08/1974,2,1,1,1,1,1,1,1,1,1
09/1974,2,1,1,1,1,1,1,1,1,1
10/1974,2,1,1,1,1,1,1,1,1,1
11/1974,2,1,1,1,1,1,1,1,1,1
12/1974,2,1,1,1,1,1,1,1,1,1
01/1975,2,1,1,1,1,1,1,1,1,1
02/1975,2,1,1,1,1,1,1,1,1,1
03/1975,2,1,1,1,1,1,1,1,1,1
04/1975,2,1,1,1,1,1,1,1,1,1
05/1975,2,1,1,1,1,1,1,1,1,1
06/1975,2,1,1,1,1,1,1,1,1,1
07/1975,2,1,1,2,1,1,2,1,1,1
08/1975,2,1,1,2,1,1,2,1,1,1
09/1975,2,1,1,2,1,1,2,1,1,1
10/1975,2,1,1,2,1,1,2,1,1,1
11/1975,2,1,1,2,1,1,2,1,1,1
12/1975,2,1,1,2,1,1,2,1,1,1
01/1976,2,1,1,2,1,1,2,1,1,1
02/1976,2,1,1,2,1,1,2,1,1,1
03/1976,2,1,1,2,1,1,2,1,1,1
04/1976,2,1,1,2,1,1,2,1,1,1
05/1976,2,1,1,2,1,1,2,1,1,1
06/1976,2,1,1,2,1,1,2,1,1,1
07/1976,2,1,1,2,1,1,2,1,1,1
08/1976,2,1,1,2,1,1,2,1,1,1
09/1976,2,1,1,2,1,1,2,1,1,1
10/1976,2,1,1,2,1,1,2,1,1,1
11/1976,2,1,1,2,1,1,2,1,1,1
12/1976,2,1,1,2,1,1,2,1,1,1
01/1977,2,1,1,2,1,1,2,1,1,1
02/1977,2,1,1,2,1,1,2,1,1,1
03/1977,2,1,1,2,1,1,2,1,1,1
04/1977,2,1,1,2,1,1,2,1,1,1
05/1977,2,1,1,2,1,1,2,1,1,1
06/1977,2,1,1,2,1,1,2,1,1,1
07/1977,2,1,2,1,2,1,2,1,2,1
08/1977,2,1,2,1,2,1,2,1,2,1
09/1977,2,1,2,1,2,1,2,1,2,1
10/1977,2,1,2,1,2,1,2,1,2,1
11/1977,2,1,2,1,2,1,2,1,2,1
12/1977,2,1,2,1,2,1,2,1,2,1
01/1978,2,1,2,1,2,1,2,1,2,1
02/1978,2,1,2,1,2,1,2,1,2,1
03/1978,2,1,2,1,2,1,2,1,2,1
04/1978,2,1,2,1,2,1,2,1,2,1
05/1978,2,1,2,1,2,1,2,1,2,1
06/1978,2,1,2,1,2,1,2,1,2,1
07/1978,2,2,2,1,2,2,1,2,2,1
08/1978,2,2,2,1,2,2,1,2,2,1
09/1978,2,2,2,1,2,2,1,2,2,1
10/1978,2,2,2,1,2,2,1,2,2,1
11/1978,2,2,2,1,2,2,1,2,2,1
12/1978,2,2,2,1,2,2,1,2,2,1
01/1979,2,2,2,1,2,2,1,2,2,1
02/1979,2,2,2,1,2,2,1,2,2,1
03/1979,2,2,2,1,2,2,1,2,2,1
04/1979,2,2,2,1,2,2,1,2,2,1
05/1979,2,2,2,1,2,2,1,2,2,1
06/1979,2,2,2,1,2,2,1,2,2,1
07/1979,2,2,2,2,2,2,2,2,2,2
08/1979,2,2,2,2,2,2,2,2,2,2
09/1979,2,2,2,2,2,2,2,2,2,2
10/1979,2,2,2,2,2,2,2,2,2,2
11/1979,2,2,2,2,2,2,2,2,2,2
12/1979,2,2,2,2,2,2,2,2,2,2
01/1980,2,2,2,2,2,2,2,2,2,2
02/1980,2,2,2,2,2,2,2,2,2,2
03/1980,2,2,2,2,2,2,2,2,2,2
04/1980,2,2,2,2,2,2,2,2,2,2
05/1980,2,2,2,2,2,2,2,2,2,2
06/1980,2,2,2,2,2,2,2,2,2,2
07/1980,3,2,3,2,2,3,2,3,2,2
08/1980,3,2,3,2,2,3,2,3,2,2
09/1980,3,2,3,2,2,3,2,3,2,2
10/1980,3,2,3,2,2,3,2,3,2,2
11/1980,3,2,3,2,2,3,2,3,2,2
12/1980,3,2,3,2,2,3,2,3,2,2
01/1981,3,2,3,2,2,3,2,3,2,2
02/1981,3,2,3,2,2,3,2,3,2,2
03/1981,3,2,3,2,2,3,2,3,2,2
04/1981,3,2,3,2,2,3,2,3,2,2
05/1981,3,2,3,2,2,3,2,3,2,2
06/1981,3,2,3,2,2,3,2,3,2,2
07/1981,4,3,3,3,3,3,3,3,3,3
08/1981,4,3,3,3,3,3,3,3,3,3
09/1981,4,3,3,3,3,3,3,3,3,3
10/1981,4,3,3,3,3,3,3,2,3,3
11/1981,4,3,3,3,3,3,3,2,3,3
12/1981,4,3,3,3,3,3,3,2,3,3
01/1982,4,3,3,3,3,3,3,2,3,3
02/1982,4,3,3,3,3,3,3,2,3,3
03/1982,4,3,3,3,3,3,3,2,3,3
04/1982,4,3,3,3,3,3,3,2,3,3
05/1982,4,3,3,3,3,3,3,2,3,3
06/1982,4,3,3,3,3,3,3,2,3,3
07/1982,4,3,4,3,4,3,4,3,4,3
08/1982,4,2,4,3,4,3,4,3,4,3
09/1982,4,3,4,3,4,3,4,3,4,3
10/1982,4,3,4,3,4,3,4,3,4,3
11/1982,4,3,4,3,4,3,4,3,4,3
12/1982,4,3,4,3,4,3,4,3,4,3
01/1983,4,3,4,3,4,3,4,3,4,3
02/1983,4,3,4,3,4,3,4,3,4,3
03/1983,4,3,4,3,4,3,4,3,4,3
04/1983,4,3,4,3,4,3,4,3,4,3
05/1983,4,3,4,3,4,3,4,3,4,3
06/1983,4,3,4,3,4,3,4,3,4,3
07/1983,4,3,4,3,4,3,4,3,4,3
08/1983,4,3,4,3,4,3,4,3,4,3
09/1983,4,3,4,3,4,3,4,3,4,3
10/1983,4,3,4,3,4,3,4,3,4,3
11/1983,4,3,4,3,4,3,4,3,4,3
12/1983,4,3,4,3,4,3,4,3,4,3
01/1984,4,3,4,3,4,3,4,3,4,3
02/1984,4,3,4,3,4,3,4,3,4,3
03/1984,4,3,4,3,4,3,4,2,4,3
04/1984,4,3,4,3,4,3,4,2,4,3
05/1984,4,3,4,3,4,3,4,2,4,3
06/1984,4,3,4,3,4,3,4,2,4,3
07/1984,4,3,4,3,4,3,4,3,4,3
08/1984,4,3,4,3,4,3,4,3,4,3
09/1984,4,3,4,3,4,3,4,3,4,3
10/1984,4,3,4,3,4,3,4,3,4,3
11/1984,4,3,4,3,4,3,4,3,4,3
12/1984,4,3,4,3,4,3,4,3,4,3
01/1985,4,3,4,3,4,3,4,3,4,3
02/1985,4,3,4,3,4,3,4,3,4,3
03/1985,4,3,4,3,4,3,4,3,4,3
04/1985,4,3,4,3,4,3,4,3,4,3
05/1985,4,3,4,3,4,3,4,3,4,3
06/1985,4,3,4,3,4,3,4,3,4,3
07/1985,4,4,4,4,3,4,4,4,4,3
08/1985,4,4,4,4,3,4,4,4,4,3
09/1985,4,4,4,4,3,4,4,4,4,3
10/1985,4,4,4,4,3,4,4,4,4,3
11/1985,4,4,4,4,3,4,4,4,4,3
12/1985,4,4,4,4,3,4,4,4,4,3
01/1986,4,4,4,4,3,4,4,4,4,3
02/1986,4,4,4,4,3,4,4,4,4,3
03/1986,4,4,4,4,3,4,4,4,4,3
04/1986,4,4,4,4,3,4,4,4,4,3
05/1986,4,4,4,4,3,4,4,4,4,3
06/1986,4,4,4,4,3,4,4,4,4,3
07/1986,4,4,4,4,4,4,4,4,4,4
08/1986,4,4,4,4,4,4,4,4,4,4
09/1986,4,4,4,4,4,4,4,4,4,4
10/1986,4,4,4,4,4,4,4,4,4,4
11/1986,4,4,4,4,4,4,4,4,4,4
12/1986,4,4,4,4,3,4,4,4,4,4
01/1987,4,4,4,4,3,4,4,4,4,4
02/1987,4,4,4,4,3,4,4,4,4,4
03/1987,4,4,4,4,3,4,4,4,4,4
04/1987,4,4,4,4,3,4,4,4,4,4
05/1987,4,4,4,4,3,4,4,4,4,4
06/1987,4,4,4,4,3,4,4,4,4,4
07/1987,4,3,4,3,3,4,3,4,3,3
08/1987,4,3,4,3,3,4,3,4,3,3
09/1987,4,3,4,3,3,4,3,4,3,3
10/1987,4,3,4,3,3,4,3,4,3,3
11/1987,4,3,4,3,3,4,3,4,3,3
12/1987,4,3,4,3,3,4,3,4,3,3
01/1988,4,3,4,3,3,4,3,4,3,3
02/1988,4,3,4,3,3,4,3,4,3,3
03/1988,4,3,4,3,3,4,3,4,3,3
04/1988,4,3,4,3,3,4,3,4,3,3
05/1988,4,3,4,3,3,4,3,4,3,3
06/1988,4,3,4,3,3,4,3,4,3,3
07/1988,5,4,4,4,4,5,4,4,4,4
08/1988,4,4,4,4,4,5,4,4,4,4
09/1988,4,4,4,4,4,5,4,4,4,4
10/1988,4,4,4,4,4,5,4,4,4,4
11/1988,4,4,4,4,4,5,4,4,4,4
12/1988,4,4,4,4,4,5,4,4,4,4
01/1989,4,4,4,4,4,5,4,4,4,4
02/1989,4,4,4,4,4,5,4,4,4,4
03/1989,4,4,4,4,4,5,4,4,4,4
04/1989,4,4,4,4,4,5,4,4,4,4
05/1989,4,4,4,4,4,5,4,3,4,4
06/1989,4,4,4,4,4,5,4,3,4,4
07/1989,5,5,5,5,4,5,5,5,5,4
08/1989,5,5,5,5,4,5,5,5,5,4
09/1989,5,5,5,5,4,5,5,5,5,4
10/1989,5,5,5,5,4,5,5,5,5,4
11/1989,5,5,5,5,4,5,5,5,5,4
12/1989,5,5,5,5,4,5,5,5,5,4
01/1990,5,5,5,5,4,5,5,5,5,4
02/1990,5,5,5,5,4,5,5,5,5,4
03/1990,5,5,5,5,4,5,5,5,5,4
04/1990,5,5,5,5,4,5,5,5,5,4
05/1990,5,5,5,5,4,5,5,5,5,4
06/1990,5,5,5,5,4,5,5,5,5,4
07/1990,6,6,6,6,6,6,6,6,6,5
08/1990,6,6,6,6,6,6,6,6,6,5
09/1990,6,6,6,6,6,6,6,6,6,5
10/1990,6,6,6,6,6,6,6,6,6,5
11/1990,6,6,6,6,6,6,6,6,6,5
12/1990,6,6,6,6,6,6,6,6,6,5
01/1991,6,6,6,6,6,6,6,6,6,5
02/1991,6,6,6,6,6,6,6,6,6,5
03/1991,6,6,6,6,6,6,6,6,6,5
04/1991,6,6,6,6,6,6,6,6,6,5
