date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,83,94,93,86,84,80,93,85,85,96
08/1963,83,94,93,86,84,80,93,86,85,96
09/1963,83,94,93,86,84,80,93,86,85,96
10/1963,83,94,93,86,84,80,93,86,85,96
11/1963,83,93,93,86,83,80,93,86,85,96
12/1963,83,93,93,86,84,80,92,86,85,96
01/1964,82,93,93,86,84,79,93,86,85,96
02/1964,83,94,93,86,84,80,92,86,85,96
03/1964,83,94,93,86,84,80,91,86,85,96
04/1964,83,94,93,86,84,80,91,86,85,96
05/1964,83,94,93,86,84,80,93,86,85,96
06/1964,83,94,93,86,84,80,93,86,85,95
07/1964,93,105,107,92,96,91,96,99,116,116
08/1964,93,105,107,92,95,91,96,101,116,116
09/1964,93,105,107,92,96,91,96,101,116,116
10/1964,93,105,107,92,96,90,96,101,116,115
11/1964,93,105,107,92,96,91,96,101,116,116
12/1964,93,105,107,92,96,91,96,101,116,116
01/1965,93,105,107,92,96,91,96,101,116,116
02/1965,93,105,107,92,96,91,96,101,116,115
03/1965,93,105,107,92,96,90,96,101,116,115
04/1965,93,105,107,92,96,91,96,101,116,115
05/1965,93,105,107,92,96,91,96,101,116,115
06/1965,93,105,107,92,96,91,96,101,116,115
07/1965,102,110,113,114,99,106,107,107,121,143
08/1965,102,110,113,114,99,106,107,107,121,143
09/1965,102,110,113,114,99,106,107,107,121,143
10/1965,102,110,113,114,99,106,107,106,121,143
11/1965,102,110,113,114,99,106,107,106,121,143
12/1965,102,110,113,113,99,106,107,105,121,143
01/1966,101,109,113,113,98,105,107,105,121,142
02/1966,102,109,113,114,99,106,107,106,121,143
03/1966,102,110,113,114,99,106,107,106,121,143
04/1966,102,110,113,114,99,106,107,107,121,142
05/1966,102,109,112,114,99,106,107,105,121,142
06/1966,102,110,112,114,99,106,107,107,121,142
07/1966,128,120,119,131,115,115,111,119,128,156
08/1966,128,120,119,131,116,115,111,119,128,156
09/1966,128,120,119,131,116,115,111,119,128,156
10/1966,128,120,119,131,116,115,111,119,128,155
11/1966,128,120,119,131,116,115,111,119,128,155
12/1966,128,120,119,131,116,115,111,119,128,155
01/1967,128,120,119,131,116,115,111,119,128,155
02/1967,128,120,119,130,116,115,111,119,128,155
03/1967,128,120,119,131,116,115,111,119,128,155
04/1967,128,120,119,131,116,115,111,119,128,155
05/1967,128,120,119,131,116,115,111,118,128,155
06/1967,128,120,119,131,116,115,110,118,128,155
07/1967,164,152,144,128,140,128,150,145,165,194
08/1967,164,153,144,128,140,126,150,145,165,194
09/1967,164,152,144,128,140,126,149,145,164,194
10/1967,164,152,144,128,140,126,149,145,165,194
11/1967,164,152,144,128,140,127,149,145,165,192
12/1967,164,152,144,128,139,127,149,145,165,191
01/1968,164,152,144,128,139,127,149,145,165,192
02/1968,164,151,144,128,139,125,148,144,165,192
03/1968,164,151,144,128,139,125,148,145,165,192
04/1968,164,150,144,128,139,125,148,145,164,192
05/1968,164,150,144,128,139,125,148,145,164,191
06/1968,164,150,143,127,139,125,148,145,163,191
07/1968,220,186,171,159,157,142,132,138,126,168
08/1968,219,186,171,158,157,141,132,137,126,167
09/1968,219,186,171,158,157,141,132,137,126,167
10/1968,219,185,171,157,156,141,132,137,126,167
11/1968,219,185,171,158,155,141,132,137,125,167
12/1968,219,186,171,158,156,140,132,137,125,167
01/1969,219,186,171,158,156,140,132,136,125,167
02/1969,219,186,170,158,156,140,132,136,122,167
03/1969,219,186,170,158,156,140,132,136,122,167
04/1969,219,186,170,157,156,140,132,135,122,165
05/1969,219,186,170,157,156,139,132,135,123,164
06/1969,219,186,169,158,156,139,132,135,123,165
07/1969,266,226,181,168,161,162,143,148,135,148
08/1969,266,226,181,168,161,161,142,148,135,147
09/1969,266,226,180,168,161,160,142,148,135,148
10/1969,266,226,180,167,161,159,142,148,135,148
11/1969,265,225,180,167,161,160,143,148,135,148
12/1969,265,226,180,167,161,160,143,148,135,148
01/1970,266,226,180,167,161,160,143,148,135,148
02/1970,263,226,180,166,161,160,143,148,135,148
03/1970,266,226,179,167,161,160,143,148,135,148
04/1970,264,226,180,167,161,160,142,148,135,147
05/1970,263,226,180,167,161,160,142,148,135,147
06/1970,262,225,179,166,161,159,141,148,135,147
07/1970,221,201,220,199,179,177,173,174,171,173
08/1970,221,201,216,199,179,177,173,175,171,173
09/1970,221,201,216,199,179,176,171,175,171,172
10/1970,220,201,215,198,179,176,171,174,171,172
11/1970,220,201,215,198,179,176,171,174,169,171
12/1970,220,201,214,197,179,176,170,174,167,171
01/1971,220,200,213,196,179,176,169,174,166,171
02/1971,219,200,212,196,178,176,169,174,166,170
03/1971,218,199,211,196,178,176,169,174,166,168
04/1971,218,196,210,196,178,176,169,174,166,168
05/1971,216,197,209,196,176,176,167,173,164,168
06/1971,215,196,209,194,175,175,166,172,164,168
07/1971,190,204,196,191,201,190,172,184,207,214
08/1971,190,203,196,190,200,190,172,184,206,214
09/1971,190,203,196,190,200,190,172,184,206,213
10/1971,190,203,196,190,200,190,172,184,206,213
11/1971,190,203,196,190,200,190,172,184,206,213
12/1971,190,203,196,190,199,187,172,184,206,213
01/1972,189,203,196,189,199,187,172,182,206,212
02/1972,189,202,196,189,199,187,172,181,206,211
03/1972,189,201,196,189,199,187,172,181,203,211
04/1972,188,201,196,189,199,187,172,181,202,211
05/1972,187,202,195,189,199,187,172,181,203,209
06/1972,186,202,195,188,198,187,172,181,203,209
07/1972,187,215,210,208,215,225,199,181,215,206
08/1972,186,215,210,208,215,226,197,181,215,205
09/1972,186,213,210,208,215,224,198,180,214,203
10/1972,186,212,210,208,215,224,197,180,214,201
11/1972,186,212,209,207,215,224,197,179,214,202
12/1972,186,212,210,207,215,223,197,179,214,202
01/1973,185,213,210,205,215,222,197,179,213,202
02/1973,185,213,210,205,215,221,197,179,213,202
03/1973,185,212,209,203,215,221,197,178,213,202
04/1973,186,212,209,203,212,221,196,178,213,200
05/1973,186,211,209,203,212,221,196,178,212,200
06/1973,184,210,209,202,210,221,196,177,211,198
07/1973,271,328,275,266,279,289,238,250,309,323
08/1973,272,328,275,266,277,289,237,249,308,321
09/1973,270,327,274,264,278,289,237,248,308,320
10/1973,270,327,271,264,278,286,238,248,307,320
11/1973,270,327,272,263,278,287,238,246,307,320
12/1973,270,325,271,263,277,287,238,246,304,319
01/1974,268,327,271,263,277,287,238,245,303,319
02/1974,268,326,271,262,275,285,237,243,300,318
03/1974,268,322,270,259,275,284,237,244,299,316
04/1974,268,322,269,261,275,284,237,244,298,314
05/1974,268,320,268,261,275,284,235,243,296,313
06/1974,269,320,268,260,275,284,233,242,296,310
07/1974,352,355,368,327,323,299,304,319,365,439
08/1974,352,353,366,324,322,300,304,320,366,437
09/1974,352,351,367,323,319,298,305,318,360,431
10/1974,349,352,363,325,320,295,301,313,361,429
11/1974,349,350,363,321,317,295,299,314,359,427
12/1974,349,349,363,321,316,296,298,314,358,421
01/1975,350,348,361,315,319,292,299,315,360,419
02/1975,350,346,359,315,319,293,299,314,358,417
03/1975,347,346,360,315,320,293,298,313,358,420
04/1975,348,347,360,316,319,293,299,313,355,419
05/1975,348,348,360,316,318,295,298,313,354,419
06/1975,348,348,357,314,316,292,298,311,353,419
07/1975,322,409,386,331,358,323,351,344,377,479
08/1975,321,408,383,330,358,322,350,346,375,476
09/1975,321,408,385,330,357,321,352,346,376,480
10/1975,319,407,384,331,356,319,351,347,375,476
11/1975,319,404,383,330,356,319,352,346,376,478
12/1975,318,404,383,331,353,318,349,344,373,474
01/1976,316,401,381,331,353,319,351,342,373,471
02/1976,316,394,378,320,348,311,344,334,369,453
03/1976,316,397,379,328,354,318,349,341,374,469
04/1976,316,392,373,320,353,317,346,337,364,460
05/1976,315,394,379,322,353,316,347,337,370,462
06/1976,315,394,378,324,351,316,347,335,369,464
07/1976,353,372,385,365,342,340,313,354,416,479
08/1976,353,370,384,365,343,338,311,355,417,478
09/1976,351,360,362,340,322,319,285,323,375,437
10/1976,353,369,380,361,342,339,309,352,415,475
11/1976,353,366,377,359,342,335,306,348,411,466
12/1976,353,368,377,360,340,337,310,351,414,468
01/1977,350,365,375,360,340,336,310,351,413,466
02/1977,347,358,368,358,339,333,306,343,405,461
03/1977,347,359,370,359,340,336,308,348,410,463
04/1977,347,357,369,359,339,335,305,346,407,463
05/1977,345,357,369,359,336,335,303,347,410,461
06/1977,342,356,365,358,336,333,302,348,409,461
07/1977,378,350,331,334,348,310,371,349,454,519
08/1977,375,347,330,334,347,309,369,347,453,515
09/1977,373,345,329,330,347,306,370,346,452,512
10/1977,373,344,326,328,346,305,367,342,450,510
11/1977,372,342,325,327,344,303,365,340,451,509
12/1977,370,338,324,329,344,303,367,340,447,507
01/1978,369,336,324,329,343,300,364,338,447,501
02/1978,367,335,321,325,341,293,362,337,444,498
03/1978,367,335,321,324,339,293,362,336,442,496
04/1978,367,334,321,323,337,291,361,333,438,494
05/1978,366,333,317,323,337,290,361,334,434,495
06/1978,361,327,316,323,334,287,359,333,433,495
07/1978,464,338,320,324,336,297,326,308,453,487
08/1978,462,337,320,323,332,294,326,306,453,486
09/1978,459,335,316,319,329,292,323,306,450,484
10/1978,457,334,313,319,329,289,325,304,444,483
11/1978,456,332,312,318,329,288,325,304,445,476
12/1978,454,329,310,317,328,287,325,303,441,476
01/1979,452,329,310,316,327,286,323,301,439,471
02/1979,450,329,305,311,322,285,322,299,441,467
03/1979,448,329,305,307,322,281,318,300,435,466
04/1979,447,328,304,306,318,281,319,300,433,464
05/1979,445,326,301,304,318,281,319,297,431,463
06/1979,444,325,298,299,315,277,319,296,430,461
07/1979,501,378,329,330,334,331,284,321,402,455
08/1979,500,375,325,329,331,327,281,319,402,455
09/1979,500,375,321,328,330,324,281,316,398,453
10/1979,496,373,319,328,328,322,278,314,399,450
11/1979,495,373,319,326,328,321,278,313,396,450
12/1979,492,370,318,325,327,322,278,314,394,449
01/1980,491,365,315,324,326,321,277,308,392,447
02/1980,489,358,312,320,324,318,275,306,388,442
03/1980,486,357,312,320,322,316,275,302,386,442
04/1980,486,357,308,317,317,313,274,301,381,439
05/1980,483,355,306,318,319,313,274,299,378,436
06/1980,480,353,304,318,319,313,271,299,375,439
07/1980,608,384,327,322,336,347,338,275,383,452
08/1980,606,383,326,322,337,346,336,275,382,449
09/1980,602,380,324,321,331,345,337,275,382,444
10/1980,594,376,323,319,327,343,336,271,378,442
11/1980,597,375,322,319,327,341,337,273,375,437
12/1980,593,375,318,314,324,338,334,272,373,436
01/1981,593,374,317,315,324,335,333,270,373,433
02/1981,589,374,316,314,323,334,329,266,371,431
03/1981,583,371,315,313,321,331,329,263,367,426
04/1981,579,370,312,313,317,327,328,263,366,425
05/1981,575,368,310,313,316,322,328,262,364,424
06/1981,576,368,307,310,315,321,326,261,364,420
07/1981,780,358,350,311,302,353,324,304,322,438
08/1981,780,356,349,308,300,351,325,303,321,436
09/1981,776,355,344,305,299,349,323,301,318,437
10/1981,771,353,341,302,294,346,322,300,311,431
11/1981,770,354,341,302,297,345,318,297,312,430
12/1981,766,352,339,300,294,345,318,299,312,429
01/1982,761,349,336,298,294,342,313,297,307,426
02/1982,761,349,335,297,293,339,310,298,304,426
03/1982,761,348,331,295,291,338,308,297,302,425
04/1982,756,345,329,294,289,337,303,295,299,418
05/1982,752,344,327,293,289,336,304,292,298,413
06/1982,751,344,326,291,286,333,302,291,296,410
07/1982,901,399,420,324,339,313,307,281,372,410
08/1982,894,395,420,318,340,313,301,281,370,408
09/1982,891,393,417,319,340,311,301,281,370,404
10/1982,887,390,411,318,339,308,300,278,366,401
11/1982,879,384,410,316,337,307,297,273,364,398
12/1982,870,386,410,315,334,306,301,273,363,396
01/1983,865,384,408,310,333,305,301,272,359,395
02/1983,855,382,403,307,332,303,298,269,355,393
03/1983,852,380,400,306,331,301,297,270,355,392
04/1983,850,378,397,305,331,300,296,270,351,389
05/1983,844,375,396,302,330,299,295,270,349,382
06/1983,839,372,398,304,328,298,292,271,344,381
07/1983,860,430,425,401,343,343,295,282,394,412
08/1983,859,426,423,396,342,341,294,283,396,408
09/1983,858,423,419,394,338,339,293,278,395,401
10/1983,855,417,418,392,334,339,291,277,392,400
11/1983,853,417,415,388,333,339,288,277,391,396
12/1983,850,416,414,386,332,340,287,275,389,394
01/1984,850,411,410,382,331,337,286,272,385,390
02/1984,845,409,406,380,331,334,284,270,379,386
03/1984,842,406,404,379,326,331,281,267,374,382
04/1984,840,402,404,374,325,330,281,268,371,378
05/1984,840,402,400,370,327,329,279,267,369,376
06/1984,835,402,396,367,324,329,276,264,367,373
07/1984,1041,533,444,384,368,326,328,277,321,415
08/1984,1040,530,443,380,368,325,325,276,318,412
09/1984,1037,526,440,378,363,323,324,275,313,407
10/1984,1028,525,434,378,356,320,317,274,309,400
11/1984,1019,524,431,373,352,317,315,273,305,398
12/1984,1010,511,429,371,346,315,310,271,301,395
01/1985,1008,504,425,368,342,314,309,268,299,393
02/1985,997,502,421,365,341,309,305,265,298,388
03/1985,991,499,416,364,340,307,300,265,297,386
04/1985,983,495,413,362,338,305,301,264,291,385
05/1985,979,493,409,360,336,303,299,264,289,383
06/1985,970,490,407,357,335,300,294,257,285,380
07/1985,954,571,462,416,395,339,373,281,401,395
08/1985,947,569,460,412,391,337,371,280,399,394
09/1985,937,563,459,410,387,334,368,276,393,390
10/1985,930,561,456,403,385,332,365,272,387,384
11/1985,921,556,454,401,379,332,362,268,384,384
12/1985,912,552,449,398,375,328,361,268,381,380
01/1986,902,547,445,396,367,326,358,265,378,374
02/1986,896,543,441,394,366,324,355,264,376,371
03/1986,893,539,440,390,362,320,353,263,372,368
04/1986,882,537,436,389,357,318,351,261,371,361
05/1986,878,533,432,385,356,313,349,260,364,358
06/1986,871,529,429,385,352,313,345,256,357,355
07/1986,961,545,462,410,391,319,337,292,417,397
08/1986,953,542,457,410,391,318,334,290,412,391
09/1986,946,539,452,408,389,316,333,289,408,386
10/1986,937,537,446,405,385,314,329,287,401,380
11/1986,930,532,438,401,383,311,326,280,396,373
12/1986,922,527,431,397,380,308,320,277,391,366
01/1987,909,521,424,387,371,297,310,268,381,360
02/1987,903,516,421,385,370,293,308,267,379,355
03/1987,901,514,421,385,368,292,308,267,378,350
04/1987,894,510,419,383,365,289,305,264,376,347
05/1987,893,510,417,383,359,289,302,262,372,343
06/1987,889,507,415,380,357,289,301,261,369,343
07/1987,936,575,470,453,375,360,334,374,421,376
08/1987,933,570,469,449,372,359,333,372,416,371
09/1987,922,566,467,445,369,357,331,366,408,369
10/1987,914,562,467,442,368,354,324,364,406,367
11/1987,904,560,462,439,363,350,322,357,403,365
12/1987,892,558,456,437,360,348,320,353,402,360
01/1988,884,553,453,434,353,344,318,353,399,353
02/1988,875,551,446,432,351,341,319,352,395,350
03/1988,859,548,441,430,349,337,316,350,387,343
04/1988,852,543,435,427,347,334,314,349,387,341
05/1988,851,542,431,421,340,332,311,348,385,338
06/1988,842,540,429,418,333,324,306,342,378,336
07/1988,850,561,558,424,404,416,372,399,538,316
08/1988,847,559,552,421,403,414,369,393,530,311
09/1988,841,553,547,415,398,412,366,390,524,306
10/1988,830,550,544,413,393,408,364,382,516,304
11/1988,824,542,541,412,391,402,361,382,511,303
12/1988,815,536,537,408,387,398,360,377,503,302
01/1989,804,529,529,402,383,394,356,374,501,295
02/1989,801,526,525,402,378,390,353,370,491,293
03/1989,796,524,518,398,375,390,347,366,485,293
04/1989,790,519,514,395,374,388,343,362,478,292
05/1989,787,516,510,393,369,385,340,360,471,292
06/1989,780,512,503,387,364,382,338,357,470,291
07/1989,927,529,503,431,414,343,363,409,533,341
08/1989,917,525,499,428,413,341,361,407,532,340
09/1989,910,520,494,425,412,338,356,404,527,337
10/1989,904,519,491,421,411,338,353,394,515,335
11/1989,898,516,488,418,406,337,352,389,512,332
12/1989,889,511,484,415,404,336,347,387,507,330
01/1990,880,511,482,412,398,333,344,383,503,328
02/1990,871,507,479,410,393,328,342,380,499,324
03/1990,866,506,473,408,391,326,340,377,495,322
04/1990,858,504,472,402,388,325,339,377,489,320
05/1990,848,502,472,399,386,323,337,367,486,318
06/1990,840,499,472,395,383,322,334,361,480,309
07/1990,913,466,424,461,358,354,375,464,498,363
08/1990,911,463,422,456,356,351,372,458,492,357
09/1990,908,461,417,453,354,350,371,451,484,351
10/1990,901,460,415,453,352,348,368,450,480,349
11/1990,898,455,413,451,350,345,367,445,468,349
12/1990,887,454,411,448,349,345,364,441,465,344
01/1991,880,449,409,447,347,344,363,440,461,340
02/1991,874,448,406,445,341,341,362,440,458,336
03/1991,867,446,406,442,339,339,360,439,452,335
04/1991,859,440,400,442,336,337,359,436,446,330
05/1991,849,439,398,441,336,335,358,432,440,323
06/1991,843,438,394,439,336,334,356,428,434,319
07/1991,796,487,474,386,387,344,383,490,528,375
08/1991,790,482,471,385,384,340,378,488,523,370
09/1991,787,481,468,380,381,340,377,484,518,366
10/1991,787,478,467,376,381,339,375,481,516,361
11/1991,787,474,465,372,379,337,372,476,510,358
12/1991,784,472,464,372,377,337,370,471,507,351
01/1992,778,471,461,370,376,336,366,464,497,342
02/1992,770,469,460,366,374,335,364,460,493,342
03/1992,764,467,458,366,373,332,361,459,485,338
04/1992,761,468,454,364,371,332,360,455,480,332
05/1992,756,463,453,360,372,331,355,451,475,329
06/1992,738,454,448,357,364,331,354,446,470,324
07/1992,900,562,410,373,375,334,325,427,532,404
08/1992,898,560,407,368,370,333,318,425,527,392
09/1992,893,556,404,365,368,326,314,423,518,387
10/1992,887,554,404,365,368,325,311,421,515,380
11/1992,880,549,404,359,367,322,309,418,512,369
12/1992,878,545,403,358,367,321,308,413,507,365
01/1993,875,543,401,357,366,322,307,411,503,361
02/1993,872,542,401,355,364,322,305,405,500,360
03/1993,868,542,397,354,363,323,305,404,493,358
04/1993,863,539,395,353,361,322,305,401,489,351
05/1993,861,538,393,353,360,319,304,396,483,348
06/1993,856,535,393,351,358,317,303,396,483,345
07/1993,1015,599,477,447,382,340,333,418,445,415
08/1993,1016,596,476,443,380,337,330,413,440,412
09/1993,1013,593,474,441,377,337,330,410,441,404
10/1993,1011,589,472,438,376,338,329,408,436,400
11/1993,1007,587,470,437,377,338,326,408,435,398
12/1993,1005,587,468,436,376,337,324,406,430,393
01/1994,996,584,465,435,374,336,323,404,427,391
02/1994,994,582,464,434,370,336,321,403,423,388
03/1994,989,579,461,429,367,334,320,398,421,386
04/1994,986,580,459,429,369,331,319,395,419,383
05/1994,983,578,457,425,366,329,316,389,418,381
06/1994,978,576,457,424,361,328,317,385,417,375
07/1994,1263,626,508,474,474,360,361,418,494,834
08/1994,1257,625,506,470,472,358,361,415,487,830
09/1994,1253,624,502,462,467,357,360,414,486,819
10/1994,1250,620,498,459,465,353,359,414,483,808
11/1994,1244,617,495,458,465,349,355,412,481,803
