date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,108,107,108,106,108,107,108,107,108,107
08/1963,108,108,108,108,107,108,108,108,108,107
09/1963,108,108,108,108,108,108,108,108,108,107
10/1963,108,108,108,108,108,108,108,108,108,107
11/1963,108,108,107,108,107,108,108,107,108,107
12/1963,107,108,108,107,108,108,107,108,108,107
01/1964,108,107,107,108,108,108,108,108,109,107
02/1964,142,133,131,140,153,151,151,181,184,465
03/1964,188,152,138,154,143,153,143,166,213,380
04/1964,170,161,145,142,139,152,159,185,200,388
05/1964,163,141,142,145,153,147,152,181,201,416
06/1964,169,145,136,157,152,150,166,166,194,401
07/1964,184,160,147,162,149,158,145,174,202,356
08/1964,223,166,159,139,158,160,165,177,208,287
09/1964,212,162,151,158,142,165,165,171,197,324
10/1964,203,151,146,148,156,153,170,179,193,345
11/1964,228,170,168,148,155,157,148,185,172,322
12/1964,234,177,167,159,158,154,163,163,198,283
01/1965,218,179,151,167,157,150,166,176,189,305
02/1965,206,158,149,155,150,170,148,162,179,381
03/1965,208,152,168,160,156,146,169,167,208,323
04/1965,230,159,157,148,162,162,167,158,197,317
05/1965,203,156,157,154,160,154,166,180,195,334
06/1965,233,154,151,152,150,162,166,174,202,320
07/1965,233,155,152,142,160,185,159,183,197,302
08/1965,227,170,170,148,162,168,184,170,200,282
09/1965,217,162,156,152,158,165,174,174,206,321
10/1965,221,181,163,157,157,148,150,179,215,305
11/1965,231,173,147,148,158,170,171,191,201,293
12/1965,235,170,153,155,158,159,165,189,205,304
01/1966,224,175,160,151,167,170,178,184,180,297
02/1966,231,179,168,149,158,162,186,182,203,285
03/1966,263,178,165,149,166,164,152,193,195,279
04/1966,246,188,184,170,160,160,164,176,183,278
05/1966,271,197,171,169,160,155,171,169,201,238
06/1966,276,198,175,170,165,172,162,163,187,237
07/1966,286,202,180,166,167,162,154,167,183,237
08/1966,297,195,163,165,166,144,174,164,188,255
09/1966,265,189,175,172,163,160,163,157,190,284
10/1966,251,192,169,174,161,161,156,166,205,287
11/1966,225,176,168,176,165,164,157,153,193,352
12/1966,229,189,168,153,164,149,181,170,193,335
01/1967,254,165,185,155,162,182,174,178,179,297
02/1967,260,185,181,193,164,191,166,169,178,248
03/1967,291,193,179,178,178,190,187,189,179,178
04/1967,314,214,171,186,194,164,209,185,142,162
05/1967,353,216,179,187,179,180,179,160,149,160
06/1967,341,222,176,183,193,178,163,161,150,172
07/1967,331,202,193,179,169,158,167,155,169,210
08/1967,284,213,195,192,181,170,159,159,157,217
09/1967,250,208,186,181,173,177,159,164,167,257
10/1967,213,178,174,187,152,171,178,184,191,283
11/1967,190,170,168,170,161,171,182,185,203,308
12/1967,148,145,162,148,159,174,171,202,248,353
01/1968,161,152,157,159,160,162,182,194,214,361
02/1968,176,141,159,151,160,155,170,174,241,372
03/1968,206,155,160,165,168,158,172,188,214,318
04/1968,248,190,184,171,162,173,161,163,210,243
05/1968,267,191,184,172,171,150,168,170,179,248
06/1968,290,204,188,183,178,181,163,173,158,181
07/1968,335,196,182,177,178,158,172,163,146,177
08/1968,365,200,179,174,162,156,164,154,160,155
09/1968,337,219,180,174,168,166,146,151,145,187
10/1968,332,200,171,168,182,158,155,151,156,190
11/1968,362,208,187,174,145,157,151,158,146,173
12/1968,374,212,183,163,170,157,156,144,145,160
01/1969,305,230,192,177,182,156,151,151,147,173
02/1969,318,213,183,175,176,155,153,152,146,183
03/1969,355,241,184,159,150,157,149,144,152,167
04/1969,339,209,180,186,149,150,157,161,160,170
05/1969,281,198,191,156,152,161,173,170,178,213
06/1969,294,187,169,185,174,160,155,160,179,215
07/1969,362,205,166,183,164,162,157,147,156,181
08/1969,329,182,176,164,162,165,163,165,178,200
09/1969,279,206,171,149,159,175,160,162,182,243
10/1969,311,216,178,171,158,174,141,168,158,218
11/1969,346,202,196,184,159,151,162,144,152,210
12/1969,298,203,191,162,156,156,164,171,178,235
01/1970,261,181,158,158,153,166,169,179,187,306
02/1970,318,181,173,156,162,153,158,167,191,266
03/1970,324,182,177,174,154,153,161,174,187,254
04/1970,276,169,181,156,168,166,178,178,191,284
05/1970,257,168,167,160,152,174,197,205,209,269
06/1970,250,174,167,166,160,169,186,195,202,293
07/1970,280,168,170,183,155,161,169,190,215,274
08/1970,201,160,148,174,159,183,193,199,231,327
09/1970,178,157,150,164,154,177,194,203,248,368
10/1970,198,157,163,163,167,164,188,203,265,337
11/1970,189,158,174,158,164,177,180,209,252,361
12/1970,191,189,165,170,161,185,201,197,262,311
01/1971,192,171,158,178,167,163,169,220,257,366
02/1971,211,175,164,156,159,181,173,199,250,385
03/1971,236,174,192,192,174,169,179,213,229,309
04/1971,221,170,194,159,174,178,201,215,248,316
05/1971,206,159,166,170,180,202,215,222,251,305
06/1971,161,155,145,154,183,199,196,230,259,397
07/1971,152,154,148,174,185,180,227,241,272,353
08/1971,177,162,158,191,204,186,235,242,232,307
09/1971,148,151,160,156,165,195,230,252,279,379
10/1971,155,159,164,165,183,173,201,231,290,408
11/1971,202,169,190,169,178,196,193,245,267,330
12/1971,241,181,190,187,175,191,190,232,271,287
01/1972,215,179,164,160,186,167,188,226,255,408
02/1972,217,178,172,169,160,173,186,215,244,442
03/1972,261,218,200,192,183,202,174,212,212,304
04/1972,308,234,197,210,210,177,204,186,195,246
05/1972,283,214,194,188,188,169,172,194,209,366
06/1972,287,218,201,181,196,204,202,189,203,302
07/1972,332,236,205,204,192,201,212,184,175,248
08/1972,305,234,217,200,214,200,194,186,195,248
09/1972,254,201,208,178,187,181,196,188,233,368
10/1972,224,196,167,173,176,181,186,205,252,436
11/1972,230,177,173,191,164,189,196,210,255,422
12/1972,228,166,164,169,183,213,194,242,294,368
01/1973,217,167,164,165,207,200,202,236,264,407
02/1973,234,195,183,172,184,200,194,222,264,390
03/1973,286,244,200,194,201,193,202,218,244,264
04/1973,348,225,219,207,210,198,193,206,218,228
05/1973,338,226,224,194,222,192,186,206,213,255
06/1973,343,225,227,209,208,192,197,201,202,257
07/1973,328,234,229,216,217,221,199,187,182,260
08/1973,314,234,246,223,210,186,193,193,217,263
09/1973,245,208,211,202,198,195,199,210,270,349
10/1973,213,188,185,180,193,194,235,215,294,398
11/1973,211,174,185,178,207,207,207,239,300,397
12/1973,182,174,184,195,193,204,249,236,279,417
01/1974,181,171,179,175,185,208,224,250,278,465
02/1974,189,176,165,175,186,207,217,259,283,465
03/1974,209,183,173,184,186,215,237,249,304,390
04/1974,200,179,179,198,232,212,247,252,265,376
05/1974,208,176,178,194,219,228,233,272,291,346
06/1974,203,194,182,189,247,224,259,229,295,332
07/1974,501,360,377,404,492,422,409,535,535,523
08/1974,457,338,412,423,457,371,438,488,578,600
09/1974,394,385,328,335,372,394,466,481,593,804
10/1974,399,344,379,302,359,402,395,517,689,746
11/1974,348,302,313,344,288,383,410,456,670,988
12/1974,377,329,361,372,363,410,323,410,632,896
01/1975,383,370,361,393,437,340,390,479,588,704
02/1975,346,338,345,390,381,367,399,433,590,835
03/1975,373,331,372,396,359,450,426,430,511,789
04/1975,399,326,353,385,384,447,476,456,484,732
05/1975,564,469,441,410,375,401,344,463,476,518
06/1975,606,456,393,335,410,368,352,508,458,566
07/1975,586,428,377,481,403,342,407,422,470,534
08/1975,742,489,410,456,392,396,389,345,375,448
09/1975,665,461,403,386,392,346,368,424,481,531
10/1975,755,446,420,350,319,344,384,443,468,522
11/1975,666,404,388,368,317,402,426,445,446,590
12/1975,404,425,370,351,355,398,438,559,527,612
01/1976,385,395,313,430,392,359,422,480,561,701
02/1976,322,393,346,338,418,367,389,468,553,758
03/1976,380,311,315,284,332,349,480,472,622,875
04/1976,385,344,298,317,345,363,381,469,631,847
05/1976,368,360,362,334,357,336,355,416,507,1003
06/1976,447,369,357,384,374,377,380,390,561,754
07/1976,490,401,395,342,337,388,373,387,443,831
08/1976,547,424,372,336,382,359,353,355,476,786
09/1976,627,382,400,367,341,416,322,303,445,538
10/1976,606,415,388,363,357,393,363,473,399,636
11/1976,597,416,368,381,365,445,394,408,402,592
12/1976,570,324,379,351,365,350,504,421,467,664
01/1977,474,379,324,339,397,466,416,414,490,702
02/1977,520,362,289,447,388,378,411,388,495,676
03/1977,425,320,299,340,319,332,406,372,627,950
04/1977,504,390,399,367,366,353,310,369,486,833
05/1977,530,399,347,375,375,373,346,355,432,850
06/1977,595,439,373,406,402,348,355,430,351,677
07/1977,615,438,424,399,421,386,345,394,433,518
08/1977,523,407,408,370,419,415,407,385,349,675
09/1977,636,418,422,385,348,374,383,314,403,655
10/1977,533,323,317,307,385,450,372,397,473,770
11/1977,494,331,286,335,370,448,358,464,447,788
12/1977,498,327,304,341,354,390,389,427,425,866
01/1978,469,325,341,298,354,345,433,405,480,872
02/1978,554,389,389,334,332,348,357,399,435,772
03/1978,672,466,387,326,366,350,346,436,397,570
04/1978,735,506,437,397,316,315,317,405,384,503
05/1978,817,498,430,387,324,330,412,342,314,474
06/1978,750,486,461,384,351,358,314,387,348,462
07/1978,858,518,450,378,339,308,379,309,334,394
