date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,28,27,28,27,27,27,27,27,27,28
08/1963,28,27,28,27,27,28,27,27,27,28
09/1963,28,27,28,27,27,28,27,27,27,28
10/1963,28,27,28,27,27,28,27,27,27,28
11/1963,28,27,28,27,27,28,27,27,27,28
12/1963,28,27,28,27,27,28,27,26,27,28
01/1964,28,27,28,27,27,28,27,27,27,27
02/1964,28,27,28,27,27,28,27,27,27,28
03/1964,28,27,28,27,27,28,27,27,27,28
04/1964,28,27,28,27,27,28,27,27,27,28
05/1964,28,27,28,27,27,28,27,27,27,28
06/1964,28,27,28,27,27,28,27,27,27,28
07/1964,32,35,31,32,32,31,30,30,34,34
08/1964,32,35,31,32,32,31,30,30,34,34
09/1964,32,35,31,32,32,31,30,30,34,34
10/1964,32,35,31,32,32,31,30,30,34,34
11/1964,32,35,31,32,32,31,30,30,34,34
12/1964,32,35,31,32,32,31,30,30,34,34
01/1965,32,35,31,32,32,31,30,30,34,34
02/1965,32,35,31,32,32,31,30,30,34,34
03/1965,32,35,31,32,32,31,30,30,34,34
04/1965,32,35,31,32,32,31,30,30,34,34
05/1965,32,35,31,32,32,31,30,30,34,34
06/1965,32,35,31,32,31,31,30,30,34,34
07/1965,38,35,38,36,34,37,38,39,44,41
08/1965,38,35,38,36,34,37,38,39,44,41
09/1965,38,35,38,36,34,37,38,39,44,41
10/1965,38,35,38,36,34,37,38,39,44,41
11/1965,38,35,38,36,34,37,38,39,44,41
12/1965,38,35,38,36,34,37,38,38,44,41
01/1966,38,35,38,36,34,37,38,38,44,41
02/1966,38,35,38,36,34,37,38,39,44,41
03/1966,38,35,38,36,34,37,38,39,44,41
04/1966,38,35,38,36,34,37,38,39,44,41
05/1966,38,35,38,36,34,37,38,39,44,41
06/1966,38,35,38,36,34,37,38,39,44,41
07/1966,56,45,44,47,46,51,42,49,53,56
08/1966,56,45,44,47,46,51,42,49,53,56
09/1966,56,45,44,47,46,51,42,49,53,56
10/1966,56,45,44,47,46,51,42,49,53,56
11/1966,56,45,44,47,46,51,42,49,53,56
12/1966,56,45,44,47,46,51,42,49,53,56
01/1967,56,45,44,47,46,51,42,49,53,56
02/1967,55,45,44,47,46,51,42,49,53,56
03/1967,56,45,44,47,46,51,42,49,53,56
04/1967,56,45,44,47,46,51,42,49,53,56
05/1967,56,45,44,47,46,51,42,49,52,56
06/1967,56,45,44,47,46,51,42,49,52,56
07/1967,85,80,78,73,79,86,75,83,88,105
08/1967,85,80,78,74,79,86,75,83,87,105
09/1967,85,80,78,74,79,86,75,83,87,105
10/1967,85,80,78,74,79,86,75,83,87,104
11/1967,84,80,78,74,79,86,75,83,87,105
12/1967,84,80,78,74,79,84,75,83,87,105
01/1968,84,80,78,74,79,85,75,83,87,105
02/1968,84,79,78,74,79,84,75,83,87,104
03/1968,84,79,78,74,79,84,75,83,87,105
04/1968,84,79,78,74,79,84,75,83,87,105
05/1968,84,79,78,74,79,84,75,83,87,105
06/1968,83,79,78,74,79,84,75,82,87,105
07/1968,120,101,96,94,93,112,102,115,130,150
08/1968,120,101,96,94,93,112,102,115,130,149
09/1968,120,101,96,94,93,112,102,115,130,149
10/1968,120,101,96,94,93,111,102,115,130,149
11/1968,120,101,96,94,93,112,102,115,130,149
12/1968,120,101,96,94,93,112,102,115,130,149
01/1969,120,101,96,94,93,112,102,115,130,149
02/1969,120,101,96,94,93,112,102,115,129,149
03/1969,120,101,96,94,93,112,102,115,129,149
04/1969,119,101,96,94,93,112,101,114,129,149
05/1969,120,101,96,93,93,111,100,114,129,149
06/1969,120,101,96,93,93,112,101,114,129,149
07/1969,144,116,109,107,111,109,121,110,133,143
08/1969,144,116,109,107,110,109,121,109,133,143
09/1969,144,116,109,107,110,109,121,110,133,143
10/1969,144,116,109,106,111,109,121,110,132,143
11/1969,144,116,109,106,111,109,121,110,133,142
12/1969,144,116,109,106,111,109,121,110,133,143
01/1970,144,116,109,106,111,109,121,110,133,143
02/1970,143,116,109,106,110,109,121,110,133,143
03/1970,144,116,109,107,111,109,121,110,133,143
04/1970,143,116,109,107,111,109,121,110,133,143
05/1970,143,115,109,107,111,109,121,110,133,143
06/1970,143,115,109,107,111,109,121,110,133,143
07/1970,186,142,121,128,108,139,118,109,146,176
08/1970,186,142,121,129,108,139,118,109,146,176
09/1970,186,141,121,129,108,139,118,108,146,175
10/1970,186,141,121,129,108,138,118,109,146,175
11/1970,185,141,121,129,108,138,118,109,146,175
12/1970,185,141,121,129,108,139,118,109,146,175
01/1971,185,140,121,129,108,139,118,109,146,175
02/1971,185,140,121,129,108,139,118,109,146,175
03/1971,184,140,121,128,108,139,118,109,145,175
04/1971,184,139,121,128,108,139,118,109,145,175
05/1971,184,140,121,128,108,139,118,109,145,175
06/1971,183,140,120,128,108,139,118,109,145,174
07/1971,192,153,126,126,140,149,153,168,183,210
08/1971,191,153,126,126,139,147,153,168,183,210
09/1971,191,153,126,126,139,146,153,168,183,210
10/1971,191,153,126,126,139,147,152,168,183,210
11/1971,191,153,126,126,139,147,152,168,183,210
12/1971,191,153,126,126,139,147,152,167,181,210
01/1972,191,153,126,126,139,146,151,167,179,209
02/1972,191,153,126,125,139,145,151,167,179,208
03/1972,190,153,125,126,139,145,151,167,177,208
04/1972,190,153,124,126,139,145,151,167,177,207
05/1972,191,153,124,126,139,144,151,167,176,205
06/1972,190,152,124,126,139,143,151,167,176,205
07/1972,184,153,143,136,161,135,166,176,191,222
08/1972,185,153,143,136,161,135,166,176,188,221
09/1972,185,152,143,134,161,135,165,175,186,221
10/1972,185,152,143,134,161,134,165,174,185,221
11/1972,185,152,143,134,160,134,165,175,183,221
12/1972,185,152,143,134,160,134,165,175,184,220
01/1973,183,152,143,134,160,134,165,175,185,219
02/1973,183,152,143,134,160,134,165,175,184,219
03/1973,182,152,143,134,160,133,164,175,183,219
04/1973,181,151,143,134,160,133,164,175,183,217
05/1973,182,150,143,134,160,133,164,175,182,216
