date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,635,227,182,146,141,137,132,123,121,129
08/1963,632,236,171,148,140,139,136,122,121,130
09/1963,634,234,170,139,147,142,132,125,120,131
10/1963,620,236,173,154,135,138,132,135,120,131
11/1963,625,229,173,155,144,131,140,127,121,129
12/1963,644,218,177,152,138,139,136,127,119,130
01/1964,638,232,160,161,136,137,129,128,119,130
02/1964,640,231,171,160,133,135,133,131,121,130
03/1964,650,228,161,169,137,136,126,129,122,129
04/1964,672,215,171,153,136,137,129,128,121,131
05/1964,685,201,180,155,140,133,132,128,123,130
06/1964,690,196,185,146,143,134,129,129,128,129
07/1964,694,191,182,154,149,126,137,126,121,133
08/1964,696,195,184,151,145,132,135,129,125,130
09/1964,697,193,191,153,143,131,134,130,126,132
10/1964,694,207,175,157,140,143,130,128,124,131
11/1964,691,208,181,153,144,145,129,128,121,133
12/1964,691,213,168,160,143,148,125,131,124,132
01/1965,674,228,167,163,146,144,130,128,125,132
02/1965,687,223,166,160,145,145,127,125,131,131
03/1965,690,218,178,154,144,149,128,128,125,131
04/1965,689,218,170,151,159,139,129,135,125,130
05/1965,700,205,170,159,159,132,135,133,127,131
06/1965,676,231,171,152,158,133,139,134,129,132
07/1965,686,232,173,149,158,143,127,133,129,130
08/1965,688,233,179,147,151,138,135,135,130,133
09/1965,673,244,185,152,151,134,130,142,129,134
10/1965,687,229,176,162,150,134,131,129,135,134
11/1965,685,226,184,157,149,134,139,131,127,135
12/1965,676,244,167,167,148,138,137,135,124,137
01/1966,694,215,178,156,137,142,143,135,128,133
02/1966,670,247,171,165,146,131,144,133,134,134
03/1966,668,232,183,172,146,136,142,131,128,138
04/1966,658,244,180,164,144,143,143,129,130,137
05/1966,644,232,184,174,141,148,142,130,135,135
06/1966,656,240,191,157,148,147,138,133,128,136
07/1966,645,246,186,160,148,147,139,134,134,134
08/1966,673,232,187,157,148,149,139,136,131,137
09/1966,666,235,178,175,147,143,144,132,134,137
10/1966,660,246,180,174,144,144,139,139,131,138
11/1966,685,233,190,173,145,134,137,137,129,135
12/1966,677,237,180,159,162,145,136,134,132,137
01/1967,662,234,187,168,148,148,140,135,132,138
02/1967,647,254,179,165,154,145,153,130,130,139
03/1967,639,253,175,166,151,157,150,135,137,135
04/1967,630,253,175,166,158,151,151,137,139,135
05/1967,628,246,172,175,158,157,151,136,139,135
06/1967,613,243,191,161,160,160,151,143,135,136
07/1967,604,236,185,178,156,160,155,140,142,137
08/1967,600,231,199,162,172,152,150,144,139,137
09/1967,598,242,187,178,166,152,147,146,134,137
10/1967,590,231,202,170,168,150,156,140,140,139
11/1967,580,243,197,175,162,146,159,151,137,141
12/1967,569,251,201,168,165,161,151,139,145,141
01/1968,571,230,197,167,169,169,153,144,145,141
02/1968,545,259,199,174,156,172,149,142,141,140
03/1968,563,255,200,188,160,149,148,147,133,138
04/1968,586,247,201,172,170,149,150,143,133,137
05/1968,558,247,194,185,163,160,157,145,144,140
06/1968,534,244,199,174,173,167,170,150,142,142
07/1968,543,232,200,189,168,164,151,155,143,143
08/1968,556,229,191,164,191,176,149,139,140,142
09/1968,549,226,212,174,184,162,155,141,139,147
10/1968,545,233,193,189,171,175,147,149,141,146
11/1968,556,239,193,185,176,161,156,145,139,142
12/1968,573,215,211,183,164,167,150,148,142,146
01/1969,572,218,209,164,178,160,155,149,151,146
02/1969,556,231,203,192,171,160,155,143,150,141
03/1969,584,219,209,187,177,162,152,145,140,141
04/1969,585,215,217,185,175,152,161,147,145,139
05/1969,575,248,195,185,186,156,147,152,153,141
06/1969,571,236,221,171,175,172,150,153,154,143
07/1969,585,264,184,196,176,158,150,148,153,143
08/1969,605,264,197,179,168,155,158,150,149,142
09/1969,594,267,203,180,166,168,163,149,146,147
10/1969,613,240,200,188,172,165,160,157,149,146
11/1969,596,241,201,185,172,175,161,171,151,143
12/1969,594,259,204,177,176,163,170,159,155,147
01/1970,594,270,199,181,174,169,158,165,152,148
02/1970,606,276,205,181,163,169,164,152,161,142
03/1970,635,254,219,178,162,179,157,155,160,140
04/1970,635,282,211,195,155,165,167,143,160,135
05/1970,672,286,202,177,162,168,162,147,140,133
06/1970,676,282,220,183,161,162,154,144,137,136
07/1970,641,284,220,200,179,164,150,145,139,132
08/1970,656,275,226,199,178,153,158,142,140,133
09/1970,662,275,227,181,193,157,157,142,136,134
10/1970,654,290,211,183,185,165,148,158,141,137
11/1970,651,279,235,180,173,167,163,153,145,135
12/1970,667,285,214,199,171,159,164,148,147,135
01/1971,683,279,215,188,169,159,165,150,145,134
02/1971,673,298,205,190,175,162,159,155,145,133
03/1971,663,284,213,198,167,172,159,151,156,134
04/1971,673,270,215,187,176,182,150,152,156,137
05/1971,676,279,207,186,177,173,159,155,154,137
06/1971,685,274,202,190,188,173,155,148,156,139
07/1971,657,289,237,171,191,175,156,151,147,141
08/1971,671,291,214,201,176,179,153,154,146,141
09/1971,703,275,211,197,179,180,158,154,144,139
10/1971,676,298,214,192,184,181,156,162,147,143
11/1971,677,294,231,190,180,185,161,155,150,140
12/1971,697,292,225,191,178,175,174,148,155,142
01/1972,707,291,209,195,194,174,167,157,150,145
02/1972,710,265,224,192,204,175,170,161,154,146
03/1972,668,301,215,209,187,184,175,174,150,148
04/1972,683,291,213,210,190,178,177,181,153,145
05/1972,681,296,221,201,196,179,177,179,158,145
06/1972,670,304,222,209,183,191,173,184,153,149
07/1972,678,298,234,206,182,190,170,179,153,151
08/1972,654,334,239,197,200,175,175,166,158,152
09/1972,690,319,240,201,189,183,164,167,161,148
10/1972,693,336,221,209,181,193,165,167,157,151
11/1972,686,357,226,202,194,172,175,161,158,151
12/1972,727,341,229,207,180,171,175,163,153,153
01/1973,2195,737,445,348,327,289,284,268,256,216
02/1973,2179,742,464,350,334,280,278,291,251,224
03/1973,2186,771,400,410,333,270,273,266,257,223
04/1973,2091,815,443,390,323,268,281,252,267,214
05/1973,2064,772,509,383,333,269,245,259,261,211
06/1973,2007,805,452,401,293,302,256,256,248,221
07/1973,1929,812,477,371,335,304,225,257,268,218
08/1973,1985,716,502,366,320,292,264,253,246,218
09/1973,2012,681,462,365,320,294,264,259,249,209
10/1973,1978,668,470,389,333,263,268,254,247,201
11/1973,1897,693,545,343,341,278,251,281,243,199
12/1973,1777,683,566,363,311,266,270,281,259,205
01/1974,1730,702,525,363,302,255,281,275,255,201
02/1974,1802,657,515,349,296,266,263,274,246,203
03/1974,1755,713,502,353,298,248,284,249,245,203
04/1974,1766,656,501,375,308,254,270,264,245,206
05/1974,1722,650,548,353,301,286,260,253,263,197
06/1974,1707,640,508,358,362,241,261,272,257,197
07/1974,1669,613,544,378,308,298,257,275,255,185
08/1974,1545,742,522,376,303,322,251,256,248,192
09/1974,1559,687,487,405,325,285,271,260,231,200
10/1974,1524,667,527,372,327,320,236,275,232,197
11/1974,1445,750,504,350,328,292,284,263,237,186
12/1974,1418,724,512,394,305,303,260,284,223,181
01/1975,1373,718,528,393,324,275,269,287,222,182
02/1975,1519,667,499,377,293,297,230,274,217,186
03/1975,1534,665,475,352,338,290,253,259,220,183
04/1975,1611,609,500,312,319,302,270,256,215,181
05/1975,1617,585,527,321,314,300,286,246,215,181
06/1975,1625,650,443,310,322,287,285,248,224,181
07/1975,1684,616,455,318,317,305,270,225,223,184
08/1975,1608,626,485,327,342,288,267,245,230,182
09/1975,1598,655,443,395,312,282,278,252,222,184
10/1975,1579,645,481,363,329,304,263,254,219,178
11/1975,1610,624,514,348,326,298,273,232,214,183
12/1975,1654,578,498,371,350,285,246,226,214,183
01/1976,1617,624,522,368,334,302,221,231,216,180
02/1976,1615,639,486,354,328,272,239,224,208,177
03/1976,1733,610,433,386,312,285,233,245,205,175
04/1976,1720,622,437,347,323,286,234,237,204,178
05/1976,1669,648,470,371,325,275,253,224,199,182
06/1976,1671,656,472,369,318,280,239,235,209,179
07/1976,1713,664,466,339,317,278,256,226,205,171
08/1976,1749,649,492,318,334,265,243,228,204,179
09/1976,1610,586,485,326,317,260,227,224,196,177
10/1976,1761,649,523,326,323,250,250,216,211,178
11/1976,1735,676,497,357,291,261,245,213,211,183
12/1976,1769,656,468,386,303,252,244,215,218,182
01/1977,1832,607,479,370,277,269,241,219,209,184
02/1977,1749,650,435,394,284,259,239,220,209,188
03/1977,1735,669,450,386,290,266,253,218,207,193
04/1977,1736,646,469,379,309,242,250,227,211,191
05/1977,1741,632,493,393,276,255,259,228,205,190
06/1977,1762,628,445,412,292,246,249,223,213,195
07/1977,1784,617,468,398,299,239,242,223,201,197
08/1977,1741,662,436,371,333,238,213,242,209,204
09/1977,1699,669,426,385,325,249,238,226,212,204
10/1977,1688,618,490,383,319,238,239,229,208,209
11/1977,1667,631,492,382,294,258,241,230,215,206
12/1977,1706,650,463,332,304,274,235,222,213,209
01/1978,1683,638,461,354,321,238,256,236,208,204
02/1978,1638,660,446,353,306,267,246,230,218,207
03/1978,1621,643,457,350,305,274,241,234,230,214
04/1978,1689,570,450,352,305,260,241,241,221,215
05/1978,1716,548,468,349,276,278,263,244,230,195
06/1978,1701,561,423,380,278,283,256,246,223,199
07/1978,1693,541,456,348,283,295,250,240,222,201
08/1978,1636,608,457,324,295,289,256,246,214,202
09/1978,1701,550,404,345,290,302,281,222,215,207
10/1978,1696,557,429,355,291,282,269,244,205,205
11/1978,1669,580,450,338,310,277,249,235,220,204
12/1978,1681,546,458,331,309,288,248,247,221,200
01/1979,1642,558,435,357,327,281,259,248,220,202
02/1979,1698,517,445,318,330,280,266,243,225,194
03/1979,1623,572,443,343,306,281,251,261,225,198
04/1979,1724,496,424,330,333,266,274,249,213,206
05/1979,1705,494,405,375,298,288,282,246,212,201
06/1979,1692,516,425,351,299,281,279,256,212,194
07/1979,1692,533,419,337,305,274,273,253,215,200
08/1979,1722,507,421,338,288,292,275,250,211,194
09/1979,1730,510,393,350,319,291,251,252,205,190
10/1979,1693,522,403,354,314,298,258,246,212,192
11/1979,1634,569,428,357,302,293,273,225,223,196
12/1979,1613,596,429,360,308,288,248,258,210,194
01/1980,1631,539,423,372,333,287,249,253,217,197
02/1980,1579,547,424,355,351,304,291,248,208,195
03/1980,1566,570,386,400,327,298,297,257,213,197
04/1980,1585,612,422,358,339,273,264,254,212,191
05/1980,1596,644,403,363,319,240,297,235,208,198
06/1980,1604,613,399,397,334,238,275,244,205,200
07/1980,1604,595,438,384,338,257,258,252,204,199
08/1980,1647,594,444,350,334,273,267,244,199,198
09/1980,1632,565,461,361,320,286,264,271,198,199
10/1980,1651,550,423,371,363,303,249,262,209,195
11/1980,1624,573,446,375,353,312,277,241,216,201
12/1980,1590,570,474,359,365,314,299,249,206,202
01/1981,1650,571,437,415,368,281,284,272,198,194
02/1981,1681,603,448,428,335,290,259,246,215,188
03/1981,1755,564,460,416,327,289,249,246,215,183
04/1981,1788,582,443,433,330,262,265,230,221,179
05/1981,1811,555,482,415,341,270,255,241,235,181
06/1981,1858,545,457,446,305,297,243,253,241,193
07/1981,1913,564,506,388,339,275,262,223,218,197
08/1981,1982,540,505,393,350,291,257,219,218,192
09/1981,1959,612,486,401,321,293,248,238,214,195
10/1981,1965,638,468,401,307,305,242,229,208,198
11/1981,2015,602,475,399,309,302,259,230,215,197
12/1981,2093,613,450,367,303,298,249,248,212,198
01/1982,2038,653,448,367,330,283,234,261,207,206
02/1982,2138,627,369,398,314,261,267,257,207,204
03/1982,2117,652,397,382,310,275,252,230,222,211
04/1982,2116,650,413,354,311,284,259,223,206,209
05/1982,2090,657,425,355,335,258,258,227,203,203
06/1982,2077,659,403,369,312,286,245,235,221,201
07/1982,2089,624,399,383,316,286,246,242,225,189
08/1982,2082,604,405,385,293,285,270,248,223,191
09/1982,2137,600,480,305,304,278,268,224,205,184
10/1982,2098,638,405,322,304,275,263,255,210,189
11/1982,2084,626,393,327,299,273,267,262,199,190
12/1982,2105,557,434,362,309,266,266,267,219,194
01/1983,2049,630,441,338,304,294,252,272,211,196
02/1983,2071,580,416,367,317,266,291,245,230,195
03/1983,2030,603,434,370,314,283,276,262,221,199
04/1983,2034,641,449,360,312,282,265,279,223,192
05/1983,2076,583,448,344,352,295,261,267,234,199
06/1983,2103,584,458,341,327,310,289,244,239,206
07/1983,2114,594,482,364,300,355,276,247,225,200
08/1983,2223,618,426,381,302,308,282,238,247,204
09/1983,2296,661,428,373,305,309,252,243,238,197
10/1983,2311,740,416,389,290,284,249,238,229,207
11/1983,2381,725,451,373,324,259,259,210,240,204
12/1983,2462,719,448,366,322,276,250,230,232,199
01/1984,2518,730,446,370,335,275,245,230,228,206
02/1984,2582,688,486,356,304,289,239,222,233,212
03/1984,2624,667,501,346,293,284,248,245,221,218
04/1984,2609,747,476,367,300,269,253,222,229,217
05/1984,2699,695,452,361,319,263,246,235,228,210
06/1984,2664,751,456,358,327,265,233,231,243,208
07/1984,2679,712,453,371,327,281,238,226,248,203
08/1984,2628,742,453,378,340,273,247,234,247,207
09/1984,2655,758,476,331,348,262,256,228,237,202
10/1984,2678,734,448,307,347,285,238,239,235,209
11/1984,2634,739,456,319,326,297,266,242,223,208
12/1984,2561,779,451,359,324,269,285,220,225,228
01/1985,2620,713,486,353,313,269,273,239,223,216
02/1985,2604,699,492,364,331,258,268,233,229,213
03/1985,2568,671,498,394,330,295,243,216,255,211
04/1985,2536,670,492,410,326,295,247,241,247,207
05/1985,2524,672,502,372,365,269,270,236,244,215
06/1985,2493,677,527,431,315,279,244,251,230,209
07/1985,2447,685,549,448,330,275,247,242,226,206
08/1985,2500,621,578,439,299,292,240,244,230,213
09/1985,2450,673,532,470,312,278,267,224,227,213
10/1985,2345,812,468,474,309,273,290,218,240,219
11/1985,2384,725,549,437,352,273,273,217,245,208
12/1985,2359,795,468,463,349,294,272,210,245,214
01/1986,2374,768,504,454,360,261,290,215,230,209
02/1986,2305,744,561,446,351,299,268,240,233,204
03/1986,2295,767,562,434,360,279,277,242,233,205
04/1986,2336,751,569,435,374,270,259,252,220,202
05/1986,2286,775,576,416,368,305,249,260,228,209
06/1986,2299,795,591,419,359,304,280,243,227,202
07/1986,2241,856,585,468,367,328,250,249,232,203
08/1986,2199,895,588,502,383,297,270,246,239,208
09/1986,2280,888,634,481,368,269,276,259,213,190
10/1986,2296,936,607,462,363,277,275,255,219,188
11/1986,2292,980,620,485,357,271,270,250,201,185
12/1986,2343,954,640,459,388,252,282,234,210,177
01/1987,2403,895,617,468,390,271,258,240,206,178
02/1987,2379,896,665,452,377,302,250,242,189,180
03/1987,2409,928,658,470,340,306,259,237,202,185
04/1987,2424,975,642,499,335,292,248,234,202,182
05/1987,2421,1030,632,463,342,316,250,223,203,180
06/1987,2505,942,657,503,346,301,237,227,213,181
07/1987,2626,899,669,495,331,285,257,223,206,182
08/1987,2604,979,657,463,348,302,256,227,203,173
09/1987,2675,993,623,435,372,320,242,209,206,177
10/1987,2682,1021,601,467,357,337,230,216,204,179
11/1987,2488,1054,652,516,401,296,243,229,221,176
12/1987,2494,963,678,506,436,279,251,231,226,184
01/1988,2395,1054,672,509,409,310,263,221,218,178
02/1988,2465,948,705,490,417,321,249,210,220,183
03/1988,2514,929,687,502,390,295,266,214,193,182
04/1988,2458,912,661,539,397,307,272,236,189,185
05/1988,2466,962,650,488,390,306,269,217,204,183
06/1988,2355,1035,664,470,419,309,263,201,215,178
07/1988,2387,1048,644,462,388,323,261,208,197,184
08/1988,2412,969,650,518,372,312,268,198,205,186
09/1988,2350,1004,632,516,426,275,270,213,202,178
10/1988,2397,932,664,500,416,276,271,200,205,177
11/1988,2424,936,656,499,388,285,268,200,209,170
12/1988,2354,954,667,480,403,286,276,192,212,175
01/1989,2434,877,619,496,410,292,263,194,206,169
02/1989,2414,914,637,490,366,303,251,200,203,169
03/1989,2364,956,643,471,377,270,246,218,208,169
04/1989,2402,901,644,440,383,293,253,207,206,166
05/1989,2363,880,655,467,387,285,255,220,203,167
06/1989,2396,862,638,463,365,306,244,221,192,169
07/1989,2362,872,606,514,358,286,228,236,193,173
08/1989,2322,908,623,509,370,267,248,223,193,167
09/1989,2305,928,598,471,371,301,247,218,199,167
10/1989,2269,933,623,463,364,286,249,212,198,176
11/1989,2197,939,644,470,355,301,259,213,202,186
12/1989,2246,912,632,491,343,310,234,213,200,178
01/1990,2247,990,582,471,342,320,235,212,194,174
02/1990,2156,1026,585,485,394,289,237,225,184,172
03/1990,2146,996,652,461,371,294,237,225,190,172
04/1990,2173,992,652,426,377,295,258,212,194,170
05/1990,2172,911,654,465,366,318,267,223,200,168
06/1990,2165,924,692,431,362,334,255,214,186,172
